Date,Price type,Size (tonne),MAY 2018,JUN 2018,JUL 2018,AUG 2018,SEP 2018,OCT 2018,NOV 2018,DEC 2018,JAN 2019,FEB 2019,MAR 2019,APR 2019,MAY 2019,JUN 2019,JUL 2019,AUG 2019,SEP 2019,OCT 2019,NOV 2019,DEC 2019,JAN 2020,FEB 2020,MAR 2020,APR 2020,MAY 2020,JUN 2020,JUL 2020,AUG 2020,SEP 2020,OCT 2020,NOV 2020,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JUL 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,DEC 2021,JAN 2022,FEB 2022,MAR 2022,APR 2022,MAY 2022,JUN 2022,JUL 2022,AUG 2022,SEP 2022,OCT 2022,NOV 2022,DEC 2022,JAN 2023,FEB 2023,MAR 2023,APR 2023,MAY 2023
"Fri, 04 May 2018 07:26:01 GMT",Prior Settlement (USD per tonne),25.0,601.75,600.25,600.75,600.00,600.75,604.50,612.00,615.25,615.50,616.50,617.75,617.00,616.25,615.75,614.75,614.25,613.50,613.00,612.25,611.75,611.00,610.50,610.00,609.25,608.75,608.00,607.50,606.75,606.25,605.75,605.00,604.50,603.75,603.00,602.25,601.50,600.75,600.00,599.25,598.50,597.75,597.00,596.25,595.50,594.75,594.00,593.25,592.50,591.75,591.00,590.25,589.50,588.75,588.00,587.25,586.50,585.75,585.00,584.25,583.50,-
"Sat, 05 May 2018 03:04:52 GMT",Prior Settlement (USD per tonne),25.0,592.75,593.00,593.75,594.25,594.50,597.75,604.50,608.25,610.50,611.50,614.75,614.00,613.25,612.50,611.75,611.00,610.25,609.75,609.00,608.25,607.75,607.00,606.25,605.75,605.00,604.25,603.75,603.00,602.25,601.75,601.00,600.25,599.75,599.00,598.25,597.50,596.75,596.00,595.25,594.50,593.75,593.00,592.25,591.50,590.75,590.00,589.25,588.50,587.75,587.00,586.25,585.50,584.75,584.00,583.25,582.50,581.75,581.00,580.25,579.50,-
"Mon, 07 May 2018 02:20:24 GMT",Prior Settlement (USD per tonne),25.0,595.00,593.25,593.75,594.00,594.75,599.50,606.50,609.00,611.50,612.50,613.50,613.75,613.75,613.00,612.25,611.50,611.00,610.25,609.75,609.00,608.50,608.00,607.25,606.50,606.00,605.50,604.75,604.25,603.50,603.00,602.25,601.75,601.00,600.25,599.50,598.75,598.00,597.25,596.50,595.75,595.00,594.25,593.50,592.75,592.00,591.25,590.50,589.75,589.00,588.25,587.50,586.75,586.00,585.25,584.50,583.75,583.00,582.25,581.50,580.75,-
