Date,WaermemengeInnenstadt,WaermemengeMHKW,GTWaermeleistung,WaermeleistungKessel4,WaermeleistungKessel5,WaermeleistungKessel6,GaspreisGT,GaspreisKessel,Spotpreis,CO2Preis,Aussentemperatur,Waermeeinspeisung,TempVorlauf,TempRuecklauf,MHKWTempVorlauf,MHKWTempRuecklauf
5/1/202005:00:00 am,2.6,7.5,0,0,0,2.7,19.75,19.179,29.88,24.86,6.1,10.1,99.22,72.74,98.27,65
5/1/202006:00:00 am,2.6,9.2,0,0,0,2.9,19.75,19.179,30.38,24.86,6.2,11.8,97.92,72.44,98.88,64.85
5/1/202007:00:00 am,2.4,9.5,0,0,0,2.7,19.75,19.179,31.15,24.86,5.2,11.9,101,76.26,99.79,65.815
5/1/202008:00:00 am,3.4,9.8,0,0,0,3.4,19.75,19.179,32.09,24.86,4.2,13.2,101.39,74.31,101.26,64.7
5/1/202009:00:00 am,3.2,9.7,0,0,0,3.1,19.75,19.179,34.27,24.86,4.4,12.9,102.3,75.09,101.16,65.31
5/1/202010:00:00 am,2.5,9.5,0,0,0,2.3,19.75,19.179,37.53,24.86,5.6,12,101.87,77.13,99.79,65.87
5/1/202011:00:00 am,2.5,9.2,0,0,0,2.6,19.75,19.179,38.99,24.86,6.4,11.7,99.78,77.04,99.29,66.47
5/1/202012:00:00 pm,2.7,8.8,0,0,0,2.8,19.75,19.179,38.15,24.86,6.8,11.5,99.83,75.91,98.68,66.12
5/1/202001:00:00 pm,2.2,8.6,0,0,0,2.4,19.75,19.179,35.37,24.86,7.3,10.8,98.61,75.26,97.51,65.97
5/1/202002:00:00 pm,2.2,8.5,0,0,0,2.2,19.75,19.179,34.44,24.86,7.4,10.7,100.22,75.3,97.26,65.76
5/1/202003:00:00 pm,2.8,8.5,0,0,0,2.5,19.75,19.179,36.1,24.86,7.7,11.3,99.83,74.52,97.51,65.56
5/1/202004:00:00 pm,2.2,8.5,0,0,0,2.3,19.75,19.179,40.59,24.86,7.7,10.7,98.13,74.83,96.91,65.36
5/1/202005:00:00 pm,2.1,8.7,0,0,0,2.3,19.75,19.179,44.68,24.86,7.2,10.8,98.7,75.61,98.02,65.46
5/1/202006:00:00 pm,2.6,8.6,0,0,0,2.5,19.75,19.179,46.16,24.86,6.2,11.2,99.7,74.74,97.26,65.31
5/1/202007:00:00 pm,3.3,8.9,0,0,0,3.1,19.75,19.179,44.62,24.86,5.5,12.2,100.91,75.3,99.54,65.46
5/1/202008:00:00 pm,3.3,9.4,0,0,0,3,19.75,19.179,39.5,24.86,4.3,12.7,102.82,75.52,100.75,65.46
5/1/202009:00:00 pm,2.6,9.5,0,0,0,2.6,19.75,19.179,35.76,24.86,3.6,12.1,102.6,75.17,109.92,65.36
5/1/202010:00:00 pm,2.3,9.9,0,0,0,2.4,19.75,19.179,36.49,24.86,2.7,12.2,103.6,78.08,102.58,66.27
5/1/202011:00:00 pm,3,8.2,0,0,0,3.1,19.75,19.179,30.49,24.86,2.7,11.2,104.47,75.04,102.17,65.485
6/1/202012:00:00 am,3.1,7.2,0,0,0,3.1,19.75,19.179,29.16,24.13,2,10.3,104.9,72.92,102.02,65.51
6/1/202001:00:00 am,3.2,7,0,0,0,3.2,19.75,19.179,29,24.13,1.8,10.2,105.3,72.66,102.22,66.83
6/1/202002:00:00 am,2.7,8.8,0,0,0,2.9,19.75,19.179,29.08,24.13,1.4,11.5,105.3,72.79,103.59,66.12
6/1/202003:00:00 am,2.9,9.3,0,0,0,3,19.75,19.179,27.72,24.13,1.2,12.2,106.55,75.09,104.5,65.36
6/1/202004:00:00 am,3.1,9.7,0,0,0,3.1,19.75,19.179,27.03,24.13,0.7,12.8,106.51,74.09,104.96,64.8
6/1/202005:00:00 am,3.5,10.1,0,0,0,3.6,19.75,19.179,28.98,24.13,0.7,13.6,106.16,74.52,105.56,66.12
6/1/202006:00:00 am,4,10.8,0,0,0,4,19.75,19.179,33.18,24.13,0.5,14.8,105.77,76.78,105.72,64.8
6/1/202007:00:00 am,3.9,10.9,0,0,0,3.9,19.75,19.179,43.13,24.13,0.2,14.8,105.43,73.44,105.82,65.46
6/1/202008:00:00 am,5.4,10.8,0,0.8,0,3.9,19.75,19.179,44.52,24.13,0.1,16.2,104.99,72.48,105.87,66.12
6/1/202009:00:00 am,5,11,0,0.7,0,4.3,19.75,19.179,44.96,24.13,0,16,107.03,74.09,105.97,66.57
6/1/202010:00:00 am,4.9,11.1,0,0.8,0,4.1,19.75,19.179,44,24.13,0.2,16,106.94,72.44,106.48,66.37
6/1/202011:00:00 am,3,10.7,0,0.8,0,2,19.75,19.179,42.46,24.13,1.5,13.7,103.04,73.87,105.31,66.98
6/1/202012:00:00 pm,3.1,10,0,0,0,3.1,19.75,19.179,41.3,24.13,3.9,13.1,103.95,76.69,102.78,67.08
6/1/202001:00:00 pm,3.2,9.6,0,0,0,3.3,19.75,19.179,40.51,24.13,3.3,12.8,102.47,76.69,101.92,67.13
6/1/202002:00:00 pm,3.6,9.7,0,0,0,3.6,19.75,19.179,41.22,24.13,3.5,13.3,103.39,76.56,102.32,67.23
6/1/202003:00:00 pm,4,9.7,0,0,0,3.8,19.75,19.179,43.28,24.13,4.2,13.7,102.82,75.74,101.77,66.37
6/1/202004:00:00 pm,3.8,9.7,0,0,0,3.7,19.75,19.179,43.68,24.13,3.6,13.5,102.43,76.48,101.46,66.37
6/1/202005:00:00 pm,3.9,9.8,0,0.6,0,3.8,19.75,19.179,47.9,24.13,2.7,13.7,103.95,75.13,102.48,66.12
