subinstances
KG13709
KG5492
KG42788
KG51920
KG3140
KG3614
KG30466
KG45153
KG38371
KG51297
KG6474
KG14433
KG27519
KG22803
KG24779
KG303
KG47361
KG5001
KG1932
KG43203
KG3538
KG3808
KG16495
KG45183
KG10055
KG23418
KG20625
KG1641
KG4592
KG8449
KG5274
KG51155
KG50577
KG42997
KG48560
KG31323
KG27962
KG32478
KG20360
KG39845
KG51763
KG1935
KG43216
KG15076
KG24528
KG45473
KG40469
KG5900
KG48067
KG26052
KG29498
KG379
KG35667
KG39536
KG45724
KG5168
KG6332
KG25126
KG49312
KG14150
KG7062
KG10352
KG2662
KG37838
KG19878
KG14703
KG46556
KG8124
KG7227
KG47801
KG46102
KG4249
KG35998
KG2807
KG13193
KG6670
KG44049
KG44122
KG29396
KG5769
KG3029
KG5654
KG21188
KG2695
KG3057
KG42888
KG44227
KG24430
KG28804
KG43896
KG26104
KG40768
KG46891
KG41522
KG14206
KG4243
KG4999
KG21491
KG6785
KG33629
KG18757
KG28009
KG6100
KG50655
KG31216
KG47803
KG10102
KG27567
KG1062
KG50978
KG6425
KG3340
KG38660
KG35398
KG5882
KG906
KG100
KG37155
KG585
KG43518
KG51966
KG5369
KG2516
KG7223
KG26708
KG11830
KG32
KG48523
KG20959
KG33154
KG33205
KG1658
KG47799
KG17815
KG29093
KG35637
KG7387
KG41175
KG13920
KG49517
KG8209
KG3595
KG5318
KG24619
KG6441
KG6945
KG38159
KG784
KG17860
KG2973
KG48602
KG32381
KG36176
KG3804
KG24783
KG23554
KG50048
KG14413
KG44374
KG309
KG41941
KG4106
KG691
KG18988
KG18918
KG5038
KG10046
KG1176
KG41238
KG1698
KG3167
KG29323
KG38074
KG6561
KG33981
KG4197
KG26022
KG44002
KG51019
KG5726
KG3358
KG49849
KG23055
KG5449
KG7458
KG21234
KG391
KG5863
KG35865
KG27370
KG11285
KG2041
KG2518
KG40846
KG46886
KG3278
KG34574
KG18226
KG6964
KG46360
KG47780
KG4860
KG37246
KG7181
KG15485
KG45670
KG45185
KG46413
KG38562
KG22379
KG7025
KG5410
KG43950
KG212
KG4454
KG38041
KG8456
KG10558
KG19025
KG13105
KG31047
KG25050
KG3084
KG48172
KG34873
KG44251
KG4305
KG40439
KG40402
KG43405
KG29063
KG43141
KG7463
KG6556
KG35282
KG44330
KG32745
KG41602
KG19451
KG2120
KG41183
KG3423
KG45143
KG8549
KG28242
KG43365
KG2333
KG6232
KG47129
KG26621
KG51277
KG43948
KG18428
KG41735
KG5451
KG27546
KG18734
KG42801
KG40658
KG18749
KG51930
KG25164
KG11609
KG20211
KG23698
KG44060
KG33061
KG1036
KG29119
KG22794
KG51045
KG18744
KG36509
KG454
KG5785
KG27982
KG4516
KG38199
KG25078
KG44362
KG2414
KG577
KG40014
KG31878
KG2596
KG5057
KG2944
KG3363
KG31131
KG19588
KG40808
KG31842
KG5895
KG1491
KG15600
KG2322
KG2652
KG40405
KG3526
KG4608
KG48327
KG40428
KG20638
KG38157
KG37607
KG34155
KG3172
KG23914
KG18119
KG51134
KG43833
KG23256
KG22311
KG18537
KG1050
KG3357
KG35652
KG28032
KG45357
KG33548
KG42226
KG51430
KG43660
KG26763
KG11451
KG22833
KG314
KG9079
KG23955
KG6578
KG15278
KG43102
KG34793
KG18677
KG14620
KG43939
KG23450
KG43551
KG39035
KG28436
KG6633
KG26406
KG1622
KG28070
KG43144
KG20185
KG124
KG3960
KG23576
KG38384
KG24164
KG47049
KG22875
KG8346
KG6174
KG47813
KG1370
KG6789
KG6565
KG42576
KG387
KG2893
KG50040
KG4
KG14850
KG47603
KG2801
KG30211
KG15345
KG3968
KG17955
KG4005
KG37481
KG5970
KG557
KG18772
KG42502
KG26063
KG48137
KG40580
KG15482
KG49619
KG5904
KG39850
KG21736
KG2340
KG24261
KG5563
KG6337
KG35755
KG18698
KG50902
KG31839
KG35064
KG44051
KG42225
KG50942
KG44560
KG31806
KG32097
KG1673
KG41438
KG49341
KG38463
KG29587
KG390
KG16353
KG43949
KG31485
KG18675
KG23799
KG3681
KG50319
KG17814
KG47272
KG27466
KG5666
KG5005
KG15849
KG7058
KG42433
KG43420
KG23072
KG48531
KG40959
KG7262
KG18057
KG22061
KG8370
KG15466
KG4469
KG6576
KG42994
KG466
KG29942
KG42436
KG47704
KG21602
KG21578
KG3060
KG47654
KG37423
KG35822
KG1336
KG29467
KG4447
KG164
KG34920
KG8553
KG48086
KG20837
KG37473
KG38621
KG42985
KG30926
KG4527
KG37455
KG7499
KG36454
KG5603
KG4302
KG42892
KG6161
KG36657
KG3452
KG39670
KG49234
KG15217
KG19423
KG43125
KG37174
KG25506
KG273
KG15667
KG45958
KG3046
KG15484
KG13934
KG43226
KG14927
KG21483
KG749
KG4650
KG22341
KG4754
KG50816
KG5520
KG686
KG1933
KG6949
KG37652
KG41204
KG1194
KG33638
KG12181
KG7623
KG5669
KG3799
KG42043
KG39360
KG44250
KG30916
KG38760
KG42522
KG18595
KG13796
KG3365
KG33949
KG39363
KG5476
KG5402
KG33663
KG24862
KG17549
KG27284
KG43924
KG13465
KG6512
KG48385
KG3091
KG46282
KG7380
KG41528
KG39015
KG2421
KG194
KG566
KG43684
KG2236
KG26073
KG12410
KG43750
KG34752
KG8966
KG27769
KG23405
KG16164
KG40955
KG6786
KG10966
KG39953
KG13199
KG43066
KG14043
KG23699
KG1067
KG36444
KG3751
KG29586
KG50465
KG20810
KG42864
KG50075
KG1604
KG33091
KG33373
KG35772
KG41409
KG35364
KG21462
KG207
KG2631
KG28040
KG24224
KG19411
KG8444
KG41571
KG1783
KG6833
KG12270
KG3893
KG15584
KG48131
KG5065
KG8464
KG6600
KG19009
KG41137
KG4345
KG5487
KG15203
KG48537
KG2668
KG43880
KG14489
KG47789
KG37020
KG20545
KG51065
KG42341
KG50673
KG45413
KG47606
KG2686
KG18375
KG28020
KG5306
KG3756
KG43936
KG35380
KG42122
KG1496
KG25540
KG35570
KG93
KG34283
KG45955
KG27423
KG7064
KG39681
KG33052
KG4093
KG33965
KG42859
KG36341
KG13194
KG34864
KG858
KG11465
KG37599
KG39118
KG51743
KG43945
KG11456
KG49734
KG306
KG3343
KG38004
KG41637
KG25277
KG12118
KG42198
KG21481
KG16443
KG33937
KG11700
KG22826
KG23358
KG37672
KG2669
KG12024
KG15305
KG40994
KG33400
KG19835
KG24282
KG37165
KG2404
KG1015
KG31864
KG14727
KG45638
KG674
KG7073
KG42991
KG16113
KG31263
KG5733
KG23742
KG12031
KG18516
KG5868
KG45187
KG46898
KG26873
KG840
KG7335
KG32735
KG30147
KG2463
KG19895
KG16808
KG2144
KG33615
KG32557
KG30494
KG1251
KG23583
KG48630
KG47349
KG45293
KG14394
KG10602
KG1390
KG21487
KG15432
KG41436
KG19944
KG33753
KG10828
KG14704
KG5160
KG16137
KG31942
KG7045
KG23778
KG13068
KG26079
KG46210
KG46677
KG16360
KG1220
KG12131
KG652
KG6882
KG51424
KG30771
KG14323
KG43532
KG5727
KG6641
KG2589
KG48244
KG28231
KG27946
KG712
KG18997
KG3709
KG24215
KG3879
KG5277
KG50713
KG31172
KG5998
KG2551
KG6846
KG2046
KG36739
KG3825
KG29952
KG35069
KG11910
KG2213
KG30066
KG5419
KG2786
KG2578
KG34273
KG3048
KG17856
KG38354
KG28442
KG13803
KG24000
KG44434
KG7444
KG85
KG593
KG7187
KG6265
KG12086
KG30093
KG11046
KG44320
KG1134
KG15404
KG43818
KG2335
KG40499
KG44429
KG19511
KG20532
KG709
KG2019
KG50581
KG44575
KG6858
KG13717
KG661
KG5366
KG51071
KG48962
KG1815
KG41466
KG27544
KG44014
KG5473
KG7287
KG36713
KG5510
KG3858
KG43089
KG3492
KG6187
KG47953
KG43519
KG49640
KG2293
KG31837
KG20824
KG2348
KG3985
KG51736
KG33959
KG25656
KG29112
KG44353
KG11148
KG50203
KG36672
KG22481
KG12144
KG40105
KG7109
KG40794
KG13231
KG4159
KG1460
KG47957
KG18437
KG49467
KG39480
KG28825
KG2426
KG4615
KG15443
KG2688
KG51089
KG3350
KG1432
