annual_emission,ccs_annual_emission,ccs_annual_emission_h,ccs_annual_emission_m,ccs_annual_emission_l,beccs_annual_emission_h,beccs_annual_emission_m,beccs_annual_emission_l,be_annual_emission_h,be_annual_emission_m,be_annual_emission_l
15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052
15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,14.38271573,14.71281741,15.29820693
16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,13.48592501,14.23666909,15.27161309
16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,13.04738491,13.92149299,15.25342244
16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,12.04960435,13.58951154,15.22340707
16.69485028,16.59613484,16.57493207,16.54293287,16.57145464,16.57493207,16.54293287,16.57091869,11.58454046,13.37959957,15.1710014
16.7617977,16.55900133,16.53875525,16.50875802,16.53442991,16.53875525,16.50875802,16.53375492,11.16347051,13.40652297,15.17000766
16.78756986,16.58177204,16.54106738,16.52251072,16.54448652,16.54106738,16.52251072,16.54349437,11.03517333,13.40185773,15.15527297
16.80153603,16.579397,16.52736214,16.50963758,16.5289672,16.52736214,16.50963758,16.52576679,11.01010193,13.43149461,15.16643654
16.75362656,16.5283462,16.47297939,16.45648342,16.47805934,16.47297939,16.45648342,16.47466581,11.17644069,13.50257541,15.18623391
16.69759905,16.46405508,16.40968651,16.39315661,16.41383333,16.40968651,16.39315661,16.40832994,11.40650854,13.59360145,15.22104499
16.66722788,16.4132556,16.27903025,16.33288529,16.35583148,16.27903025,16.33288529,16.34653666,11.61783159,13.66399152,15.26869267
16.6493732,16.39839846,16.21079956,16.30139232,16.32490097,16.21079956,16.30139232,16.31501083,11.80956295,13.76900423,15.32881006
16.65296995,16.38807146,16.08969351,16.276901,16.31465297,16.08969351,16.276901,16.30303082,11.91891133,13.84230835,15.37785442
16.6332687,16.37269671,15.85371986,16.21788443,16.25741856,15.85371986,16.21788443,16.24438357,12.10604292,13.94064931,15.43369593
16.64308833,16.39112884,15.65379684,16.18296328,16.26521645,15.65379684,16.18296328,16.25191333,12.30768392,14.14080782,15.54022976
16.67783018,16.39543228,15.37857198,16.05604319,16.19900833,15.37857198,16.05604319,16.1783065,12.39230064,14.22664744,15.61200108
16.7236453,16.43270834,15.00469039,16.03600582,16.20021813,15.00469039,16.03600582,16.17682133,12.41383871,14.29099009,15.67120002
16.78066535,16.47312168,14.52670887,15.85843141,16.08939923,14.45575983,15.83067652,16.05965952,12.38777235,14.33290754,15.72212206
16.86097373,16.54283435,14.20507801,15.81425406,16.15916555,14.07847937,15.77206509,16.12969427,12.35556903,14.40354414,15.79749258
16.9310589,16.61090952,13.96001387,15.76986006,16.20145954,13.79992756,15.70875477,16.16803856,12.38960358,14.54791204,15.89777308
16.98416546,16.66038393,13.64793387,15.61137657,16.18673154,13.43439899,15.51224438,16.14978626,12.41460017,14.63222952,15.96839711
17.02417052,16.71424135,13.44231127,15.48208451,16.19551264,13.20363564,15.36157888,16.15732012,12.54218398,14.78998247,16.07162953
17.1003565,16.78150628,13.33028395,15.42382418,16.26277596,13.07632695,15.28590805,16.22309823,12.59325384,14.8366446,16.13376934
17.18493093,16.86354536,13.16401465,15.33654173,16.31842362,12.88271992,15.17804629,16.27820992,12.62967567,14.92168602,16.21824617
17.25960861,16.93275375,12.88357298,15.14886179,16.31428626,12.55745089,14.95642383,16.27042307,12.63064517,14.95019163,16.27241832
17.35039391,17.01305011,12.73176711,15.04306031,16.34316761,12.38059363,14.83233549,16.29613268,12.63298127,14.98678226,16.33718087
17.41308864,17.09026825,12.40897423,14.7936248,16.30755284,12.01765122,14.53894546,16.25621245,12.65448373,15.07839996,16.41667035
17.48777017,17.16999478,12.17268871,14.60860401,16.32345391,11.74610145,14.32140798,16.26950189,12.72899429,15.15513528,16.49028315
17.59562749,17.27495253,11.73432524,14.23704886,16.29810822,11.24059233,13.8995589,16.23492342,12.75337408,15.2173341,16.5756704
17.70677742,17.38669595,11.4263115,14.01573226,16.32373476,10.89309953,13.63214126,16.25638821,12.77887367,15.26726948,16.65015309
17.81184485,17.49161118,11.0970148,13.78013149,16.3186704,10.50886676,13.35303248,16.24191864,12.78493669,15.35798409,16.74253134
17.92521946,17.57129551,10.80473528,13.56003595,16.29617592,10.1787204,13.09037074,16.21119477,12.95752064,15.39137555,16.81501759
18.02817087,17.63988377,10.28866114,13.15470404,16.27314549,9.58575576,12.62302581,16.17852,12.9810167,15.38562408,16.86194171
18.12350094,17.72460356,10.13638257,13.08680653,16.30234868,9.412900264,12.53381935,16.20432956,13.16139242,15.4214273,16.92580225
18.21070676,17.79135979,9.675860312,12.78,16.23,8.89,12.17,16.12,13.26,15.49,17
