year,PC_avoid_cost_no,PC_avoid_cost_low,PC_avoid_cost_middle,PC_avoid_cost_high,NGCC_avoid_cost_no,NGCC_avoid_cost_low,NGCC_avoid_cost_middle,NGCC_avoid_cost_high
2016,37.65935657,16.34593964,16.01811513,15.69029061,27.65278087,2.316774337,1.982624192,1.648474048
2017,39.4936788,16.86896381,16.21331478,15.55766575,32.5307781,5.858170988,5.189870699,4.521570409
2018,40.64360934,16.70759629,15.72412274,14.74064919,35.58877841,7.579570721,6.577120286,5.574669852
2019,40.95069061,15.7033795,14.39208144,13.08078338,36.40539699,7.059588714,5.722988134,4.386387555
2020,41.29988065,14.74127147,13.1021489,11.46302632,37.33399503,6.651586175,4.980835451,3.310084727
2021,41.42979795,13.55989071,11.59294362,9.62599653,37.67948298,5.660473548,3.655572679,1.65067181
2022,41.98664794,12.80544264,10.51067104,8.215899429,39.16030934,5.804699328,3.465648315,1.126597301
2023,42.54043728,12.04793393,9.425337804,6.802741682,40.63299654,5.940785955,3.267584797,0.594383638
2024,42.88590372,11.0821023,8.131681661,5.181261023,41.55169244,5.52288127,2.515529967,-0.491821337
2025,42.60304244,9.48794296,6.209697807,2.931452654,40.79948189,3.434070146,0.092568698,-3.24893275
2026,43.0478197,9.801588538,6.490560465,3.179532392,41.98227421,4.082222229,0.607060723,-2.868100783
2027,43.23428716,9.856924315,6.513113321,3.169302327,42.4781455,4.043453292,0.434631728,-3.174189836
2028,43.49523774,9.986743211,6.610149297,3.233555383,43.17208911,4.202756671,0.460275049,-3.282206573
2029,43.68442331,10.04479711,6.635420273,3.226043438,43.67518868,4.171216007,0.295074327,-3.581067352
2030,43.87849267,10.10773478,6.665575025,3.223415271,44.19127563,4.152662729,0.142860991,-3.866940747
2031,43.99950426,10.09761469,6.622672014,3.147729339,44.51308071,3.93982757,-0.203634225,-4.347096021
2032,44.40171973,10.36869848,6.860972889,3.353247294,45.58268884,4.474795473,0.197673619,-4.079448234
2033,44.85194428,10.68779135,7.147282836,3.606774321,46.77996709,5.137433485,0.726651574,-3.684130337
2034,45.30610237,11.01081776,7.437526323,3.864234887,47.98770576,5.810531926,1.266089956,-3.278352013
2035,45.67546837,11.24905208,7.642977723,4.036903367,48.96995757,6.258143502,1.580041475,-3.098060552
2036,45.81149592,10.86055972,7.123355386,3.386151053,49.33169444,6.352560262,1.607628205,-3.137303851
2037,46.01367544,10.93160926,7.161622433,3.391635606,49.86934868,6.622894386,1.8111323,-3.000629785
2038,46.03696729,10.82377114,7.02100182,3.218232499,49.93128852,6.417514107,1.538921993,-3.339670121
2039,46.07570603,10.7313799,6.895828085,3.06027627,50.0343061,6.253211576,1.307789433,-3.63763271
2040,46.24642828,10.77097217,6.902637864,3.034303555,50.4883063,6.43989166,1.427639488,-3.584612684
2041,46.48519193,10.87860584,6.97748904,3.076372236,51.1232484,6.80751364,1.728431439,-3.350650762
2042,46.76715821,11.02944215,7.095542855,3.161643557,51.8730789,7.290024027,2.144111797,-3.001800433
2043,47.02278304,11.15393701,7.187255214,3.220573422,52.5528598,7.702484807,2.489742548,-2.72299971
2044,47.2363875,11.23641149,7.236947205,3.237482919,53.12089629,8.003201185,2.723628897,-2.55594339
2045,47.46042247,11.72270641,7.788807117,3.854907819,53.71667055,8.331655327,2.98525301,-2.361149306
2046,47.81606528,12.07834922,8.144449926,4.210550629,54.66242839,9.010093055,3.596860709,-1.816371637
2047,47.54512617,11.80741011,7.87351081,3.939611513,53.94192235,8.022266894,2.542204519,-2.937857856
2048,47.33368736,11.5959713,7.662072006,3.728172708,53.37964497,7.192669396,1.645776992,-3.901115411
2049,47.3565925,11.61887644,7.68497714,3.751077842,53.44055639,6.986260704,1.372538272,-4.241184161
2050,47.55528045,11.81756439,7.883665088,3.94976579,53.96892553,7.247309729,1.566757268,-4.113795194
