Date,Aussentemperatur (degC),Waermeeinspeisung (MW),Temp Vorlauf (degC),Temp Ruecklauf (degC),MHKW Temp Vorlauf (degC),MHKW Temp Ruecklauf (degC),Waermemenge Innenstadt (MW),Waermemenge MHKW (MW),GT Waermeleistung (MW),Waermeleistung Kessel4 (MW),Waermeleistung Kessel5 (MW),Waermeleistung Kessel6 (MW),Gaspreis GT (EUR/MWh),Gaspreis Kessel (EUR/MWh),Spotpreis (EUR/MWh),CO2 Preis (EUR/t),Kessel4Active,Kessel5Active,Kessel6Active,GTActive,GT Wirkleistung (MW),Gasbezug Kessel4 (MWh),Gasbezug Kessel5 (MWh),Gasbezug Kessel6 (MWh),Gasverbrauch GT (MWh),date,Holiday,Vacation
01/01/2020 08:00,15.8,2.4,90.67,75.61,82.17,67.28,1.4,1.0,0.0,1.2,0.0,0.0,19.75,19.179,10.96,20.89,1.0,0.0,0.0,0.0,0.00,0.86,0.08,5.20,0.03,01/06/2020,0,0
01/01/2020 09:00,17.5,1.7,86.24,75.09,79.13,67.28,1.1,0.6,1.0,1.3,0.0,0.0,19.75,19.179,9.17,20.89,1.0,0.0,0.0,0.0,0.00,0.86,0.43,5.55,-0.16,01/06/2020,0,0
01/01/2020 10:00,18.5,1.7,87.07,74.61,79.03,66.52,1.1,0.6,1.0,1.1,0.0,0.0,19.75,19.179,4.01,20.89,1.0,0.0,0.0,0.0,0.00,0.56,0.00,5.56,-0.09,01/06/2020,0,0
01/01/2020 11:00,19.8,1.4,85.50,77.21,75.18,67.51,0.9,0.5,0.0,0.9,0.0,0.0,19.75,19.179,1.71,20.89,1.0,0.0,0.0,0.0,1.00,0.74,0.26,5.06,-0.40,01/06/2020,0,0
01/01/2020 12:00,21.4,1.4,84.51,76.13,76.95,67.64,0.8,0.6,0.0,0.8,0.0,0.0,19.75,19.179,3.04,20.89,1.0,0.0,0.0,0.0,1.00,0.99,0.52,3.05,0.05,01/06/2020,0,0
01/01/2020 13:00,23.0,1.5,84.85,76.65,77.61,67.38,0.8,0.7,0.0,0.8,0.0,0.0,19.75,19.179,-20.51,20.89,1.0,0.0,0.0,0.0,0.00,0.00,0.00,4.12,0.00,01/06/2020,0,0
01/01/2020 14:00,24.2,1.2,85.29,76.39,79.94,67.74,0.7,0.5,0.0,0.8,0.0,0.0,19.75,19.179,-48.17,20.89,1.0,0.0,0.0,0.0,0.00,0.05,0.00,4.50,-0.07,01/06/2020,0,0
01/01/2020 15:00,25.6,1.2,83.81,75.52,77.51,66.57,0.7,0.5,0.0,0.9,0.0,0.0,19.75,19.179,-15.47,20.89,1.0,0.0,0.0,0.0,0.00,0.15,0.00,4.46,-0.03,01/06/2020,0,0
01/01/2020 16:00,27.1,1.2,86.11,77.52,79.03,67.84,0.7,0.5,0.0,0.8,0.0,0.0,19.75,19.179,0.47,20.89,1.0,0.0,0.0,0.0,0.00,0.00,0.00,4.53,-0.06,01/06/2020,0,0
01/01/2020 17:00,26.8,1.2,84.59,77.69,77.92,68.35,0.6,0.6,0.0,0.8,0.0,0.0,19.75,19.179,11.53,20.89,1.0,0.0,0.0,0.0,0.00,0.00,0.00,4.86,0.11,01/06/2020,0,0
01/01/2020 18:00,26.8,1.2,85.16,78.86,78.22,67.64,0.6,0.6,0.0,0.7,0.0,0.0,19.75,19.179,16.57,20.89,1.0,0.0,0.0,0.0,0.00,0.25,0.17,4.83,-0.27,01/06/2020,0,0
12/01/2020 19:00,25.4,1.3,84.68,77.99,79.23,68.09,0.6,0.7,0.0,0.8,0.0,0.0,19.75,19.179,22,20.89,1.0,0.0,0.0,0.0,0.00,0.27,0.00,4.78,-0.12,01/06/2020,0,0
12/01/2020 20:00,24.8,1.4,85.03,77.34,77.16,66.57,0.6,0.8,0.0,0.7,0.0,0.0,19.75,19.179,23.05,20.89,1.0,0.0,0.0,0.0,0.00,0.00,0.00,4.08,0.00,01/06/2020,0,0
12/01/2020 21:00,23.6,1.4,84.38,77.26,78.68,67.84,0.6,0.8,0.0,0.7,0.0,0.0,19.75,19.179,22.91,20.89,1.0,0.0,0.0,0.0,0.00,0.19,0.00,4.17,-0.12,01/06/2020,0,0
12/01/2020 22:00,20.8,1.3,85.98,78.17,78.73,66.52,0.6,0.7,0.0,0.7,0.0,0.0,19.75,19.179,23.37,20.89,1.0,0.0,0.0,0.0,0.00,0.00,0.00,3.61,0.03,01/06/2020,0,0
12/01/2020 23:00,19.1,1.6,84.24,74.83,78.73,67.13,0.7,0.9,0.0,1.0,0.0,0.0,19.75,19.179,20.9,20.89,1.0,0.0,0.0,0.0,0.00,0.00,0.08,3.52,-0.08,01/06/2020,0,0
13/01/2020 00:00,17.5,1.8,86.68,74.74,81.46,68.30,0.9,0.9,0.0,1.2,0.0,0.0,19.75,19.179,18.08,21.99,1.0,0.0,0.0,0.0,0.00,0.00,0.00,3.84,-0.07,02/06/2020,0,0
13/01/2020 01:00,16.6,1.7,87.46,77.00,80.95,67.89,1.0,0.7,0.0,1.1,0.0,0.0,19.75,19.179,16.33,21.99,1.0,0.0,0.0,0.0,0.00,0.18,0.00,4.16,-0.16,02/06/2020,0,0
13/01/2020 02:00,15.8,1.8,90.32,77.21,82.78,66.57,1.0,0.8,0.0,1.0,0.0,0.0,19.75,19.179,14.99,21.99,1.0,0.0,0.0,0.0,0.00,0.00,0.00,4.15,-0.03,02/06/2020,0,0
13/01/2020 03:00,15.7,2.0,89.45,74.65,81.16,66.73,1.2,0.8,0.0,1.2,0.0,0.0,19.75,19.179,14.65,21.99,1.0,0.0,0.0,0.0,0.00,0.00,0.19,4.21,-0.04,02/06/2020,0,0
13/01/2020 04:00,15.7,2.1,89.28,77.04,81.26,67.49,1.3,0.8,0.0,1.0,0.0,0.0,19.75,19.179,15.92,21.99,1.0,0.0,0.0,0.0,0.00,0.19,0.00,4.30,-0.17,02/06/2020,0,0
13/01/2020 05:00,14.6,2.1,89.37,74.00,85.01,68.75,1.2,0.9,0.0,1.4,0.0,0.0,19.75,19.179,19.96,21.99,1.0,0.0,0.0,0.0,0.00,0.00,0.00,4.33,-0.10,02/06/2020,0,0
13/01/2020 06:00,13.7,2.8,91.67,73.52,85.21,68.65,1.5,1.3,0.0,1.3,0.0,0.0,19.75,19.179,29.37,21.99,1.0,0.0,0.0,0.0,0.00,0.24,0.00,4.28,-0.27,02/06/2020,0,0
13/01/2020 07:00,14.2,3.1,92.84,74.00,84.50,67.49,1.5,1.6,0.0,1.2,0.0,0.0,19.75,19.179,47.66,21.99,1.0,0.0,0.0,0.0,0.00,0.00,0.00,4.28,-0.09,02/06/2020,0,0
13/01/2020 08:00,16.5,2.3,91.10,75.61,82.27,67.89,1.4,0.9,0.0,1.1,0.0,0.0,19.75,19.179,42.29,21.99,1.0,0.0,0.0,0.0,0.00,0.25,0.00,4.37,-0.04,02/06/2020,0,0
13/01/2020 09:00,18.7,1.7,86.76,76.56,77.41,67.49,1.1,0.6,0.0,1.0,0.0,0.0,19.75,19.179,24.1,21.99,1.0,0.0,0.0,0.0,0.00,0.00,0.18,4.31,-0.06,02/06/2020,0,0
13/01/2020 10:00,20.6,1.4,84.16,75.69,77.41,67.28,0.9,0.5,0.0,1.0,0.0,0.0,19.75,19.179,21.86,21.99,1.0,0.0,0.0,0.0,0.00,0.00,0.00,4.22,0.01,02/06/2020,0,0
13/01/2020 11:00,22.6,1.2,85.11,76.04,75.69,67.49,0.8,0.4,0.0,0.9,0.0,0.0,19.75,19.179,21.45,21.99,1.0,0.0,0.0,0.0,0.00,0.17,0.00,3.94,-0.14,02/06/2020,0,0
13/01/2020 12:00,23.9,1.4,84.64,77.95,78.93,67.49,0.7,0.7,0.0,0.8,0.0,0.0,19.75,19.179,20.91,21.99,1.0,0.0,0.0,0.0,0.00,0.00,0.00,3.86,-0.05,02/06/2020,0,0
