BMRS	Business Type	Registered Resource EIC code	BM Unit ID	NGC BM Unit ID	Registered Resource Name	PSR Type	Effective From (Date)	Capacity MW	*	Type (powerplant(station) or generator(unit))	Connected (if generator(unit))	Output1	Output2	Output3	Output4	Output5	Output6	Output7	Output8	Output9	Output10	Output11	Output12	Output13	Output14	Output15	Output16	Output17	Output18	Output19	Output20	Output21	Output22	Output23	Output24	Output25	Output26	Output27	Output28	Output29	Output30	Output31	Output32	Output33	Output34	Output35	Output36	Output37	Output38	Output39	Output40	Output41	Output42	Output43	Output44	Output45	Output46	Output47	Output48	**	outputBMRSUnitToDUKESStation	tMatchType	***	EICStation	ESO W Type Codes - Stations	Display Name - Stations	Used by X BMUs - Stations	Automatic ID - Stations	15 characters	Energy Identification Code - Stations	Function - Stations	EIC Name - Asset Name - Stations	****	EICUnit	ESO W Type Codes - BMUs	Display Name - Units	STATION	Automatic ID - Units	Energy Identification Code - Units	Function - Units	EIC Name - Asset Name - Units	*****	DUKES	Company Name	Station Name	Fuel	Type	Installed Capacity (MW)	Year of commission or year generation began	"Location:
Scotland, Wales, Northern Ireland or English region"	******	outputDUKESToBMRSEIC	outputDUKESToBMRSID	******.1	CapacityDiff	MatchType	MatchYear	MatchGenType	ConfidenceScore	ConfidenceResult	Year	Month	Day	Period	Output
BMRS	Production unit	48WSTN00000STAYA		STAY	STAY	Fossil Gas	30/03/2015 0:00	1828	*	powerplant	None	0	0	0	0	0	0	0	0	0	0	0	8.9	187.4	751.9	1241	1248.4	1282.9	1287.5	1289.5	1289.4	1290.2	1290	1290.1	1288.2	1286.5	1287.2	1286.7	1285.8	1286	1287.8	1289.3	1290.3	1290.1	1289.9	1289	1288.3	1285.7	1284.5	1283.7	1281.9	1248	1239.6	729.1	417.8	419.1	413.7	239.2	213.1	**	Staythorpe C	-4	***	EICStation	ESO W Type Codes - Stations	BOWLW	1	48WSTN0000BOWLW	15	48WSTN0000BOWLWY	Production Unit	Barrow Offshore Wind Farm	****	EICUnit	ESO W Type Codes - BMUs	BABAW-1	BABAW	48W00000BABAW-1	48W00000BABAW-13	Generation Unit	Baillie Wind Farm BABAW-1	*****	DUKES	SSE	Aigas	Hydro	Hydro	20	1962	Scotland	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN0000ABTHBN			ABTHB	Fossil Hard coal	1/01/2013 0:00	1605	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Aberthaw B	-4	***	EICStation	ESO W Type Codes - Stations	BOYNW	1	48WSTN0000BOYNW	15	48WSTN0000BOYNWK	Production Unit	Boyndie Wind Farm	****	EICUnit	ESO W Type Codes - BMUs	BAGE-1	BAGE	48W000000BAGE-1	48W000000BAGE-1L	Generation Unit	Baglan Bay BAGE-1	*****	DUKES	Greencoat Capital	Ainderby	Solar	Solar	4.99	2017	Yorkshire and Humber	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN0000ABTHBN		ABTHB	ABTHB	Fossil Hard coal	1/12/2016 0:00	1590	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Aberthaw B	999	***	EICStation	ESO W Type Codes - Stations	BPGRD	2	48WSTN0000BPGRD	15	48WSTN0000BPGRD2	Production Unit	BP Grangemouth	****	EICUnit	ESO W Type Codes - BMUs	BAGE-2	BAGE	48W000000BAGE-2	48W000000BAGE-2J	Generation Unit	Baglan Bay BAGE-2	*****	DUKES	WPO	Airfield Poddington	Wind (onshore)	Wind (onshore)	8.55	2017	East England	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN0000CNQPSG		CNQPS	CNQPS	Fossil Gas	1/10/2015 0:00	1500	*	powerplant	None	0	0	0	0	0	0	0	0	85.428	96.39	130.914	308.322	397.656	533.358	832.482	1160.208	1022.112	1233.414	1337.112	1335.978	1340.64	1342.152	1339.632	1334.592	1340.262	1341.396	1339.632	1336.734	1340.64	1338.876	1153.782	1153.026	1181.754	1216.656	1222.326	1209.852	1205.694	1209.852	1146.348	864.738	737.226	522.018	381.906	320.418	312.732	237.51	232.092	226.422	**	Connahs Quay	-10	***	EICStation	ESO W Type Codes - Stations	BRDUW	1	48WSTN0000BRDUW	15	48WSTN0000BRDUWV	Production Unit	Braes of Doune	****	EICUnit	ESO W Type Codes - BMUs	BAGTD-1	BAGTD	48W00000BAGTD-1	48W00000BAGTD-1S	Load	Bathgate BAGTD-1	*****	DUKES	WPO	Airies	Wind (onshore)	Wind (onshore)	39.9	2017	Scotland	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN0000DIDCBC		DIDCB	DIDCB	Fossil Gas	22/06/2015 0:00	1490	*	powerplant	None	708	707.4	707.4	707.2	709.6	710.2	710.2	709	710.4	783.5	911.8	1026.4	1274.2	1370.8	1303	1312.2	1355.2	1391.6	1313.2	1302.4	1301.6	1322.2	1309.8	1297.8	1388	1386.6	1386.8	1385	1383.6	1388	1385.2	1382.4	1383.8	1383.2	1383	1382.6	1381.6	1382	1377.6	1374.8	1372.4	1370.2	1369.8	1371.2	1335.2	1366.2	1119.8	763.6	**	Didcot B	-1	***	EICStation	ESO W Type Codes - Stations	BRGG	1	48WSTN00000BRGG	15	48WSTN00000BRGGA	Production Unit	Brigg	****	EICUnit	ESO W Type Codes - BMUs	BARK-1	BARKB	48W000000BARK-1	48W000000BARK-1G	Generation Unit	Barking Power BARK-1	*****	DUKES	Temporis Capital	Allt Fionn	Hydro	Hydro	1.995	2012	Scotland	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN000LITT-DA			LITT-D	Fossil Oil	1/01/2013 0:00	1370	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	None	999	***	EICStation	ESO W Type Codes - Stations	BROUD	1	48WSTN0000BROUD	15	48WSTN0000BROUDP	Consumption Unit	Scunthorpe	****	EICUnit	ESO W Type Codes - BMUs	BARKB2	BARKB	48W000000BARKB2	48W000000BARKB2F	Generation Unit	Barking Power BARKB2	*****	DUKES	SSE	Allt-na-Lairige	Hydro	Hydro	6	1956	Scotland	******	48WSTN00000LAIGM	LAIG	******	99	-8	1	-2	90	0	2021	12	9	48	0
BMRS	Production unit	48WSTN0000GRAINU		GRAIN	GRAIN	Fossil Gas	1/10/2015 0:00	1365	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	Grain CHP *	-3	***	EICStation	ESO W Type Codes - Stations	BRYBW	1	48WSTN0000BRYBW	15	48WSTN0000BRYBW4	Production Unit	Berry Burn Wind Farm	****	EICUnit	ESO W Type Codes - BMUs	BLLA-1	BLLA	48W000000BLLA-1	48W000000BLLA-1K	Generation Unit	Blacklaw BLLA-1	*****	DUKES	Statkraft	Alltwalis	Wind (onshore)	Wind (onshore)	23	2009	Wales	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN00000WYLFC		WYLF	WYLF	Nuclear	1/01/2013 0:00	1340	*	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	**	None	999	***	EICStation	ESO W Type Codes - Stations	BRYP	1	48WSTN00000BRYP	15	48WSTN00000BRYPC	Production Unit	Barry	****	EICUnit	ESO W Type Codes - BMUs	BNAKW-1	BNAKW	48W00000BNAKW-1	48W00000BNAKW-1G	Generation Unit	Ben Aketil BNAKW-1	*****	DUKES	RES Group	Altahullion	Wind (onshore)	Wind (onshore)	26	2003	Northern Ireland	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN0000WBURB5		WBURB	WBURB	Fossil Gas	1/01/2013 0:00	1315	*	powerplant	None	291.22	355.452	361.84	424.618	414.3	244.2	397.18	429.356	429.236	430.774	538.322	678.516	989.96	1051.88	1254.54	1253	1251.44	1255.28	1252.46	1237.5	1247.3	1260.88	1252.72	1246.2	1257.56	1262.58	1270.84	1260.56	1269.04	1270.38	1254.06	1261.52	1248.612	1251.588	1250.29	1240.004	1230.276	1239.34	1220.688	1171.192	1103.322	1102.174	822.96	815.76	786.68	582.52	533.688	516.798	**	West Burton CCGT	-4	***	EICStation	ESO W Type Codes - Stations	BURBW	1	48WSTN0000BURBW	15	48WSTN0000BURBWH	Production Unit	Burbo Wind Farm	****	EICUnit	ESO W Type Codes - BMUs	BOWLW-1	BOWLW	48W00000BOWLW-1	48W00000BOWLW-1K	Generation Unit	Barrow Offshore Wind Farm BOWLW-1	*****	DUKES	RES Group	Altahullion Extension	Wind (onshore)	Wind (onshore)	11.7	2007	Northern Ireland	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
BMRS	Production unit	48WSTN00000SEAB5		SEAB	SEAB	Fossil Gas	1/01/2013 0:00	1258	*	powerplant	None	0	0	0	0	0	0	0	0	0	41.964	335.88	786.66	1069.4	967.02	1086.08	1068.52	883.2	993.42	1029.26	1038.76	1058.36	1085.06	1074.22	1031.36	1114.92	1124	755.818	369.36	369.34	369.44	369.58	368.62	367.82	367.4	366.22	365.82	365.14	364.5	363.92	364.16	176.718	0	0	0	0	0	0	0	**	Seabank	999	***	EICStation	ESO W Type Codes - Stations	CABEU	9	48WSTN0000CABEU	15	48WSTN0000CABEUM	Production Unit	Beauly Cascade	****	EICUnit	ESO W Type Codes - BMUs	BOYNW-1	BOYNW	48W00000BOYNW-1	48W00000BOYNW-1Z	Generation Unit	Boyndie Wind Farm BOYNW-1	*****	DUKES	WPO	Altaveedan	Wind (onshore)	Wind (onshore)	18	2016	Northern Ireland	******	None	None	******	999	999	999	999	3996	0	2021	12	9	48	0
