snap,x,y,h,v,T,r,NOx,NOVOC,CO,SO2,NH3,PM2.5,PM10
1,574744,5942048,28,-999,-999,0.15033297,671,-999,-999,7.89,-999,0.158,0.552
1,562699,5939265,56,0.197,110,0.690988299,689,-999,-999,8.11,-999,0.162,0.567
1,565519,5927790,16,10.4,100,0.501462671,905,-999,-999,-999,-999,22,24.6
1,564358,5939973,55,5.98,100,0.564189584,913,-999,-999,788,-999,-999,-999
1,560755,5925098,13,0.165,145,0.249777376,972,-999,-999,1260,-999,2.87,10.1
1,567027,5927681,32,-999,-999,0.150015029,1097,-999,-999,3.18,-999,0.143,0.501
1,563529,5932445,35,11.9,180,0.225675833,1131,-999,-999,1332,-999,2.85,9.96
1,566485,5933715,30,-999,-999,1.128379167,1249,-999,-999,14.3,-999,0.287,1
1,565720,5921307,43,-999,-999,0.615458174,1301,-999,-999,19.8,-999,0.32,1.12
1,582197,5922059,26,-999,-999,0.249777376,1313,-999,-999,4879,-999,10.7,37.4
1,575472,5947397,38,-999,-999,0.469329779,1367,-999,-999,27.3,-999,0.357,1.25
1,558292,5939442,31,-999,-999,0.700140861,1417,-999,-999,16.7,-999,0.333,1.17
1,577998,5929266,29,-999,-999,0.35007043,1440,-999,-999,16.9,-999,0.339,1.19
1,570553,5931311,120,9.36,135,1.125554684,1544,-999,-999,41.3,-999,0.0238,0.0831
1,575472,5947397,27,-999,-999,0.356824823,1576,-999,-999,3.37,-999,0.0775,0.271
1,574125,5940952,46,-999,-999,0.252313252,1655,-999,-999,19.5,-999,0.39,1.36
1,563529,5932445,35,23.9,180,0.225675833,1854,-999,-999,2457,-999,5.3,18.6
1,562655,5943511,35,-999,-999,0.174807749,1860,-999,-999,5.39,-999,0.243,0.849
1,562655,5943511,35,-999,-999,0.174807749,1860,-999,-999,5.39,-999,0.243,0.849
1,567027,5927681,32,-999,-999,0.400137317,2259,-999,-999,26.6,-999,0.532,1.86
1,561000,5925560,7,-999,-999,0.252313252,2421,-999,-999,-999,-999,-999,-999
1,561049,5925527,14,-999,-999,0.252313252,2421,-999,-999,-999,-999,-999,-999
1,577314,5942884,42,-999,-999,0.602389633,2433,-999,-999,42.8,-999,0.618,2.16
1,572035,5938568,35,-999,-999,0.375090615,2629,-999,-999,30.9,-999,0.619,2.16
