Angola,148,natural_gas,OCGT,2009,8,908175,gas,Luanda_OCGT_Power_Plant_Angola,-8.8148,13.3077,Empresa_Nacional_de_Electricidade__ENE-E.P.
Angola,210,natural_gas,OCGT,1979,38,416230,oil,,,,
Argentina,68,natural_gas,OCGT,1979,38,59535,gas,AES_Central_Dique_Power_Plant_Argentina,-34.8905,-57.9323,AES_Argentina__since_June_1998
Argentina,643,natural_gas,CCGT,1969,48,3564000,gas,AES_Central_Termical_de_Ciclo__Termoandes_CCGT_Power_Plant_Argentina,-24.744,-65.0519,AES_Gener
Argentina,650,coal,subcritical,1969,48,4259089,coal,AES_Central_Thermal_San_Nicolas_Power_Plant_Argentina,-33.3559,-60.1734,AES_Argentina_(since_March_1993)
Argentina,845,natural_gas,CCGT,1969,48,0,gas,AES_Parana__San_Nicolas_CCGT_Power_Plant_Argentina,-33.3549,-60.17176,AES_Argentina
Argentina,555,natural_gas,CCGT,1969,48,222466,gas,Agua_del_Cajon_CCGT_Power_Plant_Argentina,-38.9362,-68.357,Capex_SA
Argentina,159,natural_gas,OCGT,1969,48,161911,gas,CCA_Central_9_de_Julio_Power_Plant_Argentina,-38.0497,-57.5463,unknown
Argentina,34,natural_gas,OCGT,1979,38,76053,gas,CCA_Mar_de_Ajo_Power_Plant_Argentina,-36.7208,-56.694,unknown
Argentina,206,natural_gas,subcritical,1969,48,1043870,gas,CCA_Necochea_Power_Plant_Argentina,-38.5785,-58.7109,unknown
Argentina,50,natural_gas,OCGT,1979,38,128060,gas,CCA_Villa_Gesell_OCGT_Power_Plant_Argentina,-37.2479,-56.9966,unknown
Argentina,786,natural_gas,CCGT,1969,48,0,gas,Central_Puerto_CCGT_Power_Plant_Argentina,-34.5723,-58.381,Group_SADESA__Sociedad_Argentina_de_Energía
Argentina,1019,natural_gas,subcritical,1969,48,0,gas,Central_Puerto_Thermal_Power_Plant_Argentina,-34.5718,-58.3823,group_SADESA__Sociedad_Argentina_de_Energía
