Parameter,Value
PHS,0.531880421
CAES,0.810459366
FES,1.598098215
LA,0.749451087
NaS,0.557043725
ZEBRA,0.752150051
NiCd,0.81327425
Li-ion,0.961349695
VRFB,0.849387149
ZnBr,0.707816023
PSB,0.576743186
SMES,2.629820436
Sc,0.678225384
H2,1.138740196
Powerwall,0.612250866
BlueBattery,208.7904697
Baobab,208.7904697
