Date,Temperature (C),Wind direction (deg),Wind speed (m/s),Humidity (%),Pressure (hPa),UV Index,Cloud Cover (%),Ceiling (m),Dew Point (C),Visibility (m)
05 Jul 2017 12:38:01 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 12:39:10 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 12:43:15 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 12:46:20 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 12:51:03 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 12:52:13 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 12:53:46 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 12:59:41 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:00:48 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:01:58 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:02:04 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:07:29 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:07:36 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:08:58 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:09:04 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:10:35 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:10:40 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:11:31 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:12:30 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:15:11 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:17:19 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:23:44 GMT,27,0.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
05 Jul 2017 13:26:13 GMT,27,180.0,1.11111,83.0,1011.0,0,88.0,5852.0,24.0,16000.0
14 Jul 2017 03:40:15 GMT,30,270.0,2.5,74.0,1011.0,7,88.0,5883.0,25.0,16000.0
14 Jul 2017 03:42:58 GMT,30,270.0,2.5,74.0,1011.0,7,88.0,5883.0,25.0,16000.0
14 Jul 2017 03:43:38 GMT,30,270.0,2.5,74.0,1011.0,7,88.0,5883.0,25.0,16000.0
14 Jul 2017 03:44:26 GMT,30,270.0,2.5,74.0,1011.0,7,88.0,5883.0,25.0,16000.0
14 Jul 2017 03:51:49 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 03:52:36 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 03:54:03 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 03:54:27 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 03:56:11 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 03:57:22 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 03:58:39 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 03:59:29 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 04:01:02 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 04:01:40 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 04:03:07 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 04:04:03 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 04:05:51 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 04:17:42 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 04:21:07 GMT,28,157.5,6.11111,78.0,1011.0,6,88.0,5883.0,24.0,1000.0
14 Jul 2017 06:32:05 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:32:24 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:34:04 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:35:34 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:37:59 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:39:58 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:42:46 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:43:56 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:44:28 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:45:48 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:49:27 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:49:58 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:50:30 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
14 Jul 2017 06:50:42 GMT,25,315.0,1.11111,100.0,1011.0,5,100.0,5486.0,25.0,8000.0
17 Jul 2017 06:46:38 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 06:47:00 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 07:00:14 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 07:00:32 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 07:03:02 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 07:04:16 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 07:05:23 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 07:07:57 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 07:08:20 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 07:13:23 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 07:15:19 GMT,32,180.0,5.55556,58.0,1009.0,6,88.0,9114.0,23.0,16000.0
17 Jul 2017 07:18:21 GMT,31,180.0,4.16667,65.0,1008.0,4,75.0,9144.0,24.0,16000.0
17 Jul 2017 10:32:49 GMT,31,180.0,5.0,54.0,1007.0,0,85.0,9144.0,21.0,16000.0
17 Jul 2017 10:33:26 GMT,31,180.0,5.0,54.0,1007.0,0,85.0,9144.0,21.0,16000.0
17 Jul 2017 10:34:34 GMT,31,180.0,5.0,54.0,1007.0,0,85.0,9144.0,21.0,16000.0
17 Jul 2017 10:38:34 GMT,31,180.0,5.0,54.0,1007.0,0,85.0,9144.0,21.0,16000.0
17 Jul 2017 10:39:12 GMT,31,180.0,5.0,54.0,1007.0,0,85.0,9144.0,21.0,16000.0
17 Jul 2017 10:40:36 GMT,31,180.0,5.0,54.0,1007.0,0,85.0,9144.0,21.0,16000.0
17 Jul 2017 10:41:44 GMT,31,180.0,5.0,54.0,1007.0,0,85.0,9144.0,21.0,16000.0
17 Jul 2017 10:42:09 GMT,31,180.0,5.0,54.0,1007.0,0,85.0,9144.0,21.0,16000.0
