nRun,SumOfSquares,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSANGLE,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSKVVOLT,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_LineMW,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_LineMVR,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_PWBUSANGLE,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_PWBUSKVVOLT,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_LineMW,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_LineMVR,subtype_CaseGroup1_Bus95_Petrofac_PWBUSANGLE,subtype_CaseGroup1_Bus95_Petrofac_PWBUSKVVOLT,subtype_CaseGroup1_Bus95_Petrofac_LineMW,subtype_CaseGroup1_Bus95_Petrofac_LineMVR
31,75297.176933562849,3158.5421836664623,318.71060476479005,37591.307147864674,4965.6268198467988,3188.2815407290082,318.53307599027556,21109.299925346884,1123.6348332104774,3188.5372537955514,318.5315757316165,15.320627369143288,0.85134524715303839
32,75298.208894109368,3158.913300409994,318.68430255263797,37591.302525651714,4965.6133789414298,3188.6568636010761,318.5067736091101,21109.306852793652,1123.6350329936363,3188.9126120474448,318.50527341239331,15.320630265619828,0.85134783066941444
33,75299.736535257849,3159.4647226256384,318.64533734220333,37591.297903439023,4965.5957382211582,3189.2145238136986,318.46780747552225,21109.306852793652,1123.6350329936363,3189.470326248626,318.46630737057541,15.320636136856898,0.8513467972623936
34,75294.161783210671,3157.4840372860817,318.7844825571006,37591.260921870104,4965.6268198467988,3187.2115184698837,318.60695605258189,21109.306852793652,1123.6356330136337,3187.4671287785136,318.60545597693942,15.320627369143288,0.85134919624393957
35,75295.360394298725,3157.9327614149888,318.75226485959018,37591.228566405211,4965.5940582884186,3187.6653682472293,318.57473804602995,21109.310316517469,1123.6360325801115,3187.9210227263052,318.57323768926204,15.320682793660783,0.85134473045023362
36,75298.478961759844,3159.0538675805965,318.6731999437124,37591.223944197074,4965.5654966566417,3188.7991368012667,318.49567123766684,21109.310316517469,1123.6362323633775,3189.0549011179278,318.49417106709689,15.320679897179279,0.85134437983056244
37,75297.086667575903,3158.6169942635538,318.70203099629089,37591.11299965404,4965.5033352958071,3188.3575282158749,318.524503539178,21109.324171415563,1123.636831713281,3188.6132511057276,318.52300330070688,15.320682793660783,0.85133528219802246
38,75299.038290034732,3159.3203972508873,318.65238231460251,37591.108377453005,4965.4823349430389,3189.0688824011218,318.47485369739866,21109.324171415563,1123.636831713281,3189.3246744773246,318.47335357585666,15.320691561390252,0.85133923126581168
39,75294.117359545562,3157.5659391678628,318.77579888374333,37591.085266452123,4965.5167746429142,3187.2946382884743,318.59827301255228,21109.324171415563,1123.6374310633441,3187.5502598342437,318.59677260036528,15.320688586624613,0.85134559777288821
40,75300.436341072869,3159.8425524875365,318.61502660582323,37591.071399854998,4965.449573861295,3189.5969916533049,318.43749768934879,21109.324171415563,1123.6382301970111,3189.8528354063101,318.43599729889354,15.32071488982551,0.85134971294809969
41,75294.117781381821,3157.5970112959999,318.77266046374427,37591.029796201306,4965.4798136634872,3187.3261578238958,318.59513510958362,21109.331101772121,1123.6386297639506,3187.5817840210925,318.59363506176919,15.32070322560566,0.85135297926016795
42,75296.014639422763,3158.2857677269053,318.72396319228193,37591.015925736727,4965.4579734056342,3188.0227042428201,318.54643676509551,21109.327638046605,1123.6388295474476,3188.2783967658229,318.54493647497293,15.32071488982551,0.85135262863879835
43,75293.311605261842,3157.3208075999551,318.79180867271049,37591.006681346887,4965.4739339687731,3187.0468673105211,318.61428405496434,21109.331101772121,1123.6388295474476,3187.3024665002963,318.61278360507646,15.320688586624613,0.85135229647125155
44,75296.540547478115,3158.481810690369,318.70989459401864,37591.002059152393,4965.4436927751658,3188.220985831389,318.53236780206959,21109.331101772121,1123.6390293309616,3188.4766975989282,318.53086754507825,15.320685690142561,0.85135469546054554
45,75301.103791144211,3160.1356039175589,318.5929942761187,37590.974325991403,4965.3899316635298,3189.8934900928271,318.41546507478398,21109.327638046605,1123.6390293309616,3190.1493626810966,318.41396473623553,15.320636136856898,0.85134919624393957
46,75297.329937685936,3158.7884012753343,318.68769760389682,37590.960455537075,4965.4142930340204,3188.5310943635186,318.51017057009852,21109.331101772121,1123.6392291144937,3188.7868355074606,318.50867036538159,15.320641929811906,0.85134661272549172
47,75295.40587182506,3158.1200221645549,318.73428507491059,37590.923478011813,4965.4109332302105,3187.8552192392558,318.55675934238013,21109.327638046605,1123.6394288980434,3188.1108948824076,318.55525938491127,15.320606937248998,0.85134661272549172
48,75293.781716364421,3157.5403650150602,318.77504686134176,37590.918851944756,4965.4210126450525,3187.2690264518956,318.59752227053804,21109.327638046605,1123.6396286816114,3187.5246469706458,318.59602186011887,15.320606937248998,0.85134867953993643
49,75294.143754569945,3157.6787292053218,318.76506318741014,37590.904985378329,4965.4084119687868,3187.4089765270205,318.58753816412644,21109.327638046605,1123.6398284651966,3187.6646105619457,318.58603813419671,15.320586583651368,0.85134834737316001
50,75299.810586611187,3159.7160520715038,318.62138044898347,37590.895741002139,4965.3571722959205,3189.4693119505987,318.44385261732333,21109.327638046605,1123.6400282487996,3189.7251426760663,318.44235256879591,15.320563255313791,0.85135142914518502
51,75295.15035981033,3158.0574615556079,318.73788856104829,37590.872630066609,4965.3832120735287,3187.7920305535963,318.56036325272316,21109.327638046605,1123.6406275997156,3188.0477002750563,318.55886292980534,15.320586583651368,0.85135831240464011
52,75295.244488001583,3158.1065955549948,318.73399299775491,37590.8448930757,4965.3647318151661,3187.8417611869177,318.55646770353809,21109.331101772121,1123.6406275997156,3188.0974362903917,318.55496738979377,15.32055448762104,0.8513581278664899
53,75298.085917175747,3159.1643707318426,318.65843627622348,37590.780178640234,4965.3008918278374,3188.9115763793316,318.4809091846775,21109.331101772121,1123.6398284651966,3189.1673542407225,318.47940904887395,15.320519495157992,0.85134111353499053
54,75294.968139272896,3158.0516137404807,318.73668775380298,37590.770934279382,4965.3210518536735,3187.7862738400304,318.55916242296308,21109.331101772121,1123.6398284651966,3188.0419444598979,318.55766210287311,15.320536952243062,0.85134163023669762
55,75297.331449720397,3158.9043605745651,318.67646569087412,37590.761686042002,4965.2966907119126,3188.6486599072186,318.49893893049762,21109.331101772121,1123.6398284651966,3188.9044136716411,318.49743875223197,15.320525288090948,0.85133991404948894
56,75292.488591740461,3157.1779067023867,318.79789252649482,37590.743197325988,4965.3260915142018,3186.9027431709296,318.62036871356412,21109.331101772121,1123.6402280324207,3187.1583286777318,318.61886824934902,15.320522391624333,0.85134266364058231
57,75296.991972693155,3158.8038785038525,318.68285085151979,37590.724708614507,4965.2714911001558,3188.5471140941622,318.50532445400324,21109.338029224014,1123.6400282487996,3188.8028581393141,318.50382426069916,15.320525288090948,0.85133991404948894
58,75293.800388920121,3157.6642515989843,318.76302747838753,37590.715460382817,4965.2933309478894,3187.3946352997305,318.58550266506279,21109.338029224014,1123.6400282487996,3187.6502687595744,318.58400263992502,15.320510727477759,0.85134094745233213
59,75298.80779061254,3159.463607436875,318.6360857798183,37590.710838206229,4965.2437703327187,3189.2143238988174,318.45855813381183,21109.341492950382,1123.6400282487996,3189.4701319732671,318.45705805064915,15.32055448762104,0.85134111353499053
60,75292.949491472973,3157.4006991068927,318.78054028757435,37590.641501713835,4965.256370800078,3187.1282145638506,318.60301595187576,21109.341492950382,1123.6404278160592,3187.3838237903692,318.60151588550883,15.320539926993975,0.85134867953993643
61,75296.382489515599,3158.6364658911193,318.69323240811383,37590.632257370031,4965.2210906591936,3188.3779540940559,318.51570633108946,21109.344956677036,1123.6410271670818,3188.6336834498211,318.51420647027498,15.320557384090689,0.85135161368260892
62,75293.589180077135,3157.6387759475042,318.76339169878412,37590.623013027362,4965.238730713967,3187.3690140282988,318.58586749798383,21109.348420403981,1123.6410271670818,3187.6246464607307,318.58436711500855,15.320574919480361,0.85135109697787215
63,75293.705222931429,3157.6857926978705,318.75993268464856,37590.613764808179,4965.2320112262778,3187.416576792119,318.58240837624135,21109.348420403981,1123.6412269507914,3187.6722145193812,318.58090800141144,15.320612808481593,0.85135366204935847
64,75298.670674587644,3159.4890971937161,318.63227259293353,37590.57678745345,4965.1664908224639,3189.2403004616917,318.45474565242819,21109.348420403981,1123.6412269507914,3189.4961129664512,318.45324522133961,15.320624472667024,0.85135039573598015
65,75294.537367405224,3158.0123628239699,318.73616858300937,37590.567539239943,4965.1942113741761,3187.7469085827793,318.55864375373386,21109.348420403981,1123.6414267345187,3188.0025787533118,318.55714343486528,15.320612808481593,0.85135091244050409
66,75298.873073943192,3159.5830315563585,318.62499971890281,37590.539806239241,4965.1396116852356,3189.3353616461409,318.44747266333161,21109.3518841312,1123.6418263020271,3189.5911836109235,318.44597260627785,15.320574919480361,0.85134886407706234
67,75291.385909416698,3156.9174793703569,318.81242623363329,37590.50282504323,4965.1849707119127,3186.6397582379068,318.63490337170759,21109.3518841312,1123.6410271670818,3186.895321908657,318.63340287326918,15.320574919480361,0.85133544828012797
68,75293.003546350315,3157.5874686929278,318.76259005710779,37590.341037856313,4965.0724120465729,3187.3175708098152,318.58506715049901,21109.36574194875,1123.643025004978,3187.5732011793639,318.58356676940838,15.320536952243062,0.85132788233397605
69,75298.547275422272,3159.5829629799537,318.62168782551748,37590.331793549456,4965.0127735232436,3189.3356259454058,318.44416169271466,21109.369205677391,1123.643025004978,3189.5914513093762,318.44266128656,15.320601144300603,0.85132548338246017
70,75296.030068611479,3158.7141787739893,318.68183580521077,37590.271697827324,4964.9934540387112,3188.4571398580115,318.50431147512506,21109.376133135538,1123.6436243566932,3188.7128825536724,318.50281092727374,15.320674025933828,0.85132583399823991
71,75298.570573207471,3159.640216667824,318.61616542348497,37590.243964935747,4964.9556536854298,3189.3936771725039,318.43863975866776,21109.37959686503,1123.644024595008,3189.6495105123395,318.43713936552206,15.320653594008421,0.85133063190564007
72,75294.477915711381,3158.1817415515175,318.71870483792304,37590.225476347056,4964.9816938194317,3187.9187563549749,318.54118130319284,21109.37959686503,1123.6446239469897,3188.1744480973389,318.53968102544638,15.320679897179279,0.85133166530284954
73,75296.230182631538,3158.8101665251661,318.67433565207165,37590.225476347056,4964.964054221251,3188.5542854353362,318.49681126972263,21109.383060594817,1123.6446239469897,3188.8100388032058,318.49531109646779,15.320685690142561,0.85133304931795206
74,75297.349600002723,3159.2133064999334,318.64586786343574,37590.220850322949,4964.9514541248072,3188.9619843598607,318.46834284573782,21109.38652432488,1123.6446239469897,3189.2177766668724,318.46684273953008,15.320694457872857,0.8513318498381317
75,75295.375641562394,3158.5135415000827,318.69500189894558,37590.206983885262,4964.9623743953671,3188.2543348833965,318.51747818454055,21109.383060594817,1123.644823731019,3188.5100581523288,318.51597796261404,15.320674025933828,0.85133234808349278
76,75290.832426983165,3156.9151588702825,318.80691432039862,37590.15151428245,4964.9699336140793,3186.6379800527593,318.62939299327991,21109.383060594817,1123.6450235150667,3186.8935492974651,318.62789286481916,15.320671129453153,0.85133544828012797
77,75294.786924845423,3158.3396736807172,318.70631018961546,37590.142269998898,4964.9296150289601,3188.0785945351458,318.52878689472755,21109.383060594817,1123.6450235150667,3188.3343028510903,318.52728664616922,15.320662361729534,0.85133854848240798
78,75298.218227339734,3159.591037013613,318.61743776010724,37590.105288998428,4964.8716571735013,3189.344161462187,318.43991245457795,21109.393451785858,1123.644823731019,3189.5999916866026,318.43841205843387,15.320720682795407,0.85133253261884889
79,75294.957392448632,3158.4446398737041,318.69754010573138,37590.068308016154,4964.8724970787334,3188.1848871557186,318.52001675512417,21109.393451785858,1123.644823731019,3188.4406076395626,318.51851617027768,15.320779003972287,0.85132513276675226
80,75292.219814693133,3157.4707131729983,318.76598409703001,37590.049819470652,4964.8884567008918,3187.1999846433114,318.58846203010501,21109.396915516783,1123.644823731019,3187.4556102975666,318.58696164102025,15.320755675488217,0.85132771625260839
81,75297.369461458831,3159.3273063213946,318.63477020812968,37590.031330929705,4964.8304990856641,3189.0775802000808,318.45724578391838,21109.403845885285,1123.6456228673148,3189.3333873083843,318.45574534693998,15.320796539488788,0.85133098252248007
82,75291.61209400247,3157.2878533501766,318.77778428427968,37589.985105719577,4964.8506581565389,3187.0151730206826,318.60026321499191,21109.40730961705,1123.6462222197229,3187.2707844889687,318.59876279811857,15.320840300040251,0.8513368322983057
83,75292.522121182119,3157.6298783745433,318.75319789121198,37589.957369056094,4964.8246183661649,3187.3611055662145,318.57567617239948,21109.410773349111,1123.6464220038943,3187.6167501024925,318.57417581342253,15.320816971509512,0.85133751508102096
84,75291.975912604204,3157.4443819491994,318.76600302229014,37589.938880537877,4964.8187390593775,3187.1735432976329,318.58848166405647,21109.410773349111,1123.6468215722903,3187.4291690207051,318.58698127492545,15.320793642996531,0.85134421374758551
85,75296.759189331759,3159.1643313873319,318.64469757559795,37589.929636280474,4964.7758999873222,3188.9129215055618,318.46717359776898,21109.410773349111,1123.6472211407579,3189.1687141038055,318.46567313740286,15.320799435981318,0.85134783066941444
86,75290.629852395796,3156.9993098505051,318.79637557495204,37589.874163004664,4964.7910195558125,3186.7235457554843,318.61885504042436,21109.410773349111,1123.6472211407579,3186.9791285928954,318.61735493677054,15.320761546749313,0.85134404766462501
87,75295.239929560194,3158.6729566673807,318.6778688212288,37589.837186013705,4964.7305428292029,3188.4161397187045,318.50034595315242,21109.414237081448,1123.6478204935922,3188.6718852875706,318.49884577157314,15.320755675488217,0.85134524715303839
88,75296.649479325191,3159.1827513899639,318.64178757388083,37589.827941768803,4964.712903677173,3188.9317081260665,318.4642640498684,21109.417700814069,1123.6480202779057,3189.1875048661332,318.46276359635652,15.320787771729284,0.85134541323611612
89,75291.589666965228,3157.3852477925939,318.76797660863173,37589.800205163308,4964.7355821900483,3187.1139586499903,318.59045541473967,21109.417700814069,1123.6478204935922,3187.3695808544853,318.58895537794206,15.320837325260174,0.85134628055911843
90,75296.787954470594,3159.2691336675889,318.63464811179051,37589.763224331102,4964.6692265828233,3189.0191726916382,318.45712479231833,21109.424628280172,1123.6480202779057,3189.2749785869159,318.45562435562499,15.320834428764062,0.85133836394640006
91,75293.364726877582,3158.0503684251771,318.72017911514877,37589.74473586063,4964.6843445796721,3187.7866837431584,318.54265766846902,21109.431555747404,1123.6484198465864,3188.0423724475445,318.5411570302914,15.320913182242316,0.85133923126581168
92,75297.251259421057,3159.4628407447149,318.62013023840638,37589.712377170625,4964.6305875789549,3189.2151574422592,318.44260668097928,21109.435019481451,1123.648220062237,3189.4709836222669,318.44110627848795,15.320898621444805,0.85133149922111284
93,75291.929600910255,3157.5615314514198,318.75393203415979,37589.698510826718,4964.6683866947851,3187.2923969804988,318.57641118181004,21109.435019481451,1123.648220062237,3187.5480387614084,318.57491082110226,15.320913182242316,0.85132943242752246
94,75297.769520669463,3159.6753484386491,318.604433200117,37589.666152156613,4964.5986705984178,3189.4301373540961,318.42690937668738,21109.435019481451,1123.6492189841606,3189.6859845812091,318.42540936806654,15.320892750157439,0.85134437983056244
95,75296.307550862984,3159.1649867545011,318.63991291290006,37589.638419488416,4964.5927900162178,3188.9140622089681,318.46239026808223,21109.441949856209,1123.6500181220188,3189.1698616296881,318.46089017589401,15.320921950037704,0.85134748004910488
96,75294.701946254587,3158.5946597972661,318.67997245145597,37589.629175267961,4964.6003503627735,3188.3373068077353,318.50245078203807,21109.441949856209,1123.6498183375277,3188.593050344371,318.50095023856983,15.320916078745872,0.85134592993912805
97,75290.168345615282,3156.9953396655428,318.79207470842039,37589.578328198149,4964.6146297804617,3186.7199915969727,318.61455537152398,21109.441949856209,1123.6506174755991,3186.9755799371919,318.61305527799198,15.32087231808619,0.85135142914518502
98,75294.03119204934,3158.3780735235459,318.69454238783965,37589.587572412347,4964.5810316806537,3188.1183435330609,318.51702130002036,21109.441949856209,1123.6508172601611,3188.374065865507,318.5155210791699,15.320898621444805,0.85135452937656242
99,75294.150541181749,3158.437295656579,318.68992622977225,37589.555213790001,4964.5633927942263,3188.1782786109343,318.51240500004297,21109.4454135911,1123.6514166139548,3188.4340078643463,318.51090479006399,15.320924846542088,0.85136139419470092
100,75211.039826699547,3119.0054438681814,321.75015947590765,37604.108146004219,4976.9569408099933,3148.2784635572461,321.57292726376306,21109.05398138232,1124.0410612439066,3148.5301545816956,321.57142739501074,15.319752489193892,0.85136862811903213
101,75298.078818073336,3156.7308554543511,318.89951614354698,37595.09775287185,4968.0270875014421,3186.4436516796491,318.72197688818909,21108.970846782395,1123.5970718307044,3186.6991182943593,318.72047582768857,15.319297602198006,0.85116719695907284
102,75303.845145876039,3158.8271455628578,318.75109187688275,37595.051528424578,4967.9523068311137,3188.5636590115505,318.57354968321687,21108.967383086434,1123.5966722711535,3188.8193291802827,318.57204825833213,15.319265507517891,0.85116618211342243
103,75302.353612254825,3158.3012650795213,318.78788992599885,37595.037657218047,4967.9539871627221,3188.0318681258,318.61034819286533,21108.967383086434,1123.5964724914049,3188.2874864825881,318.60884668126806,15.319245076531718,0.85116273164273615
104,75300.252702549711,3157.5564426892956,318.84018971687277,37595.023789891966,4967.9615500681493,3187.2786589654079,318.66264912770271,21108.967383086434,1123.5962727116735,3187.5342053455233,318.66114749287118,15.319247972877589,0.85116548094768996
105,75303.126978560365,3158.614432596301,318.76483001430523,37594.977561612286,4967.9060950039257,3188.3486676490488,318.58728792090602,21108.970846782395,1123.5966722711535,3188.6043190342384,318.58578646364771,15.319309265882767,0.85116994627123843
106,75302.136195317886,3158.2668726525244,318.78899370031513,37594.963694297287,4967.9002124632225,3187.9972204738333,318.61145165977786,21108.977774175175,1123.5966722711535,3188.2528385709015,318.60995050257338,15.319335489619753,0.85117906147219557
107,75298.226545733865,3156.8767184778744,318.88676583187674,37594.940578233429,4967.9220580914271,3186.5914008106647,318.70922619872118,21108.977774175175,1123.5968720509197,3186.8468835093199,318.70772481119872,15.319358817022565,0.85118472620669283
108,75299.513433932749,3157.3583201833435,318.85217055606819,37594.908221184989,4967.8859283212514,3187.0784974001499,318.67462984406717,21108.981237871987,1123.5966722711535,3187.3340289813482,318.673128538036,15.319417135607292,0.85118164473640368
109,75301.15740200138,3157.9508822377279,318.81031859523006,37594.903598750636,4967.8691251330611,3187.6777543253861,318.63277668486342,21108.981237871987,1123.5964724914049,3187.9333438054682,318.63127547742255,15.319437566708196,0.85117906147219557
110,75300.520250612637,3157.7376132382506,318.82497971797261,37594.875860272608,4967.8598819820072,3187.462111953012,318.64743836595812,21108.981237871987,1123.5968720509197,3187.717681495993,318.64593712397908,15.31944923044624,0.85118730947949695
111,75299.588031176027,3157.4279505569825,318.84615689519046,37594.834254513669,4967.8413971153568,3187.1490170095367,318.66861607254054,21108.981237871987,1123.5970718307044,3187.4045570634112,318.66711478067515,15.319463790554995,0.85119367541849644
112,75302.200873887399,3158.3662165749138,318.77996573239335,37594.829632083871,4967.8178713556263,3188.0978778329409,318.60242335027124,21108.984701569083,1123.5970718307044,3188.3535089998027,318.60092221433558,15.319487118055489,0.85119522538985648
113,75301.831212506921,3158.2518058634482,318.78752640579148,37594.801897510995,4967.7993865671342,3187.9822229614692,318.60998405991342,21108.984701569083,1123.5966722711535,3188.2378438451574,318.60848290616616,15.319492989073511,0.85119555752676013
