primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age,,
coal_biomass,supercritical,10,2500,1607.2,45.32,10567340.00,3,,
coal_biomass,supercritical,13,100,64.336,103.3,423009.20,4,,
coal_biomass,supercritical,13,200,128.64,79.29,845808.00,4,,
coal_biomass,supercritical,13,300,192.88,69.74,1268186.00,4,,
coal_biomass,supercritical,13,400,257.12,64.3,1690564.00,4,,
coal_biomass,supercritical,13,500,321.44,60.67,2113468.00,4,,
coal_biomass,supercritical,13,600,385.68,58.02,2535846.00,4,,
coal_biomass,supercritical,13,700,450,55.97,2958750.00,4,,
coal_biomass,supercritical,13,800,514.24,54.32,3381128.00,4,,
coal_biomass,supercritical,13,900,578.56,52.96,3804032.00,4,,
coal_biomass,supercritical,13,1000,642.8,51.8,4226410.00,4,,
coal_biomass,supercritical,13,1100,707.04,50.79,4648788.00,4,,
coal_biomass,supercritical,13,1200,771.36,49.91,5071692.00,4,,
coal_biomass,supercritical,13,1300,836,49.12,5496700.00,4,,
coal_biomass,supercritical,13,1400,900,48.41,5917500.00,4,,
coal_biomass,supercritical,13,1500,964,47.77,6338300.00,4,,
coal_biomass,supercritical,13,1600,1028.8,47.3,6764360.00,4,,
coal_biomass,supercritical,13,1700,1092.8,46.88,7185160.00,4,,
coal_biomass,supercritical,13,1800,1156.8,46.5,7605960.00,4,,
coal_biomass,supercritical,13,1900,1221.6,46.17,8032020.00,4,,
coal_biomass,supercritical,13,2000,1285.6,45.87,8452820.00,4,,
coal_biomass,supercritical,13,2100,1349.6,45.59,8873620.00,4,,
coal_biomass,supercritical,13,2200,1414.4,45.34,9299680.00,4,,
coal_biomass,supercritical,13,2300,1478.4,45.11,9720480.00,4,,
coal_biomass,supercritical,13,2400,1542.4,44.9,10141280.00,4,,
coal_biomass,supercritical,13,2500,1607.2,44.7,10567340.00,4,,
coal_biomass,supercritical,17,100,64.336,101.7,423009.20,5,,
coal_biomass,supercritical,17,200,128.64,77.92,845808.00,5,,
coal_biomass,supercritical,17,300,192.88,68.49,1268186.00,5,,
coal_biomass,supercritical,17,400,257.12,63.13,1690564.00,5,,
coal_biomass,supercritical,17,500,321.44,59.56,2113468.00,5,,
coal_biomass,supercritical,17,600,385.68,56.96,2535846.00,5,,
coal_biomass,supercritical,17,700,450,54.94,2958750.00,5,,
coal_biomass,supercritical,17,800,514.24,53.33,3381128.00,5,,
coal_biomass,supercritical,17,900,578.56,51.98,3804032.00,5,,
coal_biomass,supercritical,17,1000,642.8,50.84,4226410.00,5,,
coal_biomass,supercritical,17,1100,707.04,49.86,4648788.00,5,,
coal_biomass,supercritical,17,1200,771.36,48.99,5071692.00,5,,
coal_biomass,supercritical,17,1300,836,48.21,5496700.00,5,,
coal_biomass,supercritical,17,1400,900,47.52,5917500.00,5,,
coal_biomass,supercritical,17,1500,964,46.89,6338300.00,5,,
coal_biomass,supercritical,17,1600,1028.8,46.43,6764360.00,5,,
coal_biomass,supercritical,17,1700,1092.8,46.02,7185160.00,5,,
coal_biomass,supercritical,17,1800,1156.8,45.65,7605960.00,5,,
coal_biomass,supercritical,17,1900,1221.6,45.32,8032020.00,5,,
coal_biomass,supercritical,17,2000,1285.6,45.02,8452820.00,5,,
coal_biomass,supercritical,17,2100,1349.6,44.75,8873620.00,5,,
coal_biomass,supercritical,17,2200,1414.4,44.51,9299680.00,5,,
coal_biomass,supercritical,17,2300,1478.4,44.28,9720480.00,5,,
coal_biomass,supercritical,17,2400,1542.4,44.08,10141280.00,5,,
coal_biomass,supercritical,17,2500,1607.2,43.88,10567340.00,5,,
coal_biomass,supercritical,20,100,64.336,100.5,423009.20,6,,
coal_biomass,supercritical,20,200,128.64,76.89,845808.00,6,,
coal_biomass,supercritical,20,300,192.88,67.56,1268186.00,6,,
coal_biomass,supercritical,20,400,257.12,62.26,1690564.00,6,,
coal_biomass,supercritical,20,500,321.44,58.73,2113468.00,6,,
coal_biomass,supercritical,20,600,385.68,56.16,2535846.00,6,,
coal_biomass,supercritical,20,700,450,54.17,2958750.00,6,,
coal_biomass,supercritical,20,800,514.24,52.58,3381128.00,6,,
coal_biomass,supercritical,20,900,578.56,51.25,3804032.00,6,,
coal_biomass,supercritical,20,1000,642.8,50.13,4226410.00,6,,
coal_biomass,supercritical,20,1100,707.04,49.16,4648788.00,6,,
coal_biomass,supercritical,20,1200,771.36,48.3,5071692.00,6,,
coal_biomass,supercritical,20,1300,836,47.54,5496700.00,6,,
coal_biomass,supercritical,20,1400,900,46.85,5917500.00,6,,
coal_biomass,supercritical,20,1500,964,46.23,6338300.00,6,,
coal_biomass,supercritical,20,1600,1028.8,45.77,6764360.00,6,,
coal_biomass,supercritical,20,1700,1092.8,45.37,7185160.00,6,,
coal_biomass,supercritical,20,1800,1156.8,45.01,7605960.00,6,,
coal_biomass,supercritical,20,1900,1221.6,44.69,8032020.00,6,,
coal_biomass,supercritical,20,2000,1285.6,44.39,8452820.00,6,,
coal_biomass,supercritical,20,2100,1349.6,44.13,8873620.00,6,,
coal_biomass,supercritical,20,2200,1414.4,43.89,9299680.00,6,,
coal_biomass,supercritical,20,2300,1478.4,43.66,9720480.00,6,,
coal_biomass,supercritical,20,2400,1542.4,43.46,10141280.00,6,,
coal_biomass,supercritical,20,2500,1607.2,43.27,10567340.00,6,,
coal_biomass,supercritical,23,100,64.336,99.24,423009.20,7,,
coal_biomass,supercritical,23,200,128.64,75.87,845808.00,7,,
coal_biomass,supercritical,23,300,192.88,66.62,1268186.00,7,,
coal_biomass,supercritical,23,400,257.12,61.38,1690564.00,7,,
coal_biomass,supercritical,23,500,321.44,57.9,2113468.00,7,,
coal_biomass,supercritical,23,600,385.68,55.36,2535846.00,7,,
coal_biomass,supercritical,23,700,450,53.4,2958750.00,7,,
coal_biomass,supercritical,23,800,514.24,51.83,3381128.00,7,,
coal_biomass,supercritical,23,900,578.56,50.52,3804032.00,7,,
coal_biomass,supercritical,23,1000,642.8,49.42,4226410.00,7,,
coal_biomass,supercritical,23,1100,707.04,48.46,4648788.00,7,,
coal_biomass,supercritical,23,1200,771.36,47.61,5071692.00,7,,
coal_biomass,supercritical,23,1300,836,46.86,5496700.00,7,,
coal_biomass,supercritical,23,1400,900,46.18,5917500.00,7,,
coal_biomass,supercritical,23,1500,964,45.57,6338300.00,7,,
coal_biomass,supercritical,23,1600,1028.8,45.12,6764360.00,7,,
coal_biomass,supercritical,23,1700,1092.8,44.73,7185160.00,7,,
coal_biomass,supercritical,23,1800,1156.8,44.37,7605960.00,7,,
coal_biomass,supercritical,23,1900,1221.6,44.05,8032020.00,7,,
coal_biomass,supercritical,23,2000,1285.6,43.76,8452820.00,7,,
coal_biomass,supercritical,23,2100,1349.6,43.5,8873620.00,7,,
coal_biomass,supercritical,23,2200,1414.4,43.26,9299680.00,7,,
coal_biomass,supercritical,23,2300,1478.4,43.04,9720480.00,7,,
coal_biomass,supercritical,23,2400,1542.4,42.84,10141280.00,7,,
coal_biomass,supercritical,23,2500,1607.2,42.65,10567340.00,7,,
coal_biomass,supercritical,27,100,64.336,97.62,423009.20,8,,
coal_biomass,supercritical,27,200,128.64,74.5,845808.00,8,,
coal_biomass,supercritical,27,300,192.88,65.38,1268186.00,8,,
coal_biomass,supercritical,27,400,257.12,60.22,1690564.00,8,,
coal_biomass,supercritical,27,500,321.44,56.79,2113468.00,8,,
coal_biomass,supercritical,27,600,385.68,54.3,2535846.00,8,,
coal_biomass,supercritical,27,700,450,52.37,2958750.00,8,,
coal_biomass,supercritical,27,800,514.24,50.83,3381128.00,8,,
coal_biomass,supercritical,27,900,578.56,49.55,3804032.00,8,,
coal_biomass,supercritical,27,1000,642.8,48.46,4226410.00,8,,
coal_biomass,supercritical,27,1100,707.04,47.52,4648788.00,8,,
coal_biomass,supercritical,27,1200,771.36,46.69,5071692.00,8,,
coal_biomass,supercritical,27,1300,836,45.96,5496700.00,8,,
coal_biomass,supercritical,27,1400,900,45.29,5917500.00,8,,
coal_biomass,supercritical,27,1500,964,44.69,6338300.00,8,,
coal_biomass,supercritical,27,1600,1028.8,44.25,6764360.00,8,,
coal_biomass,supercritical,27,1700,1092.8,43.87,7185160.00,8,,
coal_biomass,supercritical,27,1800,1156.8,43.52,7605960.00,8,,
coal_biomass,supercritical,27,1900,1221.6,43.21,8032020.00,8,,
coal_biomass,supercritical,27,2000,1285.6,42.92,8452820.00,8,,
coal_biomass,supercritical,27,2100,1349.6,42.67,8873620.00,8,,
coal_biomass,supercritical,27,2200,1414.4,42.43,9299680.00,8,,
coal_biomass,supercritical,27,2300,1478.4,42.22,9720480.00,8,,
coal_biomass,supercritical,27,2400,1542.4,42.02,10141280.00,8,,
coal_biomass,supercritical,27,2500,1607.2,41.83,10567340.00,8,,
coal_biomass,supercritical,30,100,64.336,96.41,423009.20,9,,
coal_biomass,supercritical,30,200,128.64,73.47,845808.00,9,,
coal_biomass,supercritical,30,300,192.88,64.44,1268186.00,9,,
coal_biomass,supercritical,30,400,257.12,59.34,1690564.00,9,,
coal_biomass,supercritical,30,500,321.44,55.96,2113468.00,9,,
coal_biomass,supercritical,30,600,385.68,53.5,2535846.00,9,,
coal_biomass,supercritical,30,700,450,51.6,2958750.00,9,,
coal_biomass,supercritical,30,800,514.24,50.08,3381128.00,9,,
coal_biomass,supercritical,30,900,578.56,48.82,3804032.00,9,,
coal_biomass,supercritical,30,1000,642.8,47.75,4226410.00,9,,
coal_biomass,supercritical,30,1100,707.04,46.82,4648788.00,9,,
coal_biomass,supercritical,30,1200,771.36,46.01,5071692.00,9,,
coal_biomass,supercritical,30,1300,836,45.28,5496700.00,9,,
coal_biomass,supercritical,30,1400,900,44.63,5917500.00,9,,
coal_biomass,supercritical,30,1500,964,44.03,6338300.00,9,,
coal_biomass,supercritical,30,1600,1028.8,43.6,6764360.00,9,,
coal_biomass,supercritical,30,1700,1092.8,43.22,7185160.00,9,,
coal_biomass,supercritical,30,1800,1156.8,42.88,7605960.00,9,,
coal_biomass,supercritical,30,1900,1221.6,42.57,8032020.00,9,,
coal_biomass,supercritical,30,2000,1285.6,42.29,8452820.00,9,,
coal_biomass,supercritical,30,2100,1349.6,42.04,8873620.00,9,,
coal_biomass,supercritical,30,2200,1414.4,41.81,9299680.00,9,,
coal_biomass,supercritical,30,2300,1478.4,41.6,9720480.00,9,,
coal_biomass,supercritical,30,2400,1542.4,41.4,10141280.00,9,,
coal_biomass,supercritical,30,2500,1607.2,41.22,10567340.00,9,,
coal_biomass,supercritical,33,100,64.336,95.2,423009.20,10,,
coal_biomass,supercritical,33,200,128.64,72.45,845808.00,10,,
coal_biomass,supercritical,33,300,192.88,63.51,1268186.00,10,,
coal_biomass,supercritical,33,400,257.12,58.47,1690564.00,10,,
coal_biomass,supercritical,33,500,321.44,55.13,2113468.00,10,,
coal_biomass,supercritical,33,600,385.68,52.7,2535846.00,10,,
coal_biomass,supercritical,33,700,450,50.83,2958750.00,10,,
coal_biomass,supercritical,33,800,514.24,49.33,3381128.00,10,,
coal_biomass,supercritical,33,900,578.56,48.09,3804032.00,10,,
coal_biomass,supercritical,33,1000,642.8,47.04,4226410.00,10,,
coal_biomass,supercritical,33,1100,707.04,46.12,4648788.00,10,,
coal_biomass,supercritical,33,1200,771.36,45.32,5071692.00,10,,
coal_biomass,supercritical,33,1300,836,44.6,5496700.00,10,,
coal_biomass,supercritical,33,1400,900,43.96,5917500.00,10,,
coal_biomass,supercritical,33,1500,964,43.37,6338300.00,10,,
coal_biomass,supercritical,33,1600,1028.8,42.95,6764360.00,10,,
coal_biomass,supercritical,33,1700,1092.8,42.57,7185160.00,10,,
coal_biomass,supercritical,33,1800,1156.8,42.24,7605960.00,10,,
coal_biomass,supercritical,33,1900,1221.6,41.94,8032020.00,10,,
coal_biomass,supercritical,33,2000,1285.6,41.66,8452820.00,10,,
coal_biomass,supercritical,33,2100,1349.6,41.41,8873620.00,10,,
coal_biomass,supercritical,33,2200,1414.4,41.19,9299680.00,10,,
coal_biomass,supercritical,33,2300,1478.4,40.98,9720480.00,10,,
coal_biomass,supercritical,33,2400,1542.4,40.78,10141280.00,10,,
coal_biomass,supercritical,33,2500,1607.2,40.6,10567340.00,10,,
coal_biomass,supercritical,37,100,64.336,93.58,423009.20,11,,
coal_biomass,supercritical,37,200,128.64,71.08,845808.00,11,,
coal_biomass,supercritical,37,300,192.88,62.27,1268186.00,11,,
coal_biomass,supercritical,37,400,257.12,57.3,1690564.00,11,,
coal_biomass,supercritical,37,500,321.44,54.02,2113468.00,11,,
coal_biomass,supercritical,37,600,385.68,51.64,2535846.00,11,,
coal_biomass,supercritical,37,700,450,49.8,2958750.00,11,,
coal_biomass,supercritical,37,800,514.24,48.33,3381128.00,11,,
coal_biomass,supercritical,37,900,578.56,47.12,3804032.00,11,,
coal_biomass,supercritical,37,1000,642.8,46.08,4226410.00,11,,
coal_biomass,supercritical,37,1100,707.04,45.19,4648788.00,11,,
coal_biomass,supercritical,37,1200,771.36,44.4,5071692.00,11,,
coal_biomass,supercritical,37,1300,836,43.7,5496700.00,11,,
coal_biomass,supercritical,37,1400,900,43.07,5917500.00,11,,
coal_biomass,supercritical,37,1500,964,42.49,6338300.00,11,,
coal_biomass,supercritical,37,1600,1028.8,42.08,6764360.00,11,,
coal_biomass,supercritical,37,1700,1092.8,41.71,7185160.00,11,,
coal_biomass,supercritical,37,1800,1156.8,41.39,7605960.00,11,,
coal_biomass,supercritical,37,1900,1221.6,41.09,8032020.00,11,,
coal_biomass,supercritical,37,2000,1285.6,40.82,8452820.00,11,,
coal_biomass,supercritical,37,2100,1349.6,40.58,8873620.00,11,,
coal_biomass,supercritical,37,2200,1414.4,40.36,9299680.00,11,,
coal_biomass,supercritical,37,2300,1478.4,40.15,9720480.00,11,,
coal_biomass,supercritical,37,2400,1542.4,39.96,10141280.00,11,,
coal_biomass,supercritical,37,2500,1607.2,39.78,10567340.00,11,,
coal_biomass,supercritical,40,100,64.336,92.37,423009.20,12,,
coal_biomass,supercritical,40,200,128.64,70.05,845808.00,12,,
coal_biomass,supercritical,40,300,192.88,61.33,1268186.00,12,,
coal_biomass,supercritical,40,400,257.12,56.43,1690564.00,12,,
coal_biomass,supercritical,40,500,321.44,53.19,2113468.00,12,,
coal_biomass,supercritical,40,600,385.68,50.84,2535846.00,12,,
coal_biomass,supercritical,40,700,450,49.03,2958750.00,12,,
coal_biomass,supercritical,40,800,514.24,47.59,3381128.00,12,,
coal_biomass,supercritical,40,900,578.56,46.39,3804032.00,12,,
coal_biomass,supercritical,40,1000,642.8,45.37,4226410.00,12,,
