primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
anthracite,subcritical,17,500,320.4,60.78,2106630.00,5
anthracite,subcritical,17,600,384.5,58.56,2528087.50,5
anthracite,subcritical,17,700,448.6,56.84,2949545.00,5
anthracite,subcritical,17,800,512.6,55.47,3370345.00,5
anthracite,subcritical,17,900,576.7,54.32,3791802.50,5
anthracite,subcritical,17,1000,640.8,53.35,4213260.00,5
anthracite,subcritical,17,1100,704.8,52.51,4634060.00,5
anthracite,subcritical,17,1200,768.9,51.76,5055517.50,5
anthracite,subcritical,17,1300,833,51.1,5476975.00,5
anthracite,subcritical,17,1400,897,50.56,5897775.00,5
anthracite,subcritical,17,1500,961.1,50.16,6319232.50,5
anthracite,subcritical,17,1600,1025,49.81,6739375.00,5
anthracite,subcritical,17,1700,1089,49.5,7160175.00,5
anthracite,subcritical,17,1800,1153,49.23,7580975.00,5
anthracite,subcritical,17,1900,1217,48.99,8001775.00,5
anthracite,subcritical,17,2000,1281,48.77,8422575.00,5
anthracite,subcritical,17,2100,1346,48.57,8849950.00,5
anthracite,subcritical,17,2200,1410,48.39,9270750.00,5
anthracite,subcritical,17,2300,1474,48.23,9691550.00,5
anthracite,subcritical,17,2400,1538,48.08,10112350.00,5
anthracite,subcritical,17,2500,1602,47.94,10533150.00,5
anthracite,subcritical,20,100,64.12,96.6,421589.00,6
anthracite,subcritical,20,200,128.2,75.81,842915.00,6
anthracite,subcritical,20,300,192.3,67.69,1264372.50,6
anthracite,subcritical,20,400,256.3,63.12,1685172.50,6
anthracite,subcritical,20,500,320.4,60.1,2106630.00,6
anthracite,subcritical,20,600,384.5,57.9,2528087.50,6
anthracite,subcritical,20,700,448.6,56.21,2949545.00,6
anthracite,subcritical,20,800,512.6,54.85,3370345.00,6
anthracite,subcritical,20,900,576.7,53.73,3791802.50,6
anthracite,subcritical,20,1000,640.8,52.77,4213260.00,6
anthracite,subcritical,20,1100,704.8,51.93,4634060.00,6
anthracite,subcritical,20,1200,768.9,51.2,5055517.50,6
anthracite,subcritical,20,1300,833,50.54,5476975.00,6
anthracite,subcritical,20,1400,897,50.01,5897775.00,6
anthracite,subcritical,20,1500,961.1,49.62,6319232.50,6
anthracite,subcritical,20,1600,1025,49.27,6739375.00,6
anthracite,subcritical,20,1700,1089,48.97,7160175.00,6
anthracite,subcritical,20,1800,1153,48.7,7580975.00,6
anthracite,subcritical,20,1900,1217,48.46,8001775.00,6
anthracite,subcritical,20,2000,1281,48.24,8422575.00,6
anthracite,subcritical,20,2100,1346,48.05,8849950.00,6
anthracite,subcritical,20,2200,1410,47.87,9270750.00,6
anthracite,subcritical,20,2300,1474,47.71,9691550.00,6
anthracite,subcritical,20,2400,1538,47.56,10112350.00,6
anthracite,subcritical,20,2500,1602,47.42,10533150.00,6
anthracite,subcritical,23,100,64.12,95.61,421589.00,7
anthracite,subcritical,23,200,128.2,74.98,842915.00,7
anthracite,subcritical,23,300,192.3,66.93,1264372.50,7
anthracite,subcritical,23,400,256.3,62.41,1685172.50,7
anthracite,subcritical,23,500,320.4,59.42,2106630.00,7
anthracite,subcritical,23,600,384.5,57.25,2528087.50,7
anthracite,subcritical,23,700,448.6,55.58,2949545.00,7
anthracite,subcritical,23,800,512.6,54.24,3370345.00,7
anthracite,subcritical,23,900,576.7,53.13,3791802.50,7
anthracite,subcritical,23,1000,640.8,52.18,4213260.00,7
anthracite,subcritical,23,1100,704.8,51.36,4634060.00,7
anthracite,subcritical,23,1200,768.9,50.63,5055517.50,7
anthracite,subcritical,23,1300,833,49.98,5476975.00,7
anthracite,subcritical,23,1400,897,49.46,5897775.00,7
anthracite,subcritical,23,1500,961.1,49.07,6319232.50,7
anthracite,subcritical,23,1600,1025,48.73,6739375.00,7
anthracite,subcritical,23,1700,1089,48.43,7160175.00,7
anthracite,subcritical,23,1800,1153,48.17,7580975.00,7
anthracite,subcritical,23,1900,1217,47.93,8001775.00,7
anthracite,subcritical,23,2000,1281,47.72,8422575.00,7
anthracite,subcritical,23,2100,1346,47.52,8849950.00,7
anthracite,subcritical,23,2200,1410,47.35,9270750.00,7
anthracite,subcritical,23,2300,1474,47.18,9691550.00,7
anthracite,subcritical,23,2400,1538,47.04,10112350.00,7
anthracite,subcritical,23,2500,1602,46.9,10533150.00,7
anthracite,subcritical,27,100,64.12,94.3,421589.00,8
anthracite,subcritical,27,200,128.2,73.86,842915.00,8
anthracite,subcritical,27,300,192.3,65.92,1264372.50,8
anthracite,subcritical,27,400,256.3,61.46,1685172.50,8
anthracite,subcritical,27,500,320.4,58.51,2106630.00,8
anthracite,subcritical,27,600,384.5,56.38,2528087.50,8
anthracite,subcritical,27,700,448.6,54.74,2949545.00,8
anthracite,subcritical,27,800,512.6,53.42,3370345.00,8
anthracite,subcritical,27,900,576.7,52.33,3791802.50,8
anthracite,subcritical,27,1000,640.8,51.4,4213260.00,8
anthracite,subcritical,27,1100,704.8,50.59,4634060.00,8
anthracite,subcritical,27,1200,768.9,49.88,5055517.50,8
anthracite,subcritical,27,1300,833,49.24,5476975.00,8
anthracite,subcritical,27,1400,897,48.72,5897775.00,8
anthracite,subcritical,27,1500,961.1,48.34,6319232.50,8
anthracite,subcritical,27,1600,1025,48.01,6739375.00,8
anthracite,subcritical,27,1700,1089,47.72,7160175.00,8
anthracite,subcritical,27,1800,1153,47.46,7580975.00,8
anthracite,subcritical,27,1900,1217,47.22,8001775.00,8
anthracite,subcritical,27,2000,1281,47.01,8422575.00,8
anthracite,subcritical,27,2100,1346,46.82,8849950.00,8
anthracite,subcritical,27,2200,1410,46.65,9270750.00,8
anthracite,subcritical,27,2300,1474,46.49,9691550.00,8
anthracite,subcritical,27,2400,1538,46.34,10112350.00,8
anthracite,subcritical,27,2500,1602,46.2,10533150.00,8
anthracite,subcritical,30,100,64.12,93.32,421589.00,9
anthracite,subcritical,30,200,128.2,73.02,842915.00,9
anthracite,subcritical,30,300,192.3,65.15,1264372.50,9
anthracite,subcritical,30,400,256.3,60.74,1685172.50,9
anthracite,subcritical,30,500,320.4,57.83,2106630.00,9
anthracite,subcritical,30,600,384.5,55.73,2528087.50,9
anthracite,subcritical,30,700,448.6,54.11,2949545.00,9
anthracite,subcritical,30,800,512.6,52.81,3370345.00,9
anthracite,subcritical,30,900,576.7,51.73,3791802.50,9
anthracite,subcritical,30,1000,640.8,50.81,4213260.00,9
anthracite,subcritical,30,1100,704.8,50.01,4634060.00,9
anthracite,subcritical,30,1200,768.9,49.31,5055517.50,9
anthracite,subcritical,30,1300,833,48.68,5476975.00,9
anthracite,subcritical,30,1400,897,48.17,5897775.00,9
anthracite,subcritical,30,1500,961.1,47.8,6319232.50,9
anthracite,subcritical,30,1600,1025,47.47,6739375.00,9
anthracite,subcritical,30,1700,1089,47.18,7160175.00,9
anthracite,subcritical,30,1800,1153,46.93,7580975.00,9
anthracite,subcritical,30,1900,1217,46.69,8001775.00,9
anthracite,subcritical,30,2000,1281,46.49,8422575.00,9
anthracite,subcritical,30,2100,1346,46.3,8849950.00,9
anthracite,subcritical,30,2200,1410,46.12,9270750.00,9
anthracite,subcritical,30,2300,1474,45.97,9691550.00,9
anthracite,subcritical,30,2400,1538,45.82,10112350.00,9
anthracite,subcritical,30,2500,1602,45.68,10533150.00,9
anthracite,subcritical,33,100,64.12,92.33,421589.00,10
anthracite,subcritical,33,200,128.2,72.19,842915.00,10
anthracite,subcritical,33,300,192.3,64.39,1264372.50,10
anthracite,subcritical,33,400,256.3,60.03,1685172.50,10
anthracite,subcritical,33,500,320.4,57.15,2106630.00,10
anthracite,subcritical,33,600,384.5,55.08,2528087.50,10
anthracite,subcritical,33,700,448.6,53.48,2949545.00,10
anthracite,subcritical,33,800,512.6,52.19,3370345.00,10
anthracite,subcritical,33,900,576.7,51.13,3791802.50,10
anthracite,subcritical,33,1000,640.8,50.23,4213260.00,10
anthracite,subcritical,33,1100,704.8,49.44,4634060.00,10
anthracite,subcritical,33,1200,768.9,48.74,5055517.50,10
anthracite,subcritical,33,1300,833,48.12,5476975.00,10
anthracite,subcritical,33,1400,897,47.62,5897775.00,10
anthracite,subcritical,33,1500,961.1,47.25,6319232.50,10
anthracite,subcritical,33,1600,1025,46.93,6739375.00,10
anthracite,subcritical,33,1700,1089,46.65,7160175.00,10
anthracite,subcritical,33,1800,1153,46.39,7580975.00,10
anthracite,subcritical,33,1900,1217,46.17,8001775.00,10
anthracite,subcritical,33,2000,1281,45.96,8422575.00,10
anthracite,subcritical,33,2100,1346,45.77,8849950.00,10
anthracite,subcritical,33,2200,1410,45.6,9270750.00,10
anthracite,subcritical,33,2300,1474,45.44,9691550.00,10
anthracite,subcritical,33,2400,1538,45.3,10112350.00,10
anthracite,subcritical,33,2500,1602,45.16,10533150.00,10
anthracite,subcritical,37,100,64.12,91.02,421589.00,11
anthracite,subcritical,37,200,128.2,71.07,842915.00,11
anthracite,subcritical,37,300,192.3,63.38,1264372.50,11
anthracite,subcritical,37,400,256.3,59.08,1685172.50,11
