primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
bituminous,supercritical,17,500,381.5,60.19,2508362.50,5
bituminous,supercritical,17,600,457.8,57.6,3010035.00,5
bituminous,supercritical,17,700,534,55.59,3511050.00,5
bituminous,supercritical,17,800,610.3,53.99,4012722.50,5
bituminous,supercritical,17,900,686.6,52.65,4514395.00,5
bituminous,supercritical,17,1000,762.9,51.52,5016067.50,5
bituminous,supercritical,17,1100,839.2,50.54,5517740.00,5
bituminous,supercritical,17,1200,915.4,49.67,6018755.00,5
bituminous,supercritical,17,1300,991.7,48.91,6520427.50,5
bituminous,supercritical,17,1400,1068,48.22,7022100.00,5
bituminous,supercritical,17,1500,1144,47.59,7521800.00,5
bituminous,supercritical,17,1600,1221,47.13,8028075.00,5
bituminous,supercritical,17,1700,1297,46.73,8527775.00,5
bituminous,supercritical,17,1800,1373,46.36,9027475.00,5
bituminous,supercritical,17,1900,1449,46.04,9527175.00,5
bituminous,supercritical,17,2000,1526,45.74,10033450.00,5
bituminous,supercritical,17,2100,1602,45.47,10533150.00,5
bituminous,supercritical,17,2200,1678,45.23,11032850.00,5
bituminous,supercritical,17,2300,1755,45.01,11539125.00,5
bituminous,supercritical,17,2400,1831,44.8,12038825.00,5
bituminous,supercritical,17,2500,1907,44.61,12538525.00,5
bituminous,supercritical,20,100,76.35,99.14,502001.25,6
bituminous,supercritical,20,200,152.6,75.89,1003345.00,6
bituminous,supercritical,20,300,228.9,66.75,1505017.50,6
bituminous,supercritical,20,400,305.2,61.59,2006690.00,6
bituminous,supercritical,20,500,381.5,58.16,2508362.50,6
bituminous,supercritical,20,600,457.8,55.67,3010035.00,6
bituminous,supercritical,20,700,534,53.76,3511050.00,6
bituminous,supercritical,20,800,610.3,52.21,4012722.50,6
bituminous,supercritical,20,900,686.6,50.94,4514395.00,6
bituminous,supercritical,20,1000,762.9,49.85,5016067.50,6
bituminous,supercritical,20,1100,839.2,48.9,5517740.00,6
bituminous,supercritical,20,1200,915.4,48.07,6018755.00,6
bituminous,supercritical,20,1300,991.7,47.33,6520427.50,6
bituminous,supercritical,20,1400,1068,46.73,7022100.00,6
bituminous,supercritical,20,1500,1144,46.27,7521800.00,6
bituminous,supercritical,20,1600,1221,45.86,8028075.00,6
bituminous,supercritical,20,1700,1297,45.5,8527775.00,6
bituminous,supercritical,20,1800,1373,45.18,9027475.00,6
bituminous,supercritical,20,1900,1449,44.9,9527175.00,6
bituminous,supercritical,20,2000,1526,44.64,10033450.00,6
bituminous,supercritical,20,2100,1602,44.4,10533150.00,6
bituminous,supercritical,20,2200,1678,44.19,11032850.00,6
bituminous,supercritical,20,2300,1755,43.99,11539125.00,6
bituminous,supercritical,20,2400,1831,43.81,12038825.00,6
bituminous,supercritical,20,2500,1907,43.64,12538525.00,6
bituminous,supercritical,23,100,76.35,98.07,502001.25,7
bituminous,supercritical,23,200,152.6,74.99,1003345.00,7
bituminous,supercritical,23,300,228.9,65.93,1505017.50,7
bituminous,supercritical,23,400,305.2,60.82,2006690.00,7
bituminous,supercritical,23,500,381.5,57.43,2508362.50,7
bituminous,supercritical,23,600,457.8,54.97,3010035.00,7
bituminous,supercritical,23,700,534,53.08,3511050.00,7
bituminous,supercritical,23,800,610.3,51.56,4012722.50,7
bituminous,supercritical,23,900,686.6,50.3,4514395.00,7
bituminous,supercritical,23,1000,762.9,49.22,5016067.50,7
bituminous,supercritical,23,1100,839.2,48.29,5517740.00,7
bituminous,supercritical,23,1200,915.4,47.47,6018755.00,7
bituminous,supercritical,23,1300,991.7,46.74,6520427.50,7
bituminous,supercritical,23,1400,1068,46.14,7022100.00,7
bituminous,supercritical,23,1500,1144,45.69,7521800.00,7
bituminous,supercritical,23,1600,1221,45.29,8028075.00,7
bituminous,supercritical,23,1700,1297,44.93,8527775.00,7
bituminous,supercritical,23,1800,1373,44.62,9027475.00,7
bituminous,supercritical,23,1900,1449,44.34,9527175.00,7
bituminous,supercritical,23,2000,1526,44.08,10033450.00,7
bituminous,supercritical,23,2100,1602,43.85,10533150.00,7
bituminous,supercritical,23,2200,1678,43.63,11032850.00,7
bituminous,supercritical,23,2300,1755,43.44,11539125.00,7
bituminous,supercritical,23,2400,1831,43.26,12038825.00,7
bituminous,supercritical,23,2500,1907,43.09,12538525.00,7
bituminous,supercritical,27,100,76.35,96.64,502001.25,8
bituminous,supercritical,27,200,152.6,73.78,1003345.00,8
bituminous,supercritical,27,300,228.9,64.83,1505017.50,8
bituminous,supercritical,27,400,305.2,59.79,2006690.00,8
bituminous,supercritical,27,500,381.5,56.46,2508362.50,8
bituminous,supercritical,27,600,457.8,54.04,3010035.00,8
bituminous,supercritical,27,700,534,52.18,3511050.00,8
bituminous,supercritical,27,800,610.3,50.68,4012722.50,8
bituminous,supercritical,27,900,686.6,49.44,4514395.00,8
bituminous,supercritical,27,1000,762.9,48.39,5016067.50,8
bituminous,supercritical,27,1100,839.2,47.47,5517740.00,8
bituminous,supercritical,27,1200,915.4,46.66,6018755.00,8
bituminous,supercritical,27,1300,991.7,45.94,6520427.50,8
bituminous,supercritical,27,1400,1068,45.36,7022100.00,8
bituminous,supercritical,27,1500,1144,44.91,7521800.00,8
bituminous,supercritical,27,1600,1221,44.52,8028075.00,8
bituminous,supercritical,27,1700,1297,44.17,8527775.00,8
bituminous,supercritical,27,1800,1373,43.86,9027475.00,8
bituminous,supercritical,27,1900,1449,43.59,9527175.00,8
bituminous,supercritical,27,2000,1526,43.33,10033450.00,8
bituminous,supercritical,27,2100,1602,43.11,10533150.00,8
bituminous,supercritical,27,2200,1678,42.9,11032850.00,8
bituminous,supercritical,27,2300,1755,42.7,11539125.00,8
bituminous,supercritical,27,2400,1831,42.52,12038825.00,8
bituminous,supercritical,27,2500,1907,42.36,12538525.00,8
bituminous,supercritical,30,100,76.35,95.57,502001.25,9
bituminous,supercritical,30,200,152.6,72.88,1003345.00,9
bituminous,supercritical,30,300,228.9,64.01,1505017.50,9
bituminous,supercritical,30,400,305.2,59.03,2006690.00,9
bituminous,supercritical,30,500,381.5,55.73,2508362.50,9
bituminous,supercritical,30,600,457.8,53.34,3010035.00,9
bituminous,supercritical,30,700,534,51.5,3511050.00,9
bituminous,supercritical,30,800,610.3,50.03,4012722.50,9
bituminous,supercritical,30,900,686.6,48.8,4514395.00,9
bituminous,supercritical,30,1000,762.9,47.76,5016067.50,9
bituminous,supercritical,30,1100,839.2,46.86,5517740.00,9
bituminous,supercritical,30,1200,915.4,46.06,6018755.00,9
bituminous,supercritical,30,1300,991.7,45.35,6520427.50,9
bituminous,supercritical,30,1400,1068,44.77,7022100.00,9
bituminous,supercritical,30,1500,1144,44.33,7521800.00,9
bituminous,supercritical,30,1600,1221,43.95,8028075.00,9
bituminous,supercritical,30,1700,1297,43.6,8527775.00,9
bituminous,supercritical,30,1800,1373,43.3,9027475.00,9
bituminous,supercritical,30,1900,1449,43.02,9527175.00,9
bituminous,supercritical,30,2000,1526,42.78,10033450.00,9
bituminous,supercritical,30,2100,1602,42.55,10533150.00,9
bituminous,supercritical,30,2200,1678,42.34,11032850.00,9
bituminous,supercritical,30,2300,1755,42.15,11539125.00,9
bituminous,supercritical,30,2400,1831,41.97,12038825.00,9
bituminous,supercritical,30,2500,1907,41.81,12538525.00,9
bituminous,supercritical,33,100,76.35,94.49,502001.25,10
bituminous,supercritical,33,200,152.6,71.97,1003345.00,10
bituminous,supercritical,33,300,228.9,63.19,1505017.50,10
bituminous,supercritical,33,400,305.2,58.26,2006690.00,10
bituminous,supercritical,33,500,381.5,55,2508362.50,10
bituminous,supercritical,33,600,457.8,52.64,3010035.00,10
bituminous,supercritical,33,700,534,50.83,3511050.00,10
bituminous,supercritical,33,800,610.3,49.37,4012722.50,10
bituminous,supercritical,33,900,686.6,48.16,4514395.00,10
bituminous,supercritical,33,1000,762.9,47.13,5016067.50,10
bituminous,supercritical,33,1100,839.2,46.24,5517740.00,10
bituminous,supercritical,33,1200,915.4,45.46,6018755.00,10
bituminous,supercritical,33,1300,991.7,44.75,6520427.50,10
bituminous,supercritical,33,1400,1068,44.18,7022100.00,10
bituminous,supercritical,33,1500,1144,43.75,7521800.00,10
bituminous,supercritical,33,1600,1221,43.37,8028075.00,10
bituminous,supercritical,33,1700,1297,43.04,8527775.00,10
