primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
coal,ultrasupercritical,13.00,600.00,417.10,59.73,2742432.50,4.00
coal,ultrasupercritical,13.00,700.00,486.60,57.62,3199395.00,4.00
coal,ultrasupercritical,13.00,800.00,556.10,55.92,3656357.50,4.00
coal,ultrasupercritical,13.00,900.00,625.60,54.51,4113320.00,4.00
coal,ultrasupercritical,13.00,1000.00,695.10,53.31,4570282.50,4.00
coal,ultrasupercritical,13.00,1100.00,764.60,52.28,5027245.00,4.00
coal,ultrasupercritical,13.00,1200.00,834.10,51.37,5484207.50,4.00
coal,ultrasupercritical,13.00,1300.00,903.60,50.57,5941170.00,4.00
coal,ultrasupercritical,13.00,1400.00,973.10,49.85,6398132.50,4.00
coal,ultrasupercritical,13.00,1500.00,1043.00,49.19,6857725.00,4.00
coal,ultrasupercritical,13.00,1600.00,1112.00,48.60,7311400.00,4.00
coal,ultrasupercritical,13.00,1700.00,1182.00,48.05,7771650.00,4.00
coal,ultrasupercritical,13.00,1800.00,1251.00,47.54,8225325.00,4.00
coal,ultrasupercritical,13.00,1900.00,1321.00,47.16,8685575.00,4.00
coal,ultrasupercritical,13.00,2000.00,1390.00,46.81,9139250.00,4.00
coal,ultrasupercritical,13.00,2100.00,1460.00,46.49,9599500.00,4.00
coal,ultrasupercritical,13.00,2200.00,1529.00,46.19,10053175.00,4.00
coal,ultrasupercritical,13.00,2300.00,1599.00,45.92,10513425.00,4.00
coal,ultrasupercritical,13.00,2400.00,1668.00,45.67,10967100.00,4.00
coal,ultrasupercritical,13.00,2500.00,1738.00,45.44,11427350.00,4.00
coal,ultrasupercritical,17.00,100.00,69.57,104.00,457422.75,5.00
coal,ultrasupercritical,17.00,200.00,139.10,79.97,914582.50,5.00
coal,ultrasupercritical,17.00,300.00,208.60,70.36,1371545.00,5.00
coal,ultrasupercritical,17.00,400.00,278.10,64.87,1828507.50,5.00
coal,ultrasupercritical,17.00,500.00,347.60,61.21,2285470.00,5.00
coal,ultrasupercritical,17.00,600.00,417.10,58.53,2742432.50,5.00
coal,ultrasupercritical,17.00,700.00,486.60,56.46,3199395.00,5.00
coal,ultrasupercritical,17.00,800.00,556.10,54.80,3656357.50,5.00
coal,ultrasupercritical,17.00,900.00,625.60,53.42,4113320.00,5.00
coal,ultrasupercritical,17.00,1000.00,695.10,52.25,4570282.50,5.00
coal,ultrasupercritical,17.00,1100.00,764.60,51.23,5027245.00,5.00
coal,ultrasupercritical,17.00,1200.00,834.10,50.35,5484207.50,5.00
coal,ultrasupercritical,17.00,1300.00,903.60,49.56,5941170.00,5.00
coal,ultrasupercritical,17.00,1400.00,973.10,48.85,6398132.50,5.00
coal,ultrasupercritical,17.00,1500.00,1043.00,48.21,6857725.00,5.00
coal,ultrasupercritical,17.00,1600.00,1112.00,47.63,7311400.00,5.00
coal,ultrasupercritical,17.00,1700.00,1182.00,47.09,7771650.00,5.00
coal,ultrasupercritical,17.00,1800.00,1251.00,46.59,8225325.00,5.00
coal,ultrasupercritical,17.00,1900.00,1321.00,46.22,8685575.00,5.00
coal,ultrasupercritical,17.00,2000.00,1390.00,45.87,9139250.00,5.00
coal,ultrasupercritical,17.00,2100.00,1460.00,45.56,9599500.00,5.00
coal,ultrasupercritical,17.00,2200.00,1529.00,45.27,10053175.00,5.00
coal,ultrasupercritical,17.00,2300.00,1599.00,45.01,10513425.00,5.00
coal,ultrasupercritical,17.00,2400.00,1668.00,44.77,10967100.00,5.00
coal,ultrasupercritical,17.00,2500.00,1738.00,44.54,11427350.00,5.00
coal,ultrasupercritical,20.00,100.00,69.57,102.70,457422.75,6.00
coal,ultrasupercritical,20.00,200.00,139.10,78.82,914582.50,6.00
coal,ultrasupercritical,20.00,300.00,208.60,69.31,1371545.00,6.00
coal,ultrasupercritical,20.00,400.00,278.10,63.89,1828507.50,6.00
coal,ultrasupercritical,20.00,500.00,347.60,60.27,2285470.00,6.00
coal,ultrasupercritical,20.00,600.00,417.10,57.64,2742432.50,6.00
coal,ultrasupercritical,20.00,700.00,486.60,55.60,3199395.00,6.00
coal,ultrasupercritical,20.00,800.00,556.10,53.96,3656357.50,6.00
coal,ultrasupercritical,20.00,900.00,625.60,52.60,4113320.00,6.00
coal,ultrasupercritical,20.00,1000.00,695.10,51.44,4570282.50,6.00
coal,ultrasupercritical,20.00,1100.00,764.60,50.45,5027245.00,6.00
coal,ultrasupercritical,20.00,1200.00,834.10,49.57,5484207.50,6.00
coal,ultrasupercritical,20.00,1300.00,903.60,48.80,5941170.00,6.00
coal,ultrasupercritical,20.00,1400.00,973.10,48.10,6398132.50,6.00
coal,ultrasupercritical,20.00,1500.00,1043.00,47.47,6857725.00,6.00
coal,ultrasupercritical,20.00,1600.00,1112.00,46.90,7311400.00,6.00
coal,ultrasupercritical,20.00,1700.00,1182.00,46.37,7771650.00,6.00
coal,ultrasupercritical,20.00,1800.00,1251.00,45.88,8225325.00,6.00
coal,ultrasupercritical,20.00,1900.00,1321.00,45.51,8685575.00,6.00
coal,ultrasupercritical,20.00,2000.00,1390.00,45.17,9139250.00,6.00
coal,ultrasupercritical,20.00,2100.00,1460.00,44.87,9599500.00,6.00
coal,ultrasupercritical,20.00,2200.00,1529.00,44.58,10053175.00,6.00
coal,ultrasupercritical,20.00,2300.00,1599.00,44.32,10513425.00,6.00
coal,ultrasupercritical,20.00,2400.00,1668.00,44.09,10967100.00,6.00
coal,ultrasupercritical,20.00,2500.00,1738.00,43.86,11427350.00,6.00
coal,ultrasupercritical,23.00,100.00,69.57,101.30,457422.75,7.00
coal,ultrasupercritical,23.00,200.00,139.10,77.67,914582.50,7.00
coal,ultrasupercritical,23.00,300.00,208.60,68.26,1371545.00,7.00
coal,ultrasupercritical,23.00,400.00,278.10,62.91,1828507.50,7.00
coal,ultrasupercritical,23.00,500.00,347.60,59.34,2285470.00,7.00
coal,ultrasupercritical,23.00,600.00,417.10,56.74,2742432.50,7.00
coal,ultrasupercritical,23.00,700.00,486.60,54.73,3199395.00,7.00
coal,ultrasupercritical,23.00,800.00,556.10,53.12,3656357.50,7.00
coal,ultrasupercritical,23.00,900.00,625.60,51.78,4113320.00,7.00
coal,ultrasupercritical,23.00,1000.00,695.10,50.64,4570282.50,7.00
coal,ultrasupercritical,23.00,1100.00,764.60,49.66,5027245.00,7.00
coal,ultrasupercritical,23.00,1200.00,834.10,48.80,5484207.50,7.00
coal,ultrasupercritical,23.00,1300.00,903.60,48.04,5941170.00,7.00
coal,ultrasupercritical,23.00,1400.00,973.10,47.35,6398132.50,7.00
coal,ultrasupercritical,23.00,1500.00,1043.00,46.73,6857725.00,7.00
coal,ultrasupercritical,23.00,1600.00,1112.00,46.17,7311400.00,7.00
coal,ultrasupercritical,23.00,1700.00,1182.00,45.65,7771650.00,7.00
coal,ultrasupercritical,23.00,1800.00,1251.00,45.17,8225325.00,7.00
coal,ultrasupercritical,23.00,1900.00,1321.00,44.80,8685575.00,7.00
coal,ultrasupercritical,23.00,2000.00,1390.00,44.47,9139250.00,7.00
coal,ultrasupercritical,23.00,2100.00,1460.00,44.17,9599500.00,7.00
coal,ultrasupercritical,23.00,2200.00,1529.00,43.89,10053175.00,7.00
coal,ultrasupercritical,23.00,2300.00,1599.00,43.64,10513425.00,7.00
coal,ultrasupercritical,23.00,2400.00,1668.00,43.41,10967100.00,7.00
coal,ultrasupercritical,23.00,2500.00,1738.00,43.19,11427350.00,7.00
coal,ultrasupercritical,27.00,100.00,69.57,99.50,457422.75,8.00
coal,ultrasupercritical,27.00,200.00,139.10,76.14,914582.50,8.00
coal,ultrasupercritical,27.00,300.00,208.60,66.87,1371545.00,8.00
coal,ultrasupercritical,27.00,400.00,278.10,61.60,1828507.50,8.00
coal,ultrasupercritical,27.00,500.00,347.60,58.10,2285470.00,8.00
coal,ultrasupercritical,27.00,600.00,417.10,55.55,2742432.50,8.00
coal,ultrasupercritical,27.00,700.00,486.60,53.58,3199395.00,8.00
coal,ultrasupercritical,27.00,800.00,556.10,51.99,3656357.50,8.00
coal,ultrasupercritical,27.00,900.00,625.60,50.68,4113320.00,8.00
coal,ultrasupercritical,27.00,1000.00,695.10,49.57,4570282.50,8.00
coal,ultrasupercritical,27.00,1100.00,764.60,48.61,5027245.00,8.00
coal,ultrasupercritical,27.00,1200.00,834.10,47.77,5484207.50,8.00
coal,ultrasupercritical,27.00,1300.00,903.60,47.03,5941170.00,8.00
coal,ultrasupercritical,27.00,1400.00,973.10,46.36,6398132.50,8.00
coal,ultrasupercritical,27.00,1500.00,1043.00,45.75,6857725.00,8.00
coal,ultrasupercritical,27.00,1600.00,1112.00,45.20,7311400.00,8.00
coal,ultrasupercritical,27.00,1700.00,1182.00,44.69,7771650.00,8.00
coal,ultrasupercritical,27.00,1800.00,1251.00,44.22,8225325.00,8.00
coal,ultrasupercritical,27.00,1900.00,1321.00,43.86,8685575.00,8.00
coal,ultrasupercritical,27.00,2000.00,1390.00,43.54,9139250.00,8.00
coal,ultrasupercritical,27.00,2100.00,1460.00,43.25,9599500.00,8.00
coal,ultrasupercritical,27.00,2200.00,1529.00,42.98,10053175.00,8.00
coal,ultrasupercritical,27.00,2300.00,1599.00,42.73,10513425.00,8.00
coal,ultrasupercritical,27.00,2400.00,1668.00,42.50,10967100.00,8.00
