primary_fuel,generation_technology,capacity_MW,amortization_rate,CO2_emission_rate_ton_hr,marginal_cost_MWh,annual_emission_ton,age
natural_gas,CCGT,300,7,115.23,38.712,757061.1,2
natural_gas,CCGT,300,10,115.23,38.49,757061.1,3
natural_gas,CCGT,300,13,115.23,38.262,757061.1,4
natural_gas,CCGT,300,17,115.23,37.962,757061.1,5
natural_gas,CCGT,300,20,115.23,37.734,757061.1,6
natural_gas,CCGT,300,23,115.23,37.506,757061.1,7
natural_gas,CCGT,300,27,115.23,37.206,757061.1,8
natural_gas,CCGT,300,30,115.23,36.978,757061.1,9
natural_gas,CCGT,300,33,115.23,36.756,757061.1,10
natural_gas,CCGT,300,37,115.23,36.45,757061.1,11
natural_gas,CCGT,300,40,115.23,36.228,757061.1,12
natural_gas,CCGT,300,43,115.23,36,757061.1,13
natural_gas,CCGT,300,47,115.23,35.7,757061.1,14
natural_gas,CCGT,300,50,115.23,35.472,757061.1,15
natural_gas,CCGT,300,53,115.23,35.244,757061.1,16
natural_gas,CCGT,300,57,115.23,34.944,757061.1,17
natural_gas,CCGT,300,60,115.23,34.716,757061.1,18
natural_gas,CCGT,300,63,115.23,34.494,757061.1,19
natural_gas,CCGT,300,67,115.23,34.188,757061.1,20
natural_gas,CCGT,300,70,115.23,33.966,757061.1,21
natural_gas,CCGT,300,73,115.23,33.738,757061.1,22
natural_gas,CCGT,300,77,115.23,33.438,757061.1,23
natural_gas,CCGT,300,80,115.23,33.21,757061.1,24
natural_gas,CCGT,300,83,115.23,32.982,757061.1,25
natural_gas,CCGT,300,87,115.23,32.682,757061.1,26
natural_gas,CCGT,300,90,115.23,32.46,757061.1,27
natural_gas,CCGT,300,93,115.23,32.232,757061.1,28
natural_gas,CCGT,300,97,115.23,31.932,757061.1,29
natural_gas,CCGT,300,100,115.23,31.704,757061.1,30
natural_gas,CCGT,400,3,153.64,39.012,1009414.8,1
natural_gas,CCGT,400,7,153.64,38.712,1009414.8,2
natural_gas,CCGT,400,10,153.64,38.49,1009414.8,3
natural_gas,CCGT,400,13,153.64,38.262,1009414.8,4
natural_gas,CCGT,400,17,153.64,37.962,1009414.8,5
natural_gas,CCGT,400,20,153.64,37.734,1009414.8,6
natural_gas,CCGT,400,23,153.64,37.506,1009414.8,7
natural_gas,CCGT,400,27,153.64,37.206,1009414.8,8
natural_gas,CCGT,400,30,153.64,36.978,1009414.8,9
natural_gas,CCGT,400,33,153.64,36.756,1009414.8,10
natural_gas,CCGT,400,37,153.64,36.45,1009414.8,11
natural_gas,CCGT,400,40,153.64,36.228,1009414.8,12
natural_gas,CCGT,400,43,153.64,36,1009414.8,13
natural_gas,CCGT,400,47,153.64,35.7,1009414.8,14
