Variable name,Initial_read_value
ExxonMobil Chemical_LoadMW_93, 87.16
ExxonMobil Refinery_LoadMW_94, 132.38
Petrofac_LoadMW_95, 3.67
ExxonMobil Chemical_LoadMVR_93, 43.0
ExxonMobil Refinery_LoadMVR_94, 65.0
Petrofac_LoadMVR_95, 1.8
