plantname,capacity(MW),xcoordinate,ycoordinate
j11,400,1.258316667,103.7065333
j13,600,1.258316667,103.7065333
j14,500,1.258316667,103.7065333
j52,300,1.235766667,103.6801333
j53,300,1.235766667,103.6801333
j54,300,1.225933333,103.6769833
j55,300,1.23465,103.6772833
j56,300,1.23465,103.6772833
j57,200,1.233633333,103.6755333
j58,200,1.233633333,103.6755333
j59,200,1.23225,103.6741333
j74,200,1.277216667,103.6700833
