primary_fuel,generation_technology,capacity_MW,amortization_rate,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh,age
natural_gas,CCGT,300,3,107,64.02,702990,10,0.75,15,61.03,4.755555556,65.78555556,6,90.95,-10.05,-66078.75,86.45916667,-44.66666667,41.7925,1
natural_gas,CCGT,300,7,107,63.52,702990,10,0.75,15,60.55,4.755555556,65.30555556,6,90.95,-10.05,-66078.75,85.77916667,-19.14285714,66.63630952,2
natural_gas,CCGT,300,10,107,63.15,702990,10,0.75,15,60.2,4.755555556,64.95555556,6,90.95,-10.05,-66078.75,85.28333333,-13.4,71.88333333,3
natural_gas,CCGT,300,13,107,62.77,702990,10,0.75,15,59.84,4.755555556,64.59555556,6,90.95,-10.05,-66078.75,84.77333333,-10.30769231,74.46564103,4
natural_gas,CCGT,300,17,107,62.27,702990,10,0.75,15,59.36,4.755555556,64.11555556,6,90.95,-10.05,-66078.75,84.09333333,-7.882352941,76.21098039,5
natural_gas,CCGT,300,20,107,61.89,702990,10,0.75,15,59,4.755555556,63.75555556,6,90.95,-10.05,-66078.75,83.58333333,-6.7,76.88333333,6
natural_gas,CCGT,300,23,107,61.51,702990,10,0.75,15,58.64,4.755555556,63.39555556,6,90.95,-10.05,-66078.75,83.07333333,-5.826086957,77.24724638,7
natural_gas,CCGT,300,27,107,61.01,702990,10,0.75,15,58.16,4.755555556,62.91555556,6,90.95,-10.05,-66078.75,82.39333333,-4.962962963,77.43037037,8
natural_gas,CCGT,300,30,107,60.63,702990,10,0.75,15,57.8,4.755555556,62.55555556,6,90.95,-10.05,-66078.75,81.88333333,-4.466666667,77.41666667,9
natural_gas,CCGT,300,33,107,60.26,702990,10,0.75,15,57.45,4.755555556,62.20555556,6,90.95,-10.05,-66078.75,81.3875,-4.060606061,77.32689394,10
natural_gas,CCGT,300,37,107,59.75,702990,10,0.75,15,56.96,4.755555556,61.71555556,6,90.95,-10.05,-66078.75,80.69333333,-3.621621622,77.07171171,11
natural_gas,CCGT,300,40,107,59.38,702990,10,0.75,15,56.61,4.755555556,61.36555556,6,90.95,-10.05,-66078.75,80.1975,-3.35,76.8475,12
natural_gas,CCGT,300,43,107,59,702990,10,0.75,15,56.24,4.755555556,60.99555556,6,90.95,-10.05,-66078.75,79.67333333,-3.11627907,76.55705426,13
natural_gas,CCGT,300,47,107,58.5,702990,10,0.75,15,55.77,4.755555556,60.52555556,6,90.95,-10.05,-66078.75,79.0075,-2.85106383,76.15643617,14
natural_gas,CCGT,300,50,107,58.12,702990,10,0.75,15,55.41,4.755555556,60.16555556,6,90.95,-10.05,-66078.75,78.4975,-2.68,75.8175,15
natural_gas,CCGT,300,53,107,57.74,702990,10,0.75,15,55.04,4.755555556,59.79555556,6,90.95,-10.05,-66078.75,77.97333333,-2.528301887,75.44503145,16
natural_gas,CCGT,300,57,107,57.24,702990,10,0.75,15,54.57,4.755555556,59.32555556,6,90.95,-10.05,-66078.75,77.3075,-2.350877193,74.95662281,17
natural_gas,CCGT,300,60,107,56.86,702990,10,0.75,15,54.2,4.755555556,58.95555556,6,90.95,-10.05,-66078.75,76.78333333,-2.233333333,74.55,18
natural_gas,CCGT,300,63,107,56.49,702990,10,0.75,15,53.85,4.755555556,58.60555556,6,90.95,-10.05,-66078.75,76.2875,-2.126984127,74.16051587,19
natural_gas,CCGT,300,67,107,55.98,702990,10,0.75,15,53.37,4.755555556,58.12555556,6,90.95,-10.05,-66078.75,75.6075,-2,73.6075,20
natural_gas,CCGT,300,70,107,55.61,702990,10,0.75,15,53.01,4.755555556,57.76555556,6,90.95,-10.05,-66078.75,75.0975,-1.914285714,73.18321429,21
natural_gas,CCGT,300,73,107,55.23,702990,10,0.75,15,52.65,4.755555556,57.40555556,6,90.95,-10.05,-66078.75,74.5875,-1.835616438,72.75188356,22
natural_gas,CCGT,300,77,107,54.73,702990,10,0.75,15,52.17,4.755555556,56.92555556,6,90.95,-10.05,-66078.75,73.9075,-1.74025974,72.16724026,23
natural_gas,CCGT,300,80,107,54.35,702990,10,0.75,15,51.81,4.755555556,56.56555556,6,90.95,-10.05,-66078.75,73.3975,-1.675,71.7225,24
natural_gas,CCGT,300,83,107,53.97,702990,10,0.75,15,51.45,4.755555556,56.20555556,6,90.95,-10.05,-66078.75,72.8875,-1.614457831,71.27304217,25
natural_gas,CCGT,300,87,107,53.47,702990,10,0.75,15,50.97,4.755555556,55.72555556,6,90.95,-10.05,-66078.75,72.2075,-1.540229885,70.66727011,26
natural_gas,CCGT,300,90,107,53.1,702990,10,0.75,15,50.62,4.755555556,55.37555556,6,90.95,-10.05,-66078.75,71.71166667,-1.488888889,70.22277778,27
natural_gas,CCGT,300,93,107,52.72,702990,10,0.75,15,50.26,4.755555556,55.01555556,6,90.95,-10.05,-66078.75,71.20166667,-1.440860215,69.76080645,28
natural_gas,CCGT,300,97,107,52.22,702990,10,0.75,15,49.78,4.755555556,54.53555556,6,90.95,-10.05,-66078.75,70.52166667,-1.381443299,69.14022337,29
natural_gas,CCGT,300,100,107,51.84,702990,10,0.75,15,49.42,4.755555556,54.17555556,6,90.95,-10.05,-66078.75,70.01166667,-1.34,68.67166667,30
natural_gas,CCGT,600,3,214,62.94,1405980,10,0.75,15,60,4.755555556,64.75555556,12,181.9,-20.1,-132157.5,85,-89.33333333,-4.333333333,1
natural_gas,CCGT,600,7,214,62.45,1405980,10,0.75,15,59.53,4.755555556,64.28555556,12,181.9,-20.1,-132157.5,84.33416667,-38.28571429,46.04845238,2
natural_gas,CCGT,600,10,214,62.08,1405980,10,0.75,15,59.18,4.755555556,63.93555556,12,181.9,-20.1,-132157.5,83.83833333,-26.8,57.03833333,3
