primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
anthracite,subcritical,7,1100,704.8,54.43,4634060.00,10,0.75,41.19,8.543030303,49.7330303,83.15,599.08,-22.57,546711.25,69.44429752,-0.273575758,69.17072176
anthracite,subcritical,7,1200,768.9,53.65,5055517.50,10,0.75,40.6,8.543333333,49.14333333,90.71,653.565,-24.625,596418.25,68.44958678,-0.273611111,68.17597567
anthracite,subcritical,7,1300,833,52.96,5476975.00,10,0.75,40.08,8.543589744,48.62358974,98.28,708.05,-26.67,646191,67.57289256,-0.273538462,67.2993541
anthracite,subcritical,7,1400,897,52.4,5897775.00,10,0.75,39.66,8.542857143,48.20285714,105.83,762.45,-28.72,695832.25,66.86479339,-0.27352381,66.59126958
anthracite,subcritical,7,1500,961.1,51.98,6319232.50,10,0.75,39.34,8.543111111,47.88311111,113.39,816.935,-30.775,745539.25,66.32528926,-0.273555556,66.0517337
anthracite,subcritical,7,1600,1025,51.61,6739375.00,10,0.75,39.06,8.541666667,47.60166667,120.93,871.25,-32.82,795114.75,65.85322314,-0.2735,65.57972314
anthracite,subcritical,7,1700,1089,51.29,7160175.00,10,0.75,38.82,8.541176471,47.36117647,128.48,925.65,-34.87,844756,65.44859504,-0.273490196,65.17510485
anthracite,subcritical,7,1800,1153,51.01,7580975.00,10,0.75,38.61,8.540740741,47.15074074,136.03,980.05,-36.92,894397.25,65.09454545,-0.273481481,64.82106397
anthracite,subcritical,7,1900,1217,50.75,8001775.00,10,0.75,38.41,8.540350877,46.95035088,143.58,1034.45,-38.97,944038.5,64.75735537,-0.273473684,64.48388169
anthracite,subcritical,7,2000,1281,50.52,8422575.00,10,0.75,38.24,8.54,46.78,151.13,1088.85,-41.02,993679.75,64.4707438,-0.273466667,64.19727713
anthracite,subcritical,7,2100,1346,50.32,8849950.00,10,0.75,38.08,8.546031746,46.62603175,158.8,1144.1,-43.1,1044110,64.20099174,-0.273650794,63.92734094
anthracite,subcritical,7,2200,1410,50.14,9270750.00,10,0.75,37.95,8.545454545,46.49545455,166.35,1198.5,-45.15,1093751.25,63.98181818,-0.273636364,63.70818182
anthracite,subcritical,7,2300,1474,49.97,9691550.00,10,0.75,37.82,8.544927536,46.36492754,173.9,1252.9,-47.2,1143392.5,63.76264463,-0.273623188,63.48902144
anthracite,subcritical,7,2400,1538,49.82,10112350.00,10,0.75,37.71,8.544444444,46.25444444,181.45,1307.3,-49.25,1193033.75,63.57719008,-0.273611111,63.30357897
anthracite,subcritical,7,2500,1602,49.68,10533150.00,10,0.75,37.6,8.544,46.144,189,1361.7,-51.3,1242675,63.39173554,-0.2736,63.11813554
anthracite,subcritical,10,100,64.12,99.88,421589.00,10,0.75,75.59,8.549333333,84.13933333,7.56,54.502,-2.058,49707,127.4409917,-0.2744,127.1665917
anthracite,subcritical,10,200,128.2,78.6,842915.00,10,0.75,59.49,8.546666667,68.03666667,15.12,108.97,-4.11,99414,100.2971901,-0.274,100.0231901
anthracite,subcritical,10,300,192.3,70.23,1264372.50,10,0.75,53.15,8.546666667,61.69666667,22.69,163.455,-6.155,149186.75,89.60826446,-0.273555556,89.33470891
anthracite,subcritical,10,400,256.3,65.5,1685172.50,10,0.75,49.57,8.543333333,58.11333333,30.24,217.855,-8.205,198828,83.57256198,-0.2735,83.29906198
anthracite,subcritical,10,500,320.4,62.36,2106630.00,10,0.75,47.2,8.544,55.744,37.8,272.34,-10.26,248535,79.5768595,-0.2736,79.3032595
