primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
coal,ultrasupercritical,3,100,69.57,110.4,457422.75,10,0.75,15,78.98,9.276,88.256,8.24,59.1345,-2.1955,-14435.4125,123.606226,-0.292733333,123.3134927
coal,ultrasupercritical,3,200,139.1,85.34,914582.5,10,0.75,15,61.05,9.273333333,70.32333333,16.47,118.235,-4.395,-28897.125,95.54520256,-0.293,95.25220256
coal,ultrasupercritical,3,300,208.6,75.25,1371545,10,0.75,15,53.83,9.271111111,63.10111111,24.7,177.31,-6.59,-43329.25,84.24567164,-0.292888889,83.95278275
coal,ultrasupercritical,3,400,278.1,69.45,1828507.5,10,0.75,15,49.68,9.27,58.95,32.93,236.385,-8.785,-57761.375,77.75078891,-0.292833333,77.45795558
coal,ultrasupercritical,3,500,347.6,65.56,2285470,10,0.75,15,46.9,9.269333333,56.16933333,41.16,295.46,-10.98,-72193.5,73.4,-0.2928,73.1072
coal,ultrasupercritical,3,600,417.1,62.71,2742432.5,10,0.75,15,44.86,9.268888889,54.12888889,49.39,354.535,-13.175,-86625.625,70.20733475,-0.292777778,69.91455698
coal,ultrasupercritical,3,700,486.6,60.5,3199395,10,0.75,15,43.28,9.268571429,52.54857143,57.62,413.61,-15.37,-101057.75,67.73458422,-0.292761905,67.44182232
coal,ultrasupercritical,3,800,556.1,58.72,3656357.5,10,0.75,15,42.01,9.268333333,51.27833333,65.85,472.685,-17.565,-115489.875,65.7469936,-0.29275,65.4542436
coal,ultrasupercritical,3,900,625.6,57.24,4113320,10,0.75,15,40.95,9.268148148,50.21814815,74.08,531.76,-19.76,-129922,64.0880597,-0.292740741,63.79531896
coal,ultrasupercritical,3,1000,695.1,55.99,4570282.5,10,0.75,15,40.05,9.268,49.318,82.31,590.835,-21.955,-144354.125,62.67953092,-0.292733333,62.38679758
coal,ultrasupercritical,3,1100,764.6,54.9,5027245,10,0.75,15,39.27,9.267878788,48.53787879,90.54,649.91,-24.15,-158786.25,61.45880597,-0.292727273,61.1660787
coal,ultrasupercritical,3,1200,834.1,53.95,5484207.5,10,0.75,15,38.59,9.267777778,47.85777778,98.77,708.985,-26.345,-173218.375,60.39458422,-0.292722222,60.101862
coal,ultrasupercritical,3,1300,903.6,53.1,5941170,10,0.75,15,37.99,9.267692308,47.25769231,107,768.06,-28.54,-187650.5,59.45556503,-0.292717949,59.16284708
coal,ultrasupercritical,3,1400,973.1,52.34,6398132.5,10,0.75,15,37.44,9.267619048,46.70761905,115.23,827.135,-30.735,-202082.625,58.59479744,-0.292714286,58.30208316
coal,ultrasupercritical,3,1500,1043,51.65,6857725,10,0.75,15,36.95,9.271111111,46.22111111,123.5,886.55,-32.95,-216646.25,57.82793177,-0.292888889,57.53504288
coal,ultrasupercritical,3,1600,1112,51.03,7311400,10,0.75,15,36.51,9.266666667,45.77666667,131.67,945.2,-35.13,-230979.75,57.1393177,-0.29275,56.8465677
