primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
lignite,subcritical,7,1900,10,0.75,1743,11460225,36.06,12.23157895,48.29157895,221.71,1457743.25,60.7953719,1.555859649,62.35123155
lignite,subcritical,7,2000,10,0.75,1835,12065125,35.82,12.23333333,48.05333333,233.41,1534670.75,60.3907438,1.556066667,61.94681047
lignite,subcritical,7,2100,10,0.75,1927,12670025,35.62,12.23492063,47.85492063,245.12,1611664,60.05355372,1.55631746,61.60987118
lignite,subcritical,7,2200,10,0.75,2018,13268350,35.42,12.23030303,47.65030303,256.69,1687736.75,59.71636364,1.55569697,61.27206061
lignite,subcritical,7,2300,10,0.75,2110,13873250,35.25,12.23188406,47.48188406,268.39,1764664.25,59.42975207,1.555884058,60.98563612
lignite,subcritical,7,2400,10,0.75,2202,14478150,35.08,12.23333333,47.31333333,280.1,1841657.5,59.1431405,1.556111111,60.69925161
lignite,subcritical,7,2500,10,0.75,2294,15083050,34.93,12.23466667,47.16466667,291.8,1918585,58.89024793,1.556266667,60.4465146
lignite,subcritical,10,100,10,0.75,91.83,603782.25,80.77,12.244,93.014,11.68,76796,136.1742149,1.557333333,137.7315482
lignite,subcritical,10,200,10,0.75,183.6,1207170,61.75,12.24,73.99,23.35,153526.25,104.107438,1.556666667,105.6641047
lignite,subcritical,10,300,10,0.75,275.3,1810097.5,54.17,12.23555556,66.40555556,35.02,230256.5,91.32793388,1.556444444,92.88437833
lignite,subcritical,10,400,10,0.75,367.1,2413682.5,49.85,12.23666667,62.08666667,46.7,307052.5,84.0446281,1.556666667,85.60129477
lignite,subcritical,10,500,10,0.75,458.8,3016610,46.96,12.23466667,59.19466667,58.36,383717,79.1722314,1.556266667,80.72849807
lignite,subcritical,10,600,10,0.75,550.6,3620195,44.85,12.23555556,57.08555556,70.04,460513,75.61487603,1.556444444,77.17132048
lignite,subcritical,10,700,10,0.75,642.3,4223122.5,43.23,12.23428571,55.46428571,81.7,537177.5,72.88363636,1.556190476,74.43982684
lignite,subcritical,10,800,10,0.75,734,4826050,41.91,12.23333333,54.14333333,93.37,613907.75,70.65818182,1.556166667,72.21434848
lignite,subcritical,10,900,10,0.75,825.8,5429635,40.81,12.23407407,53.04407407,105.04,690638,68.80363636,1.556148148,70.35978451
lignite,subcritical,10,1000,10,0.75,917.5,6032562.5,39.89,12.23333333,52.12333333,116.71,767368.25,67.25256198,1.556133333,68.80869532
lignite,subcritical,10,1100,10,0.75,1009,6634175,39.08,12.23030303,51.31030303,128.35,843901.25,65.88694215,1.555757576,67.44269972
lignite,subcritical,10,1200,10,0.75,1101,7239075,38.37,12.23333333,50.60333333,140.05,920828.75,64.68991736,1.556111111,66.24602847
lignite,subcritical,10,1300,10,0.75,1193,7843975,37.73,12.23589744,49.96589744,151.75,997756.25,63.61090909,1.556410256,65.16731935
lignite,subcritical,10,1400,10,0.75,1285,8448875,37.21,12.23809524,49.44809524,163.45,1074683.75,62.73421488,1.556666667,64.29088154
lignite,subcritical,10,1500,10,0.75,1376,9047200,36.8,12.23111111,49.03111111,175.03,1150822.25,62.04297521,1.555822222,63.59879743
lignite,subcritical,10,1600,10,0.75,1468,9652100,36.45,12.23333333,48.68333333,186.73,1227749.75,61.45289256,1.556083333,63.0089759
lignite,subcritical,10,1700,10,0.75,1560,10257000,36.13,12.23529412,48.36529412,198.43,1304677.25,60.91338843,1.556313725,62.46970216
lignite,subcritical,10,1800,10,0.75,1651,10855325,35.85,12.22962963,48.07962963,210.01,1380815.75,60.44132231,1.55562963,61.99695194
lignite,subcritical,10,1900,10,0.75,1743,11460225,35.59,12.23157895,47.82157895,221.71,1457743.25,60.00297521,1.555859649,61.55883486
lignite,subcritical,10,2000,10,0.75,1835,12065125,35.36,12.23333333,47.59333333,233.41,1534670.75,59.61520661,1.556066667,61.17127328
lignite,subcritical,10,2100,10,0.75,1927,12670025,35.15,12.23492063,47.38492063,245.12,1611664,59.26115702,1.55631746,60.81747449
lignite,subcritical,10,2200,10,0.75,2018,13268350,34.96,12.23030303,47.19030303,256.69,1687736.75,58.94082645,1.55569697,60.49652342
lignite,subcritical,10,2300,10,0.75,2110,13873250,34.79,12.23188406,47.02188406,268.39,1764664.25,58.65421488,1.555884058,60.21009893
lignite,subcritical,10,2400,10,0.75,2202,14478150,34.62,12.23333333,46.85333333,280.1,1841657.5,58.36760331,1.556111111,59.92371442
lignite,subcritical,10,2500,10,0.75,2294,15083050,34.47,12.23466667,46.70466667,291.8,1918585,58.11471074,1.556266667,59.67097741
lignite,subcritical,13,100,10,0.75,91.83,603782.25,79.8,12.244,92.044,11.68,76796,134.538843,1.557333333,136.0961763
lignite,subcritical,13,200,10,0.75,183.6,1207170,60.98,12.24,73.22,23.35,153526.25,102.8092562,1.556666667,104.3659229
lignite,subcritical,13,300,10,0.75,275.3,1810097.5,53.47,12.23555556,65.70555556,35.02,230256.5,90.1477686,1.556444444,91.70421304
lignite,subcritical,13,400,10,0.75,367.1,2413682.5,49.19,12.23666667,61.42666667,46.7,307052.5,82.93190083,1.556666667,84.48856749
lignite,subcritical,13,500,10,0.75,458.8,3016610,46.34,12.23466667,58.57466667,58.36,383717,78.12694215,1.556266667,79.68320882
lignite,subcritical,13,600,10,0.75,550.6,3620195,44.27,12.23555556,56.50555556,70.04,460513,74.63702479,1.556444444,76.19346924
lignite,subcritical,13,700,10,0.75,642.3,4223122.5,42.65,12.23428571,54.88428571,81.7,537177.5,71.90578512,1.556190476,73.4619756
lignite,subcritical,13,800,10,0.75,734,4826050,41.36,12.23333333,53.59333333,93.37,613907.75,69.73090909,1.556166667,71.28707576
lignite,subcritical,13,900,10,0.75,825.8,5429635,40.28,12.23407407,52.51407407,105.04,690638,67.91008264,1.556148148,69.46623079
lignite,subcritical,13,1000,10,0.75,917.5,6032562.5,39.36,12.23333333,51.59333333,116.71,767368.25,66.35900826,1.556133333,67.9151416
lignite,subcritical,13,1100,10,0.75,1009,6634175,38.56,12.23030303,50.79030303,128.35,843901.25,65.01024793,1.555757576,66.56600551
lignite,subcritical,13,1200,10,0.75,1101,7239075,37.86,12.23333333,50.09333333,140.05,920828.75,63.83008264,1.556111111,65.38619376
