primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
subbituminous,supercritical,7,1800,10,0.75,1508,9915100,36.43,11.17037037,47.60037037,201.35,1323876.25,58.60809623,1.491481481,60.09957772
subbituminous,supercritical,7,1900,10,0.75,1591,10460825,36.17,11.16491228,47.33491228,212.44,1396793,58.18981172,1.490807018,59.68061873
subbituminous,supercritical,7,2000,10,0.75,1675,11013125,35.95,11.16666667,47.11666667,223.65,1470498.75,57.83587866,1.491,59.32687866
subbituminous,supercritical,7,2100,10,0.75,1759,11565425,35.74,11.16825397,46.90825397,234.87,1544270.25,57.49803347,1.491238095,58.98927157
subbituminous,supercritical,7,2200,10,0.75,1843,12117725,35.55,11.16969697,46.71969697,246.09,1618041.75,57.19236402,1.491454545,58.68381856
subbituminous,supercritical,7,2300,10,0.75,1926,12663450,35.38,11.16521739,46.54521739,257.17,1690892.75,56.91887029,1.49084058,58.40971087
subbituminous,supercritical,7,2400,10,0.75,2010,13215750,35.22,11.16666667,46.38666667,268.38,1764598.5,56.66146444,1.491,58.15246444
subbituminous,supercritical,7,2500,10,0.75,2094,13768050,35.07,11.168,46.238,279.6,1838370,56.42014644,1.4912,57.91134644
subbituminous,supercritical,10,100,10,0.75,83.83,551182.25,77.02,11.17733333,88.19733333,11.19,73574.25,123.9087448,1.492,125.4007448
subbituminous,supercritical,10,200,10,0.75,167.6,1101970,59.82,11.17333333,70.99333333,22.38,147148.5,96.23761506,1.492,97.72961506
subbituminous,supercritical,10,300,10,0.75,251.3,1652297.5,52.93,11.16888889,64.09888889,33.55,220591.25,85.15307531,1.491111111,86.64418642
subbituminous,supercritical,10,400,10,0.75,335.1,2203282.5,48.98,11.17,60.15,44.74,294165.5,78.7983682,1.491333333,80.28970153
subbituminous,supercritical,10,500,10,0.75,418.8,2753610,46.34,11.168,57.508,55.92,367674,74.55117155,1.4912,76.04237155
subbituminous,supercritical,10,600,10,0.75,502.6,3304595,44.41,11.16888889,55.57888889,67.11,441248.25,71.44621339,1.491333333,72.93754672
subbituminous,supercritical,10,700,10,0.75,586.3,3854922.5,42.91,11.16761905,54.07761905,78.29,514756.75,69.03303347,1.491238095,70.52427157
subbituminous,supercritical,10,800,10,0.75,670.1,4405907.5,41.7,11.16833333,52.86833333,89.47,588265.25,67.08640167,1.491166667,68.57756834
subbituminous,supercritical,10,900,10,0.75,753.8,4956235,40.71,11.16740741,51.87740741,100.65,661773.75,65.49370293,1.491111111,66.98481404
subbituminous,supercritical,10,1000,10,0.75,837.6,5507220,39.85,11.168,51.018,111.84,735348,64.11014644,1.4912,65.60134644
subbituminous,supercritical,10,1100,10,0.75,921.4,6058205,39.11,11.16848485,50.27848485,123.03,808922.25,62.91964435,1.491272727,64.41091708
subbituminous,supercritical,10,1200,10,0.75,1005,6607875,38.46,11.16666667,49.62666667,134.19,882299.25,61.87393305,1.491,63.36493305
subbituminous,supercritical,10,1300,10,0.75,1089,7160175,37.88,11.16923077,49.04923077,145.41,956070.75,60.94083682,1.491384615,62.43222144
subbituminous,supercritical,10,1400,10,0.75,1173,7712475,37.35,11.17142857,48.52142857,156.62,1029776.5,60.08817992,1.491619048,61.57979896
subbituminous,supercritical,10,1500,10,0.75,1256,8258200,36.88,11.16444444,48.04444444,167.71,1102693.25,59.33205021,1.490755556,60.82280576
subbituminous,supercritical,10,1600,10,0.75,1340,8810500,36.54,11.16666667,47.70666667,178.92,1176399,58.78506276,1.491,60.27606276
subbituminous,supercritical,10,1700,10,0.75,1424,9362800,36.22,11.16862745,47.38862745,190.14,1250170.5,58.27025105,1.491294118,59.76154516
subbituminous,supercritical,10,1800,10,0.75,1508,9915100,35.95,11.17037037,47.12037037,201.35,1323876.25,57.83587866,1.491481481,59.32736014
subbituminous,supercritical,10,1900,10,0.75,1591,10460825,35.7,11.16491228,46.86491228,212.44,1396793,57.43368201,1.490807018,58.92448903
subbituminous,supercritical,10,2000,10,0.75,1675,11013125,35.47,11.16666667,46.63666667,223.65,1470498.75,57.06366109,1.491,58.55466109
subbituminous,supercritical,10,2100,10,0.75,1759,11565425,35.27,11.16825397,46.43825397,234.87,1544270.25,56.74190377,1.491238095,58.23314186
subbituminous,supercritical,10,2200,10,0.75,1843,12117725,35.08,11.16969697,46.24969697,246.09,1618041.75,56.43623431,1.491454545,57.92768886
subbituminous,supercritical,10,2300,10,0.75,1926,12663450,34.91,11.16521739,46.07521739,257.17,1690892.75,56.16274059,1.49084058,57.65358117
subbituminous,supercritical,10,2400,10,0.75,2010,13215750,34.76,11.16666667,45.92666667,268.38,1764598.5,55.92142259,1.491,57.41242259
subbituminous,supercritical,10,2500,10,0.75,2094,13768050,34.62,11.168,45.788,279.6,1838370,55.69619247,1.4912,57.18739247
subbituminous,supercritical,13,100,10,0.75,83.83,551182.25,76.16,11.17733333,87.33733333,11.19,73574.25,122.5251883,1.492,124.0171883
subbituminous,supercritical,13,200,10,0.75,167.6,1101970,59.06,11.17333333,70.23333333,22.38,147148.5,95.01493724,1.492,96.50693724
subbituminous,supercritical,13,300,10,0.75,251.3,1652297.5,52.23,11.16888889,63.39888889,33.55,220591.25,84.02692469,1.491111111,85.5180358
subbituminous,supercritical,13,400,10,0.75,335.1,2203282.5,48.33,11.17,59.5,44.74,294165.5,77.7526569,1.491333333,79.24399024
subbituminous,supercritical,13,500,10,0.75,418.8,2753610,45.72,11.168,56.888,55.92,367674,73.55372385,1.4912,75.04492385
subbituminous,supercritical,13,600,10,0.75,502.6,3304595,43.81,11.16888889,54.97888889,67.11,441248.25,70.48094142,1.491333333,71.97227476
subbituminous,supercritical,13,700,10,0.75,586.3,3854922.5,42.33,11.16761905,53.49761905,78.29,514756.75,68.09993724,1.491238095,69.59117533
subbituminous,supercritical,13,800,10,0.75,670.1,4405907.5,41.15,11.16833333,52.31833333,89.47,588265.25,66.20156904,1.491166667,67.6927357
subbituminous,supercritical,13,900,10,0.75,753.8,4956235,40.16,11.16740741,51.32740741,100.65,661773.75,64.60887029,1.491111111,66.0999814
subbituminous,supercritical,13,1000,10,0.75,837.6,5507220,39.32,11.168,50.488,111.84,735348,63.25748954,1.4912,64.74868954
subbituminous,supercritical,13,1100,10,0.75,921.4,6058205,38.58,11.16848485,49.74848485,123.03,808922.25,62.06698745,1.491272727,63.55826017
subbituminous,supercritical,13,1200,10,0.75,1005,6607875,37.94,11.16666667,49.10666667,134.19,882299.25,61.03736402,1.491,62.52836402
subbituminous,supercritical,13,1300,10,0.75,1089,7160175,37.37,11.16923077,48.53923077,145.41,956070.75,60.12035565,1.491384615,61.61174026
subbituminous,supercritical,13,1400,10,0.75,1173,7712475,36.85,11.17142857,48.02142857,156.62,1029776.5,59.28378661,1.491619048,60.77540566
subbituminous,supercritical,13,1500,10,0.75,1256,8258200,36.39,11.16444444,47.55444444,167.71,1102693.25,58.54374477,1.490755556,60.03450033
subbituminous,supercritical,13,1600,10,0.75,1340,8810500,36.04,11.16666667,47.20666667,178.92,1176399,57.98066946,1.491,59.47166946
subbituminous,supercritical,13,1700,10,0.75,1424,9362800,35.74,11.16862745,46.90862745,190.14,1250170.5,57.49803347,1.491294118,58.98932759
subbituminous,supercritical,13,1800,10,0.75,1508,9915100,35.47,11.17037037,46.64037037,201.35,1323876.25,57.06366109,1.491481481,58.55514257
subbituminous,supercritical,13,1900,10,0.75,1591,10460825,35.23,11.16491228,46.39491228,212.44,1396793,56.6775523,1.490807018,58.16835932
subbituminous,supercritical,13,2000,10,0.75,1675,11013125,35,11.16666667,46.16666667,223.65,1470498.75,56.30753138,1.491,57.79853138
subbituminous,supercritical,13,2100,10,0.75,1759,11565425,34.8,11.16825397,45.96825397,234.87,1544270.25,55.98577406,1.491238095,57.47701215
subbituminous,supercritical,13,2200,10,0.75,1843,12117725,34.62,11.16969697,45.78969697,246.09,1618041.75,55.69619247,1.491454545,57.18764701
subbituminous,supercritical,13,2300,10,0.75,1926,12663450,34.45,11.16521739,45.61521739,257.17,1690892.75,55.42269874,1.49084058,56.91353932
subbituminous,supercritical,13,2400,10,0.75,2010,13215750,34.3,11.16666667,45.46666667,268.38,1764598.5,55.18138075,1.491,56.67238075
subbituminous,supercritical,13,2500,10,0.75,2094,13768050,34.15,11.168,45.318,279.6,1838370,54.94006276,1.4912,56.43126276
subbituminous,supercritical,17,100,10,0.75,83.83,551182.25,74.93,11.17733333,86.10733333,11.19,73574.25,120.5463808,1.492,122.0383808
subbituminous,supercritical,17,200,10,0.75,167.6,1101970,58.03,11.17333333,69.20333333,22.38,147148.5,93.35788703,1.492,94.84988703
subbituminous,supercritical,17,300,10,0.75,251.3,1652297.5,51.3,11.16888889,62.46888889,33.55,220591.25,82.53075314,1.491111111,84.02186425
subbituminous,supercritical,17,400,10,0.75,335.1,2203282.5,47.45,11.17,58.62,44.74,294165.5,76.33692469,1.491333333,77.82825802
subbituminous,supercritical,17,500,10,0.75,418.8,2753610,44.89,11.168,56.058,55.92,367674,72.21843096,1.4912,73.70963096
subbituminous,supercritical,17,600,10,0.75,502.6,3304595,43.01,11.16888889,54.17888889,67.11,441248.25,69.19391213,1.491333333,70.68524547
subbituminous,supercritical,17,700,10,0.75,586.3,3854922.5,41.57,11.16761905,52.73761905,78.29,514756.75,66.87725941,1.491238095,68.36849751
subbituminous,supercritical,17,800,10,0.75,670.1,4405907.5,40.39,11.16833333,51.55833333,89.47,588265.25,64.97889121,1.491166667,66.47005788
subbituminous,supercritical,17,900,10,0.75,753.8,4956235,39.42,11.16740741,50.58740741,100.65,661773.75,63.4183682,1.491111111,64.90947931
subbituminous,supercritical,17,1000,10,0.75,837.6,5507220,38.6,11.168,49.768,111.84,735348,62.09916318,1.4912,63.59036318
subbituminous,supercritical,17,1100,10,0.75,921.4,6058205,37.88,11.16848485,49.04848485,123.03,808922.25,60.94083682,1.491272727,62.43210955
subbituminous,supercritical,17,1200,10,0.75,1005,6607875,37.25,11.16666667,48.41666667,134.19,882299.25,59.92730126,1.491,61.41830126
subbituminous,supercritical,17,1300,10,0.75,1089,7160175,36.7,11.16923077,47.86923077,145.41,956070.75,59.04246862,1.491384615,60.53385323
subbituminous,supercritical,17,1400,10,0.75,1173,7712475,36.19,11.17142857,47.36142857,156.62,1029776.5,58.22198745,1.491619048,59.7136065
subbituminous,supercritical,17,1500,10,0.75,1256,8258200,35.73,11.16444444,46.89444444,167.71,1102693.25,57.48194561,1.490755556,58.97270116
subbituminous,supercritical,17,1600,10,0.75,1340,8810500,35.39,11.16666667,46.55666667,178.92,1176399,56.93495816,1.491,58.42595816
subbituminous,supercritical,17,1700,10,0.75,1424,9362800,35.1,11.16862745,46.26862745,190.14,1250170.5,56.46841004,1.491294118,57.95970416
subbituminous,supercritical,17,1800,10,0.75,1508,9915100,34.83,11.17037037,46.00037037,201.35,1323876.25,56.03403766,1.491481481,57.52551914
subbituminous,supercritical,17,1900,10,0.75,1591,10460825,34.59,11.16491228,45.75491228,212.44,1396793,55.64792887,1.490807018,57.13873589
subbituminous,supercritical,17,2000,10,0.75,1675,11013125,34.37,11.16666667,45.53666667,223.65,1470498.75,55.29399582,1.491,56.78499582
subbituminous,supercritical,17,2100,10,0.75,1759,11565425,34.18,11.16825397,45.34825397,234.87,1544270.25,54.98832636,1.491238095,56.47956446
subbituminous,supercritical,17,2200,10,0.75,1843,12117725,33.99,11.16969697,45.15969697,246.09,1618041.75,54.6826569,1.491454545,56.17411145
subbituminous,supercritical,17,2300,10,0.75,1926,12663450,33.83,11.16521739,44.99521739,257.17,1690892.75,54.42525105,1.49084058,55.91609163
subbituminous,supercritical,17,2400,10,0.75,2010,13215750,33.68,11.16666667,44.84666667,268.38,1764598.5,54.18393305,1.491,55.67493305
subbituminous,supercritical,17,2500,10,0.75,2094,13768050,33.54,11.168,44.708,279.6,1838370,53.95870293,1.4912,55.44990293
subbituminous,supercritical,20,100,10,0.75,83.83,551182.25,73.98,11.17733333,85.15733333,11.19,73574.25,119.0180335,1.492,120.5100335
subbituminous,supercritical,20,200,10,0.75,167.6,1101970,57.25,11.17333333,68.42333333,22.38,147148.5,92.10303347,1.492,93.59503347
subbituminous,supercritical,20,300,10,0.75,251.3,1652297.5,50.59,11.16888889,61.75888889,33.55,220591.25,81.38851464,1.491111111,82.87962576
subbituminous,supercritical,20,400,10,0.75,335.1,2203282.5,46.79,11.17,57.96,44.74,294165.5,75.27512552,1.491333333,76.76645886
subbituminous,supercritical,20,500,10,0.75,418.8,2753610,44.27,11.168,55.438,55.92,367674,71.22098326,1.4912,72.71218326
subbituminous,supercritical,20,600,10,0.75,502.6,3304595,42.41,11.16888889,53.57888889,67.11,441248.25,68.22864017,1.491333333,69.7199735
subbituminous,supercritical,20,700,10,0.75,586.3,3854922.5,40.99,11.16761905,52.15761905,78.29,514756.75,65.94416318,1.491238095,67.43540128
subbituminous,supercritical,20,800,10,0.75,670.1,4405907.5,39.84,11.16833333,51.00833333,89.47,588265.25,64.09405858,1.491166667,65.58522524
subbituminous,supercritical,20,900,10,0.75,753.8,4956235,38.88,11.16740741,50.04740741,100.65,661773.75,62.54962343,1.491111111,64.04073454
subbituminous,supercritical,20,1000,10,0.75,837.6,5507220,38.06,11.168,49.228,111.84,735348,61.23041841,1.4912,62.72161841
subbituminous,supercritical,20,1100,10,0.75,921.4,6058205,37.36,11.16848485,48.52848485,123.03,808922.25,60.10426778,1.491272727,61.59554051
subbituminous,supercritical,20,1200,10,0.75,1005,6607875,36.74,11.16666667,47.90666667,134.19,882299.25,59.10682008,1.491,60.59782008
subbituminous,supercritical,20,1300,10,0.75,1089,7160175,36.19,11.16923077,47.35923077,145.41,956070.75,58.22198745,1.491384615,59.71337206
subbituminous,supercritical,20,1400,10,0.75,1173,7712475,35.69,11.17142857,46.86142857,156.62,1029776.5,57.41759414,1.491619048,58.90921319
subbituminous,supercritical,20,1500,10,0.75,1256,8258200,35.23,11.16444444,46.39444444,167.71,1102693.25,56.6775523,1.490755556,58.16830786
subbituminous,supercritical,20,1600,10,0.75,1340,8810500,34.91,11.16666667,46.07666667,178.92,1176399,56.16274059,1.491,57.65374059
subbituminous,supercritical,20,1700,10,0.75,1424,9362800,34.61,11.16862745,45.77862745,190.14,1250170.5,55.6801046,1.491294118,57.17139872
subbituminous,supercritical,20,1800,10,0.75,1508,9915100,34.35,11.17037037,45.52037037,201.35,1323876.25,55.26182008,1.491481481,56.75330157
subbituminous,supercritical,20,1900,10,0.75,1591,10460825,34.12,11.16491228,45.28491228,212.44,1396793,54.89179916,1.490807018,56.38260618
subbituminous,supercritical,20,2000,10,0.75,1675,11013125,33.9,11.16666667,45.06666667,223.65,1470498.75,54.53786611,1.491,56.02886611
subbituminous,supercritical,20,2100,10,0.75,1759,11565425,33.71,11.16825397,44.87825397,234.87,1544270.25,54.23219665,1.491238095,55.72343475
subbituminous,supercritical,20,2200,10,0.75,1843,12117725,33.53,11.16969697,44.69969697,246.09,1618041.75,53.94261506,1.491454545,55.43406961
subbituminous,supercritical,20,2300,10,0.75,1926,12663450,33.37,11.16521739,44.53521739,257.17,1690892.75,53.68520921,1.49084058,55.17604978
subbituminous,supercritical,20,2400,10,0.75,2010,13215750,33.22,11.16666667,44.38666667,268.38,1764598.5,53.44389121,1.491,54.93489121
subbituminous,supercritical,20,2500,10,0.75,2094,13768050,33.08,11.168,44.248,279.6,1838370,53.21866109,1.4912,54.70986109
subbituminous,supercritical,23,100,10,0.75,83.83,551182.25,73.12,11.17733333,84.29733333,11.19,73574.25,117.634477,1.492,119.126477
subbituminous,supercritical,23,200,10,0.75,167.6,1101970,56.49,11.17333333,67.66333333,22.38,147148.5,90.88035565,1.492,92.37235565
subbituminous,supercritical,23,300,10,0.75,251.3,1652297.5,49.89,11.16888889,61.05888889,33.55,220591.25,80.26236402,1.491111111,81.75347513
subbituminous,supercritical,23,400,10,0.75,335.1,2203282.5,46.14,11.17,57.31,44.74,294165.5,74.22941423,1.491333333,75.72074756
subbituminous,supercritical,23,500,10,0.75,418.8,2753610,43.64,11.168,54.808,55.92,367674,70.2074477,1.4912,71.6986477
subbituminous,supercritical,23,600,10,0.75,502.6,3304595,41.82,11.16888889,52.98888889,67.11,441248.25,67.27945607,1.491333333,68.7707894
subbituminous,supercritical,23,700,10,0.75,586.3,3854922.5,40.41,11.16761905,51.57761905,78.29,514756.75,65.01106695,1.491238095,66.50230504
subbituminous,supercritical,23,800,10,0.75,670.1,4405907.5,39.27,11.16833333,50.43833333,89.47,588265.25,63.17705021,1.491166667,64.66821688
subbituminous,supercritical,23,900,10,0.75,753.8,4956235,38.33,11.16740741,49.49740741,100.65,661773.75,61.66479079,1.491111111,63.15590191
subbituminous,supercritical,23,1000,10,0.75,837.6,5507220,37.53,11.168,48.698,111.84,735348,60.37776151,1.4912,61.86896151
subbituminous,supercritical,23,1100,10,0.75,921.4,6058205,36.83,11.16848485,47.99848485,123.03,808922.25,59.25161088,1.491272727,60.74288361
subbituminous,supercritical,23,1200,10,0.75,1005,6607875,36.22,11.16666667,47.38666667,134.19,882299.25,58.27025105,1.491,59.76125105
