primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
anthracite,supercritical,7,1600,10,0.75,968.5,52.18,6367887.5,38.19,8.070833333,46.26083333,112.18,737583.5,61.43956067,0.934833333,62.374394
anthracite,supercritical,7,1700,10,0.75,1029,51.81,6765675,37.92,8.070588235,45.99058824,119.18,783608.5,61.00518828,0.934745098,61.93993338
anthracite,supercritical,7,1800,10,0.75,1090,51.49,7166750,37.69,8.074074074,45.76407407,126.25,830093.75,60.63516736,0.935185185,61.57035255
anthracite,supercritical,7,1900,10,0.75,1150,51.19,7561250,37.47,8.070175439,45.54017544,133.2,875790,60.28123431,0.934736842,61.21597115
anthracite,supercritical,7,2000,10,0.75,1211,50.93,7962325,37.28,8.073333333,45.35333333,140.26,922209.5,59.97556485,0.935066667,60.91063152
anthracite,supercritical,7,2100,10,0.75,1271,50.69,8356825,37.1,8.06984127,45.16984127,147.21,967905.75,59.68598326,0.934666667,60.62064993
anthracite,supercritical,7,2200,10,0.75,1332,50.47,8757900,36.94,8.072727273,45.01272727,154.28,1014391,59.42857741,0.935030303,60.36360771
anthracite,supercritical,7,2300,10,0.75,1392,50.28,9152400,36.8,8.069565217,44.86956522,161.23,1060087.25,59.20334728,0.934666667,60.13801395
anthracite,supercritical,7,2400,10,0.75,1453,50.1,9553475,36.67,8.072222222,44.74222222,168.29,1106506.75,58.99420502,0.934944444,59.92914947
anthracite,supercritical,7,2500,10,0.75,1513,49.93,9947975,36.54,8.069333333,44.60933333,175.24,1152203,58.78506276,0.934613333,59.71967609
anthracite,supercritical,10,100,10,0.75,60.58,101.8,398313.5,74.51,8.077333333,82.58733333,7.02,46156.5,119.8706904,0.936,120.8066904
anthracite,supercritical,10,200,10,0.75,121.1,80.21,796232.5,58.71,8.073333333,66.78333333,14.03,92247.25,94.45186192,0.935333333,95.38719526
anthracite,supercritical,10,300,10,0.75,181.6,71.63,1194020,52.43,8.071111111,60.50111111,21.03,138272.25,84.34868201,0.934666667,85.28334868
anthracite,supercritical,10,400,10,0.75,242.2,66.76,1592465,48.86,8.073333333,56.93333333,28.05,184428.75,78.60531381,0.935,79.54031381
anthracite,supercritical,10,500,10,0.75,302.7,63.51,1990252.5,46.48,8.072,54.552,35.06,230519.5,74.77640167,0.934933333,75.71133501
anthracite,supercritical,10,600,10,0.75,363.2,61.15,2388040,44.76,8.071111111,52.83111111,42.07,276610.25,72.0092887,0.934888889,72.94417759
