primary_fuel,generation_technology,capacity_MW,amortization_rate,carbon_price_ton,capacity_factor,CO2_emission_rate_ton_hr,CO2_emission_annual,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
coal,IGCC,300,3,10,0.75,245,1609650,62.06,10.88888889,72.94888889,25.5,167662.5,78.87547758,1.133333333,80.00881092
coal,IGCC,300,7,10,0.75,245,1609650,61.74,10.88888889,72.62888889,25.5,167662.5,78.46877193,1.133333333,79.60210526
coal,IGCC,300,10,10,0.75,245,1609650,61.51,10.88888889,72.39888889,25.5,167662.5,78.17645224,1.133333333,79.30978558
coal,IGCC,300,13,10,0.75,245,1609650,61.26,10.88888889,72.14888889,25.5,167662.5,77.85871345,1.133333333,78.99204678
coal,IGCC,300,17,10,0.75,245,1609650,60.95,10.88888889,71.83888889,25.5,167662.5,77.46471735,1.133333333,78.59805068
coal,IGCC,300,20,10,0.75,245,1609650,60.71,10.88888889,71.59888889,25.5,167662.5,77.15968811,1.133333333,78.29302144
coal,IGCC,300,23,10,0.75,245,1609650,60.47,10.88888889,71.35888889,25.5,167662.5,76.85465887,1.133333333,77.9879922
coal,IGCC,300,27,10,0.75,245,1609650,60.15,10.88888889,71.03888889,25.5,167662.5,76.44795322,1.133333333,77.58128655
coal,IGCC,300,30,10,0.75,245,1609650,59.91,10.88888889,70.79888889,25.5,167662.5,76.14292398,1.133333333,77.27625731
coal,IGCC,300,33,10,0.75,245,1609650,59.67,10.88888889,70.55888889,25.5,167662.5,75.83789474,1.133333333,76.97122807
coal,IGCC,300,37,10,0.75,245,1609650,59.36,10.88888889,70.24888889,25.5,167662.5,75.44389864,1.133333333,76.57723197
coal,IGCC,300,40,10,0.75,245,1609650,59.11,10.88888889,69.99888889,25.5,167662.5,75.12615984,1.133333333,76.25949318
coal,IGCC,300,43,10,0.75,245,1609650,58.88,10.88888889,69.76888889,25.5,167662.5,74.83384016,1.133333333,75.96717349
coal,IGCC,300,47,10,0.75,245,1609650,58.56,10.88888889,69.44888889,25.5,167662.5,74.4271345,1.133333333,75.56046784
coal,IGCC,300,50,10,0.75,245,1609650,58.32,10.88888889,69.20888889,25.5,167662.5,74.12210526,1.133333333,75.2554386
coal,IGCC,300,53,10,0.75,245,1609650,58.08,10.88888889,68.96888889,25.5,167662.5,73.81707602,1.133333333,74.95040936
coal,IGCC,300,57,10,0.75,245,1609650,57.76,10.88888889,68.64888889,25.5,167662.5,73.41037037,1.133333333,74.5437037
coal,IGCC,300,60,10,0.75,245,1609650,57.52,10.88888889,68.40888889,25.5,167662.5,73.10534113,1.133333333,74.23867446
coal,IGCC,300,63,10,0.75,245,1609650,57.29,10.88888889,68.17888889,25.5,167662.5,72.81302144,1.133333333,73.94635478
coal,IGCC,300,67,10,0.75,245,1609650,56.96,10.88888889,67.84888889,25.5,167662.5,72.39360624,1.133333333,73.52693957
coal,IGCC,300,70,10,0.75,245,1609650,56.73,10.88888889,67.61888889,25.5,167662.5,72.10128655,1.133333333,73.23461988
coal,IGCC,300,73,10,0.75,245,1609650,56.49,10.88888889,67.37888889,25.5,167662.5,71.79625731,1.133333333,72.92959064
coal,IGCC,300,77,10,0.75,245,1609650,56.17,10.88888889,67.05888889,25.5,167662.5,71.38955166,1.133333333,72.52288499
coal,IGCC,300,80,10,0.75,245,1609650,55.93,10.88888889,66.81888889,25.5,167662.5,71.08452242,1.133333333,72.21785575
coal,IGCC,300,83,10,0.75,245,1609650,55.69,10.88888889,66.57888889,25.5,167662.5,70.77949318,1.133333333,71.91282651
coal,IGCC,300,87,10,0.75,245,1609650,55.37,10.88888889,66.25888889,25.5,167662.5,70.37278752,1.133333333,71.50612086
coal,IGCC,300,90,10,0.75,245,1609650,55.14,10.88888889,66.02888889,25.5,167662.5,70.08046784,1.133333333,71.21380117
coal,IGCC,300,93,10,0.75,245,1609650,54.89,10.88888889,65.77888889,25.5,167662.5,69.76272904,1.133333333,70.89606238
coal,IGCC,300,97,10,0.75,245,1609650,54.58,10.88888889,65.46888889,25.5,167662.5,69.36873294,1.133333333,70.50206628
coal,IGCC,300,100,10,0.75,245,1609650,54.34,10.88888889,65.22888889,25.5,167662.5,69.0637037,1.133333333,70.19703704
coal,IGCC,600,3,10,0.75,490,3219300,51.3,10.88888889,62.18888889,51,335325,65.2,1.133333333,66.33333333
coal,IGCC,600,7,10,0.75,490,3219300,51,10.88888889,61.88888889,51,335325,64.81871345,1.133333333,65.95204678
coal,IGCC,600,10,10,0.75,490,3219300,50.77,10.88888889,61.65888889,51,335325,64.52639376,1.133333333,65.6597271
coal,IGCC,600,13,10,0.75,490,3219300,50.55,10.88888889,61.43888889,51,335325,64.24678363,1.133333333,65.38011696
coal,IGCC,600,17,10,0.75,490,3219300,50.25,10.88888889,61.13888889,51,335325,63.86549708,1.133333333,64.99883041
coal,IGCC,600,20,10,0.75,490,3219300,50.02,10.88888889,60.90888889,51,335325,63.57317739,1.133333333,64.70651072
coal,IGCC,600,23,10,0.75,490,3219300,49.79,10.88888889,60.67888889,51,335325,63.2808577,1.133333333,64.41419103
coal,IGCC,600,27,10,0.75,490,3219300,49.49,10.88888889,60.37888889,51,335325,62.89957115,1.133333333,64.03290448
coal,IGCC,600,30,10,0.75,490,3219300,49.26,10.88888889,60.14888889,51,335325,62.60725146,1.133333333,63.7405848
coal,IGCC,600,33,10,0.75,490,3219300,49.04,10.88888889,59.92888889,51,335325,62.32764133,1.133333333,63.46097466
coal,IGCC,600,37,10,0.75,490,3219300,48.73,10.88888889,59.61888889,51,335325,61.93364522,1.133333333,63.06697856
coal,IGCC,600,40,10,0.75,490,3219300,48.51,10.88888889,59.39888889,51,335325,61.65403509,1.133333333,62.78736842
coal,IGCC,600,43,10,0.75,490,3219300,48.28,10.88888889,59.16888889,51,335325,61.3617154,1.133333333,62.49504873
coal,IGCC,600,47,10,0.75,490,3219300,47.98,10.88888889,58.86888889,51,335325,60.98042885,1.133333333,62.11376218
coal,IGCC,600,50,10,0.75,490,3219300,47.76,10.88888889,58.64888889,51,335325,60.70081871,1.133333333,61.83415205
coal,IGCC,600,53,10,0.75,490,3219300,47.53,10.88888889,58.41888889,51,335325,60.40849903,1.133333333,61.54183236
coal,IGCC,600,57,10,0.75,490,3219300,47.23,10.88888889,58.11888889,51,335325,60.02721248,1.133333333,61.16054581
coal,IGCC,600,60,10,0.75,490,3219300,47.01,10.88888889,57.89888889,51,335325,59.74760234,1.133333333,60.88093567
coal,IGCC,600,63,10,0.75,490,3219300,46.78,10.88888889,57.66888889,51,335325,59.45528265,1.133333333,60.58861598
coal,IGCC,600,67,10,0.75,490,3219300,46.48,10.88888889,57.36888889,51,335325,59.0739961,1.133333333,60.20732943
coal,IGCC,600,70,10,0.75,490,3219300,46.25,10.88888889,57.13888889,51,335325,58.78167641,1.133333333,59.91500975
coal,IGCC,600,73,10,0.75,490,3219300,46.03,10.88888889,56.91888889,51,335325,58.50206628,1.133333333,59.63539961
coal,IGCC,600,77,10,0.75,490,3219300,45.72,10.88888889,56.60888889,51,335325,58.10807018,1.133333333,59.24140351
coal,IGCC,600,80,10,0.75,490,3219300,45.49,10.88888889,56.37888889,51,335325,57.81575049,1.133333333,58.94908382
coal,IGCC,600,83,10,0.75,490,3219300,45.27,10.88888889,56.15888889,51,335325,57.53614035,1.133333333,58.66947368
coal,IGCC,600,87,10,0.75,490,3219300,44.97,10.88888889,55.85888889,51,335325,57.1548538,1.133333333,58.28818713
coal,IGCC,600,90,10,0.75,490,3219300,44.74,10.88888889,55.62888889,51,335325,56.86253411,1.133333333,57.99586745
coal,IGCC,600,93,10,0.75,490,3219300,44.52,10.88888889,55.40888889,51,335325,56.58292398,1.133333333,57.71625731
coal,IGCC,600,97,10,0.75,490,3219300,44.22,10.88888889,55.10888889,51,335325,56.20163743,1.133333333,57.33497076
coal,IGCC,600,100,10,0.75,490,3219300,43.99,10.88888889,54.87888889,51,335325,55.90931774,1.133333333,57.04265107
