voltage_level,line_colour,outline_colour,line_width,outline_width,pylon_icon,icon_size
L,#ffffff,#895A5A,1m,4m,pylon_low_icon,50m
M,#33DBFC,#895A5A,2m,6m,pylon_medium_icon,60m
H,#036FFC,#895A5A,4m,8m,pylon_high_icon,70m
S,#003479,#895A5A,6m,12m,pylon_superhigh_icon,80m
SubL,#ffffff,#895A5A,1m,4m,substation_icon,50m
SubM,#33DBFC,#895A5A,2m,6m,substation_icon,50m
SubH,#036FFC,#895A5A,4m,8m,substation_icon,50m
SubS,#003479,#895A5A,6m,12m,substation_icon,50m
