voltage_level,line_colour,outline_colour,line_width,outline_width,pylon_icon,icon_size
L,#ffffff,#895A5A,1,3,pylon_low_icon,25m
M,#FCAC46,#895A5A,1,3,pylon_medium_icon,30m
H,#BE1500,#895A5A,2,4,pylon_high_icon,37m
S,#BE1500,#895A5A,3,5,pylon_superhigh_icon,42m
