primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
coal_biomass,supercritical,7,1800,10,0.75,1156.8,7605960,36,8.568888889,44.56888889,143.95,946471.25,57.91631799,1.066296296,58.98261429
coal_biomass,supercritical,7,1900,10,0.75,1221.6,8032020,35.74,8.572631579,44.31263158,152.02,999531.5,57.49803347,1.066807018,58.56484049
coal_biomass,supercritical,7,2000,10,0.75,1285.6,8452820,35.51,8.570666667,44.08066667,159.98,1051868.5,57.12801255,1.066533333,58.19454589
coal_biomass,supercritical,7,2100,10,0.75,1349.6,8873620,35.29,8.568888889,43.85888889,167.94,1104205.5,56.7740795,1.066285714,57.84036521
coal_biomass,supercritical,7,2200,10,0.75,1414.4,9299680,35.1,8.572121212,43.67212121,176.01,1157265.75,56.46841004,1.066727273,57.53513731
coal_biomass,supercritical,7,2300,10,0.75,1478.4,9720480,34.92,8.570434783,43.49043478,183.97,1209602.75,56.17882845,1.066492754,57.24532121
coal_biomass,supercritical,7,2400,10,0.75,1542.4,10141280,34.76,8.568888889,43.32888889,191.94,1262005.5,55.92142259,1.066333333,56.98775593
coal_biomass,supercritical,7,2500,10,0.75,1607.2,10567340,34.61,8.571733333,43.18173333,200,1315000,55.6801046,1.066666667,56.74677127
coal_biomass,supercritical,10,100,10,0.75,64.336,423009.2,78.74,8.578133333,87.31813333,8.01,52665.75,126.6758577,1.068,127.7438577
coal_biomass,supercritical,10,200,10,0.75,128.64,845808,60.52,8.576,69.096,16.01,105265.75,97.36376569,1.067333333,98.43109902
coal_biomass,supercritical,10,300,10,0.75,192.88,1268186,53.25,8.572444444,61.82244444,24,157800,85.66788703,1.066666667,86.7345537
coal_biomass,supercritical,10,400,10,0.75,257.12,1690564,49.1,8.570666667,57.67066667,32,210400,78.99142259,1.066666667,80.05808926
coal_biomass,supercritical,10,500,10,0.75,321.44,2113468,46.34,8.571733333,54.91173333,40,263000,74.55117155,1.066666667,75.61783821
coal_biomass,supercritical,10,600,10,0.75,385.68,2535846,44.32,8.570666667,52.89066667,47.99,315534.25,71.30142259,1.066444444,72.36786704
coal_biomass,supercritical,10,700,10,0.75,450,2958750,42.75,8.571428571,51.32142857,56,368200,68.77562762,1.066666667,69.84229428
coal_biomass,supercritical,10,800,10,0.75,514.24,3381128,41.49,8.570666667,50.06066667,63.99,420734.25,66.74855649,1.0665,67.81505649
