primary_fuel,generation_technology,capacity_MW,amortization_rate,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh,age
natural_gas,CCGT,100,47,10,0.75,23,151110,58.56,3.066666667,61.62666667,1.29,8481.75,82.96,0.172,83.132,14
natural_gas,CCGT,100,50,10,0.75,23,151110,58.18,3.066666667,61.24666667,1.29,8481.75,82.42166667,0.172,82.59366667,15
natural_gas,CCGT,100,53,10,0.75,23,151110,57.8,3.066666667,60.86666667,1.29,8481.75,81.88333333,0.172,82.05533333,16
natural_gas,CCGT,100,57,10,0.75,23,151110,57.29,3.066666667,60.35666667,1.29,8481.75,81.16083333,0.172,81.33283333,17
natural_gas,CCGT,100,60,10,0.75,23,151110,56.91,3.066666667,59.97666667,1.29,8481.75,80.6225,0.172,80.7945,18
natural_gas,CCGT,100,63,10,0.75,23,151110,56.54,3.066666667,59.60666667,1.29,8481.75,80.09833333,0.172,80.27033333,19
natural_gas,CCGT,100,67,10,0.75,23,151110,56.03,3.066666667,59.09666667,1.29,8481.75,79.37583333,0.172,79.54783333,20
natural_gas,CCGT,100,70,10,0.75,23,151110,55.66,3.066666667,58.72666667,1.29,8481.75,78.85166667,0.172,79.02366667,21
natural_gas,CCGT,100,73,10,0.75,23,151110,55.28,3.066666667,58.34666667,1.29,8481.75,78.31333333,0.172,78.48533333,22
natural_gas,CCGT,100,77,10,0.75,23,151110,54.78,3.066666667,57.84666667,1.29,8481.75,77.605,0.172,77.777,23
natural_gas,CCGT,100,80,10,0.75,23,151110,54.4,3.066666667,57.46666667,1.29,8481.75,77.06666667,0.172,77.23866667,24
natural_gas,CCGT,100,83,10,0.75,23,151110,54.02,3.066666667,57.08666667,1.29,8481.75,76.52833333,0.172,76.70033333,25
natural_gas,CCGT,100,87,10,0.75,23,151110,53.52,3.066666667,56.58666667,1.29,8481.75,75.82,0.172,75.992,26
natural_gas,CCGT,100,90,10,0.75,23,151110,53.15,3.066666667,56.21666667,1.29,8481.75,75.29583333,0.172,75.46783333,27
natural_gas,CCGT,100,93,10,0.75,23,151110,52.77,3.066666667,55.83666667,1.29,8481.75,74.7575,0.172,74.9295,28
natural_gas,CCGT,100,97,10,0.75,23,151110,52.27,3.066666667,55.33666667,1.29,8481.75,74.04916667,0.172,74.22116667,29
natural_gas,CCGT,100,100,10,0.75,23,151110,51.89,3.066666667,54.95666667,1.29,8481.75,73.51083333,0.172,73.68283333,30
natural_gas,CCGT,300,3,10,0.75,107,702990,61.03,4.755555556,65.78555556,6,39450,86.45916667,0.266666667,86.72583333,1
natural_gas,CCGT,300,7,10,0.75,107,702990,60.55,4.755555556,65.30555556,6,39450,85.77916667,0.266666667,86.04583333,2
natural_gas,CCGT,300,10,10,0.75,107,702990,60.2,4.755555556,64.95555556,6,39450,85.28333333,0.266666667,85.55,3
natural_gas,CCGT,300,13,10,0.75,107,702990,59.84,4.755555556,64.59555556,6,39450,84.77333333,0.266666667,85.04,4
natural_gas,CCGT,300,17,10,0.75,107,702990,59.36,4.755555556,64.11555556,6,39450,84.09333333,0.266666667,84.36,5
natural_gas,CCGT,300,20,10,0.75,107,702990,59,4.755555556,63.75555556,6,39450,83.58333333,0.266666667,83.85,6
natural_gas,CCGT,300,23,10,0.75,107,702990,58.64,4.755555556,63.39555556,6,39450,83.07333333,0.266666667,83.34,7
natural_gas,CCGT,300,27,10,0.75,107,702990,58.16,4.755555556,62.91555556,6,39450,82.39333333,0.266666667,82.66,8
natural_gas,CCGT,300,30,10,0.75,107,702990,57.8,4.755555556,62.55555556,6,39450,81.88333333,0.266666667,82.15,9
natural_gas,CCGT,300,33,10,0.75,107,702990,57.45,4.755555556,62.20555556,6,39450,81.3875,0.266666667,81.65416667,10
natural_gas,CCGT,300,37,10,0.75,107,702990,56.96,4.755555556,61.71555556,6,39450,80.69333333,0.266666667,80.96,11
natural_gas,CCGT,300,40,10,0.75,107,702990,56.61,4.755555556,61.36555556,6,39450,80.1975,0.266666667,80.46416667,12
natural_gas,CCGT,300,43,10,0.75,107,702990,56.24,4.755555556,60.99555556,6,39450,79.67333333,0.266666667,79.94,13
natural_gas,CCGT,300,47,10,0.75,107,702990,55.77,4.755555556,60.52555556,6,39450,79.0075,0.266666667,79.27416667,14
natural_gas,CCGT,300,50,10,0.75,107,702990,55.41,4.755555556,60.16555556,6,39450,78.4975,0.266666667,78.76416667,15
natural_gas,CCGT,300,53,10,0.75,107,702990,55.04,4.755555556,59.79555556,6,39450,77.97333333,0.266666667,78.24,16
natural_gas,CCGT,300,57,10,0.75,107,702990,54.57,4.755555556,59.32555556,6,39450,77.3075,0.266666667,77.57416667,17
natural_gas,CCGT,300,60,10,0.75,107,702990,54.2,4.755555556,58.95555556,6,39450,76.78333333,0.266666667,77.05,18
natural_gas,CCGT,300,63,10,0.75,107,702990,53.85,4.755555556,58.60555556,6,39450,76.2875,0.266666667,76.55416667,19
natural_gas,CCGT,300,67,10,0.75,107,702990,53.37,4.755555556,58.12555556,6,39450,75.6075,0.266666667,75.87416667,20
natural_gas,CCGT,300,70,10,0.75,107,702990,53.01,4.755555556,57.76555556,6,39450,75.0975,0.266666667,75.36416667,21
natural_gas,CCGT,300,73,10,0.75,107,702990,52.65,4.755555556,57.40555556,6,39450,74.5875,0.266666667,74.85416667,22
natural_gas,CCGT,300,77,10,0.75,107,702990,52.17,4.755555556,56.92555556,6,39450,73.9075,0.266666667,74.17416667,23
natural_gas,CCGT,300,80,10,0.75,107,702990,51.81,4.755555556,56.56555556,6,39450,73.3975,0.266666667,73.66416667,24
natural_gas,CCGT,300,83,10,0.75,107,702990,51.45,4.755555556,56.20555556,6,39450,72.8875,0.266666667,73.15416667,25
natural_gas,CCGT,300,87,10,0.75,107,702990,50.97,4.755555556,55.72555556,6,39450,72.2075,0.266666667,72.47416667,26
natural_gas,CCGT,300,90,10,0.75,107,702990,50.62,4.755555556,55.37555556,6,39450,71.71166667,0.266666667,71.97833333,27
natural_gas,CCGT,300,93,10,0.75,107,702990,50.26,4.755555556,55.01555556,6,39450,71.20166667,0.266666667,71.46833333,28
natural_gas,CCGT,300,97,10,0.75,107,702990,49.78,4.755555556,54.53555556,6,39450,70.52166667,0.266666667,70.78833333,29
natural_gas,CCGT,300,100,10,0.75,107,702990,49.42,4.755555556,54.17555556,6,39450,70.01166667,0.266666667,70.27833333,30
natural_gas,CCGT,600,3,10,0.75,214,1405980,60,4.755555556,64.75555556,12,78900,85,0.266666667,85.26666667,1
natural_gas,CCGT,600,7,10,0.75,214,1405980,59.53,4.755555556,64.28555556,12,78900,84.33416667,0.266666667,84.60083333,2
natural_gas,CCGT,600,10,10,0.75,214,1405980,59.18,4.755555556,63.93555556,12,78900,83.83833333,0.266666667,84.105,3
natural_gas,CCGT,600,13,10,0.75,214,1405980,58.84,4.755555556,63.59555556,12,78900,83.35666667,0.266666667,83.62333333,4
natural_gas,CCGT,600,17,10,0.75,214,1405980,58.37,4.755555556,63.12555556,12,78900,82.69083333,0.266666667,82.9575,5
natural_gas,CCGT,600,20,10,0.75,214,1405980,58.02,4.755555556,62.77555556,12,78900,82.195,0.266666667,82.46166667,6
natural_gas,CCGT,600,23,10,0.75,214,1405980,57.66,4.755555556,62.41555556,12,78900,81.685,0.266666667,81.95166667,7
natural_gas,CCGT,600,27,10,0.75,214,1405980,57.2,4.755555556,61.95555556,12,78900,81.03333333,0.266666667,81.3,8
natural_gas,CCGT,600,30,10,0.75,214,1405980,56.84,4.755555556,61.59555556,12,78900,80.52333333,0.266666667,80.79,9
natural_gas,CCGT,600,33,10,0.75,214,1405980,56.49,4.755555556,61.24555556,12,78900,80.0275,0.266666667,80.29416667,10
natural_gas,CCGT,600,37,10,0.75,214,1405980,56.02,4.755555556,60.77555556,12,78900,79.36166667,0.266666667,79.62833333,11
natural_gas,CCGT,600,40,10,0.75,214,1405980,55.67,4.755555556,60.42555556,12,78900,78.86583333,0.266666667,79.1325,12
natural_gas,CCGT,600,43,10,0.75,214,1405980,55.32,4.755555556,60.07555556,12,78900,78.37,0.266666667,78.63666667,13
natural_gas,CCGT,600,47,10,0.75,214,1405980,54.85,4.755555556,59.60555556,12,78900,77.70416667,0.266666667,77.97083333,14
natural_gas,CCGT,600,50,10,0.75,214,1405980,54.51,4.755555556,59.26555556,12,78900,77.2225,0.266666667,77.48916667,15
natural_gas,CCGT,600,53,10,0.75,214,1405980,54.16,4.755555556,58.91555556,12,78900,76.72666667,0.266666667,76.99333333,16
natural_gas,CCGT,600,57,10,0.75,214,1405980,53.69,4.755555556,58.44555556,12,78900,76.06083333,0.266666667,76.3275,17
natural_gas,CCGT,600,60,10,0.75,214,1405980,53.34,4.755555556,58.09555556,12,78900,75.565,0.266666667,75.83166667,18
natural_gas,CCGT,600,63,10,0.75,214,1405980,52.98,4.755555556,57.73555556,12,78900,75.055,0.266666667,75.32166667,19
natural_gas,CCGT,600,67,10,0.75,214,1405980,52.52,4.755555556,57.27555556,12,78900,74.40333333,0.266666667,74.67,20
natural_gas,CCGT,600,70,10,0.75,214,1405980,52.16,4.755555556,56.91555556,12,78900,73.89333333,0.266666667,74.16,21
natural_gas,CCGT,600,73,10,0.75,214,1405980,51.81,4.755555556,56.56555556,12,78900,73.3975,0.266666667,73.66416667,22
natural_gas,CCGT,600,77,10,0.75,214,1405980,51.34,4.755555556,56.09555556,12,78900,72.73166667,0.266666667,72.99833333,23
natural_gas,CCGT,600,80,10,0.75,214,1405980,50.99,4.755555556,55.74555556,12,78900,72.23583333,0.266666667,72.5025,24
natural_gas,CCGT,600,83,10,0.75,214,1405980,50.65,4.755555556,55.40555556,12,78900,71.75416667,0.266666667,72.02083333,25
natural_gas,CCGT,600,87,10,0.75,214,1405980,50.18,4.755555556,54.93555556,12,78900,71.08833333,0.266666667,71.355,26
natural_gas,CCGT,600,90,10,0.75,214,1405980,49.83,4.755555556,54.58555556,12,78900,70.5925,0.266666667,70.85916667,27
natural_gas,CCGT,600,93,10,0.75,214,1405980,49.48,4.755555556,54.23555556,12,78900,70.09666667,0.266666667,70.36333333,28
natural_gas,CCGT,600,97,10,0.75,214,1405980,49.01,4.755555556,53.76555556,12,78900,69.43083333,0.266666667,69.6975,29
natural_gas,CCGT,600,100,10,0.75,214,1405980,48.66,4.755555556,53.41555556,12,78900,68.935,0.266666667,69.20166667,30
natural_gas,CCGT,900,3,10,0.75,322,2115540,59.61,4.77037037,64.38037037,18.06,118744.5,84.4475,0.267555556,84.71505556,1
natural_gas,CCGT,900,7,10,0.75,322,2115540,59.14,4.77037037,63.91037037,18.06,118744.5,83.78166667,0.267555556,84.04922222,2
natural_gas,CCGT,900,10,10,0.75,322,2115540,58.8,4.77037037,63.57037037,18.06,118744.5,83.3,0.267555556,83.56755556,3
natural_gas,CCGT,900,13,10,0.75,322,2115540,58.46,4.77037037,63.23037037,18.06,118744.5,82.81833333,0.267555556,83.08588889,4
natural_gas,CCGT,900,17,10,0.75,322,2115540,57.99,4.77037037,62.76037037,18.06,118744.5,82.1525,0.267555556,82.42005556,5
natural_gas,CCGT,900,20,10,0.75,322,2115540,57.65,4.77037037,62.42037037,18.06,118744.5,81.67083333,0.267555556,81.93838889,6
natural_gas,CCGT,900,23,10,0.75,322,2115540,57.29,4.77037037,62.06037037,18.06,118744.5,81.16083333,0.267555556,81.42838889,7
natural_gas,CCGT,900,27,10,0.75,322,2115540,56.84,4.77037037,61.61037037,18.06,118744.5,80.52333333,0.267555556,80.79088889,8
natural_gas,CCGT,900,30,10,0.75,322,2115540,56.48,4.77037037,61.25037037,18.06,118744.5,80.01333333,0.267555556,80.28088889,9
natural_gas,CCGT,900,33,10,0.75,322,2115540,56.14,4.77037037,60.91037037,18.06,118744.5,79.53166667,0.267555556,79.79922222,10
natural_gas,CCGT,900,37,10,0.75,322,2115540,55.68,4.77037037,60.45037037,18.06,118744.5,78.88,0.267555556,79.14755556,11
natural_gas,CCGT,900,40,10,0.75,322,2115540,55.33,4.77037037,60.10037037,18.06,118744.5,78.38416667,0.267555556,78.65172222,12
