primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
bituminous,supercritical,7,1600,10,0.75,1221,49.28,8028075,36.79,10.175,46.965,147.22,967971.5,59.18725941,1.226833333,60.41409275
bituminous,supercritical,7,1700,10,0.75,1297,48.85,8527775,36.47,10.17254902,46.64254902,156.39,1028264.25,58.6724477,1.226588235,59.89903593
bituminous,supercritical,7,1800,10,0.75,1373,48.47,9027475,36.19,10.17037037,46.36037037,165.55,1088491.25,58.22198745,1.226296296,59.44828374
bituminous,supercritical,7,1900,10,0.75,1449,48.13,9527175,35.94,10.16842105,46.10842105,174.72,1148784,57.81979079,1.226105263,59.04589606
bituminous,supercritical,7,2000,10,0.75,1526,47.82,10033450,35.7,10.17333333,45.87333333,184,1209800,57.43368201,1.226666667,58.66034868
bituminous,supercritical,7,2100,10,0.75,1602,47.54,10533150,35.5,10.17142857,45.67142857,193.16,1270027,57.11192469,1.226412698,58.33833738
bituminous,supercritical,7,2200,10,0.75,1678,47.29,11032850,35.31,10.16969697,45.47969697,202.33,1330319.75,56.80625523,1.226242424,58.03249765
bituminous,supercritical,7,2300,10,0.75,1755,47.05,11539125,35.13,10.17391304,45.30391304,211.61,1391335.75,56.51667364,1.226724638,57.74339828
bituminous,supercritical,7,2400,10,0.75,1831,46.84,12038825,34.97,10.17222222,45.14222222,220.78,1451628.5,56.25926778,1.226555556,57.48582334
bituminous,supercritical,7,2500,10,0.75,1907,46.64,12538525,34.82,10.17066667,44.99066667,229.94,1511855.5,56.01794979,1.226346667,57.24429646
bituminous,supercritical,10,100,10,0.75,76.35,105,502001.25,78.4,10.18,88.58,9.21,60555.75,126.1288703,1.228,127.3568703
bituminous,supercritical,10,200,10,0.75,152.6,80.87,1003345,60.38,10.17333333,70.55333333,18.4,120980,97.13853556,1.226666667,98.36520223
bituminous,supercritical,10,300,10,0.75,228.9,71.25,1505017.5,53.2,10.17333333,63.37333333,27.6,181470,85.5874477,1.226666667,86.81411437
bituminous,supercritical,10,400,10,0.75,305.2,65.76,2006690,49.1,10.17333333,59.27333333,36.8,241960,78.99142259,1.226666667,80.21808926
bituminous,supercritical,10,500,10,0.75,381.5,62.1,2508362.5,46.37,10.17333333,56.54333333,46,302450,74.59943515,1.226666667,75.82610181
bituminous,supercritical,10,600,10,0.75,457.8,59.44,3010035,44.38,10.17333333,54.55333333,55.2,362940,71.39794979,1.226666667,72.62461646
bituminous,supercritical,10,700,10,0.75,534,57.37,3511050,42.83,10.17142857,53.00142857,64.39,423364.25,68.90433054,1.22647619,70.13080673
bituminous,supercritical,10,800,10,0.75,610.3,55.71,4012722.5,41.6,10.17166667,51.77166667,73.59,483854.25,66.92552301,1.2265,68.15202301
bituminous,supercritical,10,900,10,0.75,686.6,54.34,4514395,40.57,10.17185185,50.74185185,82.79,544344.25,65.2684728,1.226518519,66.49499132
bituminous,supercritical,10,1000,10,0.75,762.9,53.17,5016067.5,39.7,10.172,49.872,91.99,604834.25,63.86882845,1.226533333,65.09536179
bituminous,supercritical,10,1100,10,0.75,839.2,52.15,5517740,38.94,10.17212121,49.11212121,101.19,665324.25,62.64615063,1.226545455,63.87269608
bituminous,supercritical,10,1200,10,0.75,915.4,51.26,6018755,38.27,10.17111111,48.44111111,110.38,725748.5,61.5682636,1.226444444,62.79470804
bituminous,supercritical,10,1300,10,0.75,991.7,50.47,6520427.5,37.68,10.17128205,47.85128205,119.58,786238.5,60.6190795,1.226461538,61.84554104
bituminous,supercritical,10,1400,10,0.75,1068,49.76,7022100,37.15,10.17142857,47.32142857,128.78,846728.5,59.76642259,1.22647619,60.99289878
bituminous,supercritical,10,1500,10,0.75,1144,49.11,7521800,36.67,10.16888889,46.83888889,137.94,906955.5,58.99420502,1.226133333,60.22033835
bituminous,supercritical,10,1600,10,0.75,1221,48.64,8028075,36.32,10.175,46.495,147.22,967971.5,58.43112971,1.226833333,59.65796304
bituminous,supercritical,10,1700,10,0.75,1297,48.22,8527775,36,10.17254902,46.17254902,156.39,1028264.25,57.91631799,1.226588235,59.14290623
bituminous,supercritical,10,1800,10,0.75,1373,47.84,9027475,35.72,10.17037037,45.89037037,165.55,1088491.25,57.46585774,1.226296296,58.69215404
bituminous,supercritical,10,1900,10,0.75,1449,47.5,9527175,35.47,10.16842105,45.63842105,174.72,1148784,57.06366109,1.226105263,58.28976635
bituminous,supercritical,10,2000,10,0.75,1526,47.2,10033450,35.24,10.17333333,45.41333333,184,1209800,56.69364017,1.226666667,57.92030683
bituminous,supercritical,10,2100,10,0.75,1602,46.92,10533150,35.03,10.17142857,45.20142857,193.16,1270027,56.35579498,1.226412698,57.58220768
bituminous,supercritical,10,2200,10,0.75,1678,46.67,11032850,34.85,10.16969697,45.01969697,202.33,1330319.75,56.06621339,1.226242424,57.29245581
bituminous,supercritical,10,2300,10,0.75,1755,46.44,11539125,34.67,10.17391304,44.84391304,211.61,1391335.75,55.7766318,1.226724638,57.00335644
bituminous,supercritical,10,2400,10,0.75,1831,46.23,12038825,34.52,10.17222222,44.69222222,220.78,1451628.5,55.53531381,1.226555556,56.76186936
bituminous,supercritical,10,2500,10,0.75,1907,46.04,12538525,34.38,10.17066667,44.55066667,229.94,1511855.5,55.31008368,1.226346667,56.53643035
bituminous,supercritical,13,100,10,0.75,76.35,103.8,502001.25,77.5,10.18,87.68,9.21,60555.75,124.6809623,1.228,125.9089623
bituminous,supercritical,13,200,10,0.75,152.6,79.85,1003345,59.62,10.17333333,69.79333333,18.4,120980,95.91585774,1.226666667,97.14252441
bituminous,supercritical,13,300,10,0.75,228.9,70.32,1505017.5,52.5,10.17333333,62.67333333,27.6,181470,84.46129707,1.226666667,85.68796374
bituminous,supercritical,13,400,10,0.75,305.2,64.9,2006690,48.46,10.17333333,58.63333333,36.8,241960,77.96179916,1.226666667,79.18846583
bituminous,supercritical,13,500,10,0.75,381.5,61.28,2508362.5,45.75,10.17333333,55.92333333,46,302450,73.60198745,1.226666667,74.82865411
bituminous,supercritical,13,600,10,0.75,457.8,58.65,3010035,43.79,10.17333333,53.96333333,55.2,362940,70.44876569,1.226666667,71.67543236
bituminous,supercritical,13,700,10,0.75,534,56.61,3511050,42.27,10.17142857,52.44142857,64.39,423364.25,68.00341004,1.22647619,69.22988623
bituminous,supercritical,13,800,10,0.75,610.3,54.97,4012722.5,41.04,10.17166667,51.21166667,73.59,483854.25,66.02460251,1.2265,67.25110251
bituminous,supercritical,13,900,10,0.75,686.6,53.61,4514395,40.03,10.17185185,50.20185185,82.79,544344.25,64.39972803,1.226518519,65.62624655
bituminous,supercritical,13,1000,10,0.75,762.9,52.46,5016067.5,39.17,10.172,49.342,91.99,604834.25,63.01617155,1.226533333,64.24270488
bituminous,supercritical,13,1100,10,0.75,839.2,51.46,5517740,38.42,10.17212121,48.59212121,101.19,665324.25,61.80958159,1.226545455,63.03612704
bituminous,supercritical,13,1200,10,0.75,915.4,50.58,6018755,37.77,10.17111111,47.94111111,110.38,725748.5,60.76387029,1.226444444,61.99031474
bituminous,supercritical,13,1300,10,0.75,991.7,49.8,6520427.5,37.18,10.17128205,47.35128205,119.58,786238.5,59.81468619,1.226461538,61.04114773
bituminous,supercritical,13,1400,10,0.75,1068,49.1,7022100,36.66,10.17142857,46.83142857,128.78,846728.5,58.97811715,1.22647619,60.20459335
bituminous,supercritical,13,1500,10,0.75,1144,48.46,7521800,36.18,10.16888889,46.34888889,137.94,906955.5,58.20589958,1.226133333,59.43203291
bituminous,supercritical,13,1600,10,0.75,1221,47.99,8028075,35.83,10.175,46.005,147.22,967971.5,57.64282427,1.226833333,58.8696576
bituminous,supercritical,13,1700,10,0.75,1297,47.58,8527775,35.53,10.17254902,45.70254902,156.39,1028264.25,57.16018828,1.226588235,58.38677652
bituminous,supercritical,13,1800,10,0.75,1373,47.21,9027475,35.25,10.17037037,45.42037037,165.55,1088491.25,56.70972803,1.226296296,57.93602433
bituminous,supercritical,13,1900,10,0.75,1449,46.87,9527175,35,10.16842105,45.16842105,174.72,1148784,56.30753138,1.226105263,57.53363664
bituminous,supercritical,13,2000,10,0.75,1526,46.57,10033450,34.77,10.17333333,44.94333333,184,1209800,55.93751046,1.226666667,57.16417713
bituminous,supercritical,13,2100,10,0.75,1602,46.3,10533150,34.57,10.17142857,44.74142857,193.16,1270027,55.61575314,1.226412698,56.84216584
bituminous,supercritical,13,2200,10,0.75,1678,46.05,11032850,34.38,10.16969697,44.54969697,202.33,1330319.75,55.31008368,1.226242424,56.53632611
bituminous,supercritical,13,2300,10,0.75,1755,45.83,11539125,34.22,10.17391304,44.39391304,211.61,1391335.75,55.05267782,1.226724638,56.27940246
bituminous,supercritical,13,2400,10,0.75,1831,45.62,12038825,34.06,10.17222222,44.23222222,220.78,1451628.5,54.79527197,1.226555556,56.02182752
bituminous,supercritical,13,2500,10,0.75,1907,45.43,12538525,33.92,10.17066667,44.09066667,229.94,1511855.5,54.57004184,1.226346667,55.79638851
bituminous,supercritical,17,100,10,0.75,76.35,102.2,502001.25,76.31,10.18,86.49,9.21,60555.75,122.7665063,1.228,123.9945063
bituminous,supercritical,17,200,10,0.75,152.6,78.5,1003345,58.61,10.17333333,68.78333333,18.4,120980,94.29098326,1.226666667,95.51764993
bituminous,supercritical,17,300,10,0.75,228.9,69.09,1505017.5,51.59,10.17333333,61.76333333,27.6,181470,82.99730126,1.226666667,84.22396792
bituminous,supercritical,17,400,10,0.75,305.2,63.74,2006690,47.59,10.17333333,57.76333333,36.8,241960,76.56215481,1.226666667,77.78882148
bituminous,supercritical,17,500,10,0.75,381.5,60.19,2508362.5,44.94,10.17333333,55.11333333,46,302450,72.29887029,1.226666667,73.52553696
bituminous,supercritical,17,600,10,0.75,457.8,57.6,3010035,43.01,10.17333333,53.18333333,55.2,362940,69.19391213,1.226666667,70.4205788
bituminous,supercritical,17,700,10,0.75,534,55.59,3511050,41.51,10.17142857,51.68142857,64.39,423364.25,66.78073222,1.22647619,68.00720841
bituminous,supercritical,17,800,10,0.75,610.3,53.99,4012722.5,40.31,10.17166667,50.48166667,73.59,483854.25,64.85018828,1.2265,66.07668828
bituminous,supercritical,17,900,10,0.75,686.6,52.65,4514395,39.31,10.17185185,49.48185185,82.79,544344.25,63.24140167,1.226518519,64.46792019
bituminous,supercritical,17,1000,10,0.75,762.9,51.52,5016067.5,38.47,10.172,48.642,91.99,604834.25,61.89002092,1.226533333,63.11655425
bituminous,supercritical,17,1100,10,0.75,839.2,50.54,5517740,37.74,10.17212121,47.91212121,101.19,665324.25,60.71560669,1.226545455,61.94215215
bituminous,supercritical,17,1200,10,0.75,915.4,49.67,6018755,37.09,10.17111111,47.26111111,110.38,725748.5,59.6698954,1.226444444,60.89633984
bituminous,supercritical,17,1300,10,0.75,991.7,48.91,6520427.5,36.52,10.17128205,46.69128205,119.58,786238.5,58.75288703,1.226461538,59.97934857
bituminous,supercritical,17,1400,10,0.75,1068,48.22,7022100,36,10.17142857,46.17142857,128.78,846728.5,57.91631799,1.22647619,59.14279418
bituminous,supercritical,17,1500,10,0.75,1144,47.59,7521800,35.53,10.16888889,45.69888889,137.94,906955.5,57.16018828,1.226133333,58.38632162
bituminous,supercritical,17,1600,10,0.75,1221,47.13,8028075,35.19,10.175,45.365,147.22,967971.5,56.61320084,1.226833333,57.84003417
bituminous,supercritical,17,1700,10,0.75,1297,46.73,8527775,34.89,10.17254902,45.06254902,156.39,1028264.25,56.13056485,1.226588235,57.35715309
bituminous,supercritical,17,1800,10,0.75,1373,46.36,9027475,34.61,10.17037037,44.78037037,165.55,1088491.25,55.6801046,1.226296296,56.9064009
bituminous,supercritical,17,1900,10,0.75,1449,46.04,9527175,34.38,10.16842105,44.54842105,174.72,1148784,55.31008368,1.226105263,56.53618895
bituminous,supercritical,17,2000,10,0.75,1526,45.74,10033450,34.15,10.17333333,44.32333333,184,1209800,54.94006276,1.226666667,56.16672943
bituminous,supercritical,17,2100,10,0.75,1602,45.47,10533150,33.95,10.17142857,44.12142857,193.16,1270027,54.61830544,1.226412698,55.84471814
bituminous,supercritical,17,2200,10,0.75,1678,45.23,11032850,33.77,10.16969697,43.93969697,202.33,1330319.75,54.32872385,1.226242424,55.55496627
bituminous,supercritical,17,2300,10,0.75,1755,45.01,11539125,33.61,10.17391304,43.78391304,211.61,1391335.75,54.07131799,1.226724638,55.29804263
bituminous,supercritical,17,2400,10,0.75,1831,44.8,12038825,33.45,10.17222222,43.62222222,220.78,1451628.5,53.81391213,1.226555556,55.04046769
bituminous,supercritical,17,2500,10,0.75,1907,44.61,12538525,33.31,10.17066667,43.48066667,229.94,1511855.5,53.58868201,1.226346667,54.81502868
bituminous,supercritical,20,100,10,0.75,76.35,99.14,502001.25,74.02,10.18,84.2,9.21,60555.75,119.0823849,1.228,120.3103849
bituminous,supercritical,20,200,10,0.75,152.6,75.89,1003345,56.66,10.17333333,66.83333333,18.4,120980,91.15384937,1.226666667,92.38051604
bituminous,supercritical,20,300,10,0.75,228.9,66.75,1505017.5,49.84,10.17333333,60.01333333,27.6,181470,80.18192469,1.226666667,81.40859135
bituminous,supercritical,20,400,10,0.75,305.2,61.59,2006690,45.99,10.17333333,56.16333333,36.8,241960,73.98809623,1.226666667,75.2147629
bituminous,supercritical,20,500,10,0.75,381.5,58.16,2508362.5,43.42,10.17333333,53.59333333,46,302450,69.85351464,1.226666667,71.08018131
bituminous,supercritical,20,600,10,0.75,457.8,55.67,3010035,41.57,10.17333333,51.74333333,55.2,362940,66.87725941,1.226666667,68.10392608
bituminous,supercritical,20,700,10,0.75,534,53.76,3511050,40.14,10.17142857,50.31142857,64.39,423364.25,64.57669456,1.22647619,65.80317075
bituminous,supercritical,20,800,10,0.75,610.3,52.21,4012722.5,38.98,10.17166667,49.15166667,73.59,483854.25,62.71050209,1.2265,63.93700209
bituminous,supercritical,20,900,10,0.75,686.6,50.94,4514395,38.03,10.17185185,48.20185185,82.79,544344.25,61.18215481,1.226518519,62.40867333
bituminous,supercritical,20,1000,10,0.75,762.9,49.85,5016067.5,37.22,10.172,47.392,91.99,604834.25,59.87903766,1.226533333,61.10557099
bituminous,supercritical,20,1100,10,0.75,839.2,48.9,5517740,36.51,10.17212121,46.68212121,101.19,665324.25,58.73679916,1.226545455,59.96334462
bituminous,supercritical,20,1200,10,0.75,915.4,48.07,6018755,35.89,10.17111111,46.06111111,110.38,725748.5,57.73935146,1.226444444,58.96579591
bituminous,supercritical,20,1300,10,0.75,991.7,47.33,6520427.5,35.34,10.17128205,45.51128205,119.58,786238.5,56.85451883,1.226461538,58.08098037
bituminous,supercritical,20,1400,10,0.75,1068,46.73,7022100,34.89,10.17142857,45.06142857,128.78,846728.5,56.13056485,1.22647619,57.35704104
bituminous,supercritical,20,1500,10,0.75,1144,46.27,7521800,34.55,10.16888889,44.71888889,137.94,906955.5,55.58357741,1.226133333,56.80971074
bituminous,supercritical,20,1600,10,0.75,1221,45.86,8028075,34.24,10.175,44.415,147.22,967971.5,55.08485356,1.226833333,56.31168689
bituminous,supercritical,20,1700,10,0.75,1297,45.5,8527775,33.97,10.17254902,44.14254902,156.39,1028264.25,54.65048117,1.226588235,55.87706941
bituminous,supercritical,20,1800,10,0.75,1373,45.18,9027475,33.73,10.17037037,43.90037037,165.55,1088491.25,54.26437238,1.226296296,55.49066868
bituminous,supercritical,20,1900,10,0.75,1449,44.9,9527175,33.52,10.16842105,43.68842105,174.72,1148784,53.9265272,1.226105263,55.15263246
