primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
coal,ultrasupercritical,7,1700,10,0.75,1182,7771650,35.4,9.270588235,44.67058824,139.96,920237,55.4021322,1.09772549,56.49985769
coal,ultrasupercritical,7,1800,10,0.75,1251,8225325,35.03,9.266666667,44.29666667,148.13,973954.75,54.82307036,1.097259259,55.92032962
coal,ultrasupercritical,7,1900,10,0.75,1321,8685575,34.75,9.270175439,44.02017544,156.42,1028461.5,54.38486141,1.097684211,55.48254562
coal,ultrasupercritical,7,2000,10,0.75,1390,9139250,34.49,9.266666667,43.75666667,164.59,1082179.25,53.97795309,1.097266667,55.07521976
coal,ultrasupercritical,7,2100,10,0.75,1460,9599500,34.25,9.26984127,43.51984127,172.88,1136686,53.60234542,1.097650794,54.69999621
coal,ultrasupercritical,7,2200,10,0.75,1529,10053175,34.03,9.266666667,43.29666667,181.05,1190403.75,53.25803838,1.097272727,54.35531111
coal,ultrasupercritical,7,2300,10,0.75,1599,10513425,33.83,9.269565217,43.09956522,189.34,1244910.5,52.94503198,1.097623188,54.04265517
coal,ultrasupercritical,7,2400,10,0.75,1668,10967100,33.64,9.266666667,42.90666667,197.51,1298628.25,52.64767591,1.097277778,53.74495368
coal,ultrasupercritical,7,2500,10,0.75,1738,11427350,33.48,9.269333333,42.74933333,205.8,1353135,52.39727079,1.0976,53.49487079
coal,ultrasupercritical,10,100,10,0.75,69.57,457422.75,76.69,9.276,85.966,8.24,54178,120.0223028,1.098666667,121.1209694
coal,ultrasupercritical,10,200,10,0.75,139.1,914582.5,59.13,9.273333333,68.40333333,16.47,108290.25,92.54034115,1.098,93.63834115
coal,ultrasupercritical,10,300,10,0.75,208.6,1371545,52.08,9.271111111,61.35111111,24.7,162402.5,81.50686567,1.097777778,82.60464345
coal,ultrasupercritical,10,400,10,0.75,278.1,1828507.5,48.04,9.27,57.31,32.93,216514.75,75.18413646,1.097666667,76.28180313
coal,ultrasupercritical,10,500,10,0.75,347.6,2285470,45.34,9.269333333,54.60933333,41.16,270627,70.95855011,1.0976,72.05615011
coal,ultrasupercritical,10,600,10,0.75,417.1,2742432.5,43.37,9.268888889,52.63888889,49.39,324739.25,67.8754371,1.097555556,68.97299266
coal,ultrasupercritical,10,700,10,0.75,486.6,3199395,41.84,9.268571429,51.10857143,57.62,378851.5,65.48093817,1.09752381,66.57846198
coal,ultrasupercritical,10,800,10,0.75,556.1,3656357.5,40.6,9.268333333,49.86833333,65.85,432963.75,63.54029851,1.0975,64.63779851
coal,ultrasupercritical,10,900,10,0.75,625.6,4113320,39.58,9.268148148,48.84814815,74.08,487076,61.94396588,1.097481481,63.04144737
coal,ultrasupercritical,10,1000,10,0.75,695.1,4570282.5,38.72,9.268,47.988,82.31,541188.25,60.59803838,1.097466667,61.69550505
coal,ultrasupercritical,10,1100,10,0.75,764.6,5027245,37.96,9.267878788,47.22787879,90.54,595300.5,59.40861407,1.097454545,60.50606862
coal,ultrasupercritical,10,1200,10,0.75,834.1,5484207.5,37.31,9.267777778,46.57777778,98.77,649412.75,58.39134328,1.097444444,59.48878773
coal,ultrasupercritical,10,1300,10,0.75,903.6,5941170,36.72,9.267692308,45.98769231,107,703525,57.46797441,1.097435897,58.56541031
coal,ultrasupercritical,10,1400,10,0.75,973.1,6398132.5,36.19,9.267619048,45.45761905,115.23,757637.25,56.63850746,1.097428571,57.73593603
coal,ultrasupercritical,10,1500,10,0.75,1043,6857725,35.72,9.271111111,44.99111111,123.5,812012.5,55.90294243,1.097777778,57.00072021
coal,ultrasupercritical,10,1600,10,0.75,1112,7311400,35.29,9.266666667,44.55666667,131.67,865730.25,55.22997868,1.09725,56.32722868
coal,ultrasupercritical,10,1700,10,0.75,1182,7771650,34.89,9.270588235,44.16058824,139.96,920237,54.60396588,1.09772549,55.70169138
