primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
anthracite,supercritical,7,900,544.8,57.31,3582060,10,0.75,15,41.94,8.071111111,50.01111111,63.1,463.08,-18.62,-122426.5,67.47251046,-0.275851852,67.19665861
anthracite,supercritical,7,1000,605.3,56.25,3979847.5,10,0.75,15,41.17,8.070666667,49.24066667,70.11,514.505,-20.685,-136003.875,66.23374477,-0.2758,65.95794477
anthracite,supercritical,7,1100,665.8,55.34,4377635,10,0.75,15,40.5,8.07030303,48.57030303,77.12,565.93,-22.75,-149581.25,65.15585774,-0.275757576,64.88010016
anthracite,supercritical,7,1200,726.4,54.54,4776080,10,0.75,15,39.92,8.071111111,47.99111111,84.13,617.44,-24.83,-163257.25,64.22276151,-0.275888889,63.94687262
anthracite,supercritical,7,1300,786.9,53.83,5173867.5,10,0.75,15,39.4,8.070769231,47.47076923,91.14,668.865,-26.895,-176834.625,63.38619247,-0.275846154,63.11034631
anthracite,supercritical,7,1400,847.4,53.18,5571655,10,0.75,15,38.92,8.07047619,46.99047619,98.15,720.29,-28.96,-190412,62.6139749,-0.275809524,62.33816537
anthracite,supercritical,7,1500,907.9,52.6,5969442.5,10,0.75,15,38.5,8.070222222,46.57022222,105.16,771.715,-31.025,-203989.375,61.93828452,-0.275777778,61.66250674
anthracite,supercritical,7,1600,968.5,52.18,6367887.5,10,0.75,15,38.19,8.070833333,46.26083333,112.18,823.225,-33.095,-217599.625,61.43956067,-0.275791667,61.163769
anthracite,supercritical,7,1700,1029,51.81,6765675,10,0.75,15,37.92,8.070588235,45.99058824,119.18,874.65,-35.17,-231242.75,61.00518828,-0.275843137,60.72934515
anthracite,supercritical,7,1800,1090,51.49,7166750,10,0.75,15,37.69,8.074074074,45.76407407,126.25,926.5,-37.25,-244918.75,60.63516736,-0.275925926,60.35924144
anthracite,supercritical,7,1900,1150,51.19,7561250,10,0.75,15,37.47,8.070175439,45.54017544,133.2,977.5,-39.3,-258397.5,60.28123431,-0.275789474,60.00544484
anthracite,supercritical,7,2000,1211,50.93,7962325,10,0.75,15,37.28,8.073333333,45.35333333,140.26,1029.35,-41.39,-272139.25,59.97556485,-0.275933333,59.69963152
anthracite,supercritical,7,2100,1271,50.69,8356825,10,0.75,15,37.1,8.06984127,45.16984127,147.21,1080.35,-43.44,-285618,59.68598326,-0.275809524,59.41017374
anthracite,supercritical,7,2200,1332,50.47,8757900,10,0.75,15,36.94,8.072727273,45.01272727,154.28,1132.2,-45.52,-299294,59.42857741,-0.275878788,59.15269862
anthracite,supercritical,7,2300,1392,50.28,9152400,10,0.75,15,36.8,8.069565217,44.86956522,161.23,1183.2,-47.57,-312772.75,59.20334728,-0.275768116,58.92757916
anthracite,supercritical,7,2400,1453,50.1,9553475,10,0.75,15,36.67,8.072222222,44.74222222,168.29,1235.05,-49.66,-326514.5,58.99420502,-0.275888889,58.71831613
anthracite,supercritical,7,2500,1513,49.93,9947975,10,0.75,15,36.54,8.069333333,44.60933333,175.24,1286.05,-51.71,-339993.25,58.78506276,-0.275786667,58.50927609
anthracite,supercritical,10,100,60.58,101.8,398313.5,10,0.75,15,74.51,8.077333333,82.58733333,7.02,51.493,-2.067,-13590.525,119.8706904,-0.2756,119.5950904
anthracite,supercritical,10,200,121.1,80.21,796232.5,10,0.75,15,58.71,8.073333333,66.78333333,14.03,102.935,-4.135,-27187.625,94.45186192,-0.275666667,94.17619526
anthracite,supercritical,10,300,181.6,71.63,1194020,10,0.75,15,52.43,8.071111111,60.50111111,21.03,154.36,-6.21,-40830.75,84.34868201,-0.276,84.07268201
anthracite,supercritical,10,400,242.2,66.76,1592465,10,0.75,15,48.86,8.073333333,56.93333333,28.05,205.87,-8.28,-54441,78.60531381,-0.276,78.32931381
anthracite,supercritical,10,500,302.7,63.51,1990252.5,10,0.75,15,46.48,8.072,54.552,35.06,257.295,-10.345,-68018.375,74.77640167,-0.275866667,74.50053501
anthracite,supercritical,10,600,363.2,61.15,2388040,10,0.75,15,44.76,8.071111111,52.83111111,42.07,308.72,-12.41,-81595.75,72.0092887,-0.275777778,71.73351093
anthracite,supercritical,10,700,423.7,59.32,2785827.5,10,0.75,15,43.42,8.07047619,51.49047619,49.07,360.145,-14.485,-95238.875,69.85351464,-0.275904762,69.57760988
anthracite,supercritical,10,800,484.3,57.85,3184272.5,10,0.75,15,42.34,8.071666667,50.41166667,56.09,411.655,-16.555,-108849.125,68.1160251,-0.275916667,67.84010844
anthracite,supercritical,10,900,544.8,56.63,3582060,10,0.75,15,41.45,8.071111111,49.52111111,63.1,463.08,-18.62,-122426.5,66.68420502,-0.275851852,66.40835317
anthracite,supercritical,10,1000,605.3,55.59,3979847.5,10,0.75,15,40.69,8.070666667,48.76066667,70.11,514.505,-20.685,-136003.875,65.4615272,-0.2758,65.1857272
anthracite,supercritical,10,1100,665.8,54.69,4377635,10,0.75,15,40.03,8.07030303,48.10030303,77.12,565.93,-22.75,-149581.25,64.39972803,-0.275757576,64.12397046
anthracite,supercritical,10,1200,726.4,53.9,4776080,10,0.75,15,39.45,8.071111111,47.52111111,84.13,617.44,-24.83,-163257.25,63.4666318,-0.275888889,63.19074291
anthracite,supercritical,10,1300,786.9,53.2,5173867.5,10,0.75,15,38.94,8.070769231,47.01076923,91.14,668.865,-26.895,-176834.625,62.64615063,-0.275846154,62.37030447
anthracite,supercritical,10,1400,847.4,52.56,5571655,10,0.75,15,38.47,8.07047619,46.54047619,98.15,720.29,-28.96,-190412,61.89002092,-0.275809524,61.6142114
anthracite,supercritical,10,1500,907.9,51.99,5969442.5,10,0.75,15,38.05,8.070222222,46.12022222,105.16,771.715,-31.025,-203989.375,61.21433054,-0.275777778,60.93855277
anthracite,supercritical,10,1600,968.5,51.57,6367887.5,10,0.75,15,37.74,8.070833333,45.81083333,112.18,823.225,-33.095,-217599.625,60.71560669,-0.275791667,60.43981503
anthracite,supercritical,10,1700,1029,51.21,6765675,10,0.75,15,37.48,8.070588235,45.55058824,119.18,874.65,-35.17,-231242.75,60.29732218,-0.275843137,60.02147904
anthracite,supercritical,10,1800,1090,50.89,7166750,10,0.75,15,37.25,8.074074074,45.32407407,126.25,926.5,-37.25,-244918.75,59.92730126,-0.275925926,59.65137533
anthracite,supercritical,10,1900,1150,50.6,7561250,10,0.75,15,37.03,8.070175439,45.10017544,133.2,977.5,-39.3,-258397.5,59.5733682,-0.275789474,59.29757873
anthracite,supercritical,10,2000,1211,50.34,7962325,10,0.75,15,36.84,8.073333333,44.91333333,140.26,1029.35,-41.39,-272139.25,59.26769874,-0.275933333,58.99176541
anthracite,supercritical,10,2100,1271,50.1,8356825,10,0.75,15,36.67,8.06984127,44.73984127,147.21,1080.35,-43.44,-285618,58.99420502,-0.275809524,58.7183955
anthracite,supercritical,10,2200,1332,49.89,8757900,10,0.75,15,36.51,8.072727273,44.58272727,154.28,1132.2,-45.52,-299294,58.73679916,-0.275878788,58.46092038
anthracite,supercritical,10,2300,1392,49.7,9152400,10,0.75,15,36.38,8.069565217,44.44956522,161.23,1183.2,-47.57,-312772.75,58.5276569,-0.275768116,58.25188879
anthracite,supercritical,10,2400,1453,49.52,9553475,10,0.75,15,36.24,8.072222222,44.31222222,168.29,1235.05,-49.66,-326514.5,58.30242678,-0.275888889,58.02653789
anthracite,supercritical,10,2500,1513,49.36,9947975,10,0.75,15,36.13,8.069333333,44.19933333,175.24,1286.05,-51.71,-339993.25,58.12546025,-0.275786667,57.84967358
anthracite,supercritical,13,100,60.58,100.7,398313.5,10,0.75,15,73.7,8.077333333,81.77733333,7.02,51.493,-2.067,-13590.525,118.5675732,-0.2756,118.2919732
anthracite,supercritical,13,200,121.1,79.26,796232.5,10,0.75,15,58.01,8.073333333,66.08333333,14.03,102.935,-4.135,-27187.625,93.3257113,-0.275666667,93.05004463
anthracite,supercritical,13,300,181.6,70.77,1194020,10,0.75,15,51.8,8.071111111,59.87111111,21.03,154.36,-6.21,-40830.75,83.33514644,-0.276,83.05914644
anthracite,supercritical,13,400,242.2,65.95,1592465,10,0.75,15,48.27,8.073333333,56.34333333,28.05,205.87,-8.28,-54441,77.65612971,-0.276,77.38012971
anthracite,supercritical,13,500,302.7,62.74,1990252.5,10,0.75,15,45.92,8.072,53.992,35.06,257.295,-10.345,-68018.375,73.87548117,-0.275866667,73.5996145
anthracite,supercritical,13,600,363.2,60.41,2388040,10,0.75,15,44.21,8.071111111,52.28111111,42.07,308.72,-12.41,-81595.75,71.12445607,-0.275777778,70.84867829
anthracite,supercritical,13,700,423.7,58.61,2785827.5,10,0.75,15,42.9,8.07047619,50.97047619,49.07,360.145,-14.485,-95238.875,69.01694561,-0.275904762,68.74104084
anthracite,supercritical,13,800,484.3,57.15,3184272.5,10,0.75,15,41.83,8.071666667,49.90166667,56.09,411.655,-16.555,-108849.125,67.29554393,-0.275916667,67.01962727
anthracite,supercritical,13,900,544.8,55.95,3582060,10,0.75,15,40.95,8.071111111,49.02111111,63.1,463.08,-18.62,-122426.5,65.87981172,-0.275851852,65.60395986
anthracite,supercritical,13,1000,605.3,54.93,3979847.5,10,0.75,15,40.2,8.070666667,48.27066667,70.11,514.505,-20.685,-136003.875,64.67322176,-0.2758,64.39742176
anthracite,supercritical,13,1100,665.8,54.04,4377635,10,0.75,15,39.55,8.07030303,47.62030303,77.12,565.93,-22.75,-149581.25,63.62751046,-0.275757576,63.35175288
anthracite,supercritical,13,1200,726.4,53.26,4776080,10,0.75,15,38.98,8.071111111,47.05111111,84.13,617.44,-24.83,-163257.25,62.71050209,-0.275888889,62.4346132
anthracite,supercritical,13,1300,786.9,52.57,5173867.5,10,0.75,15,38.48,8.070769231,46.55076923,91.14,668.865,-26.895,-176834.625,61.90610879,-0.275846154,61.63026263
anthracite,supercritical,13,1400,847.4,51.94,5571655,10,0.75,15,38.01,8.07047619,46.08047619,98.15,720.29,-28.96,-190412,61.14997908,-0.275809524,60.87416956
anthracite,supercritical,13,1500,907.9,51.37,5969442.5,10,0.75,15,37.6,8.070222222,45.67022222,105.16,771.715,-31.025,-203989.375,60.49037657,-0.275777778,60.21459879
anthracite,supercritical,13,1600,968.5,50.97,6367887.5,10,0.75,15,37.3,8.070833333,45.37083333,112.18,823.225,-33.095,-217599.625,60.00774059,-0.275791667,59.73194892
anthracite,supercritical,13,1700,1029,50.61,6765675,10,0.75,15,37.04,8.070588235,45.11058824,119.18,874.65,-35.17,-231242.75,59.58945607,-0.275843137,59.31361293
anthracite,supercritical,13,1800,1090,50.29,7166750,10,0.75,15,36.81,8.074074074,44.88407407,126.25,926.5,-37.25,-244918.75,59.21943515,-0.275925926,58.94350922
anthracite,supercritical,13,1900,1150,50,7561250,10,0.75,15,36.59,8.070175439,44.66017544,133.2,977.5,-39.3,-258397.5,58.86550209,-0.275789474,58.58971262
anthracite,supercritical,13,2000,1211,49.75,7962325,10,0.75,15,36.41,8.073333333,44.48333333,140.26,1029.35,-41.39,-272139.25,58.5759205,-0.275933333,58.29998717
anthracite,supercritical,13,2100,1271,49.52,8356825,10,0.75,15,36.24,8.06984127,44.30984127,147.21,1080.35,-43.44,-285618,58.30242678,-0.275809524,58.02661725
anthracite,supercritical,13,2200,1332,49.31,8757900,10,0.75,15,36.09,8.072727273,44.16272727,154.28,1132.2,-45.52,-299294,58.06110879,-0.275878788,57.78523
anthracite,supercritical,13,2300,1392,49.11,9152400,10,0.75,15,35.94,8.069565217,44.00956522,161.23,1183.2,-47.57,-312772.75,57.81979079,-0.275768116,57.54402268
anthracite,supercritical,13,2400,1453,48.94,9553475,10,0.75,15,35.82,8.072222222,43.89222222,168.29,1235.05,-49.66,-326514.5,57.6267364,-0.275888889,57.35084751
anthracite,supercritical,13,2500,1513,48.78,9947975,10,0.75,15,35.7,8.069333333,43.76933333,175.24,1286.05,-51.71,-339993.25,57.43368201,-0.275786667,57.15789534
anthracite,supercritical,17,100,60.58,99.26,398313.5,10,0.75,15,72.65,8.077333333,80.72733333,7.02,51.493,-2.067,-13590.525,116.8783473,-0.2756,116.6027473
anthracite,supercritical,17,200,121.1,78,796232.5,10,0.75,15,57.09,8.073333333,65.16333333,14.03,102.935,-4.135,-27187.625,91.84562762,-0.275666667,91.56996095
anthracite,supercritical,17,300,181.6,69.62,1194020,10,0.75,15,50.95,8.071111111,59.02111111,21.03,154.36,-6.21,-40830.75,81.96767782,-0.276,81.69167782
anthracite,supercritical,17,400,242.2,64.87,1592465,10,0.75,15,47.48,8.073333333,55.55333333,28.05,205.87,-8.28,-54441,76.38518828,-0.276,76.10918828
anthracite,supercritical,17,500,302.7,61.72,1990252.5,10,0.75,15,45.17,8.072,53.242,35.06,257.295,-10.345,-68018.375,72.66889121,-0.275866667,72.39302455
anthracite,supercritical,17,600,363.2,59.42,2388040,10,0.75,15,43.49,8.071111111,51.56111111,42.07,308.72,-12.41,-81595.75,69.96612971,-0.275777778,69.69035193
anthracite,supercritical,17,700,423.7,57.65,2785827.5,10,0.75,15,42.19,8.07047619,50.26047619,49.07,360.145,-14.485,-95238.875,67.87470711,-0.275904762,67.59880235
anthracite,supercritical,17,800,484.3,56.23,3184272.5,10,0.75,15,41.15,8.071666667,49.22166667,56.09,411.655,-16.555,-108849.125,66.20156904,-0.275916667,65.92565237
anthracite,supercritical,17,900,544.8,55.04,3582060,10,0.75,15,40.28,8.071111111,48.35111111,63.1,463.08,-18.62,-122426.5,64.80192469,-0.275851852,64.52607283
anthracite,supercritical,17,1000,605.3,54.04,3979847.5,10,0.75,15,39.55,8.070666667,47.62066667,70.11,514.505,-20.685,-136003.875,63.62751046,-0.2758,63.35171046
anthracite,supercritical,17,1100,665.8,53.17,4377635,10,0.75,15,38.91,8.07030303,46.98030303,77.12,565.93,-22.75,-149581.25,62.59788703,-0.275757576,62.32212945
anthracite,supercritical,17,1200,726.4,52.41,4776080,10,0.75,15,38.36,8.071111111,46.43111111,84.13,617.44,-24.83,-163257.25,61.71305439,-0.275888889,61.4371655
anthracite,supercritical,17,1300,786.9,51.72,5173867.5,10,0.75,15,37.85,8.070769231,45.92076923,91.14,668.865,-26.895,-176834.625,60.89257322,-0.275846154,60.61672707
anthracite,supercritical,17,1400,847.4,51.11,5571655,10,0.75,15,37.41,8.07047619,45.48047619,98.15,720.29,-28.96,-190412,60.18470711,-0.275809524,59.90889759
anthracite,supercritical,17,1500,907.9,50.55,5969442.5,10,0.75,15,37,8.070222222,45.07022222,105.16,771.715,-31.025,-203989.375,59.5251046,-0.275777778,59.24932682
anthracite,supercritical,17,1600,968.5,50.15,6367887.5,10,0.75,15,36.7,8.070833333,44.77083333,112.18,823.225,-33.095,-217599.625,59.04246862,-0.275791667,58.76667695
anthracite,supercritical,17,1700,1029,49.8,6765675,10,0.75,15,36.45,8.070588235,44.52058824,119.18,874.65,-35.17,-231242.75,58.64027197,-0.275843137,58.36442883
anthracite,supercritical,17,1800,1090,49.49,7166750,10,0.75,15,36.22,8.074074074,44.29407407,126.25,926.5,-37.25,-244918.75,58.27025105,-0.275925926,57.99432512
anthracite,supercritical,17,1900,1150,49.21,7561250,10,0.75,15,36.02,8.070175439,44.09017544,133.2,977.5,-39.3,-258397.5,57.94849372,-0.275789474,57.67270425
anthracite,supercritical,17,2000,1211,48.96,7962325,10,0.75,15,35.83,8.073333333,43.90333333,140.26,1029.35,-41.39,-272139.25,57.64282427,-0.275933333,57.36689093
anthracite,supercritical,17,2100,1271,48.74,8356825,10,0.75,15,35.67,8.06984127,43.73984127,147.21,1080.35,-43.44,-285618,57.38541841,-0.275809524,57.10960889
anthracite,supercritical,17,2200,1332,48.53,8757900,10,0.75,15,35.52,8.072727273,43.59272727,154.28,1132.2,-45.52,-299294,57.14410042,-0.275878788,56.86822163
anthracite,supercritical,17,2300,1392,48.34,9152400,10,0.75,15,35.38,8.069565217,43.44956522,161.23,1183.2,-47.57,-312772.75,56.91887029,-0.275768116,56.64310218
anthracite,supercritical,17,2400,1453,48.17,9553475,10,0.75,15,35.26,8.072222222,43.33222222,168.29,1235.05,-49.66,-326514.5,56.7258159,-0.275888889,56.44992701
anthracite,supercritical,17,2500,1513,48.01,9947975,10,0.75,15,35.14,8.069333333,43.20933333,175.24,1286.05,-51.71,-339993.25,56.53276151,-0.275786667,56.25697484
anthracite,supercritical,20,100,60.58,98.15,398313.5,10,0.75,15,71.84,8.077333333,79.91733333,7.02,51.493,-2.067,-13590.525,115.5752301,-0.2756,115.2996301
anthracite,supercritical,20,200,121.1,77.06,796232.5,10,0.75,15,56.4,8.073333333,64.47333333,14.03,102.935,-4.135,-27187.625,90.73556485,-0.275666667,90.45989819
anthracite,supercritical,20,300,181.6,68.76,1194020,10,0.75,15,50.33,8.071111111,58.40111111,21.03,154.36,-6.21,-40830.75,80.97023013,-0.276,80.69423013
anthracite,supercritical,20,400,242.2,64.07,1592465,10,0.75,15,46.89,8.073333333,54.96333333,28.05,205.87,-8.28,-54441,75.43600418,-0.276,75.16000418
