primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
coal_biomass,supercritical,7,900,578.56,54.42,3804032,10,0.75,15,41,8.571259259,49.57125926,72,491.776,-14.784,-97204.8,65.96025105,-0.219022222,65.74122882
coal_biomass,supercritical,7,1000,642.8,53.22,4226410,10,0.75,15,40.1,8.570666667,48.67066667,79.99,546.38,-16.43,-108027.25,64.5123431,-0.219066667,64.29327643
coal_biomass,supercritical,7,1100,707.04,52.19,4648788,10,0.75,15,39.32,8.570181818,47.89018182,87.98,600.984,-18.076,-118849.7,63.25748954,-0.21910303,63.03838651
coal_biomass,supercritical,7,1200,771.36,51.28,5071692,10,0.75,15,38.64,8.570666667,47.21066667,95.99,655.656,-19.714,-129619.55,62.16351464,-0.219044444,61.9444702
coal_biomass,supercritical,7,1300,836,50.47,5496700,10,0.75,15,38.03,8.574358974,46.60435897,104.03,710.6,-21.37,-140507.75,61.18215481,-0.219179487,60.96297532
coal_biomass,supercritical,7,1400,900,49.75,5917500,10,0.75,15,37.49,8.571428571,46.06142857,112,765,-23,-151225,60.31341004,-0.219047619,60.09436242
coal_biomass,supercritical,7,1500,964,49.09,6338300,10,0.75,15,36.99,8.568888889,45.55888889,119.96,819.4,-24.64,-162008,59.50901674,-0.219022222,59.28999451
coal_biomass,supercritical,7,1600,1028.8,48.6,6764360,10,0.75,15,36.62,8.573333333,45.19333333,128.02,874.48,-26.3,-172922.5,58.91376569,-0.219166667,58.69459902
coal_biomass,supercritical,7,1700,1092.8,48.17,7185160,10,0.75,15,36.29,8.570980392,44.86098039,135.99,928.88,-27.93,-183639.75,58.38286611,-0.219058824,58.16380729
coal_biomass,supercritical,7,1800,1156.8,47.78,7605960,10,0.75,15,36,8.568888889,44.56888889,143.95,983.28,-29.57,-194422.75,57.91631799,-0.219037037,57.69728095
coal_biomass,supercritical,7,1900,1221.6,47.44,8032020,10,0.75,15,35.74,8.572631579,44.31263158,152.02,1038.36,-31.22,-205271.5,57.49803347,-0.219087719,57.27894575
coal_biomass,supercritical,7,2000,1285.6,47.13,8452820,10,0.75,15,35.51,8.570666667,44.08066667,159.98,1092.76,-32.86,-216054.5,57.12801255,-0.219066667,56.90894589
coal_biomass,supercritical,7,2100,1349.6,46.84,8873620,10,0.75,15,35.29,8.568888889,43.85888889,167.94,1147.16,-34.5,-226837.5,56.7740795,-0.219047619,56.55503188
coal_biomass,supercritical,7,2200,1414.4,46.58,9299680,10,0.75,15,35.1,8.572121212,43.67212121,176.01,1202.24,-36.15,-237686.25,56.46841004,-0.219090909,56.24931913
coal_biomass,supercritical,7,2300,1478.4,46.35,9720480,10,0.75,15,34.92,8.570434783,43.49043478,183.97,1256.64,-37.79,-248469.25,56.17882845,-0.219072464,55.95975599
coal_biomass,supercritical,7,2400,1542.4,46.13,10141280,10,0.75,15,34.76,8.568888889,43.32888889,191.94,1311.04,-39.42,-259186.5,55.92142259,-0.219,55.70242259
