primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
bituminous,subcritical,7,1100,888.3,51.57,5840572.5,10,0.75,38.08,10.76727273,48.84727273,109.64,755.055,-23.605,720883,67.5506087,-0.286121212,67.26448748
bituminous,subcritical,7,1200,969.1,50.69,6371832.5,10,0.75,37.43,10.76777778,48.19777778,119.61,823.735,-25.755,786435.75,66.39756522,-0.286166667,66.11139855
bituminous,subcritical,7,1300,1050,49.91,6903750,10,0.75,36.85,10.76923077,47.61923077,129.6,892.5,-27.9,852120,65.36869565,-0.286153846,65.08254181
bituminous,subcritical,7,1400,1131,49.27,7436325,10,0.75,36.38,10.77142857,47.15142857,139.6,961.35,-30.05,917870,64.53495652,-0.286190476,64.24876605
bituminous,subcritical,7,1500,1211,48.78,7962325,10,0.75,36.02,10.76444444,46.78444444,149.47,1029.35,-32.18,982765.25,63.89634783,-0.286044444,63.61030338
bituminous,subcritical,7,1600,1292,48.35,8494900,10,0.75,35.7,10.76666667,46.46666667,159.47,1098.2,-34.33,1048515.25,63.32869565,-0.286083333,63.04261232
bituminous,subcritical,7,1700,1373,47.97,9027475,10,0.75,35.42,10.76862745,46.18862745,169.47,1167.05,-36.48,1114265.25,62.832,-0.286117647,62.54588235
bituminous,subcritical,7,1800,1454,47.63,9560050,10,0.75,35.17,10.77037037,45.94037037,179.46,1235.9,-38.64,1179949.5,62.38852174,-0.286222222,62.10229952
bituminous,subcritical,7,1900,1534,47.33,10086050,10,0.75,34.95,10.76491228,45.71491228,189.34,1303.9,-40.76,1244910.5,61.99826087,-0.286035088,61.71222578
bituminous,subcritical,7,2000,1615,47.06,10618625,10,0.75,34.75,10.76666667,45.51666667,199.34,1372.75,-42.91,1310660.5,61.64347826,-0.286066667,61.35741159
bituminous,subcritical,7,2100,1696,46.81,11151200,10,0.75,34.56,10.76825397,45.32825397,209.33,1441.6,-45.07,1376344.75,61.30643478,-0.28615873,61.02027605
bituminous,subcritical,7,2200,1777,46.59,11683775,10,0.75,34.4,10.76969697,45.16969697,219.33,1510.45,-47.22,1442094.75,61.0226087,-0.286181818,60.73642688
bituminous,subcritical,7,2300,1857,46.39,12209775,10,0.75,34.25,10.76521739,45.01521739,229.2,1578.45,-49.35,1506990,60.75652174,-0.286086957,60.47043478
bituminous,subcritical,7,2400,1938,46.2,12742350,10,0.75,34.11,10.76666667,44.87666667,239.2,1647.3,-51.5,1572740,60.50817391,-0.286111111,60.2220628
bituminous,subcritical,7,2500,2019,46.03,13274925,10,0.75,33.99,10.768,44.758,249.2,1716.15,-53.65,1638490,60.29530435,-0.286133333,60.00917101
bituminous,subcritical,10,100,80.82,102.7,531391.5,10,0.75,75.83,10.776,86.606,9.98,68.697,-2.143,65618.5,134.5158261,-0.285733333,134.2300928
bituminous,subcritical,10,200,161.6,78.91,1062520,10,0.75,58.26,10.77333333,69.03333333,19.95,137.36,-4.29,131171.25,103.3481739,-0.286,103.0621739
bituminous,subcritical,10,300,242.3,69.49,1593122.5,10,0.75,51.31,10.76888889,62.07888889,29.91,205.955,-6.435,196658.25,91.01947826,-0.286,90.73347826
bituminous,subcritical,10,400,323.1,64.15,2124382.5,10,0.75,47.37,10.77,58.14,39.88,274.635,-8.585,262211,84.03026087,-0.286166667,83.7440942
bituminous,subcritical,10,500,403.8,60.59,2654985,10,0.75,44.74,10.768,55.508,49.84,343.23,-10.73,327698,79.36486957,-0.286133333,79.07873623
bituminous,subcritical,10,600,484.6,58.01,3186245,10,0.75,42.83,10.76888889,53.59888889,59.81,411.91,-12.88,393250.75,75.97669565,-0.286222222,75.69047343
bituminous,subcritical,10,700,565.3,56.01,3716847.5,10,0.75,41.36,10.76761905,52.12761905,69.77,480.505,-15.025,458737.75,73.36904348,-0.286190476,73.082853
bituminous,subcritical,10,800,646.1,54.4,4248107.5,10,0.75,40.17,10.76833333,50.93833333,79.75,549.185,-17.165,524356.25,71.25808696,-0.286083333,70.97200362
bituminous,subcritical,10,900,726.8,53.07,4778710,10,0.75,39.18,10.76740741,49.94740741,89.71,617.78,-19.31,589843.25,69.50191304,-0.286074074,69.21583897
bituminous,subcritical,10,1000,807.6,51.94,5309970,10,0.75,38.35,10.768,49.118,99.68,686.46,-21.46,655396,68.02956522,-0.286133333,67.74343188
bituminous,subcritical,10,1100,888.3,50.95,5840572.5,10,0.75,37.62,10.76727273,48.38727273,109.64,755.055,-23.605,720883,66.7346087,-0.286121212,66.44848748
bituminous,subcritical,10,1200,969.1,50.09,6371832.5,10,0.75,36.98,10.76777778,47.74777778,119.61,823.735,-25.755,786435.75,65.59930435,-0.286166667,65.31313768
bituminous,subcritical,10,1300,1050,49.31,6903750,10,0.75,36.41,10.76923077,47.17923077,129.6,892.5,-27.9,852120,64.58817391,-0.286153846,64.30202007
bituminous,subcritical,10,1400,1131,48.68,7436325,10,0.75,35.94,10.77142857,46.71142857,139.6,961.35,-30.05,917870,63.75443478,-0.286190476,63.46824431
bituminous,subcritical,10,1500,1211,48.2,7962325,10,0.75,35.59,10.76444444,46.35444444,149.47,1029.35,-32.18,982765.25,63.13356522,-0.286044444,62.84752077
bituminous,subcritical,10,1600,1292,47.78,8494900,10,0.75,35.28,10.76666667,46.04666667,159.47,1098.2,-34.33,1048515.25,62.58365217,-0.286083333,62.29756884
bituminous,subcritical,10,1700,1373,47.4,9027475,10,0.75,35,10.76862745,45.76862745,169.47,1167.05,-36.48,1114265.25,62.08695652,-0.286117647,61.80083887
bituminous,subcritical,10,1800,1454,47.07,9560050,10,0.75,34.75,10.77037037,45.52037037,179.46,1235.9,-38.64,1179949.5,61.64347826,-0.286222222,61.35725604
bituminous,subcritical,10,1900,1534,46.77,10086050,10,0.75,34.53,10.76491228,45.29491228,189.34,1303.9,-40.76,1244910.5,61.25321739,-0.286035088,60.9671823
bituminous,subcritical,10,2000,1615,46.5,10618625,10,0.75,34.33,10.76666667,45.09666667,199.34,1372.75,-42.91,1310660.5,60.89843478,-0.286066667,60.61236812
