plantname,capacity(MW),xcoordinate,ycoordinate
j1,1200,1.26375,103.7020833
j2,1200,1.2636,103.7029167
j52,300,1.235766667,103.6801333
j60,100,1.2528,103.6747167
j63,100,1.245333333,103.6733333
j92,700,1.245333333,103.6733333
