Case,Response,Total Var,PVfarm1_GenMW_6_1,PVfarm2_GenMW_8_1,PVfarm3_GenMW_10_1,PVfarm1_BusNomVolt_6,PVfarm2_BusNomVolt_8,PVfarm3_BusNomVolt_10,PVfarm1_GenMW_6_1*PVfarm2_GenMW_8_1,PVfarm1_GenMW_6_1*PVfarm3_GenMW_10_1,PVfarm1_GenMW_6_1*PVfarm1_BusNomVolt_6,PVfarm1_GenMW_6_1*PVfarm2_BusNomVolt_8,PVfarm1_GenMW_6_1*PVfarm3_BusNomVolt_10,PVfarm2_GenMW_8_1*PVfarm3_GenMW_10_1,PVfarm2_GenMW_8_1*PVfarm1_BusNomVolt_6,PVfarm2_GenMW_8_1*PVfarm2_BusNomVolt_8,PVfarm2_GenMW_8_1*PVfarm3_BusNomVolt_10,PVfarm3_GenMW_10_1*PVfarm1_BusNomVolt_6,PVfarm3_GenMW_10_1*PVfarm2_BusNomVolt_8,PVfarm3_GenMW_10_1*PVfarm3_BusNomVolt_10,PVfarm1_BusNomVolt_6*PVfarm2_BusNomVolt_8,PVfarm1_BusNomVolt_6*PVfarm3_BusNomVolt_10,PVfarm2_BusNomVolt_8*PVfarm3_BusNomVolt_10
CaseGroup1_Case1,Bus1_NEA%20Transfer%20hub_PWBUSPUVOLT,3.6871773890962624e-017,0.13808298953055337,0.0063477242318604908,0.5520525132212809,0.0036118430971007276,0.0037981627774250383,0.0035677252956974274,0.0092300518706346195,0.10405346319265575,0.017328996083250055,0.020350718183079271,0.011489608736649634,0.011188472872245002,0.0097294384006173396,0.009822443771551689,0.017407373564315504,0.010219031012630893,0.0059163178677056841,0.016771457133296436,0.010005554878059647,0.01595751818601647,0.023068596093374322
CaseGroup1_Case1,Bus1_NEA%20Transfer%20hub_PWBUSANGLE,3.7875334789191827e-007,0.34612749933919545,0.038449370555611699,0.61542312973236146,5.436255709795941e-013,6.1561109346332553e-011,3.1072668153338365e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus1_NEA%20Transfer%20hub_PWBUSKVVOLT,1.1706157407488109e-015,0.24721582482595747,0.004535970916114105,0.72785950979326808,0.0003584147775811505,0.00023192206333235563,0.00042103477644832359,0.00081387514510063651,0.0013909473222268487,0.00072321292820677889,0.0022262435238048052,0.0017287257389751419,0.00083304170460028922,0.00083683414903099648,0.0015204585831817667,0.0021257443916569843,0.00097709478998165384,0.0012075333565941323,0.00084783669396212413,0.0013311297353488152,0.0015343663295542876,0.0012802784550731007
CaseGroup1_Case1,Bus1_NEA%20Transfer%20hub_BusLoadMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus1_NEA%20Transfer%20hub_BusLoadMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus1_NEA%20Transfer%20hub_BusGenMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus1_NEA%20Transfer%20hub_BusGenMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus2_Phase%201%20%28Option1%29_PWBUSPUVOLT,6.1977160948699179e-017,0.2638654118809009,0.038354811170454445,0.41227222390172108,0.0057434275058849907,0.0064727489389625166,0.0078616769786345637,0.018197591725243944,0.041155070003783219,0.016218966289952685,0.013064593957095499,0.011925447575210914,0.017189854147361974,0.014595685312100471,0.021713163649561176,0.020155497736062785,0.018671413479940002,0.009161310919688425,0.0097129608152225003,0.011850262035834211,0.012627404227363945,0.029190477749019512
CaseGroup1_Case1,Bus2_Phase%201%20%28Option1%29_PWBUSANGLE,2.4030615697036237e-006,0.34614159543203965,0.038456730337801517,0.61540167385883449,7.4331682859735314e-013,5.8053478111654694e-011,3.1252756389042418e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus2_Phase%201%20%28Option1%29_PWBUSKVVOLT,1.9402650896474324e-015,0.37858609716894287,0.058103107875244711,0.55265330616034936,0.00032507226793074392,9.8647962387875344e-005,0.00011250625178797941,0.00044329034212047235,0.0034157323797441809,0.00096792874775762465,0.00034453025661482678,0.00027927238040341288,0.00079979208123543886,0.00046104032266441208,0.00060459726875538612,0.00041308135863872536,0.00057260620409229919,0.00012767749599572437,0.00040831260192811865,0.00037810497570613279,0.00047379656984348247,0.00043149932785639715
CaseGroup1_Case1,Bus2_Phase%201%20%28Option1%29_BusLoadMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus2_Phase%201%20%28Option1%29_BusLoadMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus2_Phase%201%20%28Option1%29_BusGenMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus2_Phase%201%20%28Option1%29_BusGenMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus4_AC%20Link%20bus_PWBUSPUVOLT,3.0003293343478802e-016,0.31142092877786315,0.036471940420770711,0.5387517396272552,0.0027173742454708583,0.0021461798101255073,0.0012901618489050625,0.0085118152645103397,0.020805535792247844,0.0072419103442575026,0.0045831516689816372,0.0074650450407239928,0.0036924133191126363,0.0035147755198833767,0.0074070874480431977,0.0053544555357030411,0.0098452682576765198,0.0044630158345923222,0.0038472585409815912,0.0076577832557105652,0.0088435620980443531,0.0039685973491404257
CaseGroup1_Case1,Bus4_AC%20Link%20bus_PWBUSANGLE,7.6718599080969531e-006,0.34615029518413598,0.038461231798510617,0.61538847264588192,8.6502473207985581e-013,5.687147763541336e-011,3.1373492453293906e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus4_AC%20Link%20bus_PWBUSKVVOLT,1.1406209979885847e-014,0.34818438837649129,0.040037971722033681,0.60442247878273969,4.5763889255235802e-005,3.1823229012601265e-005,1.697459510380124e-005,0.00028702314986175497,0.0048307062805568804,8.0342463766580366e-005,0.00027807697618448116,9.63087705966293e-005,0.0005617288259421408,4.1544597804417595e-005,0.00016585373958434847,5.7220092273461317e-005,0.00012211873381496238,0.00015257771565829444,0.00019369956215179013,0.00017337240472011593,0.00011497921995162668,0.00010504687249648819
CaseGroup1_Case1,Bus4_AC%20Link%20bus_BusLoadMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus4_AC%20Link%20bus_BusLoadMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus4_AC%20Link%20bus_BusGenMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus4_AC%20Link%20bus_BusGenMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus5_sub%20microgrid%201_PWBUSPUVOLT,3.4536388376748115e-016,0.31950150200287109,0.043043265666779393,0.56558706492929367,0.0031598039817609595,0.0019896313216154868,0.00032730995598978719,0.0032203106252403908,0.0066717971261899241,0.0042421279308836679,0.00795506814117624,0.0024809980161596954,0.0048485366092275604,0.0031843500389182721,0.0059118272441180987,0.0037713248979346571,0.0053036425919243116,0.0031721582185276868,0.0024115492497963392,0.0033206965860018509,0.0034607445666439592,0.0064362902989470224
CaseGroup1_Case1,Bus5_sub%20microgrid%201_PWBUSANGLE,7.7998303022862602e-006,0.35690068065962716,0.037828608659268743,0.60527071031243651,6.751306065722215e-013,5.7947240139218123e-011,3.10045393863497e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus5_sub%20microgrid%201_PWBUSKVVOLT,1.3823653345552875e-014,0.35554526626959015,0.037698888262698869,0.60074283135457862,2.3553091349098522e-005,2.0361425351274144e-005,1.9414944347374317e-005,0.00043257124181653156,0.003750381143459693,7.9443557885261823e-005,8.2436984362115319e-005,0.00011693692377123111,0.00048484338167895617,0.00016888823118184592,0.00015972247887936753,0.00011510597193930544,9.7728600543856435e-005,9.4827148830713519e-005,9.2279720560975201e-005,9.2280212999127793e-005,0.00011083878562135557,7.1400268554274766e-005
CaseGroup1_Case1,Bus5_sub%20microgrid%201_BusLoadMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus5_sub%20microgrid%201_BusLoadMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus5_sub%20microgrid%201_BusGenMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus5_sub%20microgrid%201_BusGenMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus6_PVfarm1_PWBUSPUVOLT,3.5597357949026795e-016,0.35527140590418549,0.041646334377941616,0.52766106808725532,0.0011049723372031711,0.0010942655817364969,0.00082398496530430886,0.0065173971140034303,0.0061393973344052201,0.0057973207228997773,0.0077166928895270048,0.0023571212044750382,0.0046145632354504416,0.0029894667019319549,0.0058007152174562922,0.0057560334311442382,0.002900923450399503,0.0041612484919749696,0.0034956472262164854,0.0035166638476637102,0.0048311526353010444,0.0058036252435244825
CaseGroup1_Case1,Bus6_PVfarm1_PWBUSANGLE,8.1285360714428689e-006,0.38293631288425523,0.036297483581061982,0.5807662031702564,4.057877267443068e-013,6.0208495454753445e-011,3.0381221029043328e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus6_PVfarm1_PWBUSKVVOLT,0.0018748633928223327,3.0146633007007999e-011,2.7983442795082652e-012,1.8941930728296367e-011,0.99999999966955633,1.546518411458688e-010,1.2390495558684148e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus6_PVfarm1_BusLoadMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus6_PVfarm1_BusLoadMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus6_PVfarm1_BusGenMW,7.4998229001260625e-005,0.99999999958869679,2.2003799268716251e-010,6.4067009416772693e-011,2.7853020580734296e-011,7.4721862705597681e-011,2.4623198599652425e-011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus6_PVfarm1_BusGenMVR,6.5067700246527584e-005,0.99999959168003372,2.3048284216362506e-008,3.8512062028572531e-007,2.3331346611991938e-011,7.3918678269715462e-011,5.3811994397612344e-011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus7_sub%20microgrid%202_PWBUSPUVOLT,4.392608524663015e-016,0.31610699636571632,0.051775246601940349,0.57234684315924855,0.00067383615410714689,0.001143762414351763,0.0023699403865735844,0.0032784404100938075,0.0061852005471896704,0.0049030484670632979,0.0021108237064013983,0.0043052673272204424,0.0027437087193483358,0.0027305576712225031,0.0046054879395586723,0.0026159920638201954,0.0048131657805709745,0.0044349489627276209,0.0027275511221687564,0.0028412209169418681,0.0040619682884438001,0.0032259929952911026
CaseGroup1_Case1,Bus7_sub%20microgrid%202_PWBUSANGLE,7.7778819285347728e-006,0.34143560572313125,0.051551561096421353,0.60701283283078245,8.5349731826297784e-013,5.1207005870208099e-011,2.9760438106481224e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus7_sub%20microgrid%202_PWBUSKVVOLT,1.8047484371240111e-014,0.34090807640649495,0.051989138407057642,0.60207813241802921,6.3459280094487622e-006,3.2366214522595619e-005,1.9373968116028203e-005,0.00025083076217496242,0.0029490771938748641,0.00013504194539746712,0.00014202083561471842,9.6828478181649634e-005,0.00060401842825708789,7.3983125573169633e-005,0.00010077942786303808,0.00011994870757836363,0.00011594339471626873,0.00010153209667080045,5.5118651865861213e-005,6.1458358269105877e-005,7.3599354556678503e-005,8.638589717576919e-005
CaseGroup1_Case1,Bus7_sub%20microgrid%202_BusLoadMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus7_sub%20microgrid%202_BusLoadMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus7_sub%20microgrid%202_BusGenMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus7_sub%20microgrid%202_BusGenMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus8_PVfarm2_PWBUSPUVOLT,4.7199533723230728e-016,0.31295193035821817,0.060445667501074447,0.5694315568752979,0.0008314987817376533,0.0011385362994551342,0.0024430088858133974,0.0023630243993634672,0.0062363836464402467,0.0050526310994231148,0.0049147222349610531,0.0020971934218041318,0.0032754002966496384,0.0024475980418836437,0.0027025092798206927,0.0039284264253437685,0.0025011748958132709,0.0037624572204533959,0.0037399099894349034,0.0023948330743879128,0.0045233267004184379,0.0028182105722057383
CaseGroup1_Case1,Bus8_PVfarm2_PWBUSANGLE,7.86862165555333e-006,0.33748315298221021,0.062530936716109958,0.59998590996582446,1.0173729393942652e-012,4.8839620513794096e-011,2.8599822346173729e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus8_PVfarm2_PWBUSKVVOLT,0.0018748099929847394,7.1502317789183307e-011,8.2611624165455477e-011,3.0123290390023867e-011,1.5430993430693623e-010,0.99999999949219931,1.6925357465279033e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus8_PVfarm2_BusLoadMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus8_PVfarm2_BusLoadMVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus8_PVfarm2_BusGenMW,8.3325605823757726e-006,2.2011487037960087e-010,0.99999999952380803,6.7279690586439351e-011,3.0401061220613454e-012,8.1896759066479284e-011,1.0386052219120931e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaseGroup1_Case1,Bus8_PVfarm2_BusGenMVR,7.2353080998678435e-006,8.5084097201503438e-008,0.9999998009532951,1.1377412529718764e-007,7.2171327466733802e-013,7.8343886461502848e-011,1.0941692077903273e-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
