Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
hasPrice,Object Property,,,LabEquipment,http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,maximum 1,The relation specifies the price of a laboratory equipment.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasWeight,Object Property,,,LabEquipment,http://www.ontology-of-units-of-measure.org/resource/om-2/BodyMass,maximum 1,The relation specifies the weight of a laboratory equipment.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasHeight,Object Property,,,LabEquipment,http://www.ontology-of-units-of-measure.org/resource/om-2/Height,maximum 1,The relation specifies the height of a laboratory equipment.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasWidth,Object Property,,,LabEquipment,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,maximum 1,The relation specifies the width of a laboratory equipment.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasLength,Object Property,,,LabEquipment,http://www.ontology-of-units-of-measure.org/resource/om-2/Length,maximum 1,The relation specifies the length of a laboratory equipment.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasPowerSupply,Object Property,,,LabEquipment,PowerSupply,minimum 1,The relation specifies the power supply type of a laboratory equipment.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
https://dbpedia.org/ontology/manufacturer,Object Property,,,LabEquipment,https://dbpedia.org/ontology/Organisation,only,The relation connects the product to its manufacturer or producer.,http://dbpedia.org/ontology/,
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_behavior/behavior.owl#refersToMaterial,Object Property,,,ChemicalSolution,http://www.theworldavatar.com/ontology/ontocape/material/material.owl#Material,only,The relation refersToMaterial indicates which material a material amount or a material amount connection refers to. [https://www.avt.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaatptsi],http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_behavior/behavior.owl,
isPreparedBy,Object Property,,,ChemicalSolution,PreparationMethod,only,The relation between the chemical solution and its preparation method.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
specifiedBy,Object Property,,,LabEquipment,EquipmentSettings,only,The relation between the laboratory equipment and the equipment settings based on which the equipment is set.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
specifies,Object Property,specifiedBy,INVERSE-OF,EquipmentSettings,LabEquipment,only,The relation between the equipment settings and the laboratory equipment it governs.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasSetting,Object Property,,,EquipmentSettings,ParameterSetting,only,The relation between the equipment settings and its individual parameter setting.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasQuantity,Object Property,,,ParameterSetting,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,maximum 1,The relation between the parameter setting and the quantity it refers to following the units of measure practice.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasArgument,Object Property,,,https://saref.etsi.org/core/Command,Argument,only,The relation between the a command for device actuation and the actual input.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasCmdStr,Data Property,,,https://saref.etsi.org/core/Command,string,maximum 1,The actual directive that is used to for computer program execution.,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
hasArgStr,Data Property,,,Argument,string,exactly 1,,https://github.com/cambridge-cares/TheWorldAvatar/blob/develop/JPS_Ontology/ontology/ontolab/OntoLab.owl,
