Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
has Temperature Exponent Units,Data Property,,,Arrhenius Coefficient UNION Sticking Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Activation Energy,Data Property,,,Arrhenius Coefficient UNION Sticking Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Activation Energy Units,Data Property,,,Arrhenius Coefficient UNION Sticking Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Reference Pressure,Data Property,,,Arrhenius Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Reference Pressure Units,Data Property,,,Arrhenius Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Pre Exponential Modifier,Data Property,,,Coverage Dependency,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Pre Exponential Modifier Units,Data Property,,,Coverage Dependency,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Reaction Order Modifier,Data Property,,,Coverage Dependency,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Reaction Order Modifier Units,Data Property,,,Coverage Dependency,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Exponential Modifier,Data Property,,,Coverage Dependency,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Exponential Modifier Units,Data Property,,,Coverage Dependency,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Landau Teller Coefficient B,Data Property,,,Landau Teller Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Landau Teller Coefficient B Units,Data Property,,,Landau Teller Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Landau Teller Coefficient C,Data Property,,,Landau Teller Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Landau Teller Coefficient C Units,Data Property,,,Landau Teller Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Third Body Efficiency Value,Data Property,,,Third Body Efficiency,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Default Third Body Efficiency Value,Data Property,,,Three Body Reaction,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Coefficient Values,Data Property,,,NASA UNION Fall Off Model Coefficient UNION CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Minimum Pressure,Data Property,,,CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Minimum Pressure Units,Data Property,,,CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Maximum Pressure,Data Property,,,CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Maximum Pressure Units,Data Property,,,CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Minimum Temperature Units,Data Property,,,NASA UNION CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Maximum Temperature Units,Data Property,,,NASA UNION CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Temperature Points,Data Property,,,CHEB Rate Coefficient,Integer,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Pressure Points,Data Property,,,CHEB Rate Coefficient,Integer,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has CHEB Coefficient Values,Data Property,,,CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has CHEB Coefficient Units,Data Property,,,CHEB Rate Coefficient,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://purl.org/ontology/bibo/volume,Data Property,,,Journal Specification,Integer,,,http://purl.org/ontology/bibo
http://purl.org/ontology/bibo/pageStart,Data Property,,,Publication Specification,Integer,,,http://purl.org/ontology/bibo
http://purl.org/ontology/bibo/pageEnd,Data Property,,,Publication Specification,Integer,,,http://purl.org/ontology/bibo
http://purl.org/dc/terms/publisher,Data Property,,,Publication Specification,String,,,http://purl.org/dc/terms
http://purl.org/dc/terms/title,Data Property,,,Reference UNION http://purl.org/ontology/bibo/Journal,String,,,http://purl.org/dc/terms
http://purl.org/ontology/bibo/issn,Data Property,,,http://purl.org/ontology/bibo/Journal,String,,,http://purl.org/ontology/bibo
http://xmlns.com/foaf/0.1/familyName,Data Property,,,http://xmlns.com/foaf/0.1/Person,String,,,http://xmlns.com/foaf/0.1
http://xmlns.com/foaf/0.1/givenName,Data Property,,,http://xmlns.com/foaf/0.1/Person,String,,,http://xmlns.com/foaf/0.1
http://xmlns.com/foaf/0.1/name,Data Property,,,http://xmlns.com/foaf/0.1/Person,String,,,http://xmlns.com/foaf/0.1
hasQuantumCalculationIRI,Data Property,,,http://www.theworldavatar.com/ontology/ontocape/model/property_models.owl#ThermoModel,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
hasUniqueSpeciesIRI,Data Property,,,Species,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
hasNumberOfElement,Data Property,,,ElementNumber,String,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
