Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
has Publication Specification,Object Property,,,Reference,Publication Specification,only,"A relation between a reference and a publication specification that can be a journal specification, a proceedings specification or a preprint specification.",http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://purl.org/dc/terms/contributor,Object Property,,,Reference,http://xmlns.com/foaf/0.1/Agent,only,,http://purl.org/dc/terms/contributor
has Reference,Object Property,,,Reaction Mechanism UNION http://www.theworldavatar.com/ontology/ontocape/model/property_models.owl#ThermoModel,Reference,,Connects a reaction mechanism to a reference that describes where the mechanism was published.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
exists In,Object Property,,,Site Phase UNION Bulk Phase,Material,only,A relation between a site phase or bulk phase and a material in which they exist.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
contained In,Object Property,,,Gas Phase UNION Material,Reaction Mechanism,exactly 1,A relation that identifies that a gas phase or material is contained in a reaction mechanism.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Element,Object Property,,,Species,Element,only,A relation that defines that a species or molecular entity contains a chemical element.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Thermo Model,Object Property,,,Species,http://www.theworldavatar.com/ontology/ontocape/model/property_models.owl#ThermoModel,,A relation between a species and its thermo(dynamic) data model.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
belongs To Material,Object Property,,,Surface Reaction,Material,only,A relation between a surface reaction and the material that is involved in the reaction.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
belongs To Phase,Object Property,,,Gas Phase Reaction,Gas Phase,only,A relation between a gas-phase reaction and the gas-phase that is involved in the reaction.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
belongs To Phase,Object Property,,,Surface Reaction,Site Phase UNION Bulk Phase,only,A relation between a gas-phase reaction and the gas-phase that is involved in the reaction.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
belongs To Phase,Object Property,,,Species,Phase,only,A relation between a gas-phase reaction and the gas-phase that is involved in the reaction.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
extracted From,Object Property,,,Reaction Mechanism,Mechanism Representation Language,,A relation between a chemical kinetic reaction mechanism and the language from which the mechanism is extracted (to represent this using OWL).,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
applies To,Object Property,,,Reaction Order,Product UNION Reactant,only,A relation from a reaction order to a reactant/product to which the order is applicable.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Arrhenius Coefficient,Object Property,,,Arrhenius Reaction,Arrhenius Coefficient,only,A relation that defines that a reaction has coefficients for an Arrhenius reaction rate model.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Coverage Dependency,Object Property,,,Surface Coverage Reaction,Coverage Dependency,only,A relation that defines that a surface reaction has coefficients for a coverage-dependent reaction rate model.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has CHEB Rate Coefficient,Object Property,,,CHEB Reaction,CHEB Rate Coefficient,only,A relation that defines that a reaction has coefficients for a CHEB (Chebyshev) reaction rate model.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Landau Teller Dependency,Object Property,,,Landau Teller Reaction,Landau Teller Rate Coefficient,only,A relation that defines that a reaction has coefficients for a Landau-Teller reaction rate model.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Third Body Efficiency,Object Property,,,Three Body Reaction,Third Body Efficiency,only,A relation between a species that participates in a chemical reaction and the third body efficiency of the species in the reaction.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Element Metadata,Object Property,,,Element,Element Metadata,only,A relation between an element and its metadata.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
has Element Number,Object Property,,,Species,Element Number,only,A relation that defines the number of atoms of a given element contained in a species or molecular entity.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
