Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
DewPoint,Class,http://purl.org/iot/vocab/m3-lite#DewPoint,EQUIVALENT-TO,,,,"Temperature at which the air can no longer hold all of its water vapor, and water vapor starts to condense into liquid water.",https://www.theworldavatar.com/kg/ontoems/,Dew point
DewPoint,Class,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#DewPointTemperature,EQUIVALENT-TO,,,,"Temperature at which the air can no longer hold all of its water vapor, and water vapor starts to condense into liquid water.",https://www.theworldavatar.com/kg/ontoems/,Dew point
AtmosphericPressure,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Pressure,IS-A,,,,The pressure exerted by the atmospheric column of air above the point in question (adjusted to mean sea level).,https://www.theworldavatar.com/kg/ontoems/,Atmospheric pressure
AtmosphericPressure,Class,http://purl.org/iot/vocab/m3-lite#AtmosphericPressure,EQUIVALENT-TO,,,,The pressure exerted by the atmospheric column of air above the point in question (adjusted to mean sea level).,https://www.theworldavatar.com/kg/ontoems/,Atmospheric pressure
AtmosphericPressure,Class,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#AtmosphericPressure,EQUIVALENT-TO,,,,The pressure exerted by the atmospheric column of air above the point in question (adjusted to mean sea level).,https://www.theworldavatar.com/kg/ontoems/,Atmospheric pressure
RelativeHumidity,Class,http://purl.org/iot/vocab/m3-lite#RelativeHumidity,EQUIVALENT-TO,,,,Relative humidity of the outside air.,https://www.theworldavatar.com/kg/ontoems/,Relative humidity
RelativeHumidity,Class,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Humidity,EQUIVALENT-TO,,,,Relative humidity of the outside air.,https://www.theworldavatar.com/kg/ontoems/,Relative humidity
RelativeHumidity,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/RelativeHumidity,EQUIVALENT-TO,,,,Relative humidity of the outside air.,https://www.theworldavatar.com/kg/ontoems/,Relative humidity
Visibility,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Distance,IS-A,,,,"Prevailing horizontal distance at which an object can be clearly discerned by a certified weather observer, under current weather conditions.",https://www.theworldavatar.com/kg/ontoems/,Visibility
UVIndex,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Number,IS-A,,,,The strength of the sun's ultraviolet (UV) radiation expressed as index as developed by the World Health Organization.,https://www.theworldavatar.com/kg/ontoems/,UV index
PrecipitationProbability,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Number,IS-A,,,,The likelihood of occurrence of precipitation.,https://www.theworldavatar.com/kg/ontoems/,Precipitation probability
PrecipitationProbability,Class,http://semanticscience.org/resource/SIO_000638,IS-A,,,,The likelihood of occurrence of precipitation.,https://www.theworldavatar.com/kg/ontoems/,Precipitation probability
PrecipitationRate,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Speed,IS-A,,,,The amount of rain that has fallen per unit time (usually given in units of mm/hr or in/hr (millimeters per hour or inches per hour)) .,https://www.theworldavatar.com/kg/ontoems/,Precipitation rate
AirPollutantConcentration,Class,https://www.theworldavatar.com/kg/ontouom/Concentration,IS-A,,,,The concentration of a specific air pollutant as amount of material per unit volume of air (e.g. mass concentration).,https://www.theworldavatar.com/kg/ontoems/,Air pollutant concentration
http://www.ontology-of-units-of-measure.org/resource/om-2/VolumeFraction,Class,https://www.theworldavatar.com/kg/ontouom/Concentration,IS-A,,,,,https://www.theworldavatar.com/kg/ontoems/,Volume fraction
