year,coal_annual_emission,gas_annual_emission,oil_annual_emission,coal_power_lock_emission,gas_power_lock_emission,oil_power_lock_emission,overall_annual_emission,overall_lock_emission
2015,10.77231438,3.910218705,0.631972114,204.3919581,66.15519901,11.89706139,15.3145052,282.4442185
2016,11.0883396,4.070376494,0.645963058,209.1335999,70.60024927,12.46689557,15.80467916,292.2007447
2017,11.34031761,4.216385701,0.636424637,216.0107166,75.58903372,11.98428103,16.19312795,303.5840313
2018,11.42992329,4.273770852,0.637266612,211.8371052,75.90355897,11.71584763,16.34096076,299.4565118
2019,11.45279412,4.285590357,0.640067948,207.7063882,74.88619906,11.62602981,16.37845242,294.2186171
2020,11.45444367,4.265226318,1.075180296,207.8513663,71.85798637,27.04547105,16.79485028,306.7548237
2021,11.43946073,4.252173021,1.070163943,203.1492364,70.76747411,26.30485731,16.7617977,300.2215678
2022,11.48804714,4.240201058,1.059321665,204.429351,68.83687195,25.42389378,16.78756986,298.6901167
2023,11.50803597,4.245005031,1.048495033,210.8187458,70.35078446,24.57057814,16.80153603,305.7401084
2024,11.47657298,4.239718669,1.037334912,203.8470868,70.174437,23.97672543,16.75362656,297.9982492
2025,11.42715996,4.243996975,1.026442119,196.2511686,69.54551647,23.13484709,16.69759905,288.9315322
2026,11.37038699,4.271660538,1.025180351,192.6049992,69.23924107,22.3239425,16.66722788,284.1681828
2027,11.3336514,4.303879667,1.011842141,186.5790326,68.78953067,21.43786491,16.6493732,276.8064282
2028,11.31460417,4.335988653,1.002377122,182.8147158,69.57789215,20.57381469,16.65296995,272.9664226
2029,11.27761446,4.365323239,0.990331007,181.8462758,71.73677289,20.52133725,16.6332687,274.104386
2030,11.26915049,4.422735944,0.951201898,179.8769393,74.92247186,19.48066372,16.64308833,274.2800749
2031,11.25798198,4.479595161,0.940253039,185.9186434,76.13443593,18.8138591,16.67783018,280.8669384
2032,11.26300331,4.530394076,0.930247908,184.4288277,76.90907483,18.11986774,16.7236453,279.4577703
2033,11.27683402,4.580179275,0.923652048,198.5422824,81.79277515,18.71112115,16.78066535,299.0461787
2034,11.29920251,4.650773277,0.91099794,200.3785979,87.88041203,18.58226646,16.86097373,306.8412763
2035,11.32586056,4.725129308,0.880069032,202.6131693,91.08999967,17.62754437,16.9310589,311.3307133
2036,11.33579184,4.783240024,0.865133599,204.6479007,96.04864045,16.78318801,16.98416546,317.4797292
2037,11.33434848,4.853389565,0.836432469,204.9124921,97.9196566,15.84191903,17.02417052,318.6740677
2038,11.35520339,4.916257768,0.828895335,203.5059638,99.52802253,15.27137184,17.1003565,318.3053582
2039,11.37863071,4.992972068,0.813328153,200.0608334,103.0827415,14.96802112,17.18493093,318.111596
2040,11.39686957,5.052437706,0.810301326,201.3127224,106.146366,14.51309674,17.25960861,321.9721851
2041,11.42223429,5.122926282,0.805233339,198.9589491,108.2481257,13.75218402,17.35039391,320.9592588
2042,11.43419851,5.189665896,0.789224231,204.9051002,109.923508,13.1487498,17.41308864,327.977358
2043,11.4576784,5.255817221,0.774274556,207.7237469,112.5715727,12.34379186,17.48777017,332.6391114
2044,11.48841902,5.343148753,0.764059718,213.6418667,117.8724613,11.64411337,17.59562749,343.1584414
2045,11.53096874,5.42256035,0.753248327,225.9149274,120.3116462,11.30779716,17.70677742,357.5343708
2046,11.56886548,5.508556093,0.734423281,227.6269583,125.6878353,10.95611173,17.81184485,364.2709053
2047,11.60466205,5.591086409,0.729470995,233.2204061,127.7062857,10.76431475,17.92521946,371.6910065
2048,11.6401806,5.656213407,0.731776866,244.2433164,131.6143546,11.23983783,18.02817087,387.0975088
2049,11.67144198,5.726454669,0.725604295,245.1619945,131.9537507,10.53307144,18.12350094,387.6488166
2050,11.70179636,5.797156739,0.711753666,255.1736324,134.0777654,10.09131047,18.21070676,399.3427083
