year,reference_cost,PC_CCS,PC_CCS_low,PC_CCS_mid,PC_CCS_high,NGCC_CCS,NGCC_CCS_low,NGCC_CCS_mid,NGCC_CCS_high
2016,65.20027,82,80.76226576,80.4528322,80.14339864,87,86.4,86.25,86.1
2017,63.54014,82,79.52453152,78.9056644,78.28679728,87,85.8,85.5,85.2
2018,62.49941,82,78.28679728,77.3584966,76.43019592,87,85.2,84.75,84.3
2019,62.22149,82,77.04906304,75.8113288,74.57359456,87,84.6,84,83.4
2020,61.90546,82,75.8113288,74.264161,72.7169932,87,84,83.25,82.5
2021,61.78788,82,74.57359456,72.7169932,70.86039184,87,83.4,82.5,81.6
2022,61.28391,82,73.33586032,71.1698254,69.00379048,87,82.8,81.75,80.7
2023,60.78271,82,72.09812608,69.6226576,67.14718912,87,82.2,81,79.8
2024,60.47005,82,70.86039184,68.0754898,65.29058776,87,81.6,80.25,78.9
2025,60.72605,82,69.6226576,66.528322,63.4339864,87,81,79.5,78
2026,60.32351,82,69.49888241,66.37360301,63.24832361,87,80.76,79.2,77.64
2027,60.15475,82,69.37510721,66.21888402,63.06266082,87,80.52,78.9,77.28
2028,59.91858,82,69.25133202,66.06416502,62.87699803,87,80.28,78.6,76.92
2029,59.74736,82,69.12755682,65.90944603,62.69133524,87,80.04,78.3,76.56
2030,59.57172,82,69.00378163,65.75472704,62.50567245,87,79.8,78,76.2
2031,59.4622,82,68.88000644,65.60000805,62.32000965,87,79.56,77.7,75.84
2032,59.09818,82,68.75623124,65.44528905,62.13434686,87,79.32,77.4,75.48
2033,58.69071,82,68.63245605,65.29057006,61.94868407,87,79.08,77.1,75.12
2034,58.27968,82,68.50868085,65.13585107,61.76302128,87,78.84,76.8,74.76
2035,57.94539,82,68.38490566,64.98113208,61.57735849,87,78.6,76.5,74.4
2036,57.82228,82,67.88981132,64.36226415,60.83471698,87,78.48,76.35,74.22
2037,57.6393,82,67.76603774,64.20754717,60.6490566,87,78.36,76.2,74.04
2038,57.61822,82,67.64226415,64.05283019,60.46339623,87,78.24,76.05,73.86
2039,57.58316,82,67.51849057,63.89811321,60.27773585,87,78.12,75.9,73.68
2040,57.42865,82,67.39471698,63.74339623,60.09207547,87,78,75.75,73.5
2041,57.21256,82,67.2709434,63.58867925,59.90641509,87,77.88,75.6,73.32
2042,56.95737,82,67.14716981,63.43396226,59.72075472,87,77.76,75.45,73.14
2043,56.72602,82,67.02339623,63.27924528,59.53509434,87,77.64,75.3,72.96
2044,56.5327,82,66.89962264,63.1245283,59.34943396,87,77.52,75.15,72.78
2045,56.32994,82,67.14716981,63.43396226,59.72075472,87,77.4,75,72.6
2046,56.00807,82,67.14716981,63.43396226,59.72075472,87,77.28,74.85,72.42
2047,56.25328,82,67.14716981,63.43396226,59.72075472,87,77.16,74.7,72.24
2048,56.44464,82,67.14716981,63.43396226,59.72075472,87,77.04,74.55,72.06
2049,56.42391,82,67.14716981,63.43396226,59.72075472,87,76.92,74.4,71.88
2050,56.24409,82,67.14716981,63.43396226,59.72075472,87,76.8,74.25,71.7
