annual_emission,ccs_annual_emission,ccs_annual_emission_h,ccs_annual_emission_m,ccs_annual_emission_l,beccs_annual_emission_h,beccs_annual_emission_m,beccs_annual_emission_l,be_annual_emission_h,be_annual_emission_m,be_annual_emission_l
15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052
15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.1281473,15.19416764,15.31124554
16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,14.20335759,14.61758775,15.29288816
16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,13.39821699,14.17363387,15.26797496
16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,12.8478288,13.8550967,15.24741937
16.69485028,16.59613484,16.59613484,16.59613484,16.59613484,16.59613484,16.59613484,16.59613484,11.95659157,13.54752915,15.21292594
16.7617977,16.55900133,16.55900133,16.55900133,16.55900133,16.55900133,16.55900133,16.55900133,11.50032647,13.38498425,15.17080265
16.78756986,16.58177204,16.58177204,16.58177204,16.58177204,16.58177204,16.58177204,16.58177204,11.13781107,13.40558992,15.16706072
16.80153603,16.579397,16.579397,16.579397,16.579397,16.579397,16.579397,16.579397,11.03015905,13.40778511,15.15750569
16.75362656,16.5283462,16.5283462,16.5283462,16.5283462,16.5283462,16.5283462,16.5283462,11.04336968,13.44571077,15.17039601
16.69759905,16.46405508,16.46405508,16.46405508,16.46405508,16.46405508,16.46405508,16.46405508,11.22245426,13.52078062,15.19319613
16.66722788,16.4132556,16.4132556,16.4132556,16.4132556,16.4132556,16.4132556,16.4132556,11.44877315,13.60767946,15.23057453
16.6493732,16.39839846,16.39839846,16.39839846,16.39839846,16.39839846,16.39839846,16.39839846,11.65617786,13.68499406,15.28071615
16.65296995,16.38807146,16.38807146,16.38807146,16.38807146,16.38807146,16.38807146,16.38807146,11.83143263,13.78366505,15.33861893
16.6332687,16.37269671,16.37269671,16.37269671,16.37269671,16.37269671,16.37269671,16.37269671,11.95633765,13.86197654,15.38902273
16.64308833,16.39112884,16.39112884,16.39112884,16.39112884,16.39112884,16.39112884,16.39112884,12.14637112,13.98068102,15.4550027
16.67783018,16.39543228,16.39543228,16.39543228,16.39543228,16.39543228,16.39543228,16.39543228,12.32460726,14.15797575,15.55458402
16.7236453,16.43270834,16.43270834,16.43270834,16.43270834,16.43270834,16.43270834,16.43270834,12.39660825,14.23951597,15.62384087
16.78066535,16.47312168,16.47312168,16.47312168,16.47312168,16.47312168,16.47312168,16.47312168,12.40862544,14.29937358,15.68138443
16.86097373,16.54283435,16.54283435,16.54283435,16.54283435,16.54283435,16.54283435,16.54283435,12.38133168,14.34703486,15.73719617
16.9310589,16.61090952,16.61090952,16.61090952,16.61090952,16.61090952,16.61090952,16.61090952,12.36237594,14.43241772,15.81754868
16.98416546,16.66038393,16.66038393,16.66038393,16.66038393,16.66038393,16.66038393,16.66038393,12.3946029,14.56477554,15.91189788
17.02417052,16.71424135,16.71424135,16.71424135,16.71424135,16.71424135,16.71424135,16.71424135,12.44011693,14.66378011,15.98904359
17.1003565,16.78150628,16.78150628,16.78150628,16.78150628,16.78150628,16.78150628,16.78150628,12.55239795,14.7993149,16.08405749
17.18493093,16.86354536,16.86354536,16.86354536,16.86354536,16.86354536,16.86354536,16.86354536,12.6005382,14.85365289,16.15066471
17.25960861,16.93275375,16.93275375,16.93275375,16.93275375,16.93275375,16.93275375,16.93275375,12.62986957,14.92738715,16.2290806
17.35039391,17.01305011,17.01305011,17.01305011,17.01305011,17.01305011,17.01305011,17.01305011,12.63111239,14.95750976,16.28537083
17.41308864,17.09026825,17.09026825,17.09026825,17.09026825,17.09026825,17.09026825,17.09026825,12.63728176,15.0051058,16.35307877
17.48777017,17.16999478,17.16999478,17.16999478,17.16999478,17.16999478,17.16999478,17.16999478,12.66938584,15.09374703,16.43139291
17.59562749,17.27495253,17.27495253,17.27495253,17.27495253,17.27495253,17.27495253,17.27495253,12.73387025,15.16757504,16.5073606
17.70677742,17.38669595,17.38669595,17.38669595,17.38669595,17.38669595,17.38669595,17.38669595,12.758474,15.22732118,16.59056694
17.81184485,17.49161118,17.49161118,17.49161118,17.49161118,17.49161118,17.49161118,17.49161118,12.78008628,15.2854124,16.66862874
17.92521946,17.57129551,17.57129551,17.57129551,17.57129551,17.57129551,17.57129551,17.57129551,12.81945348,15.36466239,16.75702859
18.02817087,17.63988377,17.63988377,17.63988377,17.63988377,17.63988377,17.63988377,17.63988377,12.96221985,15.39022526,16.82440241
18.12350094,17.72460356,17.72460356,17.72460356,17.72460356,17.72460356,17.72460356,17.72460356,13.01709185,15.39278472,16.87471382
18.21070676,17.79135979,17.79135979,17.79135979,17.79135979,17.79135979,17.79135979,17.79135979,13.18111394,15.43514184,16.9406418
