year,reference_cost,PC_CCS,PC_CCS_low,PC_CCS_mid,PC_CCS_high,NGCC_CCS,NGCC_CCS_low,NGCC_CCS_mid,NGCC_CCS_high
2016,73.20027,92.77333333,82.09559909,81.78616553,81.47673197,92.70666667,86.72,86.57,86.42
2017,71.54014,92.77333333,80.85786485,80.23899773,79.62013061,97.77333333,86.12,85.82,85.52
2018,70.49941,92.77333333,79.62013061,78.69182993,77.76352925,97.77333333,85.52,85.07,84.62
2019,70.22149,92.77333333,78.38239637,77.14466213,75.90692789,97.77333333,84.92,84.32,83.72
2020,69.90546,92.77333333,77.14466213,75.59749433,74.05032653,97.77333333,84.32,83.57,82.82
2021,69.78788,92.77333333,75.90692789,74.05032653,72.19372517,97.77333333,83.72,82.82,81.92
2022,69.28391,92.77333333,74.66919365,72.50315873,70.33712381,97.77333333,83.12,82.07,81.02
2023,68.78271,92.77333333,73.43145941,70.95599093,68.48052245,97.77333333,82.52,81.32,80.12
2024,68.47005,92.77333333,72.19372517,69.40882313,66.62392109,97.77333333,81.92,80.57,79.22
2025,68.72605,92.77333333,70.95599093,67.86165533,64.76731973,97.77333333,81.32,79.82,78.32
2026,68.32351,92.77333333,70.83221574,67.70693634,64.58165694,97.77333333,81.08,79.52,77.96
2027,68.15475,92.77333333,70.70844055,67.55221735,64.39599415,97.77333333,80.84,79.22,77.6
2028,67.91858,92.77333333,70.58466535,67.39749836,64.21033136,97.77333333,80.6,78.92,77.24
2029,67.74736,92.77333333,70.46089016,67.24277936,64.02466857,97.77333333,80.36,78.62,76.88
2030,67.57172,92.77333333,70.33711496,67.08806037,63.83900578,97.77333333,80.12,78.32,76.52
2031,67.4622,92.77333333,70.21333977,66.93334138,63.65334299,97.77333333,79.88,78.02,76.16
2032,67.09818,92.77333333,70.08956458,66.77862239,63.4676802,97.77333333,79.64,77.72,75.8
2033,66.69071,92.77333333,69.96578938,66.62390339,63.28201741,97.77333333,79.4,77.42,75.44
2034,66.27968,92.77333333,69.84201419,66.4691844,63.09635461,97.77333333,79.16,77.12,75.08
2035,65.94539,92.77333333,69.71823899,66.31446541,62.91069182,97.77333333,78.92,76.82,74.72
2036,65.82228,92.77333333,69.22314465,65.69559748,62.16805031,97.77333333,78.8,76.67,74.54
2037,65.6393,92.77333333,69.09937107,65.5408805,61.98238994,97.77333333,78.68,76.52,74.36
2038,65.61822,92.77333333,68.97559748,65.38616352,61.79672956,97.77333333,78.56,76.37,74.18
2039,65.58316,92.77333333,68.8518239,65.23144654,61.61106918,97.77333333,78.44,76.22,74
2040,65.42865,92.77333333,68.72805031,65.07672956,61.42540881,97.77333333,78.32,76.07,73.82
2041,65.21256,92.77333333,68.60427673,64.92201258,61.23974843,97.77333333,78.2,75.92,73.64
2042,64.95737,92.77333333,68.48050314,64.7672956,61.05408805,97.77333333,78.08,75.77,73.46
2043,64.72602,92.77333333,68.35672956,64.61257862,60.86842767,97.77333333,77.96,75.62,73.28
2044,64.5327,92.77333333,68.23295597,64.45786164,60.6827673,97.77333333,77.84,75.47,73.1
2045,64.32994,92.77333333,68.48050314,64.7672956,61.05408805,97.77333333,77.72,75.32,72.92
2046,64.00807,92.77333333,68.48050314,64.7672956,61.05408805,97.77333333,77.6,75.17,72.74
2047,64.25328,92.77333333,68.48050314,64.7672956,61.05408805,97.77333333,77.48,75.02,72.56
2048,64.44464,92.77333333,68.48050314,64.7672956,61.05408805,97.77333333,77.36,74.87,72.38
2049,64.42391,92.77333333,68.48050314,64.7672956,61.05408805,97.77333333,77.24,74.72,72.2
2050,64.24409,92.77333333,68.48050314,64.7672956,61.05408805,97.77333333,77.12,74.57,72.02
