year,PC_avoid_cost_no,PC_avoid_cost_low,PC_avoid_cost_middle,PC_avoid_cost_high,NGCC_avoid_cost_no,NGCC_avoid_cost_low,NGCC_avoid_cost_middle,NGCC_avoid_cost_high
2016,37.08019917,35.76890111,35.4410766,35.11325208,49.0086879,47.67208732,47.33793718,47.00378703
2017,38.34803954,35.72544342,35.06979439,34.41414536,52.69554628,50.02234512,49.35404483,48.68574454
2018,39.14284447,35.20895029,34.22547674,33.24200319,55.00682558,50.99702384,49.99457341,48.99212297
2019,39.35509182,34.10989958,32.79860151,31.48730345,55.62403729,50.27763498,48.9410344,47.60443382
2020,39.59644376,33.03995345,31.40083087,29.7617083,56.32588465,49.64288175,47.97213103,46.3013803
2021,39.68623954,31.81845117,29.85150408,27.88455699,56.58700926,48.56740579,46.56250492,44.55760405
2022,40.07112115,30.89203472,28.59726311,26.30249151,57.70623849,48.35003443,46.01098342,43.67193241
2023,40.45388731,29.96350282,27.3409067,24.71831058,58.81931603,48.12651139,45.45331024,42.78010908
2024,40.69266558,28.89098303,25.9405624,22.99014176,59.5136792,47.48427399,44.47692269,41.46957138
2025,40.49715853,27.38417791,24.10593276,20.82768761,58.94514798,45.57914219,42.23764074,38.89613929
2026,40.8045781,27.56046581,24.24943773,20.93840966,59.83911891,45.93847289,42.46331138,38.98814988
2027,40.93346002,27.55821605,24.21440505,20.87059406,60.21390536,45.7786191,42.16979754,38.56097597
2028,41.11382292,27.60744726,24.23085335,20.85425944,60.73839762,45.76847113,42.02598951,38.28350789
2029,41.24458354,27.6070762,24.19769937,20.78832253,61.11864729,45.61408058,41.7379389,37.86179722
2030,41.37871971,27.61008069,24.16792094,20.72576118,61.50871301,45.46950606,41.45970433,37.44990259
2031,41.46236007,27.56258937,24.0876467,20.61270402,61.75193778,45.1780906,41.0346288,36.89116701
2032,41.74036195,27.70945957,24.20173397,20.69400838,62.56036253,45.45187512,41.17475327,36.89763141
2033,42.05154656,27.8895125,24.34900399,20.80849547,63.46528214,45.82215449,41.41137258,37.00059067
2034,42.36544995,28.0722842,24.49899277,20.92570133,64.37810788,46.20034,41.65589803,37.11145606
2035,42.62074704,28.19644961,24.59037526,20.9843009,65.1205075,46.40809939,41.72999736,37.05189534
2036,42.71476608,27.76594874,24.02874441,20.29154008,65.39391328,46.41418505,41.669253,36.92432094
2037,42.8545078,27.77456049,24.00457367,20.23458684,65.80027985,46.55323151,41.74146943,36.92970734
2038,42.87060659,27.6595293,23.85675998,20.05399066,65.84709485,46.33272639,41.45413428,36.57554216
2039,42.89738189,27.55517463,23.71962281,19.884071,65.92495697,46.1432684,41.19784626,36.25242412
2040,43.01538109,27.54204385,23.67370954,19.80537523,66.26809666,46.21908797,41.2068358,36.19458363
2041,43.1804089,27.57594169,23.67482489,19.77370808,66.74799476,46.43166595,41.35258375,36.27350155
2042,43.37529737,27.63970018,23.70580088,19.77190158,67.31472711,46.73107819,41.58516596,36.43925373
2043,43.55197924,27.68525207,23.71857028,19.75188848,67.828515,46.97754596,41.7648037,36.55206145
2044,43.69961761,27.70176047,23.70229618,19.7028319,68.25784491,47.13955576,41.85998347,36.58041118
2045,43.85446531,28.11886812,24.18496882,20.25106953,68.7081394,47.32253014,41.97612782,36.6297255
2046,44.10027726,28.36468006,24.43078077,20.49688147,69.42295638,47.770027,42.35679465,36.9435623
2047,43.91301051,28.17741332,24.24351402,20.30961473,68.87838786,46.95813836,41.47807598,35.99801361
2048,43.76686899,28.0312718,24.0973725,20.1634732,68.45341077,46.26584115,40.71894875,35.17205634
2049,43.78270048,28.04710328,24.11320399,20.17930469,68.49944847,46.04455874,40.43083631,34.81711387
2050,43.92002891,28.18443172,24.25053242,20.31663312,68.89879724,46.17658739,40.49603493,34.81548247
