lock_emission,ccs_lock_emission,ccs_lock_emission_h,ccs_lock_emission_m,ccs_lock_emission_l,beccs_lock_emission_h,beccs_lock_emission_m,beccs_lock_emission_l,be_lock_emission_h,be_lock_emission_m,be_lock_emission_l
282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185
292.2007447,292.2007447,292.2007447,292.2007447,292.2007447,286.3567298,286.3567298,286.3567298,288.7507051,291.8176699,292.5915347
294.2186171,294.2186171,294.2186171,294.2186171,294.2186171,288.3342447,288.3342447,288.3342447,289.5250351,294.4596479,295.7047627
298.6901167,298.6901167,298.6901167,298.6901167,298.6901167,292.7163144,292.7163144,292.7163144,288.4486469,295.2466397,296.9619275
299.4565118,299.4565118,299.4565118,299.4565118,299.4565118,293.4673816,293.4673816,293.4673816,286.2665543,294.9236607,297.108045
300.2215678,300.2215678,300.2215678,300.2215678,300.2215678,294.2171365,294.2171365,294.2171365,285.7811794,296.3737594,299.0465076
303.5840313,303.5840313,303.5840313,303.5840313,303.5840313,297.5123507,297.5123507,297.5123507,285.8542027,298.4369119,301.6118148
306.7548237,306.7548237,306.7548237,306.7548237,306.7548237,300.6197272,300.6197272,300.6197272,283.1090847,297.5751935,301.2253209
305.7401084,305.7401084,293.3140481,293.8898342,294.4656203,287.4477672,288.0120375,288.5763079,274.9049163,290.9355251,294.9804114
297.9982492,297.9982492,282.0171757,281.7659633,281.5147509,276.3768322,276.1306441,275.8844559,264.1336904,281.490076,285.8694858
288.9315322,288.9315322,269.6847631,268.6534935,267.6222239,264.2910679,263.2804236,262.2697794,255.8622863,274.6170322,279.34928
284.1681828,276.0652116,232.1962336,234.6044568,237.01268,227.5523089,229.9123677,232.2724264,247.2550928,267.2870455,272.3415616
276.8064282,267.3347647,220.5558207,223.162304,225.7687873,216.1447043,218.699058,221.2534116,240.2408492,261.6085109,267.0000567
272.9664226,262.0694438,211.9491265,214.7764838,217.603841,207.710144,210.4809541,213.2517642,237.2544991,260.2815673,266.091819
274.104386,261.598778,207.2625645,210.3598127,213.4570609,203.1173132,206.1526164,209.1879196,234.9897095,259.7381461,265.982738
274.2800749,260.2022484,201.8216887,205.1791915,208.5366944,197.7852549,201.0756077,204.3659605,235.4254536,262.2183121,268.978758
279.4577703,263.52046,199.9526186,203.6366473,207.3206759,195.9535662,199.5639143,203.1742624,234.8550547,263.6095679,270.8649838
280.8669384,263.2474967,195.2533058,199.220383,203.1874603,191.3482397,195.2359754,199.1237111,242.9740548,274.9006557,282.9564613
299.0461787,278.5808681,201.8141639,206.3196019,210.8250399,197.7778806,202.1932098,206.6085391,249.0620561,284.0302593,292.8535302
306.8412763,284.0926084,200.8393525,205.7511616,210.6629707,196.8225655,201.6361384,206.4497113,250.5350453,288.0313134,297.4924724
311.3307133,286.473706,197.4512223,202.7280541,208.0048859,193.5021979,198.673493,203.8447882,252.0269368,292.1465763,302.2696714
317.4797292,290.3212093,194.8994383,200.5794389,206.2594395,191.0014496,196.5678501,202.1342507,251.0793383,293.4874872,304.1880251
318.6740677,289.596,189.1567729,195.1582133,201.1596536,185.3736374,191.255049,197.1364606,248.0622572,292.4365773,303.6332248
318.3053582,287.4456575,182.4695442,188.7637657,195.0579872,178.8201533,184.9884904,191.1568274,244.7731429,291.0666963,302.7476099
318.111596,283.6423376,175.8940349,182.4839672,189.0738996,172.3761542,178.8342879,185.2924216,243.6764856,292.3295693,304.6058459
321.9721851,283.4122328,168.2143475,175.3390214,182.4636954,164.8500605,171.832241,178.8144215,240.9005681,291.5877905,304.3773265
320.9592588,277.0293817,161.1628415,168.567325,175.9718085,157.9395846,165.1959785,172.4523723,241.1681565,294.5935135,308.0739429
327.977358,281.2164743,158.0219107,165.8971329,173.7723552,154.8614725,162.5791903,170.2969081,241.9222487,298.2581582,312.4729861
332.6391114,283.3165641,153.5083256,161.8087053,170.1090851,150.4381591,158.5725312,166.7069034,245.0004835,304.9213601,320.0407565
343.1584414,290.319113,147.9027223,156.9502828,165.9978432,144.9446679,153.8112771,162.6778864,251.080703,315.5042032,331.7597137
357.5343708,300.4424483,146.8332522,156.5965058,166.3597595,143.8965871,153.4645757,163.0325643,253.9887229,322.2725114,339.5020602
364.2709053,304.025862,142.1973809,152.4875974,162.777814,139.3534332,149.4378455,159.5222578,255.4501593,327.3629227,345.5081441
371.6910065,308.0990561,133.7640484,144.7888653,155.8136821,131.0887675,141.893088,152.6974085,260.7071158,337.5103368,356.8895316
387.0975088,318.6620933,131.4422193,143.2885135,155.1348077,128.8133749,140.4227432,152.0321115,262.72153,343.6203772,364.0329914
392.6488166,319.8730998,121.3585232,133.9292962,146.5000693,118.9313527,131.2507103,143.5700679,260.3986282,346.7684541,368.5615202
399.3427083,322.4795237,107.1971384,120.734282,134.2714256,105.0531956,118.3195963,131.5859971,261.0577137,346.1674234,367.6425337
