year,PC_avoid_cost_no,PC_avoid_cost_low,PC_avoid_cost_middle,PC_avoid_cost_high,NGCC_avoid_cost_no,NGCC_avoid_cost_low,NGCC_avoid_cost_middle,NGCC_avoid_cost_high
2016,37.99837553,-13.3182197,-13.64604421,-13.97386873,-5.494913492,-66.83002896,-67.1641791,-67.49832925
2017,40.69590823,-11.93198506,-12.58763409,-13.24328312,1.198152475,-61.47356357,-62.14186386,-62.81016415
2018,42.38698255,-11.55220881,-12.53568235,-13.5191559,5.394013367,-58.61430326,-59.61675369,-60.61920413
2019,42.83857265,-12.41191676,-13.72321482,-15.03451288,6.514490013,-58.83042719,-60.16702777,-61.50362835
2020,43.35208741,-13.20970006,-14.84882264,-16.48794522,7.788612906,-58.89290488,-60.5636556,-62.23440633
2021,43.54314227,-14.32994327,-16.29689036,-18.26383745,8.262654515,-59.75546385,-61.76036472,-63.76526559
2022,44.36203931,-14.82234429,-17.11711589,-19.4118875,10.29448603,-59.06023291,-61.39928393,-63.73833494
2023,45.17643541,-15.31924625,-17.94184238,-20.5644385,12.31514987,-58.37616965,-61.04937081,-63.72257197
2024,45.68447428,-16.12250544,-19.07292608,-22.02334672,13.5756861,-58.452234,-61.45958531,-64.46693661
2025,45.26850181,-17.84977597,-21.12802112,-24.40626628,12.54358326,-60.82093742,-64.16243887,-67.50394032
2026,45.92258602,-17.32682345,-20.63785152,-23.94887959,14.16648434,-59.73267657,-63.20783808,-66.68299958
2027,46.19680287,-17.18373828,-20.52754927,-23.87136026,14.84686589,-59.58693526,-63.19575682,-66.80457839
2028,46.58055372,-16.93111911,-20.30771302,-23.68430694,15.79902107,-59.1694203,-62.91190193,-66.65438355
2029,46.8587678,-16.78403671,-20.19341354,-23.60279037,16.48932048,-59.01376113,-62.88990281,-66.76604449
2030,47.14416391,-16.62977228,-20.07193203,-23.51409179,17.19743979,-58.84028205,-62.85008379,-66.85988553
2031,47.32212213,-16.58294574,-20.05788841,-23.53283109,17.63898628,-58.93337579,-63.07683758,-67.22029938
2032,47.91361548,-16.12258407,-19.63030967,-23.13803526,19.10658814,-58.00041416,-62.27753601,-66.55465787
2033,48.57571041,-15.59162083,-19.13212934,-22.67263786,20.74936527,-56.89227727,-61.30305918,-65.71384109
2034,49.24358995,-15.05487297,-18.6281644,-22.20145584,22.40649507,-55.76978769,-60.31422966,-64.85867163
2035,49.78677524,-14.64281935,-18.24889371,-21.85496807,23.75423593,-54.95668707,-59.6347891,-64.31289113
2036,49.98681575,-14.96729875,-18.70450308,-22.44170742,24.25057257,-54.72767054,-59.4726026,-64.21753466
2037,50.28413857,-14.80110591,-18.57109273,-22.34107956,24.9882842,-54.25727903,-59.06904111,-63.8808032
2038,50.31839131,-14.89798315,-18.70075247,-22.50352179,25.07327142,-54.43961193,-59.31820404,-64.19679615
2039,50.37536003,-14.9721444,-18.80769621,-22.64324803,25.21462113,-54.56558233,-59.51100448,-64.45642662
2040,50.62642217,-14.85221224,-18.72054655,-22.58888086,25.83755163,-54.20997194,-59.22222411,-64.23447629
2041,50.97754518,-14.63221921,-18.53333601,-22.43445282,26.70875125,-53.60609244,-58.68517464,-63.76425684
2042,51.39220148,-14.34869288,-18.28259218,-22.21649148,27.73758846,-52.84457535,-57.99048758,-63.13639981
2043,51.76812035,-14.10390399,-18.07058578,-22.03726758,28.67031108,-52.17917284,-57.3919151,-62.60465736
2044,52.08224455,-13.92090976,-17.92037405,-21.91983833,29.44970999,-51.66709405,-56.94666634,-62.22623862
2045,52.41170775,-13.32918662,-17.26308591,-21.19698521,30.26716769,-51.11695646,-56.46335878,-61.8097611
2046,52.93471188,-12.80618248,-16.74008178,-20.67398108,31.56483543,-50.08660884,-55.49984118,-60.91307353
2047,52.536272,-13.20462236,-17.13852166,-21.07242096,30.57623411,-51.34253027,-56.82259265,-62.30265502
2048,52.22533258,-13.51556178,-17.44946108,-21.38336038,29.80473724,-52.38134726,-57.92823967,-63.47513207
2049,52.2590166,-13.48187776,-17.41577706,-21.34967636,29.88831338,-52.56509124,-58.17881367,-63.7925361
2050,52.55120476,-13.1896896,-17.1235889,-21.0574882,30.61328499,-52.10743974,-57.7879922,-63.46854466
