Source,Type,Target,Relation,Value,Data Type
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/initialization_module_has_molecule_property_42459.45395382999,Instance,http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/initialization_module_has_molecule_O2.0_N1001E_42459.45395382999,http://purl.org/gc/hasMolecule,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/atom_O2.0_N1001E_42459.45395382999,Instance,http://purl.org/gc/Atom,,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/initialization_module_has_molecule_O2.0_N1001E_42459.45395382999,Instance,http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/atom_O2.0_N1001E_42459.45395382999,http://purl.org/gc/hasAtom,,
http://www.daml.org/2003/01/periodictable/PeriodicTable.owl#O,Instance,http://www.daml.org/2003/01/periodictable/PeriodicTable.owl#Element,,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/atom_O2.0_N1001E_42459.45395382999,Instance,http://www.daml.org/2003/01/periodictable/PeriodicTable.owl#O,http://purl.org/gc/isElement,,
http://purl.org/gc/hasNumberOfAtoms,Data Property,http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/initialization_module_has_molecule_O2.0_N1001E_42459.45395382999,,2,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/initialization_module_has_level_of_theory_parameter_42459.45395382999,Instance,http://www.theworldavatar.com/ontology/ontocompchem/ontocompchem.owl#LevelOfTheory,,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/initialization_module_has_level_of_theory_parameter_42459.45395382999,Instance,http://purl.org/gc/MethodologyFeature,,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/job_module_has_initialization_module_42459.45395382999,Instance,http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/initialization_module_has_level_of_theory_parameter_42459.45395382999,http://purl.org/gc/hasParameter,,
http://www.theworldavatar.com/ontology/ontocompchem/ontocompchem.owl#hasLevelOfTheory,Data Property,http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/initialization_module_has_level_of_theory_parameter_42459.45395382999,,RB971,
