Source,Type,Target,Relation,Value,Data Type
Spring Peas,Instance,http://www.theworldavatar.com/kb/ontolanduse/LG07,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Winter Field Beans,Instance,Field Beans,,,
Winter Field Beans,Instance,http://www.theworldavatar.com/kb/ontolanduse/LG20,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Winter Peas,Instance,Peas,,,
Winter Peas,Instance,http://www.theworldavatar.com/kb/ontolanduse/LG21,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Miscanthus,Instance,Miscanthus,,,
Miscanthus,Instance,http://www.theworldavatar.com/kb/ontolanduse/TC01,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
http://www.w3.org/2000/01/rdf-schema#comment,Data Property,Miscanthus,"Many different crops are included in the TC01 Land Use Code classification; for simplicity, it has been assumed that miscanthus can be taken to represent this Lucode.",,string
Gross Calorific Value_1,Instance,Gross Calorific Value,,,
Gross Calorific Value_2,Instance,Gross Calorific Value,,,
Gross Calorific Value_6,Instance,Gross Calorific Value,,,
Gross Calorific Value_7,Instance,Gross Calorific Value,,,
Gross Calorific Value_8,Instance,Gross Calorific Value,,,
Gross Calorific Value_9,Instance,Gross Calorific Value,,,
Gross Calorific Value_10,Instance,Gross Calorific Value,,,
Gross Calorific Value_12,Instance,Gross Calorific Value,,,
Gross Calorific Value_13,Instance,Gross Calorific Value,,,
Gross Calorific Value_16,Instance,Gross Calorific Value,,,
Gross Calorific Value_18,Instance,Gross Calorific Value,,,
Gross Calorific Value_19,Instance,Gross Calorific Value,,,
Gross Calorific Value_20,Instance,Gross Calorific Value,,,
Gross Calorific Value_21,Instance,Gross Calorific Value,,,
Gross Calorific Value_22,Instance,Gross Calorific Value,,,
Gross Calorific Value_23,Instance,Gross Calorific Value,,,
Gross Calorific Value_24,Instance,Gross Calorific Value,,,
Gross Calorific Value_25,Instance,Gross Calorific Value,,,
Gross Calorific Value_27,Instance,Gross Calorific Value,,,
Gross Calorific Value_28,Instance,Gross Calorific Value,,,
Gross Calorific Value_29,Instance,Gross Calorific Value,,,
Gross Calorific Value_31,Instance,Gross Calorific Value,,,
Gross Calorific Value_33,Instance,Gross Calorific Value,,,
Net Calorific Value_1,Instance,Net Calorific Value,,,
Net Calorific Value_2,Instance,Net Calorific Value,,,
Net Calorific Value_6,Instance,Net Calorific Value,,,
Net Calorific Value_7,Instance,Net Calorific Value,,,
Net Calorific Value_8,Instance,Net Calorific Value,,,
Net Calorific Value_9,Instance,Net Calorific Value,,,
Net Calorific Value_10,Instance,Net Calorific Value,,,
Net Calorific Value_12,Instance,Net Calorific Value,,,
Net Calorific Value_13,Instance,Net Calorific Value,,,
Net Calorific Value_16,Instance,Net Calorific Value,,,
Net Calorific Value_18,Instance,Net Calorific Value,,,
Net Calorific Value_19,Instance,Net Calorific Value,,,
Net Calorific Value_20,Instance,Net Calorific Value,,,
Net Calorific Value_21,Instance,Net Calorific Value,,,
Net Calorific Value_22,Instance,Net Calorific Value,,,
Net Calorific Value_23,Instance,Net Calorific Value,,,
Net Calorific Value_24,Instance,Net Calorific Value,,,
Net Calorific Value_25,Instance,Net Calorific Value,,,
Net Calorific Value_27,Instance,Net Calorific Value,,,
Net Calorific Value_28,Instance,Net Calorific Value,,,
Net Calorific Value_29,Instance,Net Calorific Value,,,
Net Calorific Value_31,Instance,Net Calorific Value,,,
Net Calorific Value_33,Instance,Net Calorific Value,,,
Crop Yield_1,Instance,Crop Yield,,,
Crop Yield_2,Instance,Crop Yield,,,
Crop Yield_3,Instance,Crop Yield,,,
Crop Yield_4,Instance,Crop Yield,,,
Crop Yield_5,Instance,Crop Yield,,,
Crop Yield_6,Instance,Crop Yield,,,
Crop Yield_7,Instance,Crop Yield,,,
Crop Yield_8,Instance,Crop Yield,,,
Crop Yield_9,Instance,Crop Yield,,,
Crop Yield_10,Instance,Crop Yield,,,
Crop Yield_11,Instance,Crop Yield,,,
Crop Yield_12,Instance,Crop Yield,,,
Crop Yield_13,Instance,Crop Yield,,,
Crop Yield_14,Instance,Crop Yield,,,
Crop Yield_15,Instance,Crop Yield,,,
Crop Yield_16,Instance,Crop Yield,,,
Crop Yield_17,Instance,Crop Yield,,,
Crop Yield_18,Instance,Crop Yield,,,
Crop Yield_19,Instance,Crop Yield,,,
Crop Yield_20,Instance,Crop Yield,,,
Crop Yield_21,Instance,Crop Yield,,,
Crop Yield_22,Instance,Crop Yield,,,
Crop Yield_23,Instance,Crop Yield,,,
Crop Yield_24,Instance,Crop Yield,,,
Crop Yield_25,Instance,Crop Yield,,,
Crop Yield_26,Instance,Crop Yield,,,
Crop Yield_27,Instance,Crop Yield,,,
Crop Yield_28,Instance,Crop Yield,,,
Crop Yield_29,Instance,Crop Yield,,,
Crop Yield_30,Instance,Crop Yield,,,
Crop Yield_31,Instance,Crop Yield,,,
Crop Yield_32,Instance,Crop Yield,,,
Crop Yield_33,Instance,Crop Yield,,,
