primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
lignite,supercritical,100,500,433.4,37.12,2849605,10,0.75,15,26.42,11.55733333,37.97733333,368.39,2422164.25,26.1558,9.823733333,35.97953333
lignite,supercritical,100,600,520.1,35.35,3419657.5,10,0.75,15,25.16,11.55777778,36.71777778,442.085,2906708.875,24.9084,9.824111111,34.73251111
lignite,supercritical,100,700,606.8,34.02,3989710,10,0.75,15,24.21,11.55809524,35.76809524,515.78,3391253.5,23.9679,9.824380952,33.79228095
lignite,supercritical,100,800,693.4,32.96,4559105,10,0.75,15,23.46,11.55666667,35.01666667,589.39,3875239.25,23.2254,9.823166667,33.04856667
lignite,supercritical,100,900,780.1,32.09,5129157.5,10,0.75,15,22.84,11.55703704,34.39703704,663.085,4359783.875,22.6116,9.823481481,32.43508148
lignite,supercritical,100,1000,866.8,31.35,5699210,10,0.75,15,22.31,11.55733333,33.86733333,736.78,4844328.5,22.0869,9.823733333,31.91063333
lignite,supercritical,100,1100,953.4,30.72,6268605,10,0.75,15,21.86,11.55636364,33.41636364,810.39,5328314.25,21.6414,9.822909091,31.46430909
lignite,supercritical,100,1200,1040,30.16,6838000,10,0.75,15,21.46,11.55555556,33.01555556,884,5812300,21.2454,9.822222222,31.06762222
lignite,supercritical,100,1300,1127,29.65,7410025,10,0.75,15,21.1,11.55897436,32.65897436,957.95,6298521.25,20.889,9.825128205,30.71412821
lignite,supercritical,100,1400,1213,29.19,7975475,10,0.75,15,20.77,11.55238095,32.32238095,1031.05,6779153.75,20.5623,9.81952381,30.38182381
lignite,supercritical,100,1500,1300,28.77,8547500,10,0.75,15,20.47,11.55555556,32.02555556,1105,7265375,20.2653,9.822222222,30.08752222
lignite,supercritical,100,1600,1387,28.5,9119525,10,0.75,15,20.28,11.55833333,31.83833333,1178.95,7751596.25,20.0772,9.824583333,29.90178333
lignite,supercritical,100,1700,1473,28.25,9684975,10,0.75,15,20.1,11.55294118,31.65294118,1252.05,8232228.75,19.899,9.82,29.719
lignite,supercritical,100,1800,1560,28.03,10257000,10,0.75,15,19.95,11.55555556,31.50555556,1326,8718450,19.7505,9.822222222,29.57272222
lignite,supercritical,100,1900,1647,27.83,10829025,10,0.75,15,19.8,11.55789474,31.35789474,1399.95,9204671.25,19.602,9.824210526,29.42621053
lignite,supercritical,100,2000,1733,27.64,11394475,10,0.75,15,19.67,11.55333333,31.22333333,1473.05,9685303.75,19.4733,9.820333333,29.29363333
lignite,supercritical,100,2100,1820,27.47,11966500,10,0.75,15,19.55,11.55555556,31.10555556,1547,10171525,19.3545,9.822222222,29.17672222
lignite,supercritical,100,2200,1907,27.31,12538525,10,0.75,15,19.43,11.55757576,30.98757576,1620.95,10657746.25,19.2357,9.823939394,29.05963939
lignite,supercritical,100,2300,1993,27.15,13103975,10,0.75,15,19.32,11.55362319,30.87362319,1694.05,11138378.75,19.1268,9.82057971,28.94737971
lignite,supercritical,100,2400,2080,27,13676000,10,0.75,15,19.21,11.55555556,30.76555556,1768,11624600,19.0179,9.822222222,28.84012222
lignite,supercritical,100,2500,2167,26.86,14248025,10,0.75,15,19.11,11.55733333,30.66733333,1841.95,12110821.25,18.9189,9.823733333,28.74263333
