primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_$_MWh,annual_emission_ton,,carbon_price_ton,capacity_factor,biomass_cofiring,,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
lignite,subcritical,70,1800,1651,35.57,10855325,,10,0.75,15,,26.4,12.22962963,38.62962963,,1403.35,9227026.25,26.136,10.39518519,36.53118519
lignite,subcritical,70,1900,1743,35.32,11460225,,10,0.75,15,,26.22,12.23157895,38.45157895,,1481.55,9741191.25,25.9578,10.39684211,36.35464211
lignite,subcritical,70,2000,1835,35.09,12065125,,10,0.75,15,,26.05,12.23333333,38.28333333,,1559.75,10255356.25,25.7895,10.39833333,36.18783333
lignite,subcritical,70,2100,1927,34.87,12670025,,10,0.75,15,,25.89,12.23492063,38.12492063,,1637.95,10769521.25,25.6311,10.39968254,36.03078254
lignite,subcritical,70,2200,2018,34.67,13268350,,10,0.75,15,,25.74,12.23030303,37.97030303,,1715.3,11278097.5,25.4826,10.39575758,35.87835758
lignite,subcritical,70,2300,2110,34.48,13873250,,10,0.75,15,,25.6,12.23188406,37.83188406,,1793.5,11792262.5,25.344,10.39710145,35.74110145
lignite,subcritical,70,2400,2202,34.3,14478150,,10,0.75,15,,25.46,12.23333333,37.69333333,,1871.7,12306427.5,25.2054,10.39833333,35.60373333
lignite,subcritical,70,2500,2294,34.12,15083050,,10,0.75,15,,25.33,12.23466667,37.56466667,,1949.9,12820592.5,25.0767,10.39946667,35.47616667
lignite,subcritical,73,100,91.83,82.72,603782.25,,10,0.75,15,,61.41,12.244,73.654,,78.0555,513214.9125,60.7959,10.4074,71.2033
lignite,subcritical,73,200,183.6,61.36,1207170,,10,0.75,15,,45.55,12.24,57.79,,156.06,1026094.5,45.0945,10.404,55.4985
lignite,subcritical,73,300,275.3,53.23,1810097.5,,10,0.75,15,,39.51,12.23555556,51.74555556,,234.005,1538582.875,39.1149,10.40022222,49.51512222
lignite,subcritical,73,400,367.1,48.74,2413682.5,,10,0.75,15,,36.18,12.23666667,48.41666667,,312.035,2051630.125,35.8182,10.40116667,46.21936667
lignite,subcritical,73,500,458.8,45.81,3016610,,10,0.75,15,,34.01,12.23466667,46.24466667,,389.98,2564118.5,33.6699,10.39946667,44.06936667
lignite,subcritical,73,600,550.6,43.71,3620195,,10,0.75,15,,32.45,12.23555556,44.68555556,,468.01,3077165.75,32.1255,10.40022222,42.52572222
lignite,subcritical,73,700,642.3,42.1,4223122.5,,10,0.75,15,,31.25,12.23428571,43.48428571,,545.955,3589654.125,30.9375,10.39914286,41.33664286
lignite,subcritical,73,800,734,40.81,4826050,,10,0.75,15,,30.29,12.23333333,42.52333333,,623.9,4102142.5,29.9871,10.39833333,40.38543333
lignite,subcritical,73,900,825.8,39.75,5429635,,10,0.75,15,,29.51,12.23407407,41.74407407,,701.93,4615189.75,29.2149,10.39896296,39.61386296
