primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,,carbon_price_ton,capacity_factor,biomass_cofiring,,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
subbituminous,subcritical,3,100,88.74,106.7,583465.5,,10,0.75,15,,80.32,11.832,92.152,,75.429,495945.675,79.5168,10.0572,89.574
subbituminous,subcritical,3,200,177.4,82.9,1166405,,10,0.75,15,,62.4,11.82666667,74.22666667,,150.79,991444.25,61.776,10.05266667,71.82866667
subbituminous,subcritical,3,300,266.1,73.38,1749607.5,,10,0.75,15,,55.23,11.82666667,67.05666667,,226.185,1487166.375,54.6777,10.05266667,64.73036667
subbituminous,subcritical,3,400,354.7,67.94,2332152.5,,10,0.75,15,,51.14,11.82333333,62.96333333,,301.495,1982329.625,50.6286,10.04983333,60.67843333
subbituminous,subcritical,3,500,443.4,64.3,2915355,,10,0.75,15,,48.4,11.824,60.224,,376.89,2478051.75,47.916,10.0504,57.9664
subbituminous,subcritical,3,600,532,61.65,3497900,,10,0.75,15,,46.41,11.82222222,58.23222222,,452.2,2973215,45.9459,10.04888889,55.99478889
subbituminous,subcritical,3,700,620.7,59.59,4081102.5,,10,0.75,15,,44.85,11.82285714,56.67285714,,527.595,3468937.125,44.4015,10.04942857,54.45092857
subbituminous,subcritical,3,800,709.3,57.93,4663647.5,,10,0.75,15,,43.61,11.82166667,55.43166667,,602.905,3964100.375,43.1739,10.04841667,53.22231667
subbituminous,subcritical,3,900,798,56.55,5246850,,10,0.75,15,,42.57,11.82222222,54.39222222,,678.3,4459822.5,42.1443,10.04888889,52.19318889
subbituminous,subcritical,3,1000,886.7,55.37,5830052.5,,10,0.75,15,,41.68,11.82266667,53.50266667,,753.695,4955544.625,41.2632,10.04926667,51.31246667
subbituminous,subcritical,3,1100,975.3,54.35,6412597.5,,10,0.75,15,,40.91,11.82181818,52.73181818,,829.005,5450707.875,40.5009,10.04854545,50.54944545
subbituminous,subcritical,3,1200,1064,53.45,6995800,,10,0.75,15,,40.23,11.82222222,52.05222222,,904.4,5946430,39.8277,10.04888889,49.87658889
subbituminous,subcritical,3,1300,1153,52.65,7580975,,10,0.75,15,,39.63,11.82564103,51.45564103,,980.05,6443828.75,39.2337,10.05179487,49.28549487
subbituminous,subcritical,3,1400,1241,51.99,8159575,,10,0.75,15,,39.13,11.81904762,50.94904762,,1054.85,6935638.75,38.7387,10.04619048,48.78489048
subbituminous,subcritical,3,1500,1330,51.49,8744750,,10,0.75,15,,38.76,11.82222222,50.58222222,,1130.5,7433037.5,38.3724,10.04888889,48.42128889
subbituminous,subcritical,3,1600,1419,51.04,9329925,,10,0.75,15,,38.42,11.825,50.245,,1206.15,7930436.25,38.0358,10.05125,48.08705
subbituminous,subcritical,3,1700,1507,50.65,9908525,,10,0.75,15,,38.13,11.81960784,49.94960784,,1280.95,8422246.25,37.7487,10.04666667,47.79536667
subbituminous,subcritical,3,1800,1596,50.3,10493700,,10,0.75,15,,37.86,11.82222222,49.68222222,,1356.6,8919645,37.4814,10.04888889,47.53028889
subbituminous,subcritical,3,1900,1685,49.98,11078875,,10,0.75,15,,37.62,11.8245614,49.4445614,,1432.25,9417043.75,37.2438,10.05087719,47.29467719
subbituminous,subcritical,3,2000,1773,49.7,11657475,,10,0.75,15,,37.41,11.82,49.23,,1507.05,9908853.75,37.0359,10.047,47.0829
subbituminous,subcritical,3,2100,1862,49.45,12242650,,10,0.75,15,,37.22,11.82222222,49.04222222,,1582.7,10406252.5,36.8478,10.04888889,46.89668889
subbituminous,subcritical,3,2200,1951,49.22,12827825,,10,0.75,15,,37.05,11.82424242,48.87424242,,1658.35,10903651.25,36.6795,10.05060606,46.73010606
subbituminous,subcritical,3,2300,2039,49.01,13406425,,10,0.75,15,,36.89,11.82028986,48.71028986,,1733.15,11395461.25,36.5211,10.04724638,46.56834638
subbituminous,subcritical,3,2400,2128,48.82,13991600,,10,0.75,15,,36.75,11.82222222,48.57222222,,1808.8,11892860,36.3825,10.04888889,46.43138889
subbituminous,subcritical,3,2500,2217,48.64,14576775,,10,0.75,15,,36.61,11.824,48.434,,1884.45,12390258.75,36.2439,10.0504,46.2943
subbituminous,subcritical,7,100,88.74,105.2,583465.5,,10,0.75,15,,79.19,11.832,91.022,,75.429,495945.675,78.3981,10.0572,88.4553
subbituminous,subcritical,7,200,177.4,81.63,1166405,,10,0.75,15,,61.44,11.82666667,73.26666667,,150.79,991444.25,60.8256,10.05266667,70.87826667
subbituminous,subcritical,7,300,266.1,72.22,1749607.5,,10,0.75,15,,54.36,11.82666667,66.18666667,,226.185,1487166.375,53.8164,10.05266667,63.86906667
subbituminous,subcritical,7,400,354.7,66.86,2332152.5,,10,0.75,15,,50.33,11.82333333,62.15333333,,301.495,1982329.625,49.8267,10.04983333,59.87653333
subbituminous,subcritical,7,500,443.4,63.28,2915355,,10,0.75,15,,47.63,11.824,59.454,,376.89,2478051.75,47.1537,10.0504,57.2041
subbituminous,subcritical,7,600,532,60.67,3497900,,10,0.75,15,,45.67,11.82222222,57.49222222,,452.2,2973215,45.2133,10.04888889,55.26218889
subbituminous,subcritical,7,700,620.7,58.64,4081102.5,,10,0.75,15,,44.14,11.82285714,55.96285714,,527.595,3468937.125,43.6986,10.04942857,53.74802857
subbituminous,subcritical,7,800,709.3,57.01,4663647.5,,10,0.75,15,,42.91,11.82166667,54.73166667,,602.905,3964100.375,42.4809,10.04841667,52.52931667
subbituminous,subcritical,7,900,798,55.65,5246850,,10,0.75,15,,41.89,11.82222222,53.71222222,,678.3,4459822.5,41.4711,10.04888889,51.51998889
subbituminous,subcritical,7,1000,886.7,54.49,5830052.5,,10,0.75,15,,41.02,11.82266667,52.84266667,,753.695,4955544.625,40.6098,10.04926667,50.65906667
subbituminous,subcritical,7,1100,975.3,53.49,6412597.5,,10,0.75,15,,40.26,11.82181818,52.08181818,,829.005,5450707.875,39.8574,10.04854545,49.90594545
subbituminous,subcritical,7,1200,1064,52.61,6995800,,10,0.75,15,,39.6,11.82222222,51.42222222,,904.4,5946430,39.204,10.04888889,49.25288889
subbituminous,subcritical,7,1300,1153,51.82,7580975,,10,0.75,15,,39.01,11.82564103,50.83564103,,980.05,6443828.75,38.6199,10.05179487,48.67169487
subbituminous,subcritical,7,1400,1241,51.17,8159575,,10,0.75,15,,38.52,11.81904762,50.33904762,,1054.85,6935638.75,38.1348,10.04619048,48.18099048
subbituminous,subcritical,7,1500,1330,50.67,8744750,,10,0.75,15,,38.14,11.82222222,49.96222222,,1130.5,7433037.5,37.7586,10.04888889,47.80748889
subbituminous,subcritical,7,1600,1419,50.24,9329925,,10,0.75,15,,37.82,11.825,49.645,,1206.15,7930436.25,37.4418,10.05125,47.49305
subbituminous,subcritical,7,1700,1507,49.85,9908525,,10,0.75,15,,37.52,11.81960784,49.33960784,,1280.95,8422246.25,37.1448,10.04666667,47.19146667
subbituminous,subcritical,7,1800,1596,49.51,10493700,,10,0.75,15,,37.27,11.82222222,49.09222222,,1356.6,8919645,36.8973,10.04888889,46.94618889
subbituminous,subcritical,7,1900,1685,49.2,11078875,,10,0.75,15,,37.03,11.8245614,48.8545614,,1432.25,9417043.75,36.6597,10.05087719,46.71057719
subbituminous,subcritical,7,2000,1773,48.92,11657475,,10,0.75,15,,36.82,11.82,48.64,,1507.05,9908853.75,36.4518,10.047,46.4988
subbituminous,subcritical,7,2100,1862,48.67,12242650,,10,0.75,15,,36.63,11.82222222,48.45222222,,1582.7,10406252.5,36.2637,10.04888889,46.31258889
subbituminous,subcritical,7,2200,1951,48.44,12827825,,10,0.75,15,,36.46,11.82424242,48.28424242,,1658.35,10903651.25,36.0954,10.05060606,46.14600606
subbituminous,subcritical,7,2300,2039,48.24,13406425,,10,0.75,15,,36.31,11.82028986,48.13028986,,1733.15,11395461.25,35.9469,10.04724638,45.99414638
subbituminous,subcritical,7,2400,2128,48.05,13991600,,10,0.75,15,,36.17,11.82222222,47.99222222,,1808.8,11892860,35.8083,10.04888889,45.85718889
subbituminous,subcritical,7,2500,2217,47.87,14576775,,10,0.75,15,,36.03,11.824,47.854,,1884.45,12390258.75,35.6697,10.0504,45.7201
subbituminous,subcritical,10,100,88.74,104.1,583465.5,,10,0.75,15,,78.36,11.832,90.192,,75.429,495945.675,77.5764,10.0572,87.6336
subbituminous,subcritical,10,200,177.4,80.68,1166405,,10,0.75,15,,60.73,11.82666667,72.55666667,,150.79,991444.25,60.1227,10.05266667,70.17536667
subbituminous,subcritical,10,300,266.1,71.36,1749607.5,,10,0.75,15,,53.71,11.82666667,65.53666667,,226.185,1487166.375,53.1729,10.05266667,63.22556667
subbituminous,subcritical,10,400,354.7,66.05,2332152.5,,10,0.75,15,,49.72,11.82333333,61.54333333,,301.495,1982329.625,49.2228,10.04983333,59.27263333
subbituminous,subcritical,10,500,443.4,62.51,2915355,,10,0.75,15,,47.05,11.824,58.874,,376.89,2478051.75,46.5795,10.0504,56.6299
subbituminous,subcritical,10,600,532,59.93,3497900,,10,0.75,15,,45.11,11.82222222,56.93222222,,452.2,2973215,44.6589,10.04888889,54.70778889
subbituminous,subcritical,10,700,620.7,57.93,4081102.5,,10,0.75,15,,43.61,11.82285714,55.43285714,,527.595,3468937.125,43.1739,10.04942857,53.22332857
subbituminous,subcritical,10,800,709.3,56.32,4663647.5,,10,0.75,15,,42.39,11.82166667,54.21166667,,602.905,3964100.375,41.9661,10.04841667,52.01451667
subbituminous,subcritical,10,900,798,54.98,5246850,,10,0.75,15,,41.38,11.82222222,53.20222222,,678.3,4459822.5,40.9662,10.04888889,51.01508889
subbituminous,subcritical,10,1000,886.7,53.84,5830052.5,,10,0.75,15,,40.53,11.82266667,52.35266667,,753.695,4955544.625,40.1247,10.04926667,50.17396667
subbituminous,subcritical,10,1100,975.3,52.85,6412597.5,,10,0.75,15,,39.78,11.82181818,51.60181818,,829.005,5450707.875,39.3822,10.04854545,49.43074545
subbituminous,subcritical,10,1200,1064,51.97,6995800,,10,0.75,15,,39.12,11.82222222,50.94222222,,904.4,5946430,38.7288,10.04888889,48.77768889
subbituminous,subcritical,10,1300,1153,51.19,7580975,,10,0.75,15,,38.53,11.82564103,50.35564103,,980.05,6443828.75,38.1447,10.05179487,48.19649487
subbituminous,subcritical,10,1400,1241,50.55,8159575,,10,0.75,15,,38.05,11.81904762,49.86904762,,1054.85,6935638.75,37.6695,10.04619048,47.71569048
subbituminous,subcritical,10,1500,1330,50.07,8744750,,10,0.75,15,,37.69,11.82222222,49.51222222,,1130.5,7433037.5,37.3131,10.04888889,47.36198889
