primary_fuel,generation_technology,capacity_MW,amortization_rate,emission_rate_ton_h,generation_cost_per_MWh,annual_emission_ton,carbon_price_$_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh,age
natural_gas,CCGT,300,17,107,62.27,702990,10,0.75,15,59.36,4.755555556,64.11555556,90.95,597996.25,55.7984,4.042222222,59.84062222,5
natural_gas,CCGT,300,20,107,61.89,702990,10,0.75,15,59,4.755555556,63.75555556,90.95,597996.25,55.46,4.042222222,59.50222222,6
natural_gas,CCGT,300,23,107,61.51,702990,10,0.75,15,58.64,4.755555556,63.39555556,90.95,597996.25,55.1216,4.042222222,59.16382222,7
natural_gas,CCGT,300,27,107,61.01,702990,10,0.75,15,58.16,4.755555556,62.91555556,90.95,597996.25,54.6704,4.042222222,58.71262222,8
natural_gas,CCGT,300,30,107,60.63,702990,10,0.75,15,57.8,4.755555556,62.55555556,90.95,597996.25,54.332,4.042222222,58.37422222,9
natural_gas,CCGT,300,33,107,60.26,702990,10,0.75,15,57.45,4.755555556,62.20555556,90.95,597996.25,54.003,4.042222222,58.04522222,10
natural_gas,CCGT,300,37,107,59.75,702990,10,0.75,15,56.96,4.755555556,61.71555556,90.95,597996.25,53.5424,4.042222222,57.58462222,11
natural_gas,CCGT,300,40,107,59.38,702990,10,0.75,15,56.61,4.755555556,61.36555556,90.95,597996.25,53.2134,4.042222222,57.25562222,12
natural_gas,CCGT,300,43,107,59,702990,10,0.75,15,56.24,4.755555556,60.99555556,90.95,597996.25,52.8656,4.042222222,56.90782222,13
natural_gas,CCGT,300,47,107,58.5,702990,10,0.75,15,55.77,4.755555556,60.52555556,90.95,597996.25,52.4238,4.042222222,56.46602222,14
natural_gas,CCGT,300,50,107,58.12,702990,10,0.75,15,55.41,4.755555556,60.16555556,90.95,597996.25,52.0854,4.042222222,56.12762222,15
natural_gas,CCGT,300,53,107,57.74,702990,10,0.75,15,55.04,4.755555556,59.79555556,90.95,597996.25,51.7376,4.042222222,55.77982222,16
natural_gas,CCGT,300,57,107,57.24,702990,10,0.75,15,54.57,4.755555556,59.32555556,90.95,597996.25,51.2958,4.042222222,55.33802222,17
natural_gas,CCGT,300,60,107,56.86,702990,10,0.75,15,54.2,4.755555556,58.95555556,90.95,597996.25,50.948,4.042222222,54.99022222,18
natural_gas,CCGT,300,63,107,56.49,702990,10,0.75,15,53.85,4.755555556,58.60555556,90.95,597996.25,50.619,4.042222222,54.66122222,19
natural_gas,CCGT,300,67,107,55.98,702990,10,0.75,15,53.37,4.755555556,58.12555556,90.95,597996.25,50.1678,4.042222222,54.21002222,20
natural_gas,CCGT,300,70,107,55.61,702990,10,0.75,15,53.01,4.755555556,57.76555556,90.95,597996.25,49.8294,4.042222222,53.87162222,21
natural_gas,CCGT,300,73,107,55.23,702990,10,0.75,15,52.65,4.755555556,57.40555556,90.95,597996.25,49.491,4.042222222,53.53322222,22
natural_gas,CCGT,300,77,107,54.73,702990,10,0.75,15,52.17,4.755555556,56.92555556,90.95,597996.25,49.0398,4.042222222,53.08202222,23
natural_gas,CCGT,300,80,107,54.35,702990,10,0.75,15,51.81,4.755555556,56.56555556,90.95,597996.25,48.7014,4.042222222,52.74362222,24
natural_gas,CCGT,300,83,107,53.97,702990,10,0.75,15,51.45,4.755555556,56.20555556,90.95,597996.25,48.363,4.042222222,52.40522222,25
natural_gas,CCGT,300,87,107,53.47,702990,10,0.75,15,50.97,4.755555556,55.72555556,90.95,597996.25,47.9118,4.042222222,51.95402222,26
natural_gas,CCGT,300,90,107,53.1,702990,10,0.75,15,50.62,4.755555556,55.37555556,90.95,597996.25,47.5828,4.042222222,51.62502222,27
natural_gas,CCGT,300,93,107,52.72,702990,10,0.75,15,50.26,4.755555556,55.01555556,90.95,597996.25,47.2444,4.042222222,51.28662222,28
natural_gas,CCGT,300,97,107,52.22,702990,10,0.75,15,49.78,4.755555556,54.53555556,90.95,597996.25,46.7932,4.042222222,50.83542222,29
natural_gas,CCGT,300,100,107,51.84,702990,10,0.75,15,49.42,4.755555556,54.17555556,90.95,597996.25,46.4548,4.042222222,50.49702222,30
natural_gas,CCGT,600,3,214,62.94,1405980,10,0.75,15,60,4.755555556,64.75555556,181.9,1195992.5,56.4,4.042222222,60.44222222,1
natural_gas,CCGT,600,7,214,62.45,1405980,10,0.75,15,59.53,4.755555556,64.28555556,181.9,1195992.5,55.9582,4.042222222,60.00042222,2
natural_gas,CCGT,600,10,214,62.08,1405980,10,0.75,15,59.18,4.755555556,63.93555556,181.9,1195992.5,55.6292,4.042222222,59.67142222,3
natural_gas,CCGT,600,13,214,61.72,1405980,10,0.75,15,58.84,4.755555556,63.59555556,181.9,1195992.5,55.3096,4.042222222,59.35182222,4
natural_gas,CCGT,600,17,214,61.23,1405980,10,0.75,15,58.37,4.755555556,63.12555556,181.9,1195992.5,54.8678,4.042222222,58.91002222,5
natural_gas,CCGT,600,20,214,60.86,1405980,10,0.75,15,58.02,4.755555556,62.77555556,181.9,1195992.5,54.5388,4.042222222,58.58102222,6
natural_gas,CCGT,600,23,214,60.49,1405980,10,0.75,15,57.66,4.755555556,62.41555556,181.9,1195992.5,54.2004,4.042222222,58.24262222,7
natural_gas,CCGT,600,27,214,60,1405980,10,0.75,15,57.2,4.755555556,61.95555556,181.9,1195992.5,53.768,4.042222222,57.81022222,8
natural_gas,CCGT,600,30,214,59.63,1405980,10,0.75,15,56.84,4.755555556,61.59555556,181.9,1195992.5,53.4296,4.042222222,57.47182222,9
natural_gas,CCGT,600,33,214,59.26,1405980,10,0.75,15,56.49,4.755555556,61.24555556,181.9,1195992.5,53.1006,4.042222222,57.14282222,10
natural_gas,CCGT,600,37,214,58.77,1405980,10,0.75,15,56.02,4.755555556,60.77555556,181.9,1195992.5,52.6588,4.042222222,56.70102222,11
natural_gas,CCGT,600,40,214,58.4,1405980,10,0.75,15,55.67,4.755555556,60.42555556,181.9,1195992.5,52.3298,4.042222222,56.37202222,12
natural_gas,CCGT,600,43,214,58.03,1405980,10,0.75,15,55.32,4.755555556,60.07555556,181.9,1195992.5,52.0008,4.042222222,56.04302222,13
natural_gas,CCGT,600,47,214,57.54,1405980,10,0.75,15,54.85,4.755555556,59.60555556,181.9,1195992.5,51.559,4.042222222,55.60122222,14
natural_gas,CCGT,600,50,214,57.18,1405980,10,0.75,15,54.51,4.755555556,59.26555556,181.9,1195992.5,51.2394,4.042222222,55.28162222,15
natural_gas,CCGT,600,53,214,56.81,1405980,10,0.75,15,54.16,4.755555556,58.91555556,181.9,1195992.5,50.9104,4.042222222,54.95262222,16
natural_gas,CCGT,600,57,214,56.32,1405980,10,0.75,15,53.69,4.755555556,58.44555556,181.9,1195992.5,50.4686,4.042222222,54.51082222,17
natural_gas,CCGT,600,60,214,55.95,1405980,10,0.75,15,53.34,4.755555556,58.09555556,181.9,1195992.5,50.1396,4.042222222,54.18182222,18
