primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
bituminous,supercritical,90,300,228.9,47.58,1505017.5,10,0.75,15,35.53,10.17333333,45.70333333,194.565,1279264.875,35.1747,8.647333333,43.82203333
bituminous,supercritical,90,400,305.2,43.67,2006690,10,0.75,15,32.61,10.17333333,42.78333333,259.42,1705686.5,32.2839,8.647333333,40.93123333
bituminous,supercritical,90,500,381.5,41.14,2508362.5,10,0.75,15,30.72,10.17333333,40.89333333,324.275,2132108.125,30.4128,8.647333333,39.06013333
bituminous,supercritical,90,600,457.8,39.35,3010035,10,0.75,15,29.38,10.17333333,39.55333333,389.13,2558529.75,29.0862,8.647333333,37.73353333
bituminous,supercritical,90,700,534,37.98,3511050,10,0.75,15,28.36,10.17142857,38.53142857,453.9,2984392.5,28.0764,8.645714286,36.72211429
bituminous,supercritical,90,800,610.3,36.9,4012722.5,10,0.75,15,27.55,10.17166667,37.72166667,518.755,3410814.125,27.2745,8.645916667,35.92041667
bituminous,supercritical,90,900,686.6,36,4514395,10,0.75,15,26.88,10.17185185,37.05185185,583.61,3837235.75,26.6112,8.646074074,35.25727407
bituminous,supercritical,90,1000,762.9,35.24,5016067.5,10,0.75,15,26.31,10.172,36.482,648.465,4263657.375,26.0469,8.6462,34.6931
bituminous,supercritical,90,1100,839.2,34.57,5517740,10,0.75,15,25.81,10.17212121,35.98212121,713.32,4690079,25.5519,8.64630303,34.19820303
bituminous,supercritical,90,1200,915.4,33.98,6018755,10,0.75,15,25.37,10.17111111,35.54111111,778.09,5115941.75,25.1163,8.645444444,33.76174444
bituminous,supercritical,90,1300,991.7,33.45,6520427.5,10,0.75,15,24.98,10.17128205,35.15128205,842.945,5542363.375,24.7302,8.645589744,33.37578974
bituminous,supercritical,90,1400,1068,33.03,7022100,10,0.75,15,24.66,10.17142857,34.83142857,907.8,5968785,24.4134,8.645714286,33.05911429
bituminous,supercritical,90,1500,1144,32.72,7521800,10,0.75,15,24.43,10.16888889,34.59888889,972.4,6393530,24.1857,8.643555556,32.82925556
bituminous,supercritical,90,1600,1221,32.45,8028075,10,0.75,15,24.23,10.175,34.405,1037.85,6823863.75,23.9877,8.64875,32.63645
bituminous,supercritical,90,1700,1297,32.21,8527775,10,0.75,15,24.05,10.17254902,34.22254902,1102.45,7248608.75,23.8095,8.646666667,32.45616667
bituminous,supercritical,90,1800,1373,31.99,9027475,10,0.75,15,23.89,10.17037037,34.06037037,1167.05,7673353.75,23.6511,8.644814815,32.29591481
bituminous,supercritical,90,1900,1449,31.79,9527175,10,0.75,15,23.74,10.16842105,33.90842105,1231.65,8098098.75,23.5026,8.643157895,32.14575789
bituminous,supercritical,90,2000,1526,31.6,10033450,10,0.75,15,23.59,10.17333333,33.76333333,1297.1,8528432.5,23.3541,8.647333333,32.00143333
bituminous,supercritical,90,2100,1602,31.43,10533150,10,0.75,15,23.47,10.17142857,33.64142857,1361.7,8953177.5,23.2353,8.645714286,31.88101429
bituminous,supercritical,90,2200,1678,31.26,11032850,10,0.75,15,23.34,10.16969697,33.50969697,1426.3,9377922.5,23.1066,8.644242424,31.75084242
bituminous,supercritical,90,2300,1755,31.09,11539125,10,0.75,15,23.21,10.17391304,33.38391304,1491.75,9808256.25,22.9779,8.647826087,31.62572609
bituminous,supercritical,90,2400,1831,30.93,12038825,10,0.75,15,23.09,10.17222222,33.26222222,1556.35,10233001.25,22.8591,8.646388889,31.50548889
bituminous,supercritical,90,2500,1907,30.78,12538525,10,0.75,15,22.98,10.17066667,33.15066667,1620.95,10657746.25,22.7502,8.645066667,31.39526667
bituminous,supercritical,93,100,76.35,73.03,502001.25,10,0.75,15,54.53,10.18,64.71,64.8975,426701.0625,53.9847,8.653,62.6377
bituminous,supercritical,93,200,152.6,53.87,1003345,10,0.75,15,40.22,10.17333333,50.39333333,129.71,852843.25,39.8178,8.647333333,48.46513333
bituminous,supercritical,93,300,228.9,46.76,1505017.5,10,0.75,15,34.91,10.17333333,45.08333333,194.565,1279264.875,34.5609,8.647333333,43.20823333
bituminous,supercritical,93,400,305.2,42.9,2006690,10,0.75,15,32.03,10.17333333,42.20333333,259.42,1705686.5,31.7097,8.647333333,40.35703333
bituminous,supercritical,93,500,381.5,40.41,2508362.5,10,0.75,15,30.17,10.17333333,40.34333333,324.275,2132108.125,29.8683,8.647333333,38.51563333
bituminous,supercritical,93,600,457.8,38.65,3010035,10,0.75,15,28.86,10.17333333,39.03333333,389.13,2558529.75,28.5714,8.647333333,37.21873333
bituminous,supercritical,93,700,534,37.31,3511050,10,0.75,15,27.86,10.17142857,38.03142857,453.9,2984392.5,27.5814,8.645714286,36.22711429
bituminous,supercritical,93,800,610.3,36.24,4012722.5,10,0.75,15,27.06,10.17166667,37.23166667,518.755,3410814.125,26.7894,8.645916667,35.43531667
