primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
anthracite,supercritical,7,1500,907.9,52.6,5969442.5,10,0.75,15,38.5,8.070222222,46.57022222,771.715,5074026.125,38.115,6.859688889,44.97468889
anthracite,supercritical,7,1600,968.5,52.18,6367887.5,10,0.75,15,38.19,8.070833333,46.26083333,823.225,5412704.375,37.8081,6.860208333,44.66830833
anthracite,supercritical,7,1700,1029,51.81,6765675,10,0.75,15,37.92,8.070588235,45.99058824,874.65,5750823.75,37.5408,6.86,44.4008
anthracite,supercritical,7,1800,1090,51.49,7166750,10,0.75,15,37.69,8.074074074,45.76407407,926.5,6091737.5,37.3131,6.862962963,44.17606296
anthracite,supercritical,7,1900,1150,51.19,7561250,10,0.75,15,37.47,8.070175439,45.54017544,977.5,6427062.5,37.0953,6.859649123,43.95494912
anthracite,supercritical,7,2000,1211,50.93,7962325,10,0.75,15,37.28,8.073333333,45.35333333,1029.35,6767976.25,36.9072,6.862333333,43.76953333
anthracite,supercritical,7,2100,1271,50.69,8356825,10,0.75,15,37.1,8.06984127,45.16984127,1080.35,7103301.25,36.729,6.859365079,43.58836508
anthracite,supercritical,7,2200,1332,50.47,8757900,10,0.75,15,36.94,8.072727273,45.01272727,1132.2,7444215,36.5706,6.861818182,43.43241818
anthracite,supercritical,7,2300,1392,50.28,9152400,10,0.75,15,36.8,8.069565217,44.86956522,1183.2,7779540,36.432,6.859130435,43.29113043
anthracite,supercritical,7,2400,1453,50.1,9553475,10,0.75,15,36.67,8.072222222,44.74222222,1235.05,8120453.75,36.3033,6.861388889,43.16468889
anthracite,supercritical,7,2500,1513,49.93,9947975,10,0.75,15,36.54,8.069333333,44.60933333,1286.05,8455778.75,36.1746,6.858933333,43.03353333
anthracite,supercritical,10,100,60.58,101.8,398313.5,10,0.75,15,74.51,8.077333333,82.58733333,51.493,338566.475,73.7649,6.865733333,80.63063333
anthracite,supercritical,10,200,121.1,80.21,796232.5,10,0.75,15,58.71,8.073333333,66.78333333,102.935,676797.625,58.1229,6.862333333,64.98523333
anthracite,supercritical,10,300,181.6,71.63,1194020,10,0.75,15,52.43,8.071111111,60.50111111,154.36,1014917,51.9057,6.860444444,58.76614444
anthracite,supercritical,10,400,242.2,66.76,1592465,10,0.75,15,48.86,8.073333333,56.93333333,205.87,1353595.25,48.3714,6.862333333,55.23373333
anthracite,supercritical,10,500,302.7,63.51,1990252.5,10,0.75,15,46.48,8.072,54.552,257.295,1691714.625,46.0152,6.8612,52.8764
anthracite,supercritical,10,600,363.2,61.15,2388040,10,0.75,15,44.76,8.071111111,52.83111111,308.72,2029834,44.3124,6.860444444,51.17284444
anthracite,supercritical,10,700,423.7,59.32,2785827.5,10,0.75,15,43.42,8.07047619,51.49047619,360.145,2367953.375,42.9858,6.859904762,49.84570476
anthracite,supercritical,10,800,484.3,57.85,3184272.5,10,0.75,15,42.34,8.071666667,50.41166667,411.655,2706631.625,41.9166,6.860916667,48.77751667
anthracite,supercritical,10,900,544.8,56.63,3582060,10,0.75,15,41.45,8.071111111,49.52111111,463.08,3044751,41.0355,6.860444444,47.89594444
anthracite,supercritical,10,1000,605.3,55.59,3979847.5,10,0.75,15,40.69,8.070666667,48.76066667,514.505,3382870.375,40.2831,6.860066667,47.14316667
anthracite,supercritical,10,1100,665.8,54.69,4377635,10,0.75,15,40.03,8.07030303,48.10030303,565.93,3720989.75,39.6297,6.859757576,46.48945758
anthracite,supercritical,10,1200,726.4,53.9,4776080,10,0.75,15,39.45,8.071111111,47.52111111,617.44,4059668,39.0555,6.860444444,45.91594444
anthracite,supercritical,10,1300,786.9,53.2,5173867.5,10,0.75,15,38.94,8.070769231,47.01076923,668.865,4397787.375,38.5506,6.860153846,45.41075385
anthracite,supercritical,10,1400,847.4,52.56,5571655,10,0.75,15,38.47,8.07047619,46.54047619,720.29,4735906.75,38.0853,6.859904762,44.94520476
anthracite,supercritical,10,1500,907.9,51.99,5969442.5,10,0.75,15,38.05,8.070222222,46.12022222,771.715,5074026.125,37.6695,6.859688889,44.52918889
anthracite,supercritical,10,1600,968.5,51.57,6367887.5,10,0.75,15,37.74,8.070833333,45.81083333,823.225,5412704.375,37.3626,6.860208333,44.22280833
anthracite,supercritical,10,1700,1029,51.21,6765675,10,0.75,15,37.48,8.070588235,45.55058824,874.65,5750823.75,37.1052,6.86,43.9652
