,RLOIid,riverName,RLOIid_upstream,RLOIid_downstream
886,5078,River Alt,,
887,6169,River Great Ouse,6291,6289
888,6165,River Ouzel,6154,6258
889,7220,Chertsey Bourne,,7219
890,8227,River Tutt,,
891,5143,River Tame,5196,5145
892,6214,River Yare,6205,6208
893,7159,Hughenden Stream,,
894,2065,River Corve,,
895,2166,River Severn,2031,2167
896,6086,River Gipping,,
897,1085,River Beault,1086,
898,2140,River Tame,2135,9061
899,7040,River Windrush,,7042
900,2023,Dowles Brook,,
901,5092,River Crake,5165,
902,8023,River Crimple,9410,
903,8072,Rookhope Burn,,
904,1154,River Bull,1156,
905,3173,Bolingey Stream,,
906,6021,River Jordan,,6019
907,3055,River Brue,3056,3057
908,5088,River Medlock,5194,
909,7208,Colne Brook,9297,
910,8351,Snaith Ings,,
911,4003,River Frome (Wye),4223,4036
912,6231,Hagnaby Beck,,
913,7085,River Thames,7084,7086
914,8039,River Derwent,9356,8280
915,6014,River Nene,6121,
916,6087,River Deben,,6297
917,2116,River Trent,9068,9077
918,3388,Manacan River,,
919,5064,River Blakewater,,
920,8014,River Tees,8138,8034
921,8283,Sour Beck,,
922,3133,River Seaton,,
923,5073,River Dane,,5036
924,8297,Blacup Beck,,
925,1009,River Lod,,
926,7386,River Thames,7394,
927,2098,River Tame,9061,2134
928,7075,Bulstake Stream,,
929,7076,Hinksey Stream,9120,
930,5185,Burrow Beck,,
931,3378,Cannington Brook,,
932,7296,Pyl Brook,7295,
933,5156,River Hindburn,,
934,8028,River Ure,8215,8004
935,7022,Ampney Brook,7021,
936,3077,River Isle,3076,3380
937,7006,Radlett Brook,7175,
938,1090,River Medway,1080,1074
939,5002,Arrowe Brook,,
940,1086,River Beault,,1085
941,7146,River Hart,7147,7145
942,2133,River Dove,2101,2150
943,2208,Hatherley Brook,2207,
944,7064,River Cherwell,7063,7066
945,1156,River Bull,,1154
946,3201,River Tamar,3195,
947,1013,River Rother,1169,1010
948,8100,River Calder,8066,8209
949,7363,Cobbins Brook,,7364
950,8041,River Aire,8294,8003
951,7060,River Cherwell,7059,7063
952,1032,River Adur,1001,
953,3109,Bradiford Water,,
954,3375,River Avon,3374,3370
955,7137,River Blackwater,,7140
956,5133,Dean,,
957,3034,Tetbury Avon,,
958,7380,River Roding,7009,7381
959,7043,River Windrush,7042,7044
960,3277,Dorset Frome,3278,3272
961,7213,River Thames,7171,7214
962,2151,River Blythe,,2143
963,8166,River North Tyne,8019,8355
964,3315,River Avon,3370,3314
965,2113,River Manifold,,
966,3215,East Dart River,,
967,1100,River Ouse,9246,9250
968,2096,Flood Channel,,
969,5120,River Brock,5022,
970,8261,Blackburn Brook,8341,
971,6171,River Great Ouse,6289,6172
972,3139,River Fowey,3142,3152
973,7238,East Clandon Stream,,
974,7037,River Thames,7036,7038
975,8336,Sea Levels,,
976,5101,River Mersey,5021,5008
977,5102,River Bollin,,5114
978,7059,River Cherwell,7058,7060
979,8150,River Tyne,8040,
980,2070,Leigh Brook,,
981,2043,River Avon,2042,9072
982,5118,Pendle Water,,5087
983,6083,River Waveney,6088,6204
984,6125,River Wensum,6098,
985,8330,Pickering Beck,8161,
986,8234,Holgate Beck,,
987,5012,River Wenning,,5184
988,1165,River Arun,9243,1168
989,1066,River Medway,1088,1067
990,6182,River Ivel,,6181
991,2131,River Tame,2134,9060
992,6239,River Ancholme,,6241
993,5038,River Yarrow,9114,9115
994,2011,River Roden,,
995,7033,River Leach,,
996,8178,Sea Cut,9331,
997,8067,River Don,8349,8242
998,1034,River Itchen,1056,
999,8010,River Wharfe,8163,8052
1000,6221,River Brant,6053,
1001,5183,River Irthing,,
1002,3086,Monksilver Stream,,
1003,8062,River Dearne,8240,8015
1004,2052,River Arrow,2047,
1005,3042,River Avon,3041,3043
1006,5098,River Mint,,
1007,1110,River Ouse,1152,1106
1008,8099,River Sheaf,8308,9040
1009,8177,River Greta,,
1010,5119,River Ribble,5099,5122
1011,8244,Ea Beck,8243,8151
1012,8009,River Aire,8120,8061
1013,3324,River Avon,3323,3325
1014,2109,River Trent,2185,2128
1015,3223,River Lemon,3209,3205
1016,8116,River Wiske,8207,
1017,6203,River Bure,6215,6202
1018,7013,River Key,,
1019,8056,River Aire,8345,8346
1020,7188,River Gade,7185,
1021,8328,Tang Hall Beck,,9348
1022,6157,River Tove,,6151
1023,6210,Hickling Broad,,
1024,7315,River Ravensbourne,7320,
1025,7230,River Wey,7227,7229
1026,7327,River Quaggy,,7328
1027,3231,River Yarty,,
1028,3343,River Wolf,,
1029,3258,River Exe,3256,3246
1030,8068,River Gaunless,8360,8198
1031,6137,River Stour,6128,
1032,8208,River Ouse,9347,8081
1033,7177,Mimmshall Brook,7176,
1034,3184,River Lynher,,
1035,5161,River Brathay,,
1036,7144,River Whitewater,,
1037,6084,Stonham Watercourse,,
1038,8329,Bramham Beck,,
1039,3009,Bristol Frome,,3023
1040,5155,River Derwent,5180,
1041,7288,Wealdstone Brook,7287,
1042,8288,River Wear,8201,8046
1043,5175,River Greta,5060,
1044,2057,River Teme,2053,2086
1045,3016,River Avon,3027,3041
1046,3333,Swan Brook,3263,
1047,5050,River Mersey,5149,5084
1048,5074,River Gelt,,
1049,3124,River Torridge,,3125
1050,8262,River North Tyne,8368,8370
1051,1039,River Shuttle,,
1052,7091,Bear Brook,,
1053,8317,River Colne,8258,8105
1054,5051,Sea Levels,,
1055,6181,River Ivel,6182,
1056,7261,River Mole,7260,7262
1057,3155,St Austell River,,3157
1058,6279,River Lark,6255,6260
1059,7028,River Cole,,7030
1060,8016,Cundall Beck,,
1061,5065,River Weaver,5007,5198
1062,7334,River Mimram,,7335
1063,5077,River Lune,5094,5029
1064,6242,Barton Haven,,
1065,8089,River Swale,8159,8169
1066,7336,River Mimram,7335,
1067,5196,River Tame,,5143
1068,7172,River Thames,7170,7171
1069,1006,River Adur,,1001
1070,3067,Sea Levels,,
1071,7342,River Rib,,7344
1072,7083,River Thames,7073,7084
1073,5211,Haweswater Beck,5025,
1074,5228,Glaze Brook,,
1075,2182,Sud Brook,9026,
1076,7377,Cripsey Brook,,7378
1077,1072,River Medway,,1088
1078,7066,River Cherwell,7064,9082
1079,7099,River Thames,7086,7100
1080,3240,River Sid,,3233
1081,6090,Huntingfield Watercourse,,
1082,3416,River Avon,3043,3414
1083,8312,Ings Beck,,8065
1084,2087,River Lyd,2055,
1085,5066,River Ribble,5091,5099
1086,5037,River Esk,,
1087,5195,River Irwell,,5075
1088,3054,River Sheppey,,
1089,2221,Dimore Brook,2229,
1090,5105,River Calder,5189,5150
1091,6052,Barlings Eau,,
1092,1083,River Medway,1089,1064
1093,8295,River Hipper,8047,
1094,3102,River Waldon,,
1095,6100,River Stiffkey,,
1096,8112,River Aire,8054,8199
1097,8094,Waller Hill Beck,9314,
1098,5010,River Lostock,,5083
1099,3024,Mells River,,3050
1100,6270,River Little Ouse,,6247
1101,3387,Coastal Stream,,
1102,6289,River Great Ouse,6169,6171
1103,2117,River Hamps,,
1104,1014,River Arun,1168,1017
1105,3389,Red,,
1106,3207,River Bovey,3225,
1107,8138,River Tees,,8014
1108,6264,River Great Ouse,6078,6175
1109,5054,River Conder,,
1110,3132,River Camel,9149,
1111,7104,River Pang,,7105
1112,6043,River Witham,6068,
1113,8059,River Swale,8371,8144
1114,7004,Letcombe Brook,,7080
1115,7120,River Dun,,
1116,5126,River Kent,5225,
1117,3379,Longload Main Drain,,
1118,7373,Ching Brook,7008,
1119,7275,Yeading Brook,7274,
1120,7277,River Crane,7276,
1121,8332,Blue Beck,,
1122,5110,Broad Fleet,,
1123,3076,River Isle,,3077
1124,7211,River Colne,7207,
1125,6081,River Box,6080,
1126,7318,The Beck,,
1127,7244,River Thames,7216,7245
1128,7007,River Brent,7291,
1129,8106,River Wharfe,8001,8156
1130,3200,River Walkham,,
1131,8031,Sea Levels,,
1132,7134,River Loddon,,7136
1133,6286,River Nene,6107,6121
1134,5039,River Caldew,5125,5042
1135,7302,River Wrythe,,
1136,7142,River Blackwater,7140,7143
1137,3108,Coney Gut,3117,
1138,7308,River Graveney,7307,
1139,8273,Cockshaw Burn,8271,
1140,6147,River Chelmer,6146,
1141,5220,Trout Beck,,
1142,7406,River Coln,7026,
1143,3033,Colliters Brook,,
1144,3276,River Piddle,,3270
1145,1118,Salfords Stream,,
1146,5024,River Ellen,,
1147,7003,River Stert,,
1148,8095,River South Tyne,9283,
1149,2186,River Meden,,2148
1150,6258,River Ouzel,6165,
1151,3214,River Teign,,3206
1152,8121,River Nidd,8021,8104
1153,1127,River Brede,,1120
1154,3138,River Valency,3402,
1155,7127,Kingsclere Brook,,
1156,3344,Sea Levels,,
1157,9248,River Arun,1011,1162
1158,7140,River Blackwater,7137,7142
1159,8026,River Blyth,8291,
1160,7347,River Ash,7346,
1161,3303,River Stour,3295,3300
1162,7016,River Churn,7015,7017
1163,2044,River Avon,9072,2046
1164,1037,River Cray,,1036
1165,1143,Great Stour,9274,9148
1166,8098,River Pont,8195,8162
1167,8211,Walsden Water,,8310
1168,3250,River Clyst,3355,
1169,5095,River Irwell,5076,5003
1170,2030,River Onny,,
1171,2193,River Isbourne,,2194
1172,7388,River Thames,7390,9154
1173,7039,Clanfield Brook,,
1174,1026,River Ouse,1109,
1175,2012,River Leadon,2205,
1176,7139,River Loddon,7136,7138
1177,7256,Burstow Stream,7255,
1178,5106,River Douglas,5006,5147
1179,3291,River Wey,3287,3353
1180,2177,River Frome (Severn),2019,
1181,7069,Langford Brook,,
1182,7103,Mill Brook,,
1183,7216,River Thames,7215,7244
1184,1058,Monks Brook,1051,
1185,2160,Whetstone Brook,,
1186,7002,River Evenlode,,7050
1187,7053,River Evenlode,7051,7054
1188,6188,Sandon Brook,,
1189,8163,River Wharfe,8156,8010
1190,7051,River Evenlode,9050,7053
1191,3396,Hawkcombe Stream,,
1192,8069,River Drone,9338,
1193,1078,River Teise,1170,1087
1194,6113,River Ise,6109,6104
1195,8240,River Dearne,9329,8062
1196,2189,Rothley Brook,,2125
1197,7239,River Tillingbourne,,
1198,2232,Dover Beck,,
1199,5174,River Derwent,5178,5179
1200,7118,River Kennet,7113,7117
1201,6027,West Glen River,6031,
1202,6172,River Great Ouse,6171,6173
1203,3323,River Avon,,3324
1204,2110,River Wye,2162,
1205,7024,River Thames,7014,7027
1206,5200,Eagley Brook,,
1207,7073,River Thames,7405,7083
1208,8275,Lustrum Beck,,
1209,3222,River Ashburn,3221,
1210,8153,River Riccal,,
1211,6066,Foston Beck,,
1212,8253,River Rother,9044,9336
1213,6036,West Glen River,6026,6031
1214,3147,St Neot River,,
1215,6108,River Nene,6117,6115
1216,7205,Frays River,7197,
1217,6193,River Cam,6192,
1218,5159,River Petteril,5100,5172
1219,7226,River Wey,,7227
1220,5180,River Derwent,5181,5155
1221,1125,River Tillingham,,
1222,8229,Bishop Monkton Beck,,
1223,7231,River Wey,7229,7232
1224,1001,River Adur,1006,1032
1225,7077,River Ock,,7078
1226,5040,Dacre Beck,,
1227,6124,Willow Brook,,6106
1228,6116,River Nene,9374,6110
1229,8143,River Coquet,8173,8369
1230,7023,Marston Meysey Brook,,
1231,2144,River Trent,2145,
1232,6160,Riseley Brook,,
1233,3257,River Barle,3242,
1234,6186,Swavesey Drain,,
1235,2090,River Teme,,2053
1236,8123,Smallhope Burn,,
1237,6106,Willow Brook,6124,
1238,5192,Pimlico Brook,,
1239,3168,Perrancombe Stream,3175,3391
1240,7306,Norbury Brook,,
1241,3334,River Tamar,,3336
1242,7202,River Pinn,7005,7203
1243,2005,River Teme,2086,2178
1244,3405,Kenwith Stream,,
1245,2226,Wotton Brook,,2227
1246,8179,River Ouse,8180,8084
1247,2066,River Strine,,
1248,8324,West Bank Pond,,
1249,5058,River Eden,5138,5081
1250,6003,River Colne,6140,
1251,2159,River Erewash,2155,2164
1252,2223,Piddle Brook,,
1253,3093,Sea Levels,,
1254,8091,River Rother,9034,8296
1255,7274,Yeading Brook,7271,7275
1256,3123,River Taw,3100,3113
1257,8170,River Tyne,8354,8040
1258,5071,River Hodder,,
1259,3050,Mells River,3024,
1260,7348,River Stort,,7350
1261,3345,River Batherm,,
1262,3332,Sea Levels,,
1263,2105,River Sow,9076,
1264,7354,Pishiobury Brook,,
1265,2180,Horsbere Brook,9294,
1266,7163,River Thames,7162,7165
1267,7248,River Ash,7247,
1268,8305,River Calder,,8205
1269,3295,River Stour,3302,3303
1270,6244,Laceby Beck,6243,
1271,8216,River Esk,8233,
1272,8074,River Derwent,8280,8037
1273,5048,River Darwen,5061,5015
1274,3397,River Parrett,3072,
1275,7179,River Colne,,7184
1276,5025,Haweswater Beck,,5211
1277,6204,River Waveney,6083,6209
1278,7330,River Lee,7329,9289
1279,7394,River Thames,9154,7386
1280,4035,River Arrow,4020,2195
1281,7049,River Thames,7048,7055
1282,7403,River Thame,7097,
1283,2024,River Isbourne,2194,
1284,8219,River Wear,8196,8201
1285,8144,River Swale,8059,
1286,3192,River Kensey,,3337
1287,3053,North Drain,,
1288,6250,River Thet,,6265
1289,5194,River Medlock,,5088
1290,3013,River Avon,3037,3014
1291,8352,Roall Dyke,,
1292,7344,River Rib,7342,
1293,2055,River Lyd,,2087
1294,3023,Bristol Frome,3009,3029
1295,1044,River Wallington,9192,
1296,8131,River Derwent,8132,8130
1297,3273,Sydling Water,,
1298,1119,River Uck,9257,1108
1299,3418,River Stennack,,
1300,6114,River Till,,
1301,3131,River Neet,,3151
1302,7123,River Lambourn,,9020
1303,5215,Stock Beck,5226,5233
1304,7375,River Lee,7374,
1305,7009,River Roding,7379,7380
1306,3380,River Isle,3077,
1307,6293,South Forty Foot Drain,6226,
1308,6144,River Brain,,
1309,8176,River Ure,8133,8215
1310,6103,Wootton Brook,,
1311,7196,River Colne,7192,7198
1312,8369,River Coquet,8143,
1313,8340,Porter Brook,8339,
1314,3075,River Parrett,,3072
1315,8341,Blackburn Brook,,8261
1316,3242,River Barle,,3257
1317,6156,Clipstone Brook,,
1318,3159,Par River,,3167
1319,8185,Kilton Beck,,
1320,2019,River Frome (Severn),2176,2177
1321,8001,River Wharfe,8277,8106
1322,6080,River Box,,6081
1323,6136,Chad Brook,,
1324,3199,Tory Brook,,
1325,3413,Bristol Frome,3036,3412
1326,3060,Congresbury Yeo,,
1327,8124,River Calder,8096,8066
1328,7187,River Bulbourne,7186,
1329,8294,River Aire,8350,8041
1330,8359,River Team,,8203
1331,1020,River Medina,1047,
1332,3370,River Avon,3375,3315
1333,7290,River Brent,7289,7291
1334,3032,Brislington Brook,,
1335,8113,River Ure,8011,8133
1336,3275,Dorset Frome,3272,3280
1337,3360,River Harbourne,3217,
1338,7326,Kyd Brook,7325,
1339,8132,River Derwent,8214,8131
1340,5229,River Beal,,5134
1341,3314,River Avon,3315,3320
1342,6060,River Bain,6063,6041
1343,8322,Catcliffe Drain,,
1344,6121,River Nene,6286,6014
1345,8237,Sea Levels,,
1346,5172,River Petteril,5159,5214
1347,8366,River Tees,8223,8372
1348,7279,Dollis Brook,7278,
1349,7017,River Churn,7016,
1350,7313,River Ravensbourne (East branch),7312,
1351,6104,River Ise,6113,
1352,8017,River Aire,9042,8350
1353,3302,River Stour,3305,3295
1354,2149,River Tean,,9075
1355,2045,River Stour,,9407
1356,7246,River Thames,7395,7267
1357,5109,River Ribble,5086,5056
1358,6218,Brampton Branch,6037,6118
1359,7360,Nazeing Brook,,
1360,8092,River Hartburn,,
1361,3084,Hillfarrance Brook,,
1362,4223,River Frome (Wye),,4003
1363,3249,River Clyst,,3355
1364,5003,River Irwell,5095,
1365,8334,Sea Levels,,
1366,8361,River Gaunless,8128,8192
1367,7173,River Pinn,7201,7174
1368,8071,River Leven,,8088
1369,7090,Wendover Springs,,
1370,7086,River Thames,7085,7099
1371,5075,River Irwell,5195,5136
1372,7143,River Blackwater,7142,7149
1373,2013,Rea Brook,,
1374,4002,River Wye,4004,4017
1375,2069,River Severn,2058,2001
1376,2074,River Cam,,2077
1377,8257,Wash Dike,8304,
1378,7044,River Windrush,7043,7045
1379,7155,River Thames,7133,7156
1380,2161,Black Brook,,
1381,1120,River Brede,1127,
1382,8156,River Wharfe,8106,8163
1383,7233,Cranleigh Waters,,7235
1384,5154,River Etherow,,5035
1385,7170,River Thames,7169,7172
1386,7365,River Lee,7361,7374
1387,5084,River Mersey,5050,
1388,7082,Ginge Brook,,
1389,8158,River Rede,,8157
1390,7128,River Enborne,,
1391,2127,River Churnet,9073,9074
1392,3041,River Avon,3016,3042
1393,3062,Sea Levels,,
1394,1017,River Arun,1014,1011
1395,3395,Bodmin Town Leat,,
1396,8243,Ea Beck,,8244
1397,3322,River Wylye,,3326
1398,2111,River Wreake,2218,
1399,3221,River Ashburn,,3222
1400,8207,River Wiske,,8116
1401,6224,Ousemere Lode,,
1402,3146,Sea Levels,,
1403,8172,River Ryburn,,8309
1404,7113,River Kennet,7112,7118
1405,7241,Hoe Stream,,
1406,8073,River Calder,8298,8032
1407,7399,River Mole,,7250
1408,2037,River Stour,2076,2038
1409,8033,River Rye,,8147
1410,6091,Rattlesden River,,
1411,1122,River Burwash,,
1412,3384,River Ottery,,3191
1413,2145,River Trent,2128,2144
1414,3256,River Exe,3254,3258
1415,8105,River Colne,8317,8053
1416,3167,Par River,3159,
1417,1048,River Itchen,1055,9220
1418,2228,Whaddon Brook,,
1419,6061,Heighington Beck,,
1420,8202,River Wharfe,8080,8050
1421,8002,River Dearne,8027,9333
1422,5181,River Derwent,5103,5180
1423,6149,River Can,,
1424,3239,River Otter,,3237
1425,2058,River Severn,2036,2069
1426,3092,River Aller,,
1427,6023,River Welland,,6025
1428,1030,River Rother,1126,
1429,8349,River Don,8135,8067
1430,8157,River Rede,8158,8167
1431,2122,River Sow,,9076
1432,6196,River Rhee,,6199
1433,6192,River Cam,6190,6193
1434,7209,Wraysbury River,7210,
1435,2106,River Greet,2156,
1436,7321,Kyd Brook (East Branch),,
1437,8063,Cod Beck,8287,
1438,7034,River Thames,7027,7035
1439,1047,River Medina,,1020
1440,8199,River Aire,8112,8345
1441,7047,River Thames,7046,7048
1442,5014,River Ehen,,5047
1443,7307,River Graveney,,7308
1444,3065,Huish Level Rhyne,,
1445,5169,River Lowther,5170,
1446,6190,River Cam,6189,6192
1447,6109,River Ise,,6113
1448,8263,River Tweed,8264,8020
1449,8046,River Wear,8288,
1450,6155,River Kym,6153,
1451,6042,River Witham,6073,6068
1452,3172,River Hayle,3165,
1453,8127,Snaizeholme Beck,,
1454,3191,River Ottery,3384,3341
1455,7089,River Thame,7087,7092
1456,5207,River Esk,,
1457,8304,Wash Dike,,8257
1458,5149,River Mersey,5052,5050
1459,8047,River Hipper,8300,8295
1460,8093,Harwood Beck,,
1461,2210,Bagley Brook,,
1462,2134,River Tame,2098,2131
1463,3022,By Brook,,3040
1464,8006,River Skell,,
1465,3272,Dorset Frome,3277,3275
1466,2083,River Alne,,2048
1467,7337,River Beane,,7340
1468,1170,River Teise,,1078
1469,2118,River Derwent,2230,2103
1470,8303,River Worth,,8109
1471,7240,River Wey,7232,7401
1472,3390,Lariggan River,,
1473,3206,River Teign,3214,3226
1474,6283,Sea Levels,,
1475,5036,River Dane,5073,5121
1476,7131,River Kennet,9395,
1477,7255,Burstow Stream,,7256
1478,2099,River Trent,2137,2104
1479,4017,River Wye,4002,4025
1480,5226,Stock Beck,,5215
1481,8228,Swinney Beck,,
1482,7214,River Thames,7213,7215
1483,3381,West Moor Drain,,
1484,6154,River Ouzel,6152,6165
1485,8368,River North Tyne,,8262
1486,6267,River Snail,,
1487,2152,River Trent,2108,2100
1488,2225,Rudhall Brook,,
1489,8247,River Don,,9326
1490,6082,River Brett,6079,
1491,2195,River Arrow,4035,
1492,1133,Great Stour,1137,1145
1493,3074,River Yeo,3070,3079
1494,6179,River Great Ouse,6178,6180
1495,8268,Waren Burn,8267,
1496,7038,River Thames,7037,7046
1497,3241,Exminster Marshes,3253,
1498,8282,River Foulness,9141,
1499,7293,Beverley Brook,7292,7297
1500,8197,River Doe Lea,,
1501,7297,Beverley Brook,7293,7298
1502,6246,Bin Brook,,
1503,1134,Great Stour,9148,9130
1504,5136,River Irwell,5075,5115
1505,5125,River Caldew,,5039
1506,1056,River Itchen,1049,1034
1507,7217,Chertsey Bourne,7218,
1508,3382,Somerset Frome,3004,3049
1509,3059,River Axe,,
1510,6275,River Whittle,,
1511,8096,River Calder,8032,8124
1512,2059,River Severn,2051,2071
1513,5157,River Eden,,5059
1514,3107,Landkey Brook,,
1515,6387,River Great Ouse,6163,6162
1516,2185,River Trent,2102,2109
1517,3031,Chew Stoke Brook,,
1518,1011,River Arun,1017,9248
1519,3274,Groundwater Levels,,
1520,7371,Pymmes Brook,7370,7372
1521,2235,Barbourne Brook,,2236
1522,3290,River Asker,,3283
1523,6164,Broughton Brook,,
1524,8076,River South Tyne,8007,8356
1525,8149,Spen Beck,8256,
1526,5134,River Beal,5229,
1527,3313,Docken's Water,,
1528,3212,West Dart River,,
1529,8160,River Nidd,8086,8021
1530,7384,River Ingrebourne,,9325
1531,7018,River Ray,7068,7019
1532,8337,Sea Levels,,
1533,8027,River Dearne,8064,8002
1534,7158,River Wye,,7161
1535,5047,River Ehen,5014,5018
1536,3061,Northmoor Main Drain,3415,
1537,3301,Moors River,9398,
1538,2046,River Avon,2044,2234
1539,8195,River Pont,,8098
1540,5184,River Wenning,5012,5148
1541,1137,Great Stour,1132,1133
1542,1060,Lymington,1062,9262
1543,4036,River Frome (Wye),4003,
1544,3083,River Tone,,3082
1545,7012,Swill Brook,,
1546,8260,Fenay Beck,,
1547,8061,River Aire,8009,9151
1548,7390,River Thames,7391,7388
1549,5150,River Calder,5105,
1550,7074,Seacourt Stream,,
1551,8134,River Calder,9320,
1552,7316,Spring Brook,,
1553,5121,River Dane,5036,
1554,8024,River Ouse,8084,
1555,2075,River Salwarpe,9295,2007
1556,7055,River Thames,7049,7056
1557,3002,Wellow Brook,,3048
1558,2162,River Wye,,2110
1559,3229,River Axe,3350,3238
1560,6092,River Fromus,,
1561,6133,Bumpstead Brook,,
1562,6141,River Pant,,6130
1563,7092,River Thame,7089,7094
1564,2053,River Teme,2090,2057
1565,6259,River Wissey,,
1566,3363,River Dart,3406,
1567,2077,River Cam,2074,
1568,7097,River Thame,7095,7403
1569,7151,River Loddon,7138,7152
1570,3321,Chitterne Brook,,
1571,8254,Brook Dike,,
1572,3220,River Avon,,3218
1573,3145,River Allen,,
1574,7168,Maidenhead Ditch,,
1575,5096,River Goyt,5232,
1576,5135,Roe Beck,,
1577,3122,River Okement,,
1578,3049,Somerset Frome,3382,
1579,5055,River Wyre,5186,9132
1580,7005,River Pinn,7174,7202
1581,7136,River Loddon,7134,7139
1582,6180,River Great Ouse,6179,6278
1583,2038,River Stour,2037,9023
1584,6143,River Blackwater,6142,
1585,2196,River Wye,4029,4023
1586,3154,Sea Levels,,
1587,8182,Usway Burn,,
1588,1074,River Medway,1090,9124
1589,7396,River Thames,7156,7162
1590,5076,River Irwell,5230,5095
1591,6219,River Witham,,6051
1592,8140,River Ouse,,8184
1593,7234,Littlemead Brook,,
1594,8190,River Skerne,8108,
1595,3181,River Inny,,
1596,8232,River Esk,8331,8233
1597,6098,River Wensum,,6125
1598,3407,East Okement River,,
1599,5107,Sinderland Brook,,
1600,6118,Brampton Branch,6218,6122
1601,7259,Salfords Stream,,
1602,7100,River Thames,7099,7101
1603,3238,River Axe,3229,
1604,6256,Bury Brook,,
1605,5189,River Calder,5104,5105
1606,3091,Horner Water,,
1607,3263,Swan Brook,,3333
1608,4004,River Wye,4016,4002
1609,7266,Hogsmill River,7265,
1610,6122,Brampton Branch,6118,6102
1611,8357,River Tyne,,9006
1612,7224,Addlestone Bourne,,7225
1613,2123,River Penk,9067,
1614,1155,River Ems,,
1615,8194,Sea Levels,,
1616,7079,Letcombe Brook,7080,
1617,3330,River Nadder,,3329
1618,7343,River Quin,,
1619,2173,River Chelt,2171,2174
1620,8035,Broughton Beck,,
1621,5198,River Weaver,5065,
1622,5227,Dovers Brook,,
1623,3376,River Winterbourne,,
1624,5187,Trawden Brook,,
1625,7194,River Misbourne,,7407
1626,6145,River Chelmer,,6146
1627,7314,River Ravensbourne,7310,7320
1628,5015,River Darwen,5048,
1629,3064,Currymoor Drain,,
1630,2169,Wesley Brook,,
1631,8256,Spen Beck,,8149
1632,7020,River Ray,7019,
1633,7323,Kyd Brook,7322,7324
1634,6077,River Flit,,
1635,7078,River Ock,7077,7081
1636,6028,River Welland,6020,6029
1637,6255,River Lark,6251,6279
1638,7367,Turkey Brook,,
1639,5026,River Irwell,5115,5230
1640,2025,River Tanat,,
1641,8065,Ings Beck,8312,
1642,6097,Wendling Beck,,
1643,7011,River Thames,7010,7014
1644,5072,River Wenning,5148,
1645,8248,River Don,8323,8090
1646,8344,Gowdall Ings,,
1647,5130,River Sprint,,
1648,6159,River Great Ouse,6183,6274
1649,5053,River Birket,5041,
1650,3100,River Taw,,3123
1651,8370,River North Tyne,8262,8019
1652,2135,River Tame,9062,2140
1653,3021,River Boyd,,3039
1654,7245,River Thames,7244,7395
1655,6206,River Waveney,6207,6212
1656,8198,River Gaunless,8068,
1657,3285,River Bride,,
1658,6247,River Little Ouse,6270,6257
1659,3401,River Valency,,3402
1660,8210,River Went,8245,9041
1661,8058,Ouse Burn,8085,
1662,3198,Long brook,,
1663,5201,Poynton Brook,,
1664,6211,River Bure,6099,6215
1665,3391,Perrancombe Stream,3168,
1666,9035,Whitley Brook,,
1667,7184,River Colne,7179,9296
1668,7400,Cove Brook,9408,
1669,2100,River Trent,2152,2217
1670,7286,Silk Stream,7285,
1671,5123,River Cocker,,5129
1672,3066,West Sedgemoor Drain,,
1673,8133,River Ure,8113,8176
1674,3073,River Tone,9125,
1675,6033,East Glen River,,6040
1676,8290,River Till,9278,
1677,7250,River Mole,7399,7254
1678,3156,Sea Levels,,
1679,7257,River Mole,7254,7260
1680,5173,River Caldew,5042,
1681,7260,River Mole,7257,7261
1682,8175,River Don,8174,9375
1683,1052,River Itchen,9194,1059
1684,2021,River Teme,2178,2040
1685,5145,River Tame,5143,5023
1686,7148,River Hart,,7147
1687,6019,River Jordan,6021,
1688,7030,River Cole,7028,7031
1689,3058,River Brue,3057,
1690,7031,River Cole,7030,
1691,7232,River Wey,7231,7240
1692,6183,River Great Ouse,6158,6159
1693,8122,River Aire,8077,9042
1694,2174,River Chelt,2173,
1695,5127,River Eden,5171,
1696,1028,Sea Levels,,
1697,8272,River Derwent,8376,8292
1698,5083,River Lostock,5010,
1699,2216,River Greet,,2156
1700,6202,River Bure,6203,
1701,2080,River Itchen,,
1702,5202,River Weaver,5009,5007
1703,3289,Sea Levels,,
1704,8292,River Derwent,8272,
1705,7054,River Evenlode,7053,
1706,6130,River Pant,6141,
1707,6038,Medbourne Brook,,6032
1708,2176,River Frome (Severn),2175,2019
1709,6146,River Chelmer,6145,6147
1710,3040,By Brook,3022,
1711,6176,River Great Ouse,6175,6177
1712,3300,River Stour,3303,
1713,3356,River Kenn Tributary,,
1714,2047,River Arrow,,2052
1715,8162,River Pont,8098,
1716,3082,River Tone,3083,3364
1717,3347,River Culm,,3259
1718,2031,River Severn,2078,2166
1719,8347,Batley Beck,8348,
1720,7206,Poyle Channel,,
1721,6260,River Lark,6279,6271
1722,8120,River Aire,9017,8009
1723,1108,River Uck,1119,
1724,6161,Alconbury Brook,6075,6150
1725,5082,Ogden Brook,,
1726,7107,River Pang,7106,
1727,8084,River Ouse,8179,8024
1728,2076,River Stour,9429,2037
1729,3362,Sea Levels,,
1730,8181,River Whitting,,
1731,2190,River Devon,,
1732,8060,Eastburn Beck,,
1733,3228,Umborne Brook,,
1734,8032,River Calder,8073,8096
1735,5060,River Greta,9419,5175
