,RLOIid,riverName,RLOIid_upstream,RLOIid_downstream
204,2132,River Soar,2142,
205,6233,Waithe Beck,,
206,6262,Bourn Brook,,6197
207,2234,River Avon,2046,2002
208,7056,River Thames,7055,7057
209,3377,River Wey,,3287
210,7149,River Blackwater,7143,7150
211,8007,River South Tyne,,8076
212,7362,Theobalds Brook,,
213,2230,River Derwent,2097,2118
214,6054,Sincil Dyke,,
215,3209,River Lemon,,3223
216,7273,Yeading Brook (Eastern Arm),,
217,3136,De Lank River,,
218,3113,River Taw,3123,3106
219,7094,River Thame,7092,7095
220,3038,River Marden,3383,
221,3298,River Cale,,
222,6058,River Witham,6050,6073
223,3338,River Cober,3160,3169
224,8137,River Wansbeck,,8139
225,5148,River Wenning,5184,5072
226,8308,River Sheaf,8299,8099
227,7361,River Lee,7357,7365
228,3246,River Exe,3258,3260
229,8348,Batley Beck,9032,8347
230,7389,River Thames,7392,7391
231,5016,River Bollin,5153,
232,8372,River Tees,8366,
233,8225,Willow Beck,,8285
234,7175,Radlett Brook,,7006
235,7067,River Ray,,7068
236,5089,Wincham Brook,,
237,8309,River Ryburn,8172,
238,7029,Dorcan Brook,,
239,6047,Fosdyke Canal,,
240,7269,River Thames,7267,7268
241,5044,River Duddon,5142,
242,1130,Old Mill Stream,,
243,6032,Medbourne Brook,6038,
244,8048,River Calder,9167,9031
245,8264,River Tweed,,8263
246,3365,Groundwater Levels,,
247,8019,River North Tyne,8370,8166
248,3311,River Bourne,,3310
249,3179,River Tiddy,,
250,2128,River Trent,2109,2145
251,9193,River Alre,1053,
252,6245,Old Bedford River,6261,
253,5111,River Yarrow,,9114
254,2008,River Tern,,
255,5209,Cunsey Beck,,
256,2227,Wotton Brook,2226,
257,2078,River Severn,2041,2031
258,7062,Sor Brook,,
259,7378,Cripsey Brook,7377,
260,7101,River Thames,7100,7102
261,8343,River Calder,9318,8097
262,2191,Bottle Brook,,
263,7046,River Thames,7038,7047
264,6132,Stour Brook,,
265,6031,West Glen River,6036,6027
266,3358,West Lyn River,,
267,8326,Silsden Beck,,
268,8365,River Leven,8200,8082
269,3046,Semington Brook,,
270,6120,River Nene,6101,6117
271,8205,River Calder,8305,9318
272,3307,River Lydden,,
273,2147,River Maun,2146,
274,2041,River Severn,2022,2078
275,8079,River Aire,9152,9310
276,8362,Clow Beck,,
277,5104,River Calder,,5189
278,6281,Whaddon Brook,,
279,8291,River Blyth,,8026
280,3226,River Teign,3206,3361
281,8168,Arkle Beck,,
282,6253,River Kennett,6249,
283,3253,Exminster Marshes,,3241
284,3152,River Fowey,3139,3386
285,7186,River Bulbourne,,7187
286,6002,Sea Levels,,
287,3392,River Cober,,3160
288,6208,River Yare,6214,6213
289,8286,Cod Beck,,8287
290,8164,River Skerne,8030,8108
291,5178,River Derwent,,5174
292,4029,River Wye,4025,2196
293,8280,River Derwent,8039,8074
294,6257,River Little Ouse,6247,
295,2233,Grace Dieu Brook,,
296,2067,River Severn,2061,9308
297,2209,Lilley Brook,,
298,7324,Kyd Brook,7323,7325
299,8102,River Rye,8147,
300,6068,River Witham,6042,6043
301,1164,River Rother,,1169
302,1067,River Medway,1066,1080
303,3235,River Tale,,
304,2142,River Soar,2158,2132
305,2164,River Erewash,2159,
306,2027,River Meese,,
307,7345,River Ash,,7346
308,2088,Ledwyche Brook,,
309,8274,Moors Burn,,
310,8145,River Ouse,8081,8044
311,8355,River North Tyne,8166,
312,7303,River Wandle,7301,7305
313,3188,River Yealm,,3193
314,2125,Rothley Brook,2189,
315,7278,Dollis Brook,,7279
316,3205,River Lemon,3223,3354
317,7312,River Ravensbourne (East branch),,7313
318,6288,River Nar,,6277
319,2108,River Trent,2104,2152
320,3098,River Yeo,3128,
321,2203,Slad Brook,,2204
322,6095,River Yare,,6205
323,7395,River Thames,7245,7246
324,3270,River Piddle,3276,3269
325,7021,Ampney Brook,,7022
326,3128,River Yeo,,3098
