Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
Target Resource,Class,,,,,,A target resource refers to a repository or an ontology file located in any file system.,http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl
hasIRI,Data Property,,,Target Resource,String,,Defines the IRI of a repository.,http://www.theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl
