primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
subbituminous,subcritical,17,200,177.4,78.46,1166405.00,5
subbituminous,subcritical,17,300,266.1,69.35,1749607.50,5
subbituminous,subcritical,17,400,354.7,64.17,2332152.50,5
subbituminous,subcritical,17,500,443.4,60.73,2915355.00,5
subbituminous,subcritical,17,600,532,58.22,3497900.00,5
subbituminous,subcritical,17,700,620.7,56.27,4081102.50,5
subbituminous,subcritical,17,800,709.3,54.71,4663647.50,5
subbituminous,subcritical,17,900,798,53.41,5246850.00,5
subbituminous,subcritical,17,1000,886.7,52.3,5830052.50,5
subbituminous,subcritical,17,1100,975.3,51.34,6412597.50,5
subbituminous,subcritical,17,1200,1064,50.49,6995800.00,5
subbituminous,subcritical,17,1300,1153,49.73,7580975.00,5
subbituminous,subcritical,17,1400,1241,49.12,8159575.00,5
subbituminous,subcritical,17,1500,1330,48.64,8744750.00,5
subbituminous,subcritical,17,1600,1419,48.23,9329925.00,5
subbituminous,subcritical,17,1700,1507,47.86,9908525.00,5
subbituminous,subcritical,17,1800,1596,47.53,10493700.00,5
subbituminous,subcritical,17,1900,1685,47.24,11078875.00,5
subbituminous,subcritical,17,2000,1773,46.97,11657475.00,5
subbituminous,subcritical,17,2100,1862,46.73,12242650.00,5
subbituminous,subcritical,17,2200,1951,46.51,12827825.00,5
subbituminous,subcritical,17,2300,2039,46.31,13406425.00,5
subbituminous,subcritical,17,2400,2128,46.12,13991600.00,5
subbituminous,subcritical,17,2500,2217,45.95,14576775.00,5
subbituminous,subcritical,20,100,88.74,100.4,583465.50,6
subbituminous,subcritical,20,200,177.4,77.51,1166405.00,6
subbituminous,subcritical,20,300,266.1,68.48,1749607.50,6
subbituminous,subcritical,20,400,354.7,63.36,2332152.50,6
subbituminous,subcritical,20,500,443.4,59.96,2915355.00,6
subbituminous,subcritical,20,600,532,57.48,3497900.00,6
subbituminous,subcritical,20,700,620.7,55.56,4081102.50,6
subbituminous,subcritical,20,800,709.3,54.02,4663647.50,6
subbituminous,subcritical,20,900,798,52.74,5246850.00,6
subbituminous,subcritical,20,1000,886.7,51.64,5830052.50,6
subbituminous,subcritical,20,1100,975.3,50.7,6412597.50,6
subbituminous,subcritical,20,1200,1064,49.86,6995800.00,6
subbituminous,subcritical,20,1300,1153,49.11,7580975.00,6
subbituminous,subcritical,20,1400,1241,48.5,8159575.00,6
subbituminous,subcritical,20,1500,1330,48.03,8744750.00,6
subbituminous,subcritical,20,1600,1419,47.63,9329925.00,6
subbituminous,subcritical,20,1700,1507,47.26,9908525.00,6
subbituminous,subcritical,20,1800,1596,46.94,10493700.00,6
subbituminous,subcritical,20,1900,1685,46.65,11078875.00,6
subbituminous,subcritical,20,2000,1773,46.38,11657475.00,6
subbituminous,subcritical,20,2100,1862,46.14,12242650.00,6
