primary_fuel,generation_technology,capacity_MW,amortization_rate,CO2_emission_rate_ton_hr,generation_cost_MWh,CO2_emission_annual
coal,IGCC,2600,57,536,46.535,3521520
coal,IGCC,2600,60,536,46.28269231,3521520
coal,IGCC,2600,63,536,46.03038462,3521520
coal,IGCC,2600,67,536,45.69923077,3521520
coal,IGCC,2600,70,536,45.44692308,3521520
coal,IGCC,2600,73,536,45.19461538,3521520
coal,IGCC,2600,77,536,44.86346154,3521520
coal,IGCC,2600,80,536,44.61115385,3521520
coal,IGCC,2600,83,536,44.35884615,3521520
coal,IGCC,2600,87,536,44.02769231,3521520
coal,IGCC,2600,90,536,43.77538462,3521520
coal,IGCC,2600,93,536,43.52307692,3521520
coal,IGCC,2600,97,536,43.19192308,3521520
coal,IGCC,2600,100,536,42.93961538,3521520
