Case,Response,Total Var,subtype_ExxonMobil_Chemical_LoadMW_931,subtype_ExxonMobil_Refinery_LoadMW_941,subtype_Petrofac_LoadMW_951,subtype_ExxonMobil_Chemical_LoadMVR_931,subtype_ExxonMobil_Refinery_LoadMVR_941,subtype_Petrofac_LoadMVR_951,subtype_ExxonMobil_Chemical_LoadMW_931*subtype_ExxonMobil_Refinery_LoadMW_941,subtype_ExxonMobil_Chemical_LoadMW_931*subtype_Petrofac_LoadMW_951,subtype_ExxonMobil_Chemical_LoadMW_931*subtype_ExxonMobil_Chemical_LoadMVR_931,subtype_ExxonMobil_Chemical_LoadMW_931*subtype_ExxonMobil_Refinery_LoadMVR_941,subtype_ExxonMobil_Chemical_LoadMW_931*subtype_Petrofac_LoadMVR_951,subtype_ExxonMobil_Refinery_LoadMW_941*subtype_Petrofac_LoadMW_951,subtype_ExxonMobil_Refinery_LoadMW_941*subtype_ExxonMobil_Chemical_LoadMVR_931,subtype_ExxonMobil_Refinery_LoadMW_941*subtype_ExxonMobil_Refinery_LoadMVR_941,subtype_ExxonMobil_Refinery_LoadMW_941*subtype_Petrofac_LoadMVR_951,subtype_Petrofac_LoadMW_951*subtype_ExxonMobil_Chemical_LoadMVR_931,subtype_Petrofac_LoadMW_951*subtype_ExxonMobil_Refinery_LoadMVR_941,subtype_Petrofac_LoadMW_951*subtype_Petrofac_LoadMVR_951,subtype_ExxonMobil_Chemical_LoadMVR_931*subtype_ExxonMobil_Refinery_LoadMVR_941,subtype_ExxonMobil_Chemical_LoadMVR_931*subtype_Petrofac_LoadMVR_951,subtype_ExxonMobil_Refinery_LoadMVR_941*subtype_Petrofac_LoadMVR_951
CaseGroup1_Case1,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSANGLE_1,0.019475167047223775,0.020312932230051449,0.024721990762386577,0.013993202397344006,0.01975220532780168,0.033452505323247041,0.016697365556731892,0.056902389945703388,0.045582193992499541,0.035473597321231932,0.061582846532761651,0.030559230965047618,0.062219158046879268,0.047174630103213294,0.17414688750948984,0.040587481116437875,0.0362144833089161,0.050536091296371842,0.04279134309082782,0.06753126899793753,0.05486060638286485,0.064907589792254874
CaseGroup1_Case1,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSKVVOLT_1,0.0083465850403732951,0.043726289582600456,0.050101359480624552,0.028447025154989022,0.041219775290611452,0.073850182617945875,0.036186572832290625,0.047787062097766918,0.041344832885711072,0.038336590176620881,0.049408770072689824,0.036430154747985867,0.032854487991434908,0.039324417388332845,0.09581835056415193,0.028249378375463784,0.038377184945046328,0.032937421242528173,0.041018180672148595,0.082880987034835513,0.054352761827761706,0.067348215018459501
CaseGroup1_Case1,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_LineMW_1,0.55137445092521786,0.059057935211898678,0.068484570209831133,0.038837281377904299,0.055974221239138339,0.099281138344597689,0.048810429000860217,0.033199445268578306,0.012056578857063035,0.030415824785192558,0.052596075615398377,0.027911575668813107,0.03570666131004719,0.045330698682568449,0.090682177824294011,0.0333435211828167,0.040037926631718027,0.040577983036465294,0.022423936596258704,0.078317420154552078,0.038732068335522646,0.048222530666481106
CaseGroup1_Case1,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_LineMVR_1,3.6975908582343147,0.059062674394013255,0.068484475764600067,0.038835148250015709,0.055964028110195789,0.099272951663759712,0.048802235881334262,0.033196678453584955,0.012056303180817355,0.030421156992192003,0.052606747136933918,0.027894131002337275,0.035713224138183869,0.045334343461787656,0.090685584537983158,0.03335231842895215,0.040039248763271668,0.040573383682709727,0.022431827077814524,0.078297486659680907,0.038747239654593785,0.048228812765238216
CaseGroup1_Case1,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_PWBUSANGLE_1,0.013408241880235483,0.028879843429751098,0.035176707798267794,0.019910731357788088,0.02809458377035234,0.047541312708964834,0.023736036839846025,0.043245872182531127,0.045092511312229452,0.040720954863845686,0.057795292309427426,0.034069391758117268,0.055719735514141125,0.049291661244476329,0.1222104702774995,0.041252850596677534,0.033879208877732193,0.041788084950345424,0.04017785429656591,0.07454851910806902,0.0553228868005377,0.081545490002834176
CaseGroup1_Case1,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_PWBUSKVVOLT_1,0.023741358438867079,0.01546281764713877,0.017717811198781703,0.010059934964666261,0.014576660330120419,0.026115205473086364,0.012796550143526358,0.066219306874688674,0.036524446529743057,0.03506292542315232,0.067238563409712584,0.034278213680341549,0.073552446843923813,0.061657835121087093,0.17121746405483187,0.056225106732623285,0.033610799164460407,0.055146840472566225,0.036102829027713647,0.067714859372758326,0.044958260870853424,0.063761122664223874
CaseGroup1_Case1,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_LineMW_1,0.018951154026070855,0.012015023781987502,0.013931670345221494,0.0078962847295721804,0.011367421458304935,0.02017076176436353,0.0099121010187857295,0.065263565058345963,0.035805677648149487,0.033983360138071829,0.070752115677002084,0.038777889132244628,0.068487837554380704,0.055971413331909609,0.15968794892111915,0.07183909225554265,0.036797060710484691,0.06444350596907332,0.038770475411977992,0.076199291834109284,0.048100980544186073,0.059826522715167155
CaseGroup1_Case1,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_LineMVR_1,0.99665317371785611,0.0094138870188373736,0.010916116167714349,0.006189092296143661,0.0089147917929268683,0.015815304803656526,0.0077737438945065509,0.061986141663342625,0.034902136415768198,0.039917959235458447,0.070410442595954123,0.039443877541919699,0.076442619394032532,0.053557634135757273,0.13276037176414027,0.078056673933377688,0.044166669169973485,0.070098397019592001,0.0464361404807088,0.074239095797912436,0.051454885182144056,0.067104019696133249
CaseGroup1_Case1,subtype_CaseGroup1_Bus95_Petrofac_PWBUSANGLE_1,0.019073714386578788,0.020297898727391586,0.024723741893519533,0.013994125314825861,0.01974600280341849,0.033413781703891338,0.016682576024086068,0.056896458199106284,0.045590147161691956,0.035465830433829497,0.061581188339361007,0.0305691886097544,0.06225050499292311,0.047176895395909177,0.17416756140177531,0.040572664047951741,0.036196849172793658,0.050552253983485874,0.042789017186616769,0.067545094694437285,0.054906781676550498,0.064881438236680633
CaseGroup1_Case1,subtype_CaseGroup1_Bus95_Petrofac_PWBUSKVVOLT_1,0.017152301584955162,0.021403935730737327,0.024525335167747266,0.01392517801665924,0.020177304600728266,0.036149120736557197,0.01771316169972522,0.057244410303210529,0.044950866674920355,0.03626856397081462,0.061773741262251498,0.02980914562785859,0.059966016092907512,0.047062918025968709,0.17221039727375345,0.041776809763679895,0.037702855518153743,0.049342370789696111,0.042970100053190019,0.066554964593951119,0.051670615993800101,0.06680218810368925
