Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
Experiment,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Copyright,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
BibliographyLink,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Reference,EQUIVALENT-TO,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Apparatus,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
CommonProperties,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
DataGroup,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
AdditionalDataItem,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
ExpSpecs,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Provenance,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Modification,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
IgnitionType,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
TimeShift,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Kind,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Mode,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
DimensionalQuantity,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Velocity,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
SootYield,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
MassBurningRate,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Mass,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
SpecificSurfaceArea,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Material,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Fraction,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
InductionTime,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Voltage,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Temperature,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Length,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Pressure,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Density,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Volume,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
FlowRate,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Time,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
VolumetricFlowRate,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
ResidenceTime,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
LaminarBurningVelocity,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Distance,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
InitialComposition,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
IgnitionDelay,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Composition,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Concentration,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
EquivalenceRatio,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
TemperatureInReferenceState,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
PressureInReferenceState,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
VolumetricFlowRateInReferenceState,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
ReactorLength,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Diameter,Class,DimensionalQuantity,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
DataPoint,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X1,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X2,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X3,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X4,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X5,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X6,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X7,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X8,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X9,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X10,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
X11,Class,X,IS-A,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Component,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Uncertainty,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
SpeciesLink,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
DerivedProperty,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Amount,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Feature,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Indicator,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
Observable,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
PropertyLink,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
DataAttributeLink,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
DataGroupLink,Class,,,,,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
http://xmlns.com/foaf/0.1/Agent,Class,,,,,,,http://xmlns.com/foaf/0.1
http://xmlns.com/foaf/0.1/Person,Class,http://xmlns.com/foaf/0.1/Agent,IS-A,,,,,http://xmlns.com/foaf/0.1
http://xmlns.com/foaf/0.1/Organization,Class,http://xmlns.com/foaf/0.1/Agent,IS-A,,,,,http://xmlns.com/foaf/0.1
http://purl.org/ontology/bibo/Journal,Class,,,,,,Describes the title and ISSN of a journal.,http://purl.org/ontology/bibo
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#PublicationSpecification,Class,,,,,,"Specification of a publication for describing its author(s), title, year of publication, journal or conference, publisher, etc.",http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#JournalSpecification,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#PublicationSpecification,IS-A,,,,Specification of a journal describing the page number and volume.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#ProceedingsSpecification,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#PublicationSpecification,IS-A,,,,Specification of a conference.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#PreprintSpecification,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#PublicationSpecification,IS-A,,,,Specification of a preprint.,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#specifies,Object Property,,,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#JournalSpecification,http://purl.org/ontology/bibo/Journal,only,"A relation between a journal specification that describes the page number and volume, and the journal that describes its title and ISSN.",http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#hasPublicationSpecification,Object Property,,,BibliographyLink,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#PublicationSpecification,only,"A relation between a reference and a publication specification that can be a journal specification, a proceedings specification or a preprint specification.",http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl
http://purl.org/dc/terms/contributor,Object Property,,,BibliographyLink,http://xmlns.com/foaf/0.1/Agent,only,,http://purl.org/dc/terms/contributor
hasApparatus,Object Property,,,Experiment,Apparatus,exactly 1,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasAdditionalDataItem,Object Property,,,Experiment,AdditionalDataItem,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasCommonProperties,Object Property,,,Experiment,CommonProperties,exactly 1,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasCopyright,Object Property,,,Experiment,Copyright,max 1,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasBibliographyLink,Object Property,,,Experiment,BibliographyLink,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasDataGroup,Object Property,,,Experiment,DataGroup,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasExpSpecs,Object Property,,,Experiment,ExpSpecs,exactly 1,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasProvenance,Object Property,,,Experiment,Provenance,exactly 1,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasModification,Object Property,,,Provenance,Modification,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
createdBy,Object Property,,,Provenance,http://xmlns.com/foaf/0.1/Agent,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
modifiedBy,Object Property,,,Modification,http://xmlns.com/foaf/0.1/Agent,,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasIgnitionType,Object Property,,,ExpSpecs,IgnitionType,max 1,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasTimeShift,Object Property,,,ExpSpecs,TimeShift,max 1,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasKind,Object Property,,,Apparatus,Kind,exactly 1,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasMode,Object Property,,,Apparatus,Mode,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasDimensionalQuantity,Object Property,,,Apparatus,DimensionalQuantity,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasUncertainty,Object Property,,,DimensionalQuantity,Uncertainty,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasComponent,Object Property,,,InitialComposition,Component,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasSpeciesLink,Object Property,,,DimensionalQuantity,SpeciesLink,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasDerivedProperty,Object Property,,,DimensionalQuantity,DerivedProperty,max 1,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasDimensionalQuantity,Object Property,,,CommonProperties,DimensionalQuantity,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasDimensionalQuantity,Object Property,,,DataGroup,DimensionalQuantity,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasDataPoint,Object Property,,,DataGroup,DataPoint,only,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
hasDataPointX,Object Property,,,DataPoint,X,some,,http://www.theworldavatar.com/ontology/ontochemexp/OntoChemExp.owl
