year,coal_power_capacity_GW,coal_power_capacity_existing,coal_power_capacity_new,coal_annual_emission,coal_power_annual_emission_existing,coal_power_annual_emission_new,coal_lock_emission,coal_power_lock_emission_existing,coal_power_lock_emission_new,gas_power_capacity_GW,gas_power_capacity_existing,gas_power_capacity_new,gas_annual_emission,gas_power_annual_emission_existing,gas_power_annual_emission_new,gas_lock_emission,gas_power_lock_emission_existing,gas_power_lock_emission_new,oil_power_capacity_GW,oil_power_capacity_existing,oil_power_capacity_new,oil_annual_emission,oil_power_annual_emission_existing,oil_power_annual_emission_new,oil_lock_emission,oil_power_lock_emission_existing,oil_power_lock_emission_new,coal_power_capacity_new1,coal_power_annual_emission_new1,coal_power_annual_emission_new1,coal_power_capacity_new2,coal_power_annual_emission_new2,coal_power_annual_emission_new2,gas_power_capacity_new1,gas_power_annual_emission_new1,gas_power_annual_emission_new1,gas_power_capacity_new2,gas_power_annual_emission_new2,gas_power_annual_emission_new2,oil_power_capacity_new1,oil_power_annual_emission_new1,oil_power_annual_emission_new1,oil_power_capacity_new2,oil_power_annual_emission_new2,oil_power_annual_emission_new2
2027,2158.8,1689.424592,13.73,11.10695803,8.641939129,0.072106674,125.2134431,106.0292078,1.153706783,1791.5,1336.885003,26.23,4.259996767,3.193879667,0.061511266,43.54180797,34.88328067,0.984180249,338.5,321.6885614,0,0.830045854,0.760975367,0,7.361314736,6.847864908,0,0,0,0,13.73,0.072106674,0.072106674,0,0,0,26.23,0.061511266,0.061511266,0,0,0,0,0,0
2028,2154.6,1669.758553,15.47,11.00048394,8.454220297,0.081244737,118.7936842,98.78922367,1.381160537,1808,1321.161651,32.22,4.257664006,3.115988653,0.075558253,42.22820102,32.53364215,1.284490301,334.1,318.9395821,0,0.815973846,0.746903359,0,6.927281275,6.428814694,0,0,0,0,15.47,0.081244737,0.081244737,0,0,0,32.22,0.075558253,0.075558253,0,0,0,0,0,0
2029,2147.5,1650.182123,12.48,10.7890362,8.177230582,0.065541973,112.5290355,91.94028376,1.179755516,1822.7,1309.51248,26.35,4.248791267,3.045323239,0.061792674,42.58452891,32.05827289,1.112268138,331.9,317.6580135,0,0.798064425,0.728993938,0,7.304820585,6.821337251,0,0,0,0,12.48,0.065541973,0.065541973,0,0,0,26.35,0.061792674,0.061792674,0,0,0,0,0,0
2030,2145.5,1628.496819,19.69,10.6539794,7.938766615,0.103407167,106.6499769,84.72144723,1.964736182,1845.5,1281.753953,50.56,4.234770864,2.912735944,0.118566892,42.19412115,29.72347186,2.252770954,324.3,311.8225653,0,0.739889676,0.670819189,0,6.694163805,6.225663718,0,0,0,0,19.69,0.103407167,0.103407167,0,0,0,50.56,0.118566892,0.118566892,0,0,0,0,0,0
2031,2142.2,1591.131222,34.07,10.37579046,7.48165019,0.178927486,102.6881959,77.85519303,3.578549717,1872.1,1269.838523,38.52,4.251962294,2.839595161,0.090332213,41.36578251,27.45318593,1.806644261,321.9,310.4785538,0,0.723611587,0.6545411,0,6.28737594,5.8338591,0,0,0,0,34.07,0.178927486,0.178927486,0,0,0,38.52,0.090332213,0.090332213,0,0,0,0,0,0
2032,2143,1577.057747,14.87,10.22023387,7.247999918,0.078093681,96.8627034,71.15327363,1.639967303,1895.5,1260.460299,32.78,4.259632703,2.770394076,0.076871494,40.36410972,25.24707483,1.614301372,317.6,309.8273624,0,0.69386919,0.624798703,0,5.84765133,5.409117737,0,0,0,0,14.87,0.078093681,0.078093681,0,0,0,32.78,0.076871494,0.076871494,0,0,0,0,0,0
2033,2143.9,1547.60963,30.35,9.714783903,6.583159019,0.159390936,93.1326938,64.72120297,3.506600596,1917.3,1248.90129,33.36,4.147649538,2.580179275,0.078231636,39.42993543,23.04202515,1.721095997,315.2,308.3183229,0,0.624593336,0.555522849,0,5.377671497,4.95412115,0,0,0,0,30.35,0.159390936,0.159390936,0,0,0,33.36,0.078231636,0.078231636,0,0,0,0,0,0
2034,2146.6,1519.138617,31.17,9.560849774,6.26552751,0.16369738,90.0910944,58.80676838,3.765039738,1946,1241.723575,35.88,4.02238476,2.370773277,0.08414122,38.72832237,20.89841203,1.935248066,310.6,307.2285437,0,0.57604522,0.506974733,0,4.985083562,4.576516462,0,0,0,0,31.17,0.16369738,0.16369738,0,0,0,35.88,0.08414122,0.08414122,0,0,0,0,0,0
2035,2150,1493.855463,28.68,9.400785103,5.954842343,0.150620496,87.32574,53.41285263,3.614891901,1977.7,1238.956738,34.47,3.977575459,2.245129308,0.080834667,38.11656282,18.88824967,1.940032015,307,304.561335,0,0.530062024,0.460991537,0,4.525128219,4.131544366,0,0,0,0,28.68,0.150620496,0.150620496,0,0,0,34.47,0.080834667,0.080834667,0,0,0,0,0,0
2036,2151.2,1467.180305,27.88,9.218463859,5.626102012,0.146419087,84.62970565,48.13304394,3.660477183,2004.7,1231.18452,34.77,3.867224364,2.053240024,0.081538189,37.59627832,16.91964045,2.03845473,304,304.3977937,0,0.507856942,0.438786455,0,4.175538613,3.796938007,0,0,0,0,27.88,0.146419087,0.146419087,0,0,0,34.77,0.081538189,0.081538189,0,0,0,0,0,0
